userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,61.72628402709961) (51,61.409942626953125)* (1073,61.080013275146484) (187,60.8080940246582) (59,60.28465270996094)* (157,60.01789093017578) (1098,59.44164276123047) (599,59.4344596862793) (511,59.320465087890625) (1464,59.24199676513672) (227,59.05555725097656) (715,59.03497314453125) (1122,59.002037048339844) (900,58.998680114746094) (1833,58.9981689453125) (159,58.96393585205078) (172,58.934898376464844) (1014,58.8427619934082) (4308,58.699668884277344) (61,58.680938720703125)*
145: (289,55.14900207519531) (300,54.95984649658203)* (288,54.89714050292969)* (298,54.67027282714844) (679,54.413421630859375) (302,54.36973571777344)* (295,54.316314697265625) (292,54.26245880126953)* (55,54.09062957763672) (306,54.05967712402344) (67,54.016883850097656) (67,54.016883850097656) (525,53.87098693847656) (461,53.77091979980469) (1243,53.696990966796875) (523,53.64336395263672) (680,53.59364318847656) (301,53.52849197387695)* (906,53.5255126953125) (310,53.51167297363281)
146: (461,60.94529342651367)* (161,60.33623504638672) (300,60.229522705078125)* (292,60.20891571044922)* (299,60.2003173828125) (468,60.08850860595703) (458,59.76095962524414) (310,59.75190353393555) (327,59.66041946411133) (484,59.595123291015625)* (793,59.53118133544922) (525,59.52595138549805) (352,59.517799377441406) (907,59.47261428833008) (317,59.40671920776367) (681,59.37603759765625) (308,59.35105895996094) (915,59.30066680908203) (523,59.257537841796875) (1451,59.2336311340332)
147: (288,62.830657958984375)* (300,62.41399383544922) (89,62.14532470703125) (306,61.974327087402344)* (701,61.954185485839844)* (461,61.72972869873047) (292,61.679969787597656)* (523,61.497615814208984)* (466,61.48979187011719) (544,61.372047424316406) (157,61.13737487792969) (903,60.86281204223633) (525,60.8198127746582)* (802,60.73386001586914) (325,60.711341857910156)* (344,60.70465850830078) (464,60.64574432373047) (680,60.61172103881836) (2082,60.59247589111328) (378,60.519004821777344)*
148: (162,63.421592712402344) (763,63.39252471923828) (154,62.2658805847168) (755,61.86610412597656) (1226,61.62628173828125) (1418,61.597259521484375) (1700,61.588287353515625) (964,61.49049377441406) (770,61.35612487792969) (2775,61.306365966796875) (2605,61.30494689941406) (977,61.27253723144531) (605,61.265037536621094) (2574,61.22396469116211) (3043,61.15814971923828) (2572,61.093711853027344) (748,61.03253173828125) (845,60.99239730834961) (2167,60.988277435302734) (2158,60.97968292236328)
149: (65,58.244232177734375) (65,58.244232177734375) (190,58.150753021240234) (89,58.10382843017578)* (333,57.95273971557617) (1377,57.821189880371094) (377,57.594757080078125) (298,57.587013244628906) (316,57.58158874511719) (289,57.56026840209961) (227,57.53402328491211) (538,57.50026321411133) (1470,57.48945617675781)* (220,57.37615203857422) (355,57.34674835205078) (229,57.34642791748047) (184,57.25541687011719) (228,57.20661163330078) (540,57.20134353637695) (344,57.138038635253906)
150: (295,66.9039306640625)* (300,66.75753784179688) (67,66.66328430175781) (67,66.66328430175781) (292,66.3185043334961) (291,65.93106079101562)* (349,65.74413299560547)* (55,65.70350646972656) (466,65.55982971191406) (461,65.4742431640625) (265,65.43269348144531)* (679,65.43181610107422) (299,65.39911651611328)* (294,65.34043884277344)* (360,65.32928466796875) (310,65.30850219726562) (641,65.144775390625) (523,65.0) (525,64.97674560546875) (316,64.95909118652344)
151: (1775,55.72088623046875) (4828,55.50027084350586) (6123,55.45341873168945) (4087,54.83297348022461) (4850,54.81565475463867) (708,54.53877258300781) (1771,54.53253173828125) (246,54.522979736328125) (1045,54.50038528442383) (4463,54.408023834228516) (6121,54.34416961669922) (6483,54.31822204589844) (283,54.228553771972656)* (1241,54.2110595703125) (9187,54.003292083740234) (8728,53.97179412841797) (6120,53.94881820678711) (7252,53.87678527832031) (3384,53.784645080566406)* (3127,53.72719192504883)
152: (344,60.26742172241211)* (464,59.84982681274414) (461,59.588645935058594)* (679,59.53269958496094) (89,59.50170135498047)* (681,59.34024429321289) (324,59.31076431274414)* (302,58.86185073852539) (1047,58.81273651123047) (691,58.80735397338867) (321,58.79160690307617) (288,58.7352409362793) (1043,58.71219253540039) (291,58.67039489746094) (687,58.604522705078125) (470,58.52854919433594) (227,58.503257751464844)* (306,58.47627258300781) (230,58.23115158081055) (683,58.17737579345703)
153: (1131,64.10272979736328) (152,63.59152603149414) (233,63.568084716796875) (1118,63.030601501464844) (163,62.51426696777344) (173,62.13713836669922) (2369,62.11507034301758) (188,61.96778106689453)* (186,61.9605827331543) (3901,61.769737243652344) (226,61.75550079345703) (964,61.66010665893555) (162,61.58572006225586)* (1104,61.542388916015625) (856,61.531211853027344) (707,61.293331146240234) (234,61.263004302978516) (72,61.21227264404297) (72,61.21227264404297) (867,61.16653823852539)
154: (497,64.8107681274414) (377,64.5706787109375) (519,64.4181137084961) (1114,64.04763793945312)* (488,63.988155364990234) (230,63.74998092651367) (498,63.35968017578125) (1044,63.294551849365234) (2664,63.278968811035156) (1672,62.91501235961914)* (489,62.91082000732422) (6257,62.82094955444336) (806,62.78233337402344) (4342,62.768638610839844) (1854,62.7580680847168) (1859,62.66004943847656) (4439,62.63644027709961) (490,62.54498291015625) (503,62.480323791503906) (1406,62.46940612792969)
155: (875,69.24271392822266)* (4271,69.10199737548828) (1119,68.88521575927734) (4278,68.61709594726562) (841,68.27783203125) (5160,68.20516967773438) (3281,68.12187194824219) (1369,68.04811096191406) (2375,67.92986297607422) (163,67.92425537109375) (1804,67.87344360351562) (867,67.8321304321289) (9345,67.82328796386719) (1083,67.82038879394531)* (1411,67.77191925048828) (12051,67.72819519042969) (868,67.69983673095703) (3431,67.65213775634766)* (8423,67.62118530273438) (599,67.61538696289062)*
156: (65,56.99848937988281)* (65,56.99848937988281)* (533,56.92898941040039)* (228,56.908355712890625) (424,56.769676208496094) (217,56.679779052734375) (229,56.32490539550781) (366,56.279388427734375) (2277,56.23625946044922) (709,56.014671325683594) (1239,56.01311111450195) (1755,55.89977264404297) (439,55.891658782958984) (1090,55.88157653808594) (182,55.86539840698242) (234,55.85200500488281) (202,55.84947967529297) (554,55.83313751220703) (163,55.81773376464844)* (1242,55.808109283447266)
157: (1358,66.1688003540039)* (732,65.47644805908203) (2834,64.9721450805664)* (724,64.851806640625) (1249,64.65570831298828) (959,64.64178466796875)* (1366,64.47586059570312)* (1803,64.46617126464844) (707,64.11384582519531) (951,63.93251037597656) (2346,63.91203308105469) (2838,63.89112854003906) (2013,63.77226257324219) (2901,63.77004623413086) (735,63.671836853027344) (956,63.63562774658203) (1415,63.44638442993164) (4124,63.372127532958984) (841,63.343505859375) (2797,63.241539001464844)
158: (289,54.747440338134766) (295,54.60569763183594) (288,54.53019714355469) (306,54.445865631103516) (89,53.99750900268555) (239,53.97593307495117) (300,53.8629150390625) (292,53.82927703857422) (349,53.76222610473633) (701,53.75212478637695) (257,53.60136032104492) (310,53.50390625) (2977,53.22608184814453) (461,53.22037124633789) (2094,53.215248107910156) (55,53.1265983581543) (525,53.06892776489258) (1059,52.96253204345703) (299,52.91159439086914) (333,52.886741638183594)
159: (157,59.952232360839844) (289,59.67633819580078) (89,59.2373161315918) (295,59.16011047363281) (306,59.016483306884766) (310,59.001976013183594)* (55,58.93395233154297) (349,58.80131530761719) (329,58.47358703613281) (525,58.43922424316406) (903,58.39639663696289) (294,58.30426788330078)* (913,58.02351379394531) (71,57.98872375488281) (71,57.98872375488281) (285,57.926666259765625) (300,57.88806915283203) (1009,57.82613754272461) (1934,57.773719787597656) (722,57.69933319091797)
161: (3244,59.662506103515625)* (2,58.8151969909668) (13,58.530826568603516) (34,58.46379852294922) (370,58.22470474243164) (25,58.17158889770508) (8910,58.1019401550293) (4162,58.01912307739258) (1263,57.94826126098633) (930,57.9406852722168) (5670,57.86106491088867) (1300,57.74501419067383) (1914,57.726356506347656) (811,57.693904876708984) (2963,57.66120529174805) (779,57.654396057128906) (826,57.6311149597168) (504,57.63066864013672) (1277,57.62294387817383) (1099,57.575645446777344)
162: (288,66.84001159667969) (157,66.54098510742188) (701,66.26539611816406) (306,65.7608413696289) (349,65.69924926757812) (300,65.68397521972656) (55,65.54535675048828) (292,65.53424835205078) (802,65.41271209716797) (378,65.37751007080078)* (329,65.32810974121094) (903,65.24044799804688) (340,65.18628692626953) (461,65.16787719726562) (542,65.11214447021484)* (523,65.10208129882812) (180,64.95820617675781) (525,64.85982513427734) (498,64.85265350341797) (966,64.7623291015625)
163: (3760,48.19756317138672) (5375,47.920196533203125) (3762,47.766395568847656) (2467,47.74705505371094)* (2466,47.60865783691406) (5403,47.44916534423828) (5382,47.419403076171875) (2443,47.22296142578125) (11770,47.21464157104492) (11772,47.14064025878906) (11775,47.108612060546875) (11781,47.07542419433594) (11773,47.03773880004883) (11782,47.034271240234375) (8308,47.03159713745117) (11771,46.988555908203125) (11778,46.866455078125) (7203,46.843414306640625) (11776,46.8353271484375) (2442,46.81013107299805)*
164: (220,57.330848693847656) (163,57.261627197265625) (227,57.203392028808594) (234,57.06965637207031) (65,56.86433410644531) (65,56.86433410644531) (190,56.77320098876953)* (88,56.657127380371094) (366,56.50922393798828) (4432,56.150665283203125) (4616,55.994632720947266) (1412,55.96418380737305) (632,55.946083068847656) (230,55.93994140625) (7260,55.87367248535156) (982,55.87104034423828) (709,55.860328674316406) (533,55.85386657714844) (1873,55.850982666015625) (1130,55.785621643066406)
166: (154,60.612648010253906) (599,60.23316192626953) (511,60.121246337890625) (163,59.975852966308594) (735,59.79457092285156) (1122,59.51708221435547) (715,59.47777557373047) (65,59.42652893066406) (65,59.42652893066406) (868,59.39585876464844) (1412,59.393795013427734) (203,59.27878189086914) (190,59.26326370239258) (159,59.24072265625)* (959,59.225303649902344) (72,59.22246170043945) (72,59.22246170043945) (220,59.066444396972656) (562,59.02231216430664) (234,58.972267150878906)
168: (7665,59.27313232421875) (632,59.19035720825195) (444,59.15570831298828) (1947,59.08114242553711) (1950,59.063350677490234) (440,59.05061721801758)* (2402,58.945648193359375) (211,58.8681640625) (621,58.863346099853516) (418,58.85844802856445) (1944,58.754966735839844) (2139,58.73750686645508) (1731,58.688812255859375) (103,58.653221130371094) (619,58.633609771728516) (454,58.58525466918945) (1969,58.48310470581055) (1155,58.445228576660156) (433,58.380889892578125) (1745,58.31801986694336)
170: (370,68.50145721435547) (953,68.29074096679688) (2172,67.8768081665039) (785,67.86312103271484) (846,67.76670837402344) (2143,67.76422119140625) (809,67.53955078125) (1861,67.51509094238281) (813,67.34337615966797) (1547,67.1301498413086) (12,66.85572052001953) (826,66.76996612548828) (812,66.76366424560547) (10956,66.74365997314453) (842,66.66964721679688)* (2379,66.60798645019531) (832,66.57438659667969) (11936,66.56155395507812) (707,66.4861068725586)* (2370,66.4081802368164)
171: (154,60.29655456542969)* (217,59.4451904296875) (425,59.3399543762207) (210,59.31776428222656) (199,59.28775405883789) (1400,59.19886016845703)* (1390,59.093990325927734) (173,59.06037139892578) (703,59.01479721069336)* (1106,59.00114440917969) (430,58.93612289428711) (1090,58.89160919189453) (227,58.89064407348633) (757,58.86567687988281)* (418,58.86564254760742) (56,58.85400390625) (56,58.85400390625) (689,58.81237030029297) (432,58.690670013427734) (182,58.54816818237305)
172: (1090,60.85405349731445) (229,60.808998107910156) (159,60.79405212402344) (65,60.686336517333984) (65,60.686336517333984) (450,60.47136306762695) (233,60.426849365234375) (225,60.40721893310547) (72,60.37049865722656) (72,60.37049865722656) (227,60.30962371826172) (533,60.23003387451172) (234,60.01983642578125) (203,60.0195198059082) (1151,59.998451232910156) (425,59.981834411621094) (436,59.927677154541016) (429,59.8894157409668) (1376,59.83917236328125) (182,59.818992614746094)
173: (227,63.68133544921875)* (439,63.36817932128906)* (220,63.02516555786133) (533,62.97338104248047) (1513,62.89970016479492) (982,62.8846321105957) (1515,62.7528076171875) (234,62.72740936279297) (1239,62.664939880371094) (230,62.65088653564453) (228,62.64065170288086) (706,62.47772216796875) (3747,62.40294647216797)* (154,62.20415496826172)* (1048,62.05812072753906) (3333,62.05677032470703) (1249,62.028961181640625) (1807,61.965797424316406) (65,61.91481018066406) (65,61.91481018066406)
174: (366,55.36466979980469) (227,55.234535217285156) (892,54.877891540527344) (356,54.85651397705078) (2455,54.715850830078125) (4616,54.71369934082031) (220,54.57801055908203)* (316,54.5712890625) (1772,54.40228271484375) (1470,54.31215286254883) (355,54.282352447509766) (5249,54.15802001953125) (1244,54.118919372558594) (190,54.02799606323242) (1686,54.00243377685547) (1105,53.968841552734375) (157,53.87103271484375) (718,53.831626892089844) (3749,53.784461975097656)* (967,53.72581481933594)
175: (892,50.91163635253906) (2456,50.69001007080078) (5375,50.39585876464844) (3583,50.30149841308594)* (5249,50.27594757080078) (3589,50.21337890625) (3073,50.18717575073242) (5267,50.03089141845703) (3063,50.00788116455078) (6368,49.97810363769531) (2064,49.6330451965332) (7837,49.580711364746094) (2052,49.42504119873047) (2462,49.41143035888672) (2466,49.3232307434082) (2044,49.26316833496094) (1686,49.11164855957031) (3584,49.110694885253906) (8308,49.11066436767578) (2045,49.098548889160156)
176: (159,62.50531005859375) (190,61.55027389526367) (599,61.44991683959961) (225,61.43267822265625)* (424,61.32456970214844)* (450,61.314109802246094)* (207,61.19757080078125) (2531,61.16914367675781) (229,60.99014663696289) (533,60.97168731689453) (1151,60.95891571044922) (203,60.79350280761719) (208,60.69740676879883) (418,60.676109313964844) (436,60.595333099365234) (226,60.59396743774414) (875,60.51912307739258) (428,60.502685546875) (172,60.4902229309082) (715,60.440887451171875)
177: (163,67.22940063476562)* (841,66.56930541992188) (1358,66.53721618652344) (1119,66.3731689453125) (1131,66.21700286865234) (1412,66.06436920166016)* (4675,65.76626586914062) (920,65.71973419189453) (868,65.65565490722656) (3444,65.499267578125) (707,65.48550415039062) (152,65.42523193359375)* (607,65.23502349853516)* (1343,65.20380401611328) (1372,65.13943481445312) (1425,65.13528442382812) (1274,65.0513916015625) (3481,65.03118896484375) (735,64.88821411132812) (3445,64.87820434570312)
178: (841,63.999534606933594) (1411,63.64493942260742) (3417,62.82853698730469) (2375,62.750057220458984) (152,62.65412139892578) (920,62.52168273925781) (370,62.35423278808594) (1412,62.34188461303711) (1360,62.3348503112793) (1254,62.268043518066406) (4605,62.208656311035156) (7804,62.20698547363281) (1202,62.139347076416016) (1369,62.12044906616211) (4611,62.119937896728516) (7047,62.109771728515625) (949,62.10633850097656)* (4675,62.099769592285156) (843,62.088294982910156) (163,62.0125617980957)
179: (89,63.584896087646484)* (190,63.48653030395508) (333,63.345680236816406)* (209,63.00840377807617) (3200,62.958248138427734) (1246,62.92346954345703) (306,62.74766159057617) (298,62.5909423828125) (538,62.44447326660156) (67,62.44158172607422)* (67,62.44158172607422)* (229,62.41193389892578) (972,62.355140686035156) (230,62.290496826171875)* (302,62.28145980834961) (5079,62.276580810546875) (689,62.27383041381836) (65,62.26686096191406) (65,62.26686096191406) (903,62.21021270751953)
180: (370,64.44705963134766) (8910,63.174591064453125) (845,62.898399353027344) (815,62.758094787597656) (3720,62.68215560913086) (2151,62.57066345214844) (1204,62.54905700683594) (10831,62.504337310791016) (1131,62.270774841308594) (1561,62.22549819946289) (503,61.98234558105469) (3548,61.971012115478516) (842,61.9618034362793) (809,61.89140701293945) (17094,61.80370330810547) (12,61.7378044128418) (1119,61.50000762939453) (2586,61.287113189697266) (953,61.26493453979492) (2429,61.13505554199219)
181: (1793,60.29985046386719) (1285,60.207061767578125) (4344,60.03118133544922) (1104,60.01536178588867)* (405,59.81806182861328) (250,59.79840850830078) (4297,59.68113327026367) (475,59.6722297668457) (6626,59.654815673828125) (2236,59.58027648925781) (7,59.57293701171875) (63,59.51762390136719) (63,59.51762390136719) (2500,59.512107849121094) (278,59.47731399536133) (4600,59.438011169433594) (489,59.41820526123047) (930,59.291648864746094) (175,59.270790100097656) (5073,59.22645568847656)
182: (4437,56.41295623779297) (5089,56.15621566772461) (4923,56.1433219909668) (6077,56.14286804199219) (1857,56.07659912109375) (4980,55.99481964111328) (1705,55.977134704589844) (6397,55.96306610107422) (389,55.85958480834961) (65,55.84551239013672) (65,55.84551239013672) (1908,55.79655456542969) (1109,55.788177490234375) (460,55.76310729980469) (697,55.68396759033203) (4616,55.58024597167969) (4920,55.51605987548828) (190,55.43729782104492) (9087,55.432796478271484) (1098,55.41227722167969)
183: (599,60.79431915283203) (51,60.460941314697266) (59,60.265830993652344)* (1073,59.45262908935547) (1001,59.40069580078125) (851,59.30649185180664) (441,59.142574310302734) (715,59.03659439086914) (81,59.02736282348633) (227,58.91877746582031) (868,58.86724090576172) (874,58.83575439453125) (2469,58.80027389526367) (203,58.74339294433594) (2490,58.516178131103516) (993,58.510902404785156) (163,58.46918487548828)* (863,58.341434478759766) (852,58.289432525634766) (58,58.288490295410156)
184: (81,58.68855285644531)* (58,58.252647399902344) (58,58.252647399902344) (172,58.13407897949219) (511,58.02975845336914) (65,57.834556579589844) (65,57.834556579589844) (715,57.77764129638672) (155,57.73793411254883) (157,57.621612548828125) (227,57.60271453857422) (159,57.582481384277344) (599,57.556732177734375) (229,57.519493103027344) (1001,57.50764846801758) (1375,57.487876892089844) (1384,57.407928466796875) (903,57.24872970581055) (203,57.23352813720703) (51,57.208946228027344)
185: (30,59.922332763671875) (1079,59.73241424560547) (187,59.56400680541992)* (91,59.463661193847656) (1298,59.26917266845703) (99,58.906036376953125) (1885,58.873809814453125) (5238,58.857364654541016) (1895,58.7276611328125) (98,58.663238525390625) (68,58.64942169189453) (68,58.64942169189453) (3768,58.590721130371094) (5260,58.43233108520508) (1892,58.418861389160156) (1013,58.40689468383789)* (1000,58.38272476196289) (6736,58.358123779296875) (522,58.269981384277344) (1004,58.26237487792969)
186: (1246,60.91150665283203) (461,60.86488342285156) (300,60.836952209472656)* (544,60.48700714111328) (486,60.4384880065918) (497,60.373069763183594) (209,60.347679138183594) (488,60.32948303222656) (537,60.26960754394531) (89,60.26115417480469)* (344,60.225440979003906)* (540,60.17415237426758) (1047,60.13880157470703) (472,60.08504104614258) (475,60.05126190185547) (1186,59.99750518798828)* (681,59.99416732788086)* (306,59.99388122558594)* (1673,59.970130920410156) (1045,59.90901184082031)
187: (72,63.01410675048828)* (72,63.01410675048828)* (193,62.92727279663086)* (99,62.19251251220703) (511,61.91679763793945) (3302,61.77070617675781) (1001,61.74334716796875) (1413,61.7288818359375) (2469,61.71440505981445) (77,61.648338317871094) (77,61.648338317871094) (1892,61.57327651977539) (868,61.455772399902344) (2552,61.428382873535156) (1122,61.42327880859375) (1083,61.412750244140625) (163,61.301795959472656)* (851,61.25340270996094) (1014,61.152000427246094) (1019,61.065521240234375)
189: (2738,64.13383483886719) (6257,63.454681396484375) (1116,63.254066467285156)* (1104,63.22281265258789) (234,63.14413833618164)* (504,63.118011474609375) (1351,63.009796142578125) (188,62.944725036621094) (1179,62.77259826660156) (1974,62.76228332519531) (220,62.548160552978516) (497,62.51370620727539) (726,62.40569305419922) (953,62.331748962402344) (920,62.28129577636719) (7639,62.24845886230469) (1710,62.23100662231445) (930,62.212711334228516) (8,62.12799072265625) (1672,62.11288833618164)
190: (2044,56.763919830322266) (8308,55.69319152832031) (5249,55.49492645263672) (641,55.43872833251953) (157,55.40877151489258) (12243,55.29254913330078) (7239,55.290771484375) (3063,55.28408432006836) (356,55.21946716308594) (8372,55.21156311035156) (253,55.157981872558594) (657,55.14868927001953) (5375,55.03118133544922) (2395,54.956233978271484) (2455,54.931854248046875) (389,54.907989501953125) (257,54.82232666015625) (660,54.71473693847656) (8047,54.65873718261719) (2046,54.616676330566406)
191: (1713,59.472328186035156)* (175,59.21435546875) (1001,59.1807975769043) (1072,59.04750061035156)* (880,58.66153335571289) (63,58.30699920654297) (63,58.30699920654297) (877,58.25713348388672) (1061,58.21733856201172) (1073,58.11648178100586) (187,58.05659103393555)* (1394,58.0322380065918) (153,58.02110290527344) (159,57.98955535888672) (70,57.97270202636719) (6760,57.96935272216797) (1707,57.91911697387695) (4316,57.878841400146484) (1014,57.837196350097656) (511,57.832679748535156)
192: (3729,59.27562713623047) (2756,58.96363830566406) (11859,58.737548828125) (10008,58.60001754760742) (4182,57.855979919433594) (8625,57.76791763305664) (4504,57.71651077270508) (10449,57.65079879760742) (10759,57.45915985107422) (9805,57.43290328979492) (8633,57.33423614501953) (4204,57.32553482055664) (9801,57.324066162109375) (3043,57.031944274902344) (16272,57.002891540527344) (4107,56.994747161865234) (2749,56.97880935668945) (17938,56.936100006103516) (17950,56.841915130615234) (5600,56.70884704589844)
193: (65,59.45635986328125) (65,59.45635986328125) (70,59.2794189453125) (1099,59.21111297607422) (968,58.7387809753418) (154,58.735015869140625) (1410,58.65925216674805) (173,58.649410247802734) (1379,58.574798583984375) (1009,58.53697204589844) (1713,58.47148895263672) (2610,58.469661712646484) (5072,58.44065475463867) (174,58.42692947387695) (377,58.33843994140625) (1613,58.303123474121094) (229,58.27467727661133) (88,58.23633575439453) (1394,58.180320739746094) (3501,58.15785217285156)
194: (603,59.974884033203125) (2605,59.60285186767578) (748,59.581722259521484) (632,59.51670455932617) (81,59.22545623779297)* (206,59.14275360107422) (2616,58.90798568725586) (2711,58.83831024169922) (222,58.568241119384766) (237,58.549522399902344) (610,58.47026062011719) (2676,58.3946418762207) (196,58.278995513916016) (602,58.26700973510742) (615,58.25654983520508) (4113,58.21999740600586) (199,58.16986846923828) (1098,58.15377426147461)* (57,58.133506774902344) (227,58.01750946044922)
195: (859,66.82353973388672)* (615,66.31581115722656) (436,66.28524780273438) (235,66.24231719970703) (562,66.13679504394531)* (1504,66.12662506103516) (197,66.06159210205078) (851,66.0384292602539) (630,66.02957153320312) (863,66.02539825439453)* (599,65.81964874267578) (441,65.8121337890625) (2265,65.78642272949219) (609,65.67182159423828) (1158,65.64765167236328) (7650,65.57711029052734) (7147,65.5699691772461) (222,65.489501953125) (1412,65.4644546508789)* (612,65.4178237915039)
196: (207,61.54658508300781)* (190,61.25914764404297)* (173,61.165321350097656) (65,61.032169342041016)* (65,61.032169342041016)* (533,60.92230987548828) (234,60.87879180908203)* (159,60.873966217041016) (225,60.80812072753906) (228,60.672786712646484) (436,60.609954833984375)* (203,60.5762939453125) (441,60.463104248046875) (1515,60.248138427734375) (1048,60.195823669433594) (429,60.07675552368164) (511,60.02363204956055) (221,59.91390609741211) (1512,59.8450927734375) (72,59.800865173339844)
198: (805,61.594268798828125) (1188,60.92753601074219) (815,60.81520080566406) (823,60.39580535888672)* (4346,60.33377456665039) (198,60.16171646118164) (831,60.006343841552734) (809,59.645145416259766) (814,59.61105728149414) (537,59.571292877197266) (489,59.52207946777344) (190,59.478458404541016) (377,59.45243835449219) (1100,59.44662094116211) (500,59.439334869384766) (850,59.41794204711914) (832,59.38174057006836) (497,59.37364196777344) (3621,59.34996032714844) (785,59.27750778198242)
200: (163,65.4384765625)* (735,64.89250183105469) (868,64.89158630371094) (1415,64.8161392211914)* (96,64.79508972167969) (192,64.74278259277344) (2444,64.54365539550781) (2901,64.53535461425781) (599,64.3680191040039) (1639,64.3403091430664) (1416,64.18783569335938) (157,64.17037200927734) (1413,64.11077117919922) (728,64.0979995727539) (253,64.07746887207031) (180,64.0032958984375) (601,63.94585418701172) (3777,63.9432487487793) (3302,63.89954376220703) (1244,63.84046936035156)
201: (72,59.89859390258789)* (72,59.89859390258789)* (157,59.275848388671875) (172,59.082698822021484) (187,59.05736541748047) (67,59.05550765991211) (67,59.05550765991211) (51,59.053314208984375) (955,58.94977569580078) (930,58.94145965576172) (155,58.889854431152344) (1810,58.8853874206543) (99,58.86840057373047) (959,58.830467224121094) (1001,58.82776641845703) (173,58.66433334350586) (5079,58.64663314819336) (77,58.63220977783203) (77,58.63220977783203) (3201,58.619537353515625)
202: (917,65.05569458007812)* (841,65.05352783203125) (1360,65.03621673583984) (2963,64.39349365234375) (15,64.29947662353516) (707,64.27525329589844)* (1358,64.26890563964844) (918,64.12097930908203)* (953,63.930992126464844) (1527,63.61455535888672) (1274,63.54443359375) (1281,63.40033721923828) (25,63.33034896850586) (2343,63.31599807739258) (1369,63.25772476196289) (1531,63.181182861328125) (2744,62.91764831542969) (920,62.87535858154297) (1412,62.848419189453125) (1206,62.819580078125)
203: (835,61.17631530761719) (2062,60.762046813964844) (779,60.6931037902832) (830,60.62005615234375) (811,60.523536682128906) (1672,60.340599060058594) (834,60.1240234375) (808,60.00891876220703) (818,59.96418762207031) (1868,59.96014404296875) (5100,59.81756591796875) (1185,59.77713394165039) (810,59.76722717285156)* (1044,59.68058395385742) (953,59.6445198059082) (823,59.5212516784668) (2959,59.51082229614258) (2940,59.4962158203125)* (2967,59.44468688964844) (1541,59.43961715698242)*
204: (10449,57.08774948120117) (1645,56.09571075439453) (10955,55.895599365234375) (4724,55.76559829711914) (4830,55.52669143676758) (11000,55.517581939697266) (4821,55.265621185302734) (3792,55.25511932373047) (4346,55.25125503540039) (1192,55.062835693359375) (12094,54.937965393066406) (412,54.91263198852539) (5628,54.8364143371582) (4185,54.333099365234375)* (4184,54.225799560546875)* (17744,54.20631790161133) (5643,54.19402313232422) (11553,54.15873336791992) (3341,54.147403717041016) (8469,54.122039794921875)
205: (779,61.564109802246094)* (1099,61.47455978393555) (968,61.132686614990234) (1179,61.01059341430664) (1191,60.98829650878906) (1104,60.73152160644531) (2850,60.59283447265625) (1541,60.5325813293457) (460,60.52772521972656)* (4103,60.513702392578125) (45,60.4803466796875) (407,60.429222106933594) (1188,60.3990478515625)* (377,60.370792388916016) (489,60.32832717895508) (7,60.31953811645508) (512,60.2987060546875) (1863,60.15864944458008) (2824,60.137176513671875) (198,60.135459899902344)
206: (154,62.465553283691406)* (72,61.86885452270508) (72,61.86885452270508) (233,61.70271301269531) (238,61.53717041015625) (65,61.41416549682617) (65,61.41416549682617) (70,61.35111999511719) (190,61.29759216308594) (1075,61.11454772949219) (159,61.000919342041016) (234,60.857418060302734) (1099,60.85258865356445) (203,60.6746826171875) (1090,60.66424560546875) (53,60.60722351074219) (53,60.60722351074219) (1151,60.60577392578125) (1098,60.48368835449219) (436,60.4384880065918)
207: (548,53.5097770690918) (298,53.38531494140625) (691,53.272560119628906) (288,53.15988540649414) (289,53.14117431640625) (300,53.1378059387207) (1934,52.51964569091797) (689,52.48932647705078) (344,52.37687683105469) (324,52.332027435302734) (679,52.32185363769531) (295,52.23845672607422) (526,52.236732482910156) (498,52.15788269042969) (690,52.15608215332031) (306,52.144004821777344) (292,52.075767517089844) (680,52.02729034423828) (2083,51.91853332519531) (2546,51.902618408203125)
208: (4273,65.19654083251953)* (3806,64.78377532958984) (2970,64.59524536132812) (954,64.406982421875) (1214,64.38219451904297) (1528,64.15238189697266) (1344,63.807518005371094) (3509,63.7856559753418) (821,63.783634185791016) (1274,63.77450180053711)* (2963,63.734275817871094) (4611,63.718597412109375) (2765,63.58550262451172) (1531,63.54969024658203) (1364,63.54198455810547) (1257,63.515682220458984) (923,63.478515625) (1261,63.45270919799805) (918,63.301856994628906) (1353,63.29723358154297)
209: (466,68.85081481933594) (333,68.8471450805664)* (344,68.64749908447266) (89,68.2740478515625) (292,68.25233459472656)* (291,67.90631103515625)* (646,67.80754852294922)* (679,67.77437591552734) (701,67.75566101074219) (458,67.48420715332031) (544,67.4496078491211) (293,67.40313720703125) (686,67.37210845947266) (681,67.32505798339844) (790,66.99329376220703) (528,66.97904968261719) (352,66.92145538330078) (543,66.91813659667969) (464,66.91276550292969) (304,66.88172912597656)
210: (529,57.55352783203125) (1009,57.47481155395508) (1793,57.39966583251953) (75,57.38552474975586) (75,57.38552474975586) (3501,57.228660583496094) (175,57.18633270263672) (1104,57.168365478515625) (77,57.15489196777344) (77,57.15489196777344) (51,56.937103271484375) (475,56.81349563598633) (153,56.81196212768555) (64,56.69597244262695) (64,56.69597244262695) (7,56.65953063964844) (968,56.53553771972656) (155,56.38932418823242) (56,56.38383483886719) (56,56.38383483886719)
