userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,32.04536819458008) (175,31.976829528808594) (51,31.805654525756836)* (157,31.769336700439453) (1836,31.647449493408203) (193,31.518014907836914) (1394,31.508024215698242) (1009,31.30048179626465) (993,31.26662826538086) (1795,31.23754119873047) (511,31.23424530029297) (187,31.209806442260742) (1156,30.946598052978516) (1122,30.911243438720703) (1098,30.80465316772461) (155,30.78659439086914) (1395,30.76462745666504) (722,30.73705291748047) (3501,30.72675323486328) (70,30.61557960510254)*
150: (295,34.299530029296875)* (300,33.92627716064453) (292,33.88748550415039) (67,33.70463943481445) (67,33.70463943481445) (291,33.691253662109375)* (679,33.452754974365234) (265,33.428836822509766)* (461,33.20603561401367) (349,33.03477096557617)* (342,32.7940673828125) (544,32.77490997314453) (466,32.69406509399414) (304,32.64900207519531) (299,32.577064514160156)* (479,32.56430435180664) (538,32.48560333251953) (55,32.418243408203125) (2523,32.343017578125) (1475,32.31439971923828)
151: (4818,30.156171798706055) (1241,29.481843948364258) (1775,29.179882049560547) (283,28.8917179107666)* (3384,28.791677474975586)* (708,28.76426887512207) (4709,28.584007263183594) (4471,28.531949996948242) (4087,28.099124908447266) (8732,27.942869186401367) (6472,27.932998657226562) (1768,27.81772804260254) (1763,27.594776153564453) (6120,27.575031280517578) (1761,27.56081199645996) (2984,27.460826873779297) (6480,27.260868072509766) (4466,27.213581085205078) (5594,27.182886123657227) (8728,27.144683837890625)
152: (679,30.481582641601562) (230,30.451383590698242) (324,30.01002311706543)* (464,29.961347579956055) (687,29.924030303955078) (344,29.87944793701172)* (1047,29.777685165405273) (209,29.55681800842285) (412,29.524892807006836)* (89,29.508085250854492)* (227,29.221872329711914)* (1043,28.969709396362305) (461,28.88483238220215)* (470,28.802942276000977) (475,28.75309944152832) (544,28.72501564025879) (681,28.654077529907227) (1243,28.603681564331055) (903,28.596818923950195)* (288,28.500198364257812)
153: (1118,31.501747131347656) (1131,31.48094940185547) (152,31.331356048583984) (162,31.246353149414062)* (186,31.21416664123535) (173,30.89444351196289) (418,30.841663360595703) (12909,30.760770797729492) (961,30.6673583984375) (3405,30.490703582763672)* (1418,30.475969314575195) (15457,30.473064422607422) (188,30.269392013549805)* (233,30.22500228881836) (81,30.220184326171875) (3940,30.197771072387695) (920,30.19198989868164) (72,30.188440322875977) (72,30.188440322875977) (1109,30.12323570251465)
154: (1044,36.4859619140625) (1672,35.790748596191406)* (377,35.43330383300781) (978,34.84901428222656) (7,34.738590240478516) (504,34.646156311035156) (726,34.500099182128906) (497,34.39657211303711) (230,34.374778747558594) (1145,34.28607940673828) (488,34.2049560546875) (498,33.736881256103516) (1249,33.59699249267578) (503,33.45174789428711) (2379,33.41596221923828) (1714,33.3597297668457) (1406,33.23801803588867) (1114,33.183292388916016)* (1854,33.114234924316406) (1180,33.02446365356445)
155: (631,32.45497131347656) (875,32.45053482055664)* (3431,32.41463088989258)* (1083,31.867773056030273)* (852,31.750263214111328) (2493,31.10371208190918) (2026,30.990768432617188) (867,30.98387336730957) (2471,30.95806312561035) (2470,30.916215896606445) (12325,30.811294555664062) (857,30.728784561157227) (5913,30.68389892578125) (1203,30.68180274963379) (2488,30.571910858154297) (9332,30.49295997619629) (1205,30.459165573120117) (2531,30.436681747436523) (3280,30.380508422851562) (2938,30.37706756591797)
156: (533,34.14955139160156)* (228,34.017799377441406) (65,33.54450225830078)* (65,33.54450225830078)* (1242,33.46384811401367) (366,33.21623992919922) (2786,33.068511962890625) (229,33.03827667236328) (1239,32.9742546081543) (733,32.896785736083984) (424,32.88772964477539) (709,32.7444953918457) (428,32.709632873535156) (217,32.6552734375) (868,32.629512786865234) (1090,32.614112854003906) (1244,32.57335662841797) (1414,32.50907897949219) (715,32.49198913574219) (3071,32.47101974487305)
157: (724,34.44662857055664) (1358,34.210487365722656)* (1249,33.92439651489258) (732,33.60282897949219) (707,33.17037582397461) (951,33.05723571777344) (959,33.05666732788086)* (1803,32.96140670776367) (2797,32.92755889892578) (9334,32.84010314941406) (1366,32.706546783447266)* (4460,32.45960998535156) (2838,32.36970520019531) (3774,32.32555389404297) (2346,32.32178497314453) (2784,32.28160095214844)* (2834,31.616395950317383)* (1338,31.519920349121094) (4124,31.385379791259766) (2013,31.375253677368164)
158: (2803,29.89432144165039) (2094,29.878820419311523) (326,29.539447784423828) (912,29.10755729675293) (1459,29.090911865234375) (4515,28.913410186767578) (257,28.885602951049805) (2392,28.862281799316406) (296,28.818199157714844) (344,28.785064697265625) (349,28.739246368408203) (289,28.64504051208496) (323,28.61959457397461) (2801,28.586559295654297) (908,28.577054977416992) (293,28.54994010925293) (288,28.536962509155273) (292,28.50745391845703) (786,28.50438690185547) (375,28.336095809936523)
159: (55,31.481910705566406) (71,31.135766983032227) (71,31.135766983032227) (184,31.116300582885742) (157,31.016164779663086) (89,30.91175079345703) (310,30.685043334960938)* (265,30.62614631652832)* (295,30.552898406982422) (294,30.472396850585938)* (285,30.471050262451172) (538,30.377201080322266) (1379,30.339210510253906)* (329,30.331501007080078) (349,30.269319534301758) (722,30.26552963256836) (97,30.258729934692383) (289,30.24745750427246) (291,30.237258911132812) (535,30.21034049987793)
161: (514,33.5434455871582) (818,32.846649169921875) (1547,31.101539611816406) (813,31.09679412841797) (830,30.93926239013672) (45,30.815736770629883) (1116,30.795148849487305) (6129,30.70243263244629) (10525,30.694046020507812) (5670,30.683469772338867) (519,30.601293563842773)* (7,30.422786712646484) (4171,30.42241096496582) (6870,30.384761810302734) (7078,30.341196060180664) (2850,30.273670196533203) (1191,30.103940963745117) (8136,30.09347152709961) (517,30.070037841796875) (3244,30.050765991210938)*
162: (292,32.5039176940918) (288,32.34040832519531) (972,32.31510543823242) (55,32.19300079345703) (701,32.01759338378906) (300,31.933244705200195) (3367,31.639266967773438) (157,31.508485794067383) (378,31.48080825805664)* (161,31.469980239868164) (679,31.33269500732422) (340,31.266183853149414) (790,31.24459457397461) (349,31.163074493408203) (265,31.09604263305664) (466,31.090030670166016) (291,31.07109260559082) (306,31.015905380249023) (1601,30.850210189819336) (903,30.80118751525879)
163: (2442,30.502670288085938)* (2467,30.50029754638672)* (3585,30.011796951293945)* (5267,29.56056785583496) (2445,29.373641967773438) (1489,29.25948715209961) (2443,29.237152099609375) (2447,29.193647384643555)* (2437,29.021154403686523) (15460,28.672985076904297) (7041,28.649560928344727) (12689,28.611188888549805) (12684,28.558664321899414) (12681,28.533050537109375) (12683,28.506938934326172) (12688,28.49705696105957) (11769,28.467357635498047) (1445,28.46232032775879) (2466,28.459983825683594) (12690,28.424100875854492)
164: (204,31.815921783447266)* (961,31.31025505065918) (7260,31.309640884399414) (418,31.01093864440918) (967,30.904918670654297) (3057,30.83023452758789) (436,30.75731658935547) (632,30.727556228637695) (4222,30.601652145385742) (65,30.582542419433594) (65,30.582542419433594) (190,30.565406799316406)* (234,30.335201263427734) (183,30.12026596069336) (348,30.042152404785156) (1418,30.033281326293945) (166,30.009565353393555) (173,29.96451187133789) (227,29.95376968383789) (4432,29.934123992919922)
166: (511,33.945945739746094) (715,33.5087890625) (735,33.49371337890625) (155,33.46905517578125) (868,33.29179382324219) (1244,33.243614196777344) (203,33.18648147583008) (599,33.08772277832031) (228,32.844482421875) (857,32.76544952392578) (1639,32.741233825683594) (65,32.5583610534668) (65,32.5583610534668) (220,32.51646423339844) (157,32.51490783691406) (1122,32.51340103149414) (159,32.3045539855957)* (709,32.284847259521484) (2029,32.17757797241211) (1090,32.0080680847168)
168: (1950,33.19059371948242) (3707,32.72089767456055) (6409,32.44045639038086) (1954,32.28960037231445) (7665,32.13786697387695) (440,32.059600830078125)* (1969,31.920717239379883) (1963,31.90423583984375) (1155,31.6998348236084) (757,31.500761032104492)* (619,31.37435531616211) (749,31.291410446166992) (1961,31.284517288208008) (2281,31.249685287475586) (2923,31.191648483276367) (1947,31.148056030273438) (1941,31.126619338989258) (1970,31.085519790649414) (56,30.95525550842285) (56,30.95525550842285)
170: (785,30.951122283935547) (846,30.718103408813477) (1216,30.579668045043945) (370,30.442474365234375) (2172,30.336917877197266) (1547,30.30267333984375) (198,30.155210494995117) (2143,30.153079986572266) (233,29.897361755371094) (826,29.85388946533203) (978,29.781049728393555) (2379,29.765228271484375) (7639,29.764320373535156) (1861,29.762178421020508) (174,29.709081649780273) (3997,29.699777603149414) (1044,29.685466766357422)* (707,29.65981674194336)* (2384,29.621990203857422) (813,29.620323181152344)
171: (1106,31.050312042236328) (1400,30.161788940429688)* (703,30.124067306518555)* (757,29.792945861816406)* (5547,29.734777450561523) (1390,29.715364456176758) (154,29.55815887451172)* (56,29.49814224243164) (56,29.49814224243164) (210,29.360427856445312) (217,29.26224136352539) (432,29.241836547851562) (1090,29.06448745727539) (1398,28.96160316467285) (2533,28.904354095458984) (223,28.873821258544922) (691,28.795291900634766) (199,28.781282424926758) (1376,28.599332809448242) (1954,28.587074279785156)
172: (1090,32.37725830078125) (56,32.04185104370117) (56,32.04185104370117) (229,31.69717025756836) (159,31.6909122467041) (420,31.643007278442383) (1376,31.37428092956543) (757,31.29295539855957) (425,31.283058166503906) (429,31.247196197509766) (539,31.092836380004883) (234,31.057260513305664) (7324,31.01166343688965) (72,30.809194564819336) (72,30.809194564819336) (65,30.674781799316406) (65,30.674781799316406) (3767,30.61488914489746) (227,30.571897506713867) (1398,30.5588436126709)
173: (439,33.38813018798828)* (3747,32.71005630493164)* (1513,32.63068771362305) (234,32.459381103515625) (227,32.37211990356445)* (1545,31.976734161376953) (718,31.942590713500977) (982,31.827861785888672) (932,31.677989959716797) (706,31.584470748901367) (8713,31.42719078063965) (230,31.277362823486328) (533,31.231021881103516) (863,31.1248836517334) (1807,31.068143844604492) (220,31.022830963134766) (924,30.99861717224121) (5416,30.83517837524414) (1768,30.832307815551758) (226,30.773513793945312)
174: (734,31.177919387817383) (3749,31.11947250366211)* (366,30.930988311767578) (4432,30.80801010131836) (1382,30.761062622070312) (155,30.597307205200195) (3460,30.550912857055664) (1378,30.492216110229492) (220,30.130016326904297)* (966,30.079002380371094) (12565,29.948284149169922) (538,29.936975479125977) (1470,29.89710807800293) (355,29.883075714111328) (228,29.86078453063965) (356,29.820016860961914) (253,29.798748016357422) (10677,29.782163619995117) (1489,29.740699768066406) (533,29.691545486450195)
175: (1459,30.818933486938477)* (5267,30.375659942626953) (1445,30.216150283813477) (892,30.203556060791016) (3583,30.15193748474121)* (2447,29.844099044799805) (12689,29.72298240661621) (12684,29.682506561279297) (2437,29.679737091064453)* (12688,29.585601806640625) (12681,29.579635620117188) (3609,29.541101455688477) (12683,29.53740692138672) (11769,29.536733627319336) (2445,29.517778396606445) (12690,29.476318359375) (5767,29.467391967773438) (12687,29.43829917907715) (15460,29.23495864868164) (7041,29.19318389892578)
176: (159,34.3460693359375) (2531,33.2418327331543) (599,32.88242721557617) (851,32.3263053894043) (859,32.17348098754883) (56,32.08979797363281) (56,32.08979797363281) (199,31.95673942565918) (2542,31.748098373413086) (4074,31.711923599243164) (3201,31.655315399169922) (190,31.62588882446289) (229,31.436443328857422) (511,31.424863815307617) (203,31.367767333984375) (2535,31.363685607910156) (1073,31.290796279907227) (436,31.28858757019043) (206,31.24400520324707) (3280,31.177785873413086)
177: (920,35.0081901550293) (163,34.90555953979492)* (1412,34.03436279296875)* (3940,33.90212631225586) (152,33.647483825683594)* (707,33.51461410522461) (607,33.497127532958984)* (186,33.33799362182617) (1358,33.28602981567383) (3264,33.28565216064453) (3481,33.01202392578125) (9716,33.0096435546875) (1131,32.99612808227539) (706,32.83824920654297) (1372,32.75895309448242) (4675,32.75335693359375) (3788,32.72331619262695) (4605,32.70933532714844) (562,32.63362121582031) (918,32.44110870361328)
178: (949,34.1772575378418)* (841,34.08440399169922) (2375,33.23886489868164) (920,33.21923065185547) (1369,33.024871826171875) (4271,32.82080841064453) (1358,32.64487838745117) (1364,32.46318435668945) (1202,32.34942626953125) (1527,32.34792709350586) (4605,32.314571380615234) (918,32.263553619384766) (7047,32.21524429321289) (1337,32.18511199951172) (1360,32.0548095703125) (1261,32.021156311035156) (163,31.977453231811523) (3417,31.91143798828125) (1411,31.86561393737793) (707,31.76388168334961)
179: (230,33.563270568847656)* (209,33.283447265625) (190,32.769920349121094) (89,32.716087341308594)* (333,32.66450500488281)* (1246,32.609649658203125) (518,31.52083396911621) (679,31.512357711791992) (972,31.365304946899414) (488,31.317058563232422) (1183,31.299341201782227) (198,31.230079650878906) (1455,31.13237953186035) (344,31.129863739013672) (65,31.119417190551758) (65,31.119417190551758) (306,31.114013671875) (324,31.087764739990234) (930,30.994760513305664) (951,30.963462829589844)
180: (1206,30.8188533782959) (2824,30.558666229248047) (2586,30.491743087768555) (1099,30.48965072631836) (10831,30.351634979248047) (3707,30.265941619873047) (768,30.16221809387207) (5306,30.09181785583496) (845,30.02773094177246) (512,30.026487350463867) (407,30.012670516967773) (1210,29.79517936706543) (1222,29.71116828918457) (770,29.70487403869629) (1561,29.6366024017334) (3997,29.627622604370117) (170,29.619094848632812) (777,29.58061981201172) (751,29.467613220214844) (4273,29.43520164489746)
181: (3053,29.43252944946289) (3049,29.40822982788086) (2835,29.209505081176758) (7130,29.01764488220215) (2738,29.001079559326172) (6242,28.953678131103516) (11170,28.322664260864258) (14128,28.225332260131836) (4887,28.034378051757812) (7,28.033811569213867) (4295,27.919363021850586) (2033,27.85866355895996) (2028,27.785093307495117) (3734,27.69307518005371) (4226,27.61520004272461) (986,27.601964950561523) (1104,27.569067001342773)* (198,27.507646560668945) (718,27.480539321899414) (1406,27.428081512451172)*
182: (184,31.429584503173828) (1795,29.39812469482422) (355,29.07379913330078) (538,29.055522918701172) (3171,28.964641571044922) (1511,28.91292953491211) (182,28.871337890625) (65,28.839006423950195) (65,28.839006423950195) (221,28.81071662902832) (727,28.598846435546875) (1470,28.55340576171875) (4616,28.47665786743164) (1556,28.462848663330078) (2176,28.45366859436035) (3466,28.36709976196289) (5099,28.361923217773438) (190,28.30092430114746) (70,28.27303123474121) (1375,28.24209976196289)
183: (59,34.01603698730469)* (599,33.051631927490234) (715,33.044925689697266) (51,33.010093688964844) (851,32.796165466308594) (1089,32.25495910644531) (441,32.042972564697266) (187,31.984447479248047) (1014,31.486644744873047) (1001,31.338542938232422) (203,31.317964553833008) (993,31.198158264160156) (436,31.1727294921875) (163,31.17039680480957)* (863,31.12422752380371) (1073,31.082738876342773) (868,31.079702377319336) (65,30.984050750732422) (65,30.984050750732422) (227,30.925945281982422)
184: (81,32.50819396972656)* (1062,32.3400993347168) (1781,32.15843963623047) (238,32.11079406738281)* (58,31.416248321533203) (58,31.416248321533203) (183,31.402908325195312) (418,31.13765525817871)* (172,31.08028793334961) (697,30.991649627685547) (1121,30.975936889648438) (3902,30.877595901489258)* (526,30.625118255615234) (237,30.569469451904297) (174,30.50456428527832) (2616,30.369638442993164) (65,30.259706497192383) (65,30.259706497192383) (1824,30.223817825317383) (506,30.209550857543945)*
185: (1883,33.58351135253906) (91,31.80754852294922) (187,31.62657928466797)* (1013,30.895668029785156)* (2027,30.886722564697266) (5729,30.853830337524414) (1892,30.599308013916016) (4982,30.411884307861328) (77,30.39274787902832) (77,30.39274787902832) (6064,30.37303352355957) (3768,30.338788986206055) (12316,30.219680786132812) (98,30.037914276123047) (999,30.03537368774414) (99,30.0335750579834) (1008,29.87651252746582) (2936,29.81454086303711) (68,29.755352020263672) (68,29.755352020263672)
186: (209,30.101728439331055) (1246,30.071969985961914) (486,29.858699798583984) (475,29.30092430114746) (2435,29.092891693115234) (1351,29.01706886291504) (536,28.995695114135742) (300,28.97445297241211)* (371,28.921287536621094) (1673,28.905548095703125) (1038,28.788951873779297) (344,28.762948989868164)* (5310,28.693496704101562) (1872,28.551212310791016) (488,28.52775001525879) (89,28.46491813659668)* (972,28.456321716308594) (544,28.360475540161133) (1183,28.307785034179688) (461,28.1080322265625)
187: (1893,34.00251388549805) (874,33.83937454223633) (997,33.1712532043457)* (1464,33.02580261230469) (1001,32.956356048583984) (1892,32.9253044128418) (193,32.86212921142578)* (1073,32.751094818115234) (1014,32.68648147583008) (72,32.680240631103516)* (72,32.680240631103516)* (159,32.547237396240234)* (192,32.512142181396484) (1150,32.461891174316406) (877,32.39853286743164) (1122,32.3270263671875) (2444,32.30385208129883) (2936,32.216400146484375) (1686,32.21037292480469) (1013,31.974206924438477)*
189: (1104,32.7597541809082) (1179,32.46037292480469) (1116,31.44441032409668)* (1672,31.438838958740234) (1099,31.349679946899414) (504,31.29688262939453) (2794,31.257863998413086) (500,31.150381088256836) (497,31.1441593170166) (7639,31.0645694732666) (503,31.03772735595703) (234,30.95011329650879)* (220,30.839826583862305) (486,30.78920555114746)* (1797,30.72655487060547) (490,30.670028686523438) (488,30.631458282470703) (1091,30.557029724121094) (510,30.52508544921875) (768,30.461803436279297)
190: (5775,27.816009521484375) (792,26.386354446411133) (677,26.074121475219727) (7708,25.928733825683594) (4880,25.888824462890625) (334,25.803003311157227) (1079,25.622455596923828) (3199,25.599946975708008) (8850,25.573640823364258) (16769,25.57057762145996) (4481,25.567392349243164) (16773,25.563926696777344) (798,25.483631134033203) (16767,25.43630599975586) (2021,25.42390251159668) (16770,25.3985595703125) (16764,25.394981384277344) (16772,25.382530212402344) (16775,25.371103286743164) (3176,25.370431900024414)
191: (4316,33.33070755004883) (986,32.779388427734375) (81,31.95472526550293) (70,31.860309600830078) (1394,31.40045928955078) (8042,31.308773040771484) (1790,31.271568298339844) (1791,31.265180587768555)* (173,31.20855712890625) (1795,31.08677101135254) (190,31.073392868041992)* (1800,31.07286834716797) (3827,30.86515998840332) (1793,30.7888126373291) (1099,30.777149200439453) (880,30.76335334777832) (463,30.761226654052734) (233,30.73822593688965) (2030,30.72941780090332) (2681,30.72687530517578)
192: (11625,26.891860961914062) (2817,26.658096313476562) (8461,26.181629180908203) (3826,26.105010986328125) (10449,26.101093292236328) (3809,25.794652938842773) (8475,25.721111297607422) (11605,25.692726135253906) (12495,25.628864288330078) (11611,25.61699104309082) (11618,25.58829116821289) (11607,25.577842712402344) (11615,25.570438385009766) (2273,25.560739517211914) (11622,25.55263328552246) (11610,25.544525146484375) (10890,25.504169464111328) (11617,25.485897064208984) (11608,25.48114776611328) (11616,25.469783782958984)
193: (1099,31.257863998413086) (88,30.933664321899414) (777,30.718568801879883) (1409,29.700761795043945) (757,29.658607482910156) (1394,29.527254104614258) (70,29.450584411621094) (331,29.448957443237305)* (5072,29.28864860534668) (3767,29.222476959228516) (8215,29.19975471496582) (2083,29.09596824645996) (77,29.09010887145996) (77,29.09010887145996) (58,29.082141876220703) (58,29.082141876220703) (3068,28.86604118347168) (67,28.820098876953125) (67,28.820098876953125) (601,28.8117733001709)
194: (632,34.51728057861328) (1700,34.25249481201172) (162,33.82661056518555) (602,33.038612365722656) (1736,32.99173355102539) (81,32.96709060668945)* (755,32.79448699951172) (1121,32.729095458984375) (1418,32.714664459228516) (1109,32.70737838745117) (1098,32.48902893066406)* (1731,32.424530029296875) (748,32.408287048339844) (621,32.32749557495117) (237,32.14043045043945) (5605,31.88825035095215) (961,31.762710571289062) (1163,31.63909149169922) (1709,31.6156005859375) (1705,31.596633911132812)
195: (857,31.471033096313477) (599,31.463773727416992) (206,31.27055549621582) (718,31.217334747314453) (1414,30.933504104614258) (4541,30.923192977905273) (203,30.632837295532227) (1103,30.434616088867188) (1804,30.386371612548828) (985,30.3460636138916) (429,30.23908233642578) (1504,30.154001235961914) (9872,30.097867965698242) (4129,30.00345802307129) (863,29.999465942382812)* (615,29.981168746948242) (585,29.971622467041016) (1239,29.962793350219727) (1244,29.920442581176758) (2531,29.83678436279297)
196: (716,33.072898864746094)* (207,32.698585510253906)* (234,32.30158615112305)* (428,32.18716812133789) (228,32.07190704345703) (533,31.989700317382812) (190,31.903076171875)* (159,31.775989532470703) (203,31.727079391479492) (1814,31.701862335205078) (429,31.613140106201172) (1048,31.559276580810547) (1520,31.39512825012207) (208,31.180667877197266) (88,31.173185348510742) (65,31.109237670898438)* (65,31.109237670898438)* (230,30.93907356262207) (1513,30.926319122314453) (441,30.853370666503906)
198: (815,30.779556274414062) (823,30.64642906188965)* (5066,30.09273338317871) (1547,30.026334762573242) (805,29.833118438720703) (818,29.74549102783203) (3032,29.647796630859375) (3721,29.487974166870117) (810,29.42628288269043) (4346,29.418174743652344) (8277,29.2354679107666) (4948,29.06330108642578) (1116,28.95429039001465) (492,28.94562339782715)* (2847,28.710895538330078) (1861,28.702211380004883) (850,28.641828536987305) (1179,28.638530731201172) (3027,28.564661026000977) (537,28.530439376831055)
200: (163,33.533748626708984)* (2787,32.53125762939453)* (4130,32.306190490722656)* (2347,32.05155563354492)* (1413,31.9901123046875) (2343,31.833375930786133) (3470,31.588659286499023) (1372,31.550966262817383) (868,31.545291900634766) (1369,31.530139923095703) (5175,31.511272430419922) (951,31.373018264770508) (1415,31.332677841186523)* (193,31.32667350769043) (1639,31.301288604736328) (1249,31.292593002319336) (192,31.216724395751953) (3774,31.186016082763672) (2558,31.069629669189453) (706,31.022523880004883)*
201: (1781,31.709951400756836) (189,31.233728408813477) (518,30.91826820373535)* (1098,30.873172760009766) (961,30.63582992553711) (930,30.59629249572754) (1463,30.38023567199707) (955,30.27842903137207) (1114,30.11402130126953) (378,30.023569107055664)* (726,29.970314025878906) (727,29.915416717529297) (1705,29.81355094909668) (173,29.747957229614258) (8962,29.691314697265625) (4143,29.61673927307129)* (2446,29.58487319946289) (3425,29.580074310302734) (5151,29.466461181640625) (70,29.411685943603516)
202: (707,33.199073791503906)* (7100,32.93206787109375) (726,32.662933349609375) (930,32.649898529052734) (917,32.53479766845703)* (918,32.43287658691406)* (198,32.28314208984375) (2014,32.1216926574707) (1339,31.89797019958496) (955,31.815969467163086) (2379,31.76121711730957) (1104,31.664058685302734)* (1145,31.556411743164062) (1044,31.45364761352539) (1360,31.41921615600586) (953,31.3660831451416) (937,31.276010513305664) (181,31.243427276611328) (1672,31.22870635986328) (46,31.20526123046875)
203: (1196,32.5410270690918) (830,32.39064025878906) (377,32.14799880981445) (507,32.012428283691406) (371,32.00825500488281) (1541,31.857059478759766)* (1181,31.728200912475586) (1195,31.707082748413086) (823,31.66668701171875) (808,31.584190368652344) (2959,31.54513931274414) (834,31.478073120117188) (1200,31.365922927856445) (1905,31.337955474853516) (768,31.17067527770996) (2847,31.168676376342773) (978,31.071638107299805) (779,31.00490951538086) (2940,30.965791702270508)* (810,30.89756965637207)*
204: (6452,29.598426818847656) (4820,29.26445770263672) (1645,29.19634246826172) (3341,29.187437057495117) (7329,28.879817962646484) (4184,28.68282699584961)* (4201,28.681943893432617)* (6228,28.478214263916016) (3737,28.26034164428711)* (4258,28.07822036743164) (4821,28.056209564208984) (4375,27.996978759765625) (5315,27.876455307006836) (3616,27.797330856323242) (4371,27.774696350097656) (2628,27.609798431396484) (13237,27.579328536987305) (8934,27.550230026245117) (5310,27.544090270996094) (3333,27.504798889160156)
205: (460,29.51664161682129)* (2747,29.1733455657959) (779,28.394912719726562)* (2699,28.253047943115234) (377,28.1040096282959) (516,28.079092025756836) (4096,27.934494018554688) (831,27.924253463745117) (198,27.86395263671875) (4502,27.82166862487793) (1401,27.796894073486328) (1099,27.795949935913086) (1179,27.689420700073242) (1196,27.663658142089844) (2835,27.5875186920166) (808,27.566547393798828) (2720,27.510826110839844) (2193,27.46037483215332) (1547,27.446693420410156) (1410,27.38426399230957)
206: (203,29.646648406982422) (1520,29.61986541748047) (190,29.54041290283203) (1090,29.447139739990234) (716,29.229461669921875) (7324,29.211225509643555) (221,29.209270477294922) (1048,29.175575256347656) (1988,28.94007682800293) (228,28.873001098632812) (1791,28.68280601501465) (1055,28.664127349853516) (546,28.57818603515625) (10063,28.538082122802734) (521,28.4881649017334) (88,28.48229217529297) (159,28.449167251586914) (2821,28.40293312072754) (986,28.290849685668945) (2738,28.261110305786133)
207: (680,29.835519790649414) (3737,29.055757522583008) (2665,29.00528335571289) (40,28.842456817626953) (7283,28.663393020629883) (298,28.36115074157715) (362,28.2625675201416) (498,28.193592071533203) (2407,28.169397354125977) (5437,28.12489128112793) (4773,28.087879180908203) (8104,28.062536239624023) (209,28.030887603759766) (3128,28.007566452026367) (1632,27.93001365661621) (71,27.83554458618164) (71,27.83554458618164) (4385,27.83265495300293) (5065,27.827224731445312) (3404,27.810611724853516)
208: (949,32.93074035644531) (954,32.467655181884766) (1257,32.30615234375) (1254,32.15629577636719)* (1261,31.966594696044922) (2765,31.88675308227539) (4273,31.853885650634766)* (923,31.806779861450195) (2970,31.745332717895508) (947,31.74244499206543) (821,31.59732437133789) (23,31.234176635742188) (7922,31.140609741210938) (1528,31.026813507080078) (1532,31.013023376464844) (1275,30.906049728393555) (7924,30.871261596679688) (1274,30.76816177368164)* (3509,30.54427719116211) (1356,30.508464813232422)
209: (333,30.281597137451172)* (344,30.2640380859375) (291,30.073223114013672)* (326,30.027816772460938)* (89,29.971332550048828) (701,29.9566650390625) (292,29.751697540283203)* (679,29.717187881469727) (466,29.6174373626709) (293,29.382137298583984) (455,29.196189880371094) (544,29.0760555267334) (498,28.791282653808594)* (320,28.742652893066406)* (1684,28.725006103515625) (686,28.64455795288086) (314,28.602964401245117) (681,28.576539993286133) (797,28.481033325195312) (458,28.365354537963867)
210: (3049,32.02639389038086) (70,31.555673599243164) (1796,31.41813087463379) (3827,31.39512825012207) (1788,31.35521125793457) (3047,31.346080780029297) (3053,31.031099319458008) (1104,30.979663848876953) (7,30.949687957763672) (529,30.87661361694336) (2747,30.71415901184082) (377,30.54521942138672) (7130,30.110383987426758) (3833,30.060375213623047) (3367,30.054927825927734) (486,30.0010929107666) (75,29.984798431396484) (75,29.984798431396484) (1099,29.915803909301758) (10430,29.7592716217041)
211: (190,31.66063690185547)* (1787,31.40694808959961) (70,31.259553909301758) (1072,31.102806091308594)* (1075,31.037338256835938) (182,30.933488845825195) (1791,30.757205963134766) (377,30.684051513671875) (521,30.629756927490234) (187,30.61737632751465) (66,30.590473175048828) (66,30.590473175048828) (1786,30.407875061035156) (1099,30.403575897216797) (4997,30.36393928527832) (722,30.330158233642578) (1795,30.293428421020508) (6439,30.167465209960938) (3501,29.93075942993164) (1379,29.84644889831543)
212: (6282,29.85664176940918) (6284,29.430042266845703) (4671,29.227142333984375) (942,28.732938766479492)* (4679,28.728731155395508) (1350,28.648422241210938)* (1348,28.580110549926758) (5585,28.231945037841797) (922,27.978796005249023) (5076,27.878326416015625) (1346,27.81873321533203) (1343,27.738975524902344) (940,27.717090606689453) (380,27.691303253173828) (14551,27.51559829711914) (14554,27.39659881591797) (396,27.371326446533203) (14557,27.351116180419922) (12930,27.28812026977539) (1430,27.276601791381836)
213: (220,31.406864166259766)* (517,30.890087127685547)* (1406,30.744598388671875) (1613,30.694149017333984) (1873,30.535627365112305) (808,30.38384246826172) (2379,30.21185302734375) (1274,30.037643432617188) (230,29.927656173706055) (7639,29.820545196533203) (3719,29.714550018310547) (1104,29.66551399230957) (331,29.64699935913086) (2595,29.573715209960938) (88,29.514041900634766) (1145,29.46657371520996) (614,29.455097198486328) (278,29.437040328979492)* (1975,29.302885055541992) (1547,29.283370971679688)
214: (289,33.68062210083008)* (55,33.023494720458984)* (299,32.22898864746094) (525,32.21122360229492) (679,32.115440368652344) (333,31.845298767089844) (1464,31.798341751098633) (544,31.78346061706543)* (349,31.73426055908203)* (257,31.733556747436523) (455,31.591999053955078) (466,31.576438903808594)* (790,31.47893714904785) (161,31.357648849487305) (802,31.3431453704834) (251,31.145309448242188) (180,31.029129028320312) (475,30.971820831298828) (1244,30.971534729003906)* (301,30.95697593688965)
