userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (70,11.027851104736328)* (238,10.108229637145996) (1001,9.866653442382812) (1098,9.48542594909668) (1394,9.27556324005127) (159,9.233038902282715) (1464,9.1077299118042) (511,8.796530723571777) (187,8.655597686767578) (1122,8.624711036682129) (51,8.614142417907715)* (157,8.204042434692383) (1073,7.901272773742676) (599,7.803216457366943) (4316,7.7607316970825195) (154,7.729551315307617) (1156,7.631448268890381) (193,7.575323104858398) (155,7.550449848175049) (57,7.534350395202637)*
157: (959,9.545419692993164)* (1358,9.482979774475098)* (724,9.396263122558594) (732,9.252120018005371) (1249,8.731999397277832) (707,8.42703628540039) (1803,7.925562858581543) (1366,7.864558219909668)* (735,7.676300048828125) (2834,7.538041591644287)* (2346,7.499145984649658) (4460,7.390185356140137) (1415,7.364805698394775) (3774,7.165482997894287) (5157,7.0810933113098145) (951,7.0499725341796875) (2797,7.019062519073486) (2901,7.011229038238525) (234,6.746338844299316) (562,6.693778991699219)
158: (674,7.495162487030029) (289,7.416831970214844) (288,7.288234233856201) (292,7.074455738067627) (300,7.063496112823486) (461,7.020763397216797) (679,6.927561283111572)* (89,6.918802738189697) (326,6.880395889282227) (344,6.804532051086426) (333,6.700104236602783) (295,6.693019866943359) (349,6.662845611572266) (2392,6.6567254066467285) (296,6.644150257110596) (257,6.618563652038574) (1459,6.557753562927246) (302,6.459407329559326) (908,6.4165449142456055) (786,6.416244983673096)
159: (157,9.005929946899414) (89,9.00183391571045) (55,8.655179023742676) (295,8.603462219238281) (289,8.50686264038086) (349,7.773716926574707) (310,7.708665370941162)* (71,7.690423011779785) (71,7.690423011779785) (300,7.528547286987305) (257,7.472627639770508)* (306,7.349811553955078) (265,7.320032596588135)* (1934,7.31334114074707) (298,7.186139106750488) (291,7.145768642425537) (1243,7.130059719085693) (294,7.023585319519043)* (1464,6.869828701019287) (333,6.810527801513672)
161: (516,9.227995872497559) (6257,8.905855178833008) (504,8.476056098937988) (1914,8.409069061279297) (1292,8.049732208251953) (806,7.908363342285156) (4171,7.515048027038574) (5972,7.356799602508545) (1270,7.287200450897217) (930,7.218937873840332) (1704,7.112735748291016) (378,7.0539374351501465) (1191,6.9751811027526855) (377,6.938628196716309) (1303,6.883053779602051) (968,6.799139499664307) (2961,6.794552803039551) (10998,6.703787803649902) (3416,6.616940975189209) (978,6.609254360198975)*
162: (157,10.248616218566895) (378,10.101386070251465)* (265,9.736858367919922) (257,9.470589637756348) (292,9.45319938659668) (288,9.328067779541016) (349,9.168209075927734) (291,9.133325576782227) (55,9.04312801361084) (1464,8.916342735290527) (300,8.739638328552246) (972,8.66822624206543) (701,8.406257629394531) (294,8.31935977935791) (360,8.163113594055176) (326,8.065807342529297) (251,8.045510292053223) (786,7.713346481323242) (466,7.693655967712402) (180,7.678523540496826)
163: (2467,11.042618751525879)* (2442,10.540671348571777)* (5267,9.816658020019531) (2466,9.72426986694336) (3761,9.591097831726074) (2447,9.527313232421875)* (7041,9.460662841796875) (3766,9.35485553741455) (15460,9.281538963317871) (2445,9.16541862487793) (3585,9.165167808532715)* (3760,9.116106033325195) (1489,9.082974433898926) (2443,8.847664833068848) (2438,8.759737014770508) (2437,8.748882293701172) (3765,8.628140449523926) (2461,8.569079399108887) (2464,8.557788848876953) (12690,8.556038856506348)
164: (1643,7.210928440093994)* (190,7.105756759643555)* (418,7.009984493255615) (199,6.948572635650635) (223,6.705013275146484) (227,6.440150260925293) (235,6.310061931610107) (65,6.266594886779785) (65,6.266594886779785) (162,6.233004570007324) (204,6.113898754119873)* (222,6.0323805809021) (715,5.925738334655762) (166,5.90281867980957) (81,5.883954048156738) (233,5.81623649597168) (961,5.762847900390625) (197,5.707694053649902) (195,5.693248271942139) (632,5.596188545227051)
166: (511,9.232336044311523) (190,8.912653923034668) (735,8.638086318969727) (959,8.283015251159668) (65,8.037091255187988) (65,8.037091255187988) (154,7.845453262329102) (599,7.833442687988281) (1122,7.772022724151611) (562,7.754485607147217) (715,7.642273902893066) (159,7.559289932250977)* (203,7.506914138793945) (1244,7.476378917694092) (1242,7.469354629516602) (228,7.451198101043701) (733,7.4430251121521) (157,7.218748569488525) (1412,7.208620071411133) (1416,7.207522392272949)
168: (418,10.364310264587402) (53,9.120856285095215) (53,9.120856285095215) (445,8.952064514160156) (1954,8.753705978393555) (440,8.692625999450684)* (231,8.689587593078613) (1098,8.489686012268066) (1961,8.458977699279785) (1950,8.402284622192383) (1155,8.340397834777832) (618,8.267319679260254) (444,8.262948036193848) (1973,8.198843955993652) (3411,8.124448776245117) (1955,8.059842109680176) (757,8.021385192871094)* (1833,7.999492645263672) (603,7.973170280456543) (1951,7.963982582092285)
170: (846,10.796611785888672) (2379,10.148797988891602) (2143,9.57839584350586) (188,9.431339263916016) (1547,9.251235961914062) (1044,9.148733139038086)* (785,9.135854721069336) (198,9.126249313354492) (809,9.077803611755371) (813,8.986010551452637) (707,8.970762252807617)* (2970,8.892328262329102) (1274,8.86151123046875) (1216,8.846631050109863) (2576,8.781386375427246) (25,8.755059242248535) (1196,8.707138061523438) (1861,8.65816879272461) (1116,8.593321800231934) (823,8.587066650390625)
171: (432,7.824583053588867) (969,7.4602789878845215) (210,7.336562156677246) (1400,7.3299760818481445)* (1090,7.251560211181641) (225,7.071503639221191) (154,7.018812656402588)* (1048,6.713333606719971) (424,6.69113302230835) (1116,6.678323745727539) (56,6.653428077697754) (56,6.653428077697754) (1390,6.6522064208984375) (182,6.597306728363037) (533,6.573513984680176) (2815,6.509514808654785) (199,6.506707191467285) (1398,6.3650922775268555) (1106,6.29443359375) (1376,6.291539192199707)
172: (159,9.674198150634766) (229,8.51351547241211) (234,8.24748420715332) (1090,8.238325119018555) (429,7.8557448387146) (225,7.782492637634277) (88,7.738401412963867) (227,7.565157890319824) (3767,7.5432939529418945) (56,7.467074394226074) (56,7.467074394226074) (1376,7.447406768798828) (533,7.409075736999512) (65,7.380656719207764) (65,7.380656719207764) (203,7.155754089355469) (420,7.108757495880127) (220,6.866879463195801) (425,6.789302825927734) (709,6.7538228034973145)
173: (227,10.507877349853516)* (220,9.860990524291992) (439,9.656476020812988)* (234,9.642522811889648) (982,9.38318157196045) (533,9.315702438354492) (228,8.73819351196289) (706,8.534066200256348) (154,8.385598182678223)* (65,8.323131561279297) (65,8.323131561279297) (1545,8.214812278747559) (1513,8.188791275024414) (159,8.076029777526855)* (1048,8.06898307800293) (614,8.068547248840332) (3747,8.024333953857422)* (421,8.002058029174805) (1116,7.745845794677734) (230,7.627159595489502)
174: (975,8.345513343811035) (366,8.116800308227539) (538,7.58548641204834) (355,7.466546535491943) (10677,7.391467094421387) (1519,7.3032612800598145) (3749,7.176150321960449)* (2176,7.1219377517700195) (728,7.070048809051514)* (227,6.960478782653809) (1382,6.880821228027344) (6678,6.872376441955566) (190,6.808990478515625) (734,6.80375862121582) (2265,6.76912260055542) (4432,6.767581939697266) (1378,6.75454044342041) (1105,6.652369976043701) (730,6.534699440002441) (715,6.492067337036133)
175: (5267,10.072479248046875) (2447,9.682462692260742) (7041,9.430255889892578) (2445,9.401898384094238) (3583,9.380500793457031)* (2466,9.373876571655273) (15460,9.25343132019043) (2438,9.112527847290039) (455,9.028742790222168) (2437,8.955862998962402)* (2464,8.9127836227417) (2461,8.901755332946777) (2450,8.626508712768555) (2456,8.615833282470703) (2448,8.451619148254395) (1459,8.432456016540527)* (3609,8.340827941894531) (12690,8.17288589477539) (1694,8.149102210998535) (479,8.100831031799316)
176: (159,11.753933906555176) (599,8.874927520751953) (851,8.777454376220703) (2531,8.71973705291748) (190,8.444717407226562) (1062,8.189501762390137) (229,8.126652717590332) (715,7.988907814025879) (203,7.966197967529297) (199,7.8183794021606445) (620,7.7582502365112305) (225,7.724610328674316)* (859,7.606722831726074) (4069,7.58042049407959) (4025,7.410901069641113) (511,7.236701965332031) (1122,7.209087371826172) (84,7.207446098327637) (172,6.980070114135742) (206,6.876630783081055)
177: (163,10.783825874328613)* (1412,9.487954139709473)* (1131,9.302658081054688) (707,9.225953102111816) (920,9.081913948059082) (152,9.043536186218262)* (1119,8.67756175994873) (706,8.003778457641602) (607,7.972219944000244)* (614,7.924624443054199) (3940,7.916075706481934) (562,7.887887954711914) (918,7.847481727600098) (1118,7.765334606170654) (868,7.700516223907471) (234,7.69450569152832) (1372,7.49241304397583) (599,7.483715057373047)* (856,7.454022407531738) (186,7.2801642417907715)
178: (1131,10.10664176940918) (1119,9.965766906738281) (163,9.7393798828125) (152,9.334577560424805) (920,8.874217987060547) (2375,8.819211959838867) (949,8.794337272644043)* (2369,8.706835746765137) (707,8.578426361083984) (3417,8.29544448852539) (854,8.213623046875) (843,8.20805549621582) (1412,8.07863712310791) (3438,8.071505546569824) (841,8.062355995178223) (370,7.994647979736328) (1274,7.971346855163574) (1411,7.856203079223633) (5299,7.849604606628418) (506,7.709362983703613)
179: (89,9.14794921875)* (209,9.117201805114746) (333,8.837615013122559)* (230,8.75704574584961)* (1246,8.323707580566406) (302,7.777006149291992) (190,7.681680679321289) (538,7.61910343170166) (295,7.5714192390441895) (306,7.392693519592285) (701,7.118775367736816) (298,7.081500053405762) (67,7.059110641479492)* (67,7.059110641479492)* (972,6.644601821899414) (1047,6.565421104431152) (540,6.561028480529785) (55,6.554308891296387) (679,6.38291597366333) (324,6.37772798538208)
180: (1131,8.480890274047852) (1216,7.582050800323486) (512,7.552054405212402) (8916,7.370229721069336) (2381,7.263826370239258) (843,7.21211576461792) (846,7.173255920410156) (964,7.12883186340332) (188,7.0691447257995605) (8910,6.956226825714111) (370,6.795201301574707) (4387,6.7915730476379395) (2172,6.760834217071533) (1119,6.7274651527404785) (3719,6.634029865264893) (2778,6.6226325035095215) (2151,6.614151954650879) (9260,6.584014415740967) (812,6.573074817657471) (7639,6.493091106414795)
181: (11170,9.036893844604492) (1913,8.941372871398926) (4242,8.31279182434082) (3053,8.218003273010254) (7,8.151206016540527) (6246,7.891715049743652) (3049,7.805480003356934) (6242,7.706066608428955) (4309,7.681868076324463) (1104,7.616229057312012)* (3056,7.585012435913086) (10430,7.564047336578369) (1789,7.541191577911377) (3054,7.530428886413574) (10435,7.467769622802734) (2383,7.240591049194336) (3058,7.2383599281311035) (4226,7.146761894226074) (4502,7.102572441101074) (6245,7.0697407722473145)
182: (2044,9.041886329650879) (727,8.83938217163086) (389,8.400898933410645) (378,7.878055572509766) (184,7.680450439453125) (2068,7.654445171356201) (157,7.640480995178223) (63,7.469450950622559) (63,7.469450950622559) (65,7.41657829284668) (65,7.41657829284668) (4928,7.320652008056641) (4037,7.31201696395874) (1464,7.253684043884277) (2176,7.245971202850342) (2051,7.127744674682617) (1715,7.089807510375977) (722,7.079250812530518) (6517,7.068981647491455) (366,6.992575645446777)
183: (59,9.384098052978516)* (599,9.265276908874512) (851,8.942618370056152) (51,8.846853256225586) (1001,8.562216758728027) (187,8.276224136352539) (715,8.116146087646484) (1075,8.076133728027344) (441,7.984737396240234) (173,7.944413185119629) (1062,7.805383205413818) (852,7.607691764831543) (227,7.548503398895264) (190,7.478423118591309) (997,7.3688154220581055) (1707,7.320014953613281) (2938,7.122818946838379) (203,7.11843204498291) (1073,7.015622138977051) (1014,6.979974269866943)
184: (418,9.03449821472168)* (81,8.843428611755371)* (183,8.014701843261719) (1112,7.460925102233887) (159,7.392855644226074) (1121,7.37079381942749) (1118,7.0319905281066895) (196,7.024679183959961) (238,6.914593696594238)* (1705,6.855393409729004) (58,6.851512432098389) (58,6.851512432098389) (4143,6.744899272918701) (172,6.698667049407959) (858,6.5871262550354) (1781,6.578086853027344) (65,6.563383102416992) (65,6.563383102416992) (506,6.538159370422363)* (3310,6.4297261238098145)
185: (187,10.679472923278809)* (99,9.564252853393555) (1079,9.458709716796875) (1892,9.246850967407227) (1019,8.888285636901855) (68,8.628437042236328) (68,8.628437042236328) (993,8.525397300720215) (1895,8.425292015075684) (2936,8.162050247192383) (2027,8.075512886047363) (2552,7.999329566955566) (1013,7.927270889282227)* (180,7.7854156494140625) (3768,7.748682975769043) (91,7.725895881652832) (994,7.636712074279785) (1004,7.633901596069336) (2554,7.572101593017578) (4308,7.571524143218994)
186: (209,10.139984130859375) (536,9.349254608154297) (1246,9.338565826416016) (486,9.130105972290039) (540,8.355907440185547) (537,7.866190433502197) (1047,7.752610683441162) (300,7.748767375946045)* (89,7.515374183654785)* (488,7.4883575439453125) (1180,7.45424222946167) (1673,7.351431369781494) (1186,7.0075297355651855)* (538,6.992084503173828) (497,6.952020168304443) (472,6.802803039550781) (344,6.756438732147217)* (324,6.645832538604736) (403,6.528144359588623) (321,6.508677959442139)
187: (1122,9.900856018066406) (1001,9.485479354858398) (159,9.430099487304688)* (1150,9.31142807006836) (1892,9.226511001586914) (193,9.147850036621094)* (1464,9.073771476745605) (99,8.63040828704834) (511,8.621455192565918) (72,8.46419906616211)* (72,8.46419906616211)* (2469,8.344168663024902) (96,8.334894180297852) (77,8.2128267288208) (77,8.2128267288208) (95,8.20706844329834) (1073,7.934980392456055) (851,7.870574951171875) (163,7.777340888977051)* (157,7.76088809967041)
189: (1116,8.81325912475586)* (1104,8.257360458374023) (497,7.975940704345703) (504,7.546507835388184) (486,7.515303611755371)* (488,7.425061225891113) (234,7.36945915222168)* (1179,7.196419715881348) (490,7.165221691131592) (209,7.135751724243164) (510,6.988427639007568) (500,6.775314807891846) (519,6.721736907958984) (830,6.586681365966797) (536,6.560373306274414) (1672,6.36644172668457) (65,6.329512596130371) (65,6.329512596130371) (6257,6.309615612030029) (982,6.222798824310303)*
190: (161,6.3712873458862305) (9348,5.993512153625488) (2184,5.9152116775512695) (14605,5.699531078338623) (14606,5.667794227600098) (2067,5.640331268310547) (14603,5.632863521575928) (14604,5.6194915771484375) (15683,5.607737064361572) (15672,5.584724426269531) (14609,5.571678638458252) (15664,5.571552276611328) (8308,5.566672325134277) (15674,5.558783054351807) (15677,5.5310378074646) (15663,5.529764652252197) (15668,5.524760723114014) (15666,5.506039142608643) (15681,5.505005836486816) (15686,5.490536212921143)
191: (70,9.704283714294434) (986,9.60067367553711) (157,9.136690139770508)* (959,8.630233764648438) (1098,8.496060371398926) (190,8.03164291381836)* (1793,7.917913436889648) (159,7.665457725524902) (1099,7.662959575653076) (227,7.597646713256836) (67,7.581580638885498) (67,7.581580638885498) (173,7.580606460571289) (53,7.408655166625977) (53,7.408655166625977) (1394,7.236384868621826) (6246,7.218200206756592) (1795,7.1643195152282715) (1072,7.1550188064575195)* (1713,7.134975910186768)*
192: (2581,8.685194969177246) (11617,8.561017990112305) (11616,8.55074691772461) (8475,8.54932689666748) (2273,8.541568756103516) (11607,8.540148735046387) (11622,8.528486251831055) (11608,8.527887344360352) (11615,8.520196914672852) (11610,8.49194622039795) (11605,8.488850593566895) (11618,8.47117805480957) (11611,8.24113655090332) (5970,8.050588607788086) (15053,8.005547523498535) (15051,7.989007472991943) (15046,7.977196216583252) (15044,7.961601734161377) (15045,7.961328983306885) (15052,7.9502973556518555)
193: (174,9.291147232055664) (1401,9.132347106933594) (70,9.030332565307617) (1020,8.44975757598877) (1394,8.389976501464844) (1191,8.260191917419434) (1099,8.254444122314453) (1306,7.963796138763428) (968,7.927603721618652) (1410,7.918134689331055) (407,7.917294502258301) (377,7.828795909881592) (331,7.448479175567627)* (4720,7.375644683837891) (1941,7.310227394104004) (1409,7.2856292724609375) (1009,7.262423038482666) (238,7.078073501586914) (1408,7.050020694732666) (486,6.976362705230713)
194: (81,10.924177169799805)* (1098,10.865716934204102)* (632,9.608564376831055) (445,9.423648834228516) (196,9.099492073059082) (621,8.860688209533691) (3411,8.833088874816895) (1109,8.440645217895508) (162,8.359689712524414) (237,8.242494583129883) (6756,8.222027778625488) (755,8.181378364562988) (604,8.118818283081055) (52,7.745299339294434) (52,7.745299339294434) (1731,7.73513650894165) (1418,7.710242748260498) (2616,7.700353622436523) (618,7.663134574890137) (615,7.537905693054199)
195: (599,9.554327011108398) (1804,8.685633659362793) (959,8.124650955200195) (206,8.120719909667969) (203,8.115622520446777) (429,8.027884483337402) (863,7.99424409866333)* (859,7.524814128875732)* (159,7.395153999328613) (5890,7.379116058349609) (718,7.296010971069336) (620,7.28056526184082) (441,7.192066669464111) (436,7.110718250274658) (612,7.110060691833496) (88,7.073217391967773) (1412,7.05171012878418)* (199,7.005163669586182) (1164,6.9182820320129395) (562,6.874711990356445)*
196: (190,8.32162094116211)* (533,8.157289505004883) (159,7.881054401397705) (228,7.543179035186768) (65,7.488067626953125)* (65,7.488067626953125)* (88,7.3309526443481445) (234,7.147660255432129)* (511,7.088186740875244) (203,7.024133682250977) (207,6.967402935028076)* (225,6.663835525512695) (429,6.400349140167236) (716,6.352234840393066)* (56,6.257683753967285) (56,6.257683753967285) (715,6.20111083984375) (436,6.182152271270752)* (173,6.105391502380371) (614,6.104789733886719)
198: (768,9.203997611999512) (1196,8.941545486450195) (500,8.879173278808594) (1116,8.686304092407227) (805,8.454182624816895) (815,8.428712844848633) (810,8.428665161132812) (492,8.402563095092773)* (823,8.38790225982666)* (1145,8.3173246383667) (818,8.184048652648926) (198,8.153417587280273) (2847,7.825201988220215) (1863,7.766088962554932) (850,7.724465847015381) (489,7.62018346786499) (2210,7.611721038818359) (1179,7.599881172180176) (978,7.5534772872924805) (1853,7.533873558044434)*
200: (163,9.26308536529541)* (735,9.132808685302734) (1415,9.109840393066406)* (1244,9.046835899353027) (728,8.646390914916992) (1464,8.640896797180176) (96,8.351043701171875) (192,8.221672058105469) (868,8.218320846557617) (3302,8.214520454406738) (1416,8.181286811828613) (1413,8.090840339660645) (2444,8.004783630371094) (733,7.972560882568359) (3777,7.937322616577148) (2901,7.927391052246094) (157,7.898197174072266) (2343,7.7935261726379395) (1249,7.734539985656738) (599,7.678600311279297)
201: (930,9.035124778747559) (936,8.01473617553711) (1114,7.7316203117370605) (518,7.703857898712158)* (955,7.626565933227539) (5459,7.430602073669434) (378,7.173852920532227)* (1098,7.0448479652404785) (972,6.861970901489258) (5079,6.593977451324463) (178,6.268059253692627) (3901,6.246289253234863)* (7261,6.188599586486816) (3425,6.0976715087890625) (4554,6.091358184814453) (166,5.857501029968262) (17834,5.704098701477051) (17833,5.614396572113037) (920,5.556463718414307) (1167,5.553604602813721)
202: (917,9.925590515136719)* (707,9.621870040893555)* (918,8.574910163879395)* (1360,8.20688247680664) (841,7.9953293800354) (25,7.949084758758545) (1249,7.934751510620117)* (15,7.895749568939209) (6,7.670534133911133) (957,7.6378173828125) (198,7.470968723297119) (949,7.392841339111328) (1104,7.390148639678955)* (928,7.281923294067383)* (1274,7.222280502319336) (1358,7.216022491455078) (930,7.201940536499023) (380,7.166430473327637) (724,7.102118968963623) (234,7.073408126831055)
203: (779,9.29011344909668) (810,9.156360626220703)* (830,9.0769624710083) (808,9.021693229675293) (1196,8.94565200805664) (768,8.94373893737793) (1145,8.773490905761719) (1853,8.755952835083008) (823,8.631880760192871) (1179,8.335930824279785) (1195,8.287464141845703) (2210,8.209668159484863) (1181,8.118813514709473) (2576,8.094280242919922) (1044,8.090092658996582) (2379,8.04064655303955) (1541,8.003323554992676)* (834,7.933261394500732) (978,7.918859481811523) (806,7.831720352172852)
204: (1231,8.149906158447266) (9485,7.987010955810547) (12166,7.5988287925720215) (8270,7.551297664642334) (6452,7.33981466293335) (12164,7.229450702667236) (3110,7.161501407623291) (9960,7.109263896942139) (6458,6.842591762542725) (5027,6.818703651428223) (6685,6.808385848999023) (6214,6.7699456214904785) (159,6.639072895050049) (1389,6.617865562438965) (6391,6.596510410308838) (6294,6.553749084472656) (3737,6.456012725830078)* (2628,6.429604530334473) (3616,6.399240016937256) (6687,6.366744041442871)
205: (12413,7.6471357345581055) (1116,7.603952884674072) (779,7.028586387634277)* (492,6.87608528137207) (1195,6.772054672241211) (1179,6.655352592468262) (489,6.269896507263184) (2154,6.247339248657227)* (3817,6.219379425048828) (830,6.194262504577637) (1099,6.165109634399414) (6439,6.144187927246094) (9766,6.142079830169678) (4891,6.119259357452393) (5111,6.1163554191589355) (810,5.990668296813965) (2210,5.988518238067627) (2193,5.9709601402282715) (4229,5.946991920471191)* (2720,5.912363052368164)
206: (3053,8.374449729919434) (1988,8.07576847076416) (190,8.06566047668457) (1514,7.949574947357178) (1376,7.667509078979492) (203,7.654290199279785) (1796,7.609620094299316) (420,7.5814313888549805) (443,7.570927143096924) (17138,7.533374786376953) (432,7.466357231140137) (1090,7.454216003417969) (11170,7.364147186279297) (88,7.362803936004639) (6245,7.229377746582031) (234,7.219298839569092) (3767,7.192870140075684) (986,7.122099876403809) (429,7.028622150421143) (1048,6.964051246643066)
207: (298,7.557469367980957) (1934,7.239590644836426) (680,7.180318832397461) (300,7.151931285858154) (362,7.149701118469238) (344,7.053500175476074) (293,6.964775562286377) (289,6.948696613311768) (691,6.922525405883789) (1375,6.8948750495910645) (1243,6.866037368774414) (1246,6.814090728759766) (498,6.7945122718811035) (679,6.737451076507568) (311,6.674395561218262) (3081,6.632951736450195) (324,6.620887279510498) (9079,6.499281406402588) (288,6.484489440917969) (1684,6.475917339324951)
208: (1214,10.965986251831055) (954,10.85793399810791) (821,10.158538818359375) (1274,10.139591217041016)* (1528,10.02581787109375) (2970,10.015128135681152) (2746,9.932029724121094) (1364,9.896757125854492) (4965,9.845849990844727) (1353,9.728495597839355) (2765,9.679508209228516) (1254,9.677085876464844)* (1261,9.651315689086914) (1264,9.52071762084961) (710,9.456622123718262) (949,9.443690299987793) (1535,9.425308227539062) (2749,9.408117294311523) (1992,9.074273109436035) (25,9.002786636352539)
209: (701,8.079366683959961) (292,8.026758193969727)* (333,8.005183219909668)* (291,7.781041145324707)* (466,7.6396307945251465) (89,7.508539199829102) (320,7.31577205657959)* (293,7.023176670074463) (344,7.013735771179199) (326,6.910871982574463)* (679,6.629338264465332) (301,6.602534294128418) (646,6.525896072387695)* (455,6.484726428985596) (544,6.467892646789551) (681,6.252938747406006) (304,6.144833087921143) (498,6.127871036529541)* (680,6.108908176422119) (913,6.028805255889893)
210: (3501,8.588370323181152) (70,8.141548156738281) (1104,7.896477699279785) (7,7.628752708435059) (66,7.109350681304932) (66,7.109350681304932) (89,7.0666327476501465)* (1795,7.00778865814209) (153,6.998261451721191) (75,6.912110328674316) (75,6.912110328674316) (172,6.8876800537109375) (1099,6.839986324310303) (377,6.684153079986572) (986,6.627414703369141) (155,6.570257186889648) (1714,6.504472732543945) (486,6.405155181884766) (1793,6.379770755767822) (30,6.317992687225342)
211: (190,8.95114517211914)* (159,8.841497421264648) (70,8.68800163269043) (1075,8.641596794128418) (1072,7.9007248878479)* (182,7.479660511016846) (88,7.303027153015137) (172,7.042901992797852) (1099,6.726822853088379) (56,6.688494682312012) (56,6.688494682312012) (1116,6.6597490310668945) (187,6.546728610992432) (1376,6.356014251708984) (1001,6.158156394958496) (1379,6.108613967895508) (7,6.044720649719238) (1062,6.032778739929199)* (66,5.967422962188721) (66,5.967422962188721)
212: (919,9.142556190490723) (7101,8.54782485961914) (955,8.383015632629395) (12930,8.257070541381836) (4671,8.233627319335938) (12932,8.163522720336914) (12929,8.12287425994873) (6282,8.098023414611816) (12931,8.09671401977539) (7109,8.046524047851562) (7104,7.965244293212891) (7099,7.927282333374023) (7111,7.88010311126709) (7110,7.862422943115234) (7100,7.83173131942749) (12928,7.824406623840332) (12664,7.821454048156738) (12663,7.801949977874756) (4286,7.794761657714844) (1343,7.748482704162598)
213: (517,9.22991943359375)* (220,8.484333992004395)* (808,8.399765968322754) (1145,8.229560852050781) (1873,8.219712257385254) (377,8.093769073486328)* (230,8.088957786560059) (1406,7.730390548706055) (982,7.633893966674805) (1116,7.538327693939209)* (1104,7.483419895172119) (706,7.353995323181152) (510,7.276944160461426) (1274,7.233456611633301) (614,7.095792770385742) (2595,6.970205783843994) (500,6.923835277557373) (14692,6.909955978393555) (917,6.837291717529297) (2380,6.813538551330566)
214: (289,9.65705394744873)* (55,8.725804328918457)* (1464,8.019875526428223) (333,7.909092903137207) (301,7.832746505737305) (349,7.562099456787109)* (466,7.479739665985107)* (257,7.439655303955078) (538,7.305506706237793) (475,7.068391799926758) (328,6.890588760375977) (679,6.878581523895264) (180,6.850551128387451) (544,6.815650939941406)* (285,6.808576583862305)* (1244,6.757083415985107)* (310,6.7183427810668945) (525,6.64893913269043) (251,6.589290142059326) (1934,6.542162895202637)
215: (1249,7.592730522155762) (234,7.584908962249756) (227,7.535539627075195) (706,7.4912638664245605) (220,7.4457926750183105) (1244,7.235849857330322) (1464,7.212574005126953) (2346,7.0422682762146) (2834,6.551150321960449) (735,6.447713851928711) (2786,6.433257579803467) (77,6.411013126373291) (77,6.411013126373291) (1513,6.341887950897217) (959,6.289921760559082) (1122,6.206221103668213) (982,6.098239898681641) (1469,6.026534080505371) (718,5.995628356933594) (585,5.947373390197754)
216: (432,8.374002456665039) (7324,7.691145896911621) (2587,7.595480918884277) (757,7.454550743103027) (84,7.377829074859619) (1409,7.337131023406982) (4732,7.089724540710449) (3730,6.822720527648926) (7327,6.764522552490234) (1097,6.537642478942871) (1376,6.515180587768555) (173,6.502473831176758) (768,6.484811782836914) (159,6.4239912033081055) (229,6.405407428741455) (539,6.3839945793151855) (3769,6.367607116699219) (526,6.288880348205566) (425,6.274628639221191) (690,6.261919975280762)
217: (857,6.466827392578125) (159,6.256711959838867) (1227,5.898944854736328) (599,5.8125104904174805) (2473,5.74479866027832) (233,5.689293384552002) (162,5.591623306274414) (859,5.526268005371094) (3443,5.524982452392578) (3438,5.506923675537109) (3011,5.482259273529053) (5299,5.428264617919922) (1264,5.409186840057373) (964,5.408734321594238) (4359,5.401354789733887) (1119,5.342441558837891) (3442,5.3286967277526855) (854,5.31710147857666) (8910,5.285046577453613) (234,5.279348850250244)
218: (190,9.301512718200684) (159,8.914875984191895) (1116,8.845170021057129) (234,8.449458122253418) (173,8.395712852478027) (233,7.957869529724121) (154,7.939697265625) (1131,7.597061634063721) (229,7.576198577880859) (65,7.458646774291992)* (65,7.458646774291992)* (512,7.383871555328369) (226,7.288904190063477) (768,7.174602508544922) (969,7.174376487731934) (230,7.141572952270508) (228,7.133064270019531) (533,7.086838722229004) (511,6.87296199798584) (1118,6.837119102478027)
219: (536,9.374585151672363) (1470,8.759003639221191) (498,8.511733055114746)* (1377,8.494208335876465) (403,8.458226203918457) (209,8.249336242675781) (488,7.9724884033203125) (499,7.836636543273926)* (497,7.671658039093018) (540,7.656222343444824) (378,7.655450344085693) (1375,7.461601257324219) (1905,7.205285549163818) (191,7.186370849609375) (537,7.092440605163574) (4177,7.042458534240723) (471,7.010432243347168) (230,6.887770652770996) (691,6.835612773895264) (472,6.83126163482666)
220: (199,7.998229503631592) (196,7.2084245681762695) (1633,7.06341028213501) (206,6.956441879272461) (223,6.828579902648926) (618,6.707342147827148) (1239,6.61747932434082) (416,6.533157825469971) (429,6.4898176193237305)* (533,6.213658332824707) (222,6.202089309692383) (4079,6.157970428466797) (1048,6.065007209777832) (1976,6.039187431335449) (195,5.990601539611816) (421,5.948294639587402) (13939,5.936241149902344) (440,5.925378322601318) (1090,5.865435600280762) (858,5.820465564727783)
223: (291,8.151299476623535)* (344,7.3460540771484375)* (1459,7.294339179992676) (333,7.158967018127441)* (311,7.157386779785156)* (289,7.105287075042725)* (1684,6.968905925750732) (318,6.7106523513793945) (293,6.67014217376709) (302,6.622613906860352)* (307,6.5935893058776855) (257,6.561962127685547) (2977,6.5562615394592285) (89,6.542171478271484) (3489,6.541518688201904)* (466,6.371394634246826) (324,6.337426662445068) (465,6.180522441864014) (680,6.149669170379639) (455,6.133668422698975)
