userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,19.14917755126953) (187,17.879959106445312) (1073,17.69434356689453) (51,17.44790267944336)* (238,16.99650001525879) (1014,16.93637466430664) (157,16.921934127807617) (1394,16.867881774902344) (1098,16.862279891967773) (1156,16.79456329345703) (3992,16.552627563476562) (3501,16.521425247192383) (1795,16.505102157592773) (70,16.474353790283203)* (511,16.19260597229004) (877,15.860902786254883) (993,15.845769882202148) (1713,15.836653709411621) (1836,15.747299194335938) (155,15.697300910949707)
142: (59,21.495840072631836)* (1083,20.91708755493164)* (874,20.11566162109375) (875,19.773386001586914) (3281,19.60373306274414)* (441,19.04302406311035)* (1073,18.962129592895508) (159,18.925926208496094)* (1878,18.705705642700195) (6780,18.42659568786621) (1888,18.352725982666016) (3941,18.24618148803711) (1886,18.157459259033203) (852,17.98535919189453) (985,17.84282684326172) (172,17.76664924621582) (1001,17.748645782470703) (863,17.683692932128906) (1534,17.487045288085938) (3430,17.38728904724121)
143: (4920,18.45812225341797) (1464,17.949569702148438) (2182,17.6694278717041) (601,17.66604995727539) (2176,17.282577514648438) (2047,17.10727310180664) (180,16.993661880493164) (2068,16.957799911499023) (5787,16.93086051940918) (727,16.80381202697754) (1130,16.75286865234375) (2044,16.702590942382812) (959,16.52381706237793)* (910,16.46630859375) (892,16.376140594482422) (67,16.341915130615234) (67,16.341915130615234) (192,16.310331344604492)* (3313,16.241390228271484) (951,16.167434692382812)
144: (306,16.55051612854004)* (288,16.333541870117188)* (314,16.19171905517578)* (485,16.050573348999023) (468,15.983046531677246) (701,15.915749549865723)* (310,15.907415390014648) (543,15.690171241760254) (331,15.570481300354004) (301,15.503337860107422)* (257,15.402239799499512)* (330,15.363815307617188) (349,15.328714370727539)* (1449,15.317654609680176) (308,15.316794395446777) (531,15.306821823120117) (352,15.158085823059082) (1613,15.12373161315918) (312,14.785172462463379)* (545,14.760334968566895)
145: (1459,17.070899963378906) (300,16.943220138549805)* (679,16.888595581054688) (289,16.453052520751953) (342,16.43026351928711)* (298,16.369462966918945) (302,16.355485916137695)* (292,16.183212280273438)* (786,16.147560119628906) (288,16.08488655090332)* (301,16.069547653198242)* (691,15.9793062210083) (1243,15.860831260681152) (461,15.79658031463623) (548,15.601743698120117)* (1556,15.515130043029785) (326,15.381637573242188) (295,15.280475616455078) (325,15.241795539855957) (690,15.21491527557373)
146: (308,15.207903861999512) (292,15.180909156799316)* (299,15.063722610473633) (317,14.935991287231445) (312,14.771446228027344) (461,14.595690727233887)* (291,14.579070091247559)* (352,14.396659851074219) (1051,14.35727310180664) (300,14.339664459228516)* (323,14.260786056518555) (310,14.110566139221191) (686,14.097440719604492) (2094,14.095433235168457)* (296,14.088509559631348) (915,13.96060848236084) (332,13.819791793823242) (293,13.78821086883545) (326,13.75875473022461) (55,13.7498197555542)
147: (523,17.010963439941406)* (908,15.525890350341797) (344,15.515584945678711) (325,15.354026794433594)* (300,15.050878524780273) (292,14.961002349853516)* (461,14.947673797607422) (680,14.941795349121094) (318,14.931373596191406)* (89,14.588643074035645) (360,14.491938591003418) (288,14.314131736755371)* (681,14.256202697753906) (701,14.243034362792969)* (311,14.215786933898926) (466,14.13471508026123) (2801,14.046134948730469) (455,14.036628723144531) (298,14.016257286071777) (326,13.866326332092285)*
148: (605,19.43731689453125) (1237,18.182355880737305) (1099,18.02400016784668) (3673,17.872671127319336) (2602,17.66482925415039) (10616,17.333166122436523) (2637,17.150726318359375) (10564,17.085886001586914) (40,16.819974899291992) (4387,16.78969383239746) (6054,16.76444435119629) (2289,16.759801864624023) (5045,16.728118896484375) (9585,16.59935760498047) (1963,16.54080581665039) (56,16.345096588134766) (56,16.345096588134766) (9858,16.273487091064453) (1952,16.22335433959961) (3227,16.207469940185547)
149: (190,19.060993194580078) (1246,18.88459014892578) (333,18.85529899597168) (89,18.820613861083984)* (209,18.59477424621582) (499,18.583932876586914) (540,18.581344604492188) (65,18.503589630126953) (65,18.503589630126953) (229,18.43012237548828) (538,18.37262535095215) (289,17.899932861328125) (377,17.865978240966797) (298,17.848966598510742) (227,17.796039581298828) (7,17.78757095336914) (316,17.69363784790039) (481,17.446115493774414) (157,17.435670852661133) (903,17.32634162902832)
150: (300,18.192367553710938) (292,18.089797973632812) (295,18.06590461730957)* (461,17.722171783447266) (67,17.689292907714844) (67,17.689292907714844) (679,17.68185043334961) (291,17.332889556884766)* (544,17.202425003051758) (349,17.140745162963867)* (466,17.012176513671875) (498,16.622535705566406) (299,16.573923110961914)* (265,16.491670608520508)* (55,16.231292724609375) (538,16.210662841796875) (913,16.021394729614258) (523,16.012237548828125) (475,15.984026908874512) (294,15.703758239746094)*
151: (708,20.164527893066406) (1247,19.929569244384766) (5772,19.912321090698242) (1241,19.57394027709961) (4474,19.543067932128906) (5594,19.064767837524414) (4840,19.033201217651367) (283,18.78001594543457)* (1775,18.6372127532959) (366,18.57926368713379) (4850,18.538673400878906) (542,18.48094367980957)* (2984,18.329761505126953) (6483,18.260799407958984) (3741,18.24226951599121) (6120,18.17372703552246) (1045,17.92320442199707) (6480,17.908212661743164) (4818,17.829313278198242) (2545,17.811279296875)*
152: (230,17.213253021240234) (209,17.21274757385254) (344,16.990156173706055)* (5926,16.73579978942871) (4291,16.71501922607422) (679,16.573442459106445) (1043,16.48244285583496) (1047,16.222440719604492) (464,16.184785842895508) (681,16.0925350189209) (228,15.921236038208008) (1186,15.911925315856934) (687,15.85311222076416) (412,15.733016014099121)* (424,15.627031326293945) (324,15.624686241149902)* (229,15.615052223205566) (461,15.45865535736084)* (470,15.44494342803955) (89,15.372339248657227)*
153: (162,18.395593643188477)* (152,17.93353271484375) (186,17.76744842529297) (964,17.38866424560547) (755,17.28559112548828) (233,17.127655029296875) (418,16.9488525390625) (1131,16.92789077758789) (1118,16.773643493652344) (632,16.72753143310547) (188,16.698644638061523)* (769,16.63736343383789) (1116,16.415733337402344) (3940,16.393953323364258) (183,16.38188934326172) (2582,16.183115005493164) (210,16.112993240356445) (858,15.946062088012695) (1109,15.9334077835083) (1134,15.927932739257812)
154: (377,18.170978546142578) (1044,17.631549835205078) (726,17.630388259887695) (978,17.51223373413086) (1672,17.48479461669922)* (230,17.447481155395508) (488,17.30072784423828) (498,17.2686767578125) (536,17.180301666259766) (405,17.012672424316406) (1145,16.913686752319336) (396,16.73442840576172) (504,16.58513069152832) (2664,16.56101417541504) (1114,16.501529693603516)* (7,16.460918426513672) (1249,16.335880279541016) (190,16.247190475463867) (499,16.205062866210938) (481,16.167404174804688)
155: (875,19.333112716674805)* (1083,18.926755905151367)* (859,18.83843231201172) (2475,18.475177764892578) (2493,18.342470169067383) (867,17.970304489135742) (599,17.86533546447754)* (2531,17.757171630859375) (872,17.669105529785156) (197,17.631885528564453) (2375,17.60357093811035) (879,17.51620101928711) (2624,17.444578170776367)* (855,17.38686752319336) (718,17.171283721923828) (863,17.13144874572754) (5658,17.1070556640625) (436,16.89122772216797) (1504,16.850990295410156) (5913,16.681705474853516)
156: (228,18.028635025024414) (65,17.432689666748047)* (65,17.432689666748047)* (533,16.909631729125977)* (683,16.906631469726562) (229,16.812528610229492) (182,16.48088836669922) (715,16.430099487304688) (316,16.426944732666016) (1242,16.424930572509766) (716,16.416101455688477) (217,16.340587615966797) (2786,16.31810188293457) (903,16.294689178466797) (1244,16.293121337890625) (2265,16.15212631225586) (1090,16.108808517456055) (1375,16.102155685424805) (2277,16.087430953979492) (1424,16.0515079498291)
157: (724,18.41881561279297) (1803,18.40037727355957) (1358,18.370004653930664)* (732,18.015628814697266) (1249,17.210073471069336) (959,16.837434768676758)* (1366,16.781185150146484)* (2346,16.77547264099121) (707,16.713253021240234) (951,16.53931999206543) (2341,16.46976089477539) (1415,16.292665481567383) (2861,16.191165924072266) (2797,16.066225051879883) (4165,15.948436737060547) (2834,15.901458740234375)* (8794,15.661223411560059) (2901,15.440485954284668) (2013,15.402435302734375) (5841,15.368202209472656)
158: (375,17.88831329345703) (2094,17.206708908081055) (3324,16.675365447998047) (2092,16.113746643066406) (1918,15.932351112365723) (296,15.314279556274414) (393,15.301714897155762) (409,15.27515697479248) (786,15.153886795043945) (400,15.134418487548828) (369,15.038346290588379) (2097,14.977950096130371) (908,14.909905433654785) (326,14.909435272216797) (293,14.57345962524414) (323,14.542008399963379) (1904,14.465580940246582) (388,14.433685302734375) (461,14.37197208404541) (288,14.29420280456543)
159: (71,18.26811981201172) (71,18.26811981201172) (310,16.949186325073242)* (89,16.8538818359375) (55,16.853172302246094) (157,16.48347282409668) (722,16.442968368530273) (289,16.373062133789062) (9234,16.161035537719727) (349,16.086355209350586) (295,16.04937744140625) (291,15.977145195007324) (294,15.922638893127441)* (329,15.886999130249023) (697,15.817594528198242) (972,15.771747589111328) (455,15.706543922424316) (265,15.547493934631348)* (3763,15.460704803466797) (535,15.449256896972656)
161: (504,17.581371307373047) (978,16.75190544128418)* (2379,15.851316452026367) (835,15.73109245300293) (198,15.713006973266602) (1914,15.662912368774414) (7,15.625953674316406) (378,15.591545104980469) (930,15.590291976928711) (5079,15.502518653869629) (1705,15.440832138061523) (45,15.41683292388916) (5653,15.347951889038086) (2794,15.271893501281738) (173,15.271262168884277) (1145,15.253204345703125) (8,15.215108871459961) (707,15.134068489074707) (497,15.087888717651367) (5605,14.965312957763672)
162: (378,16.602821350097656)* (972,15.548299789428711) (292,15.407753944396973) (157,15.150433540344238) (300,15.13106918334961) (349,15.05417537689209) (701,14.924844741821289) (288,14.865325927734375) (523,14.837695121765137) (257,14.809102058410645) (291,14.716458320617676) (55,14.605048179626465) (299,14.572761535644531) (375,14.528634071350098) (518,14.401643753051758) (318,14.296845436096191) (466,14.289111137390137) (344,14.258905410766602) (377,14.228078842163086) (461,14.218924522399902)
163: (1489,16.203523635864258) (3760,15.920331954956055) (3585,15.881853103637695)* (2442,15.649561882019043)* (15460,15.606729507446289) (7041,15.455492973327637) (3761,15.276297569274902) (3766,15.228950500488281) (2445,15.107102394104004) (2447,15.060810089111328)* (2467,15.008438110351562)* (2437,14.816555976867676) (5267,14.67810344696045) (1445,14.58483600616455) (2443,14.458877563476562) (2444,14.056342124938965) (2466,13.557516098022461) (3762,13.481822967529297) (3748,13.467649459838867) (364,13.441766738891602)
164: (227,18.205121994018555) (65,17.9894962310791) (65,17.9894962310791) (223,17.942750930786133) (204,17.812938690185547)* (4118,17.64501953125) (199,17.60765266418457) (1985,17.470678329467773) (734,17.39212989807129) (4432,17.28778076171875) (366,17.268606185913086) (1382,17.259103775024414) (163,17.250762939453125) (1643,17.205047607421875)* (190,17.203310012817383)* (222,17.190601348876953) (205,17.183042526245117) (3754,17.064706802368164) (965,16.866552352905273) (3665,16.832569122314453)
166: (511,17.923004150390625) (65,17.756961822509766) (65,17.756961822509766) (599,17.66521453857422) (1122,17.414508819580078) (154,17.184398651123047) (1976,17.13638687133789) (562,17.113771438598633) (612,17.07807159423828) (190,17.047794342041016) (538,17.022249221801758) (228,16.969430923461914) (159,16.89579200744629)* (1686,16.895401000976562) (220,16.892921447753906) (1375,16.712392807006836) (2444,16.659547805786133) (163,16.581560134887695) (1242,16.52745246887207) (959,16.45966148376465)
168: (3707,19.28202247619629) (1970,19.147092819213867) (1950,19.013505935668945) (440,18.963516235351562)* (1969,18.933250427246094) (1963,18.72671127319336) (2268,18.713970184326172) (1155,18.621694564819336) (4053,18.6188907623291) (3347,18.60652732849121) (7665,18.419490814208984) (8705,18.41469955444336) (2281,18.349319458007812) (1947,18.303340911865234) (1745,18.029632568359375) (231,17.871891021728516) (757,17.84364128112793)* (2289,17.839767456054688) (619,17.829265594482422) (5048,17.712549209594727)
170: (2379,21.328397750854492) (785,20.892366409301758) (846,20.76302146911621) (1547,20.683000564575195) (1216,20.542301177978516) (198,20.314788818359375) (978,20.127471923828125) (233,19.41761589050293) (514,19.257972717285156) (2172,19.187265396118164) (25,19.154083251953125) (1104,18.927793502807617) (7639,18.854217529296875) (1044,18.69681739807129)* (814,18.69010353088379) (834,18.68865203857422) (2143,18.640111923217773) (2970,18.609193801879883) (370,18.51914405822754) (2374,18.506200790405273)
171: (210,18.978233337402344) (154,18.448347091674805)* (1090,18.339635848999023) (199,18.27747344970703) (716,18.213470458984375) (217,18.081571578979492) (424,17.959396362304688) (223,17.655437469482422) (969,17.619787216186523) (546,17.585676193237305) (56,17.54819679260254) (56,17.54819679260254) (1048,17.49850082397461) (227,17.494915008544922) (1976,17.335065841674805) (2815,17.248027801513672) (432,17.178003311157227) (226,17.17601203918457) (182,17.1210880279541) (225,17.107730865478516)
172: (159,19.887828826904297) (1090,19.882497787475586) (229,19.399717330932617) (227,19.150327682495117) (234,18.809200286865234) (56,18.76326560974121) (56,18.76326560974121) (203,18.743921279907227) (72,18.354917526245117) (72,18.354917526245117) (88,18.312631607055664) (1376,18.277324676513672) (533,18.118371963500977) (208,18.09992790222168) (429,18.067344665527344) (210,18.00152587890625) (599,17.945764541625977) (65,17.93794822692871) (65,17.93794822692871) (225,17.885698318481445)
173: (227,20.12311363220215)* (439,19.582008361816406)* (533,19.34292984008789) (1090,19.289501190185547) (220,19.05494499206543) (3200,18.587875366210938) (234,18.45587730407715) (65,18.29966926574707) (65,18.29966926574707) (154,18.2109432220459)* (229,18.153045654296875) (1513,17.99620246887207) (3747,17.876615524291992)* (8707,17.651193618774414) (5441,17.640460968017578) (932,17.59140968322754) (228,17.523967742919922) (1400,17.479633331298828)* (166,17.420822143554688) (4087,17.3023681640625)
174: (538,20.824844360351562) (4432,20.28066062927246) (366,20.204692840576172) (966,19.564546585083008) (1378,19.540409088134766) (355,19.448030471801758) (1470,19.266687393188477) (2454,18.898406982421875) (2352,18.839271545410156) (10069,18.344100952148438) (356,18.25872802734375) (4179,18.008432388305664) (1105,18.00055503845215) (3460,17.845073699951172) (253,17.818952560424805) (6389,17.797534942626953) (975,17.7898006439209) (2893,17.780155181884766) (3859,17.7669677734375) (220,17.73689842224121)*
175: (2437,15.907387733459473)* (2445,15.643306732177734) (2447,15.376579284667969) (2456,15.36215877532959) (15460,15.205674171447754) (7041,15.05351734161377) (3583,14.943703651428223)* (5267,14.902600288391113) (2444,14.684440612792969) (1447,14.65598201751709)* (1459,14.57013988494873)* (3589,14.512866020202637) (538,14.099960327148438) (8099,14.09583854675293) (1445,14.091408729553223) (8100,14.072458267211914) (8105,14.071382522583008) (8106,14.05333137512207) (3584,13.960413932800293) (3591,13.909347534179688)
176: (599,18.27587890625) (159,18.18067741394043) (199,17.160858154296875) (3201,16.62581443786621) (229,16.600976943969727) (190,16.447172164916992) (2531,16.26361846923828) (203,16.035184860229492) (2029,15.814584732055664) (56,15.702821731567383) (56,15.702821731567383) (65,15.664023399353027) (65,15.664023399353027) (511,15.428244590759277) (2629,15.399372100830078) (2407,15.396801948547363) (859,15.297786712646484) (1122,15.229150772094727) (167,15.177327156066895) (206,15.166712760925293)
177: (163,21.412147521972656)* (1412,20.567903518676758)* (707,20.19574546813965) (152,19.649375915527344)* (562,19.6427059173584) (607,19.574111938476562)* (920,19.486148834228516) (1358,19.44131088256836) (706,19.112886428833008) (868,19.100540161132812) (1119,19.084245681762695) (1372,19.029590606689453) (1639,18.734628677368164)* (918,18.608369827270508) (614,18.552936553955078) (599,18.358442306518555)* (4675,18.35691261291504) (841,18.19370460510254) (234,18.147462844848633) (1132,18.124109268188477)
178: (920,19.161800384521484) (841,19.11161231994629) (707,18.278871536254883) (1369,18.162776947021484) (4271,17.9897403717041) (949,17.932579040527344)* (843,17.873502731323242) (918,17.77836799621582) (163,17.773468017578125) (2654,17.423166275024414) (152,17.366060256958008) (1360,17.363325119018555) (1119,17.347070693969727) (3417,17.149755477905273) (2381,17.080923080444336) (1412,17.02155113220215) (1358,16.901206970214844) (4605,16.85066795349121) (1206,16.8167724609375) (1132,16.810455322265625)
179: (333,19.790788650512695)* (230,19.464902877807617)* (89,19.294219970703125)* (209,19.203197479248047) (1246,18.66878890991211) (190,18.3918399810791) (306,18.03853988647461) (302,18.017789840698242) (679,17.766483306884766) (344,17.72233772277832) (67,17.509845733642578)* (67,17.509845733642578)* (295,17.314212799072266) (540,17.137983322143555) (972,17.091552734375) (298,16.954221725463867) (229,16.94393539428711) (538,16.734243392944336) (55,16.63368797302246) (701,16.597576141357422)
180: (845,17.34501075744629) (768,16.6715030670166) (5603,16.40566635131836) (785,16.305095672607422) (1547,16.275192260742188) (815,16.234670639038086) (2151,16.08949851989746) (2429,16.0368595123291) (1561,15.96543025970459) (826,15.870250701904297) (977,15.802495002746582) (770,15.719016075134277) (1131,15.662696838378906) (14836,15.646939277648926) (2582,15.622696876525879) (1179,15.61620044708252) (842,15.438703536987305) (370,15.423604011535645) (2576,15.411662101745605) (512,15.32578182220459)
181: (3053,17.66840934753418) (1099,17.344837188720703) (3049,17.046844482421875) (460,17.021343231201172) (6245,16.739959716796875) (7370,16.616458892822266) (7365,16.588560104370117) (4226,16.555240631103516) (7371,16.537473678588867) (2835,16.519453048706055) (7367,16.51756477355957) (7372,16.516637802124023) (2738,16.510271072387695) (7362,16.49747085571289) (7368,16.496347427368164) (6243,16.482995986938477) (7363,16.407638549804688) (1789,16.390214920043945) (1104,16.34726905822754)* (2193,16.33209800720215)
182: (7130,16.685707092285156) (4616,16.659011840820312) (4365,16.110820770263672) (151,15.473654747009277) (2645,15.37828254699707) (184,15.226008415222168) (970,15.185670852661133) (6351,15.18546199798584) (3763,15.184366226196289) (973,15.144439697265625) (984,15.112677574157715) (988,15.08792495727539) (15722,15.087287902832031) (722,15.02899169921875) (3107,14.998111724853516) (71,14.975789070129395) (71,14.975789070129395) (6678,14.957025527954102) (990,14.931717872619629) (238,14.924450874328613)
183: (59,19.587186813354492)* (715,19.308238983154297) (599,19.118925094604492) (986,18.650165557861328) (1001,18.561325073242188) (851,18.54493522644043) (187,18.466646194458008) (1884,18.334522247314453) (51,18.24285125732422) (868,18.158357620239258) (441,18.103158950805664) (227,17.92871856689453) (1014,17.888742446899414) (1740,17.814167022705078) (8069,17.601734161376953) (857,17.539960861206055) (1073,17.50473976135254) (203,17.500593185424805) (959,17.476661682128906) (173,17.334348678588867)
184: (81,20.123689651489258)* (418,19.49815559387207)* (183,18.717697143554688) (238,18.640071868896484)* (506,18.509998321533203)* (1781,18.364225387573242) (65,17.907747268676758) (65,17.907747268676758) (204,17.39860725402832) (162,17.392135620117188) (1705,17.312488555908203) (858,16.94469451904297) (52,16.89278793334961) (52,16.89278793334961) (3902,16.87369155883789)* (237,16.81841278076172) (227,16.801677703857422) (1112,16.6048583984375) (962,16.52312660217285) (757,16.483543395996094)*
185: (187,18.686962127685547)* (1079,16.843685150146484) (1892,16.583574295043945) (2027,16.51111602783203) (3201,15.942048072814941) (157,15.817212104797363) (9869,15.745930671691895) (180,15.48356819152832) (1073,15.449337005615234) (77,15.442436218261719) (77,15.442436218261719) (1464,15.390384674072266) (16601,15.37227725982666) (16604,15.32913589477539) (16602,15.307814598083496) (16603,15.304683685302734) (3912,15.273993492126465)* (16605,15.26921272277832) (3910,15.259869575500488)* (3966,15.221151351928711)
186: (486,17.658315658569336) (1246,17.642234802246094) (209,17.528919219970703) (536,17.226743698120117) (344,16.941896438598633)* (540,16.822168350219727) (371,16.75141143798828) (300,16.66758918762207)* (1673,16.654090881347656) (475,16.64900016784668) (321,16.2904109954834) (89,16.286617279052734)* (461,16.241451263427734) (537,16.234493255615234) (1186,16.06353187561035)* (488,15.927722930908203) (544,15.866109848022461) (1047,15.854182243347168) (472,15.725676536560059) (6006,15.668055534362793)
187: (910,19.08542251586914) (1001,18.437105178833008) (61,18.233325958251953) (159,18.166194915771484)* (1013,17.815372467041016)* (3776,17.752967834472656) (163,17.71575927734375)* (1892,17.603404998779297) (72,17.574621200561523)* (72,17.574621200561523)* (2938,17.427536010742188) (994,17.382776260375977) (1893,17.379440307617188) (1413,17.355518341064453) (3777,17.33972930908203)* (2936,17.33649444580078) (607,17.294715881347656) (2861,17.1912784576416) (1083,17.176481246948242) (193,17.16345977783203)*
189: (1116,21.655359268188477)* (1179,21.64083480834961) (519,21.422529220581055) (1104,21.399829864501953) (5966,21.079933166503906) (234,20.769412994384766)* (488,20.542818069458008) (503,20.524242401123047) (486,20.39703941345215)* (7639,20.394115447998047) (1406,20.317625045776367) (815,20.235172271728516) (2379,20.196624755859375) (497,20.08304214477539) (3946,20.058073043823242)* (510,19.866060256958008) (500,19.854991912841797) (220,19.7596435546875) (1099,19.71504020690918) (1974,19.552644729614258)
190: (8002,18.291757583618164) (179,17.05299186706543) (357,16.757476806640625) (6313,16.27243995666504) (15347,15.823586463928223) (12773,15.747346878051758) (15352,15.743145942687988) (15348,15.723530769348145) (15354,15.67920207977295) (338,15.62960433959961) (4753,15.587669372558594) (911,15.586445808410645) (6232,15.499587059020996) (2067,15.265462875366211) (11725,15.260601043701172) (8761,15.134170532226562) (1335,15.053349494934082) (12349,15.0413236618042) (5729,15.003793716430664) (13549,14.978320121765137)
191: (187,15.803543090820312)* (1001,15.392273902893066) (1713,15.38776969909668)* (233,15.365951538085938) (70,15.352295875549316) (1072,15.319642066955566)* (959,15.290635108947754) (1394,15.250591278076172) (63,15.168612480163574) (63,15.168612480163574) (3046,15.100835800170898) (88,15.082784652709961) (1099,15.072007179260254) (173,15.067066192626953) (159,14.92609691619873) (154,14.88762378692627) (2681,14.832091331481934) (227,14.80738353729248) (1061,14.801420211791992) (1073,14.753480911254883)
192: (15047,17.230314254760742) (15052,17.162294387817383) (15045,17.142789840698242) (15051,17.07771873474121) (15046,17.05044937133789) (15044,17.037832260131836) (4942,16.9967098236084) (15053,16.98516845703125) (15050,16.98200225830078) (15049,16.897918701171875) (4938,16.392961502075195) (2187,16.33949851989746) (4937,15.995708465576172) (4944,15.774154663085938) (4948,15.69472885131836) (2186,15.450615882873535) (4612,15.386823654174805) (8293,15.325823783874512) (3032,15.323092460632324) (3999,15.097489356994629)*
193: (1394,19.192346572875977) (475,19.13274383544922) (1099,19.03992462158203) (88,18.35128402709961) (331,18.30089569091797)* (227,18.27707290649414) (7324,18.09450912475586) (1409,18.021154403686523) (70,17.958791732788086) (80,17.592777252197266) (757,17.581789016723633) (4028,17.571794509887695)* (1155,17.523969650268555) (5045,17.498777389526367) (1613,17.462383270263672) (84,16.962953567504883)* (306,16.900423049926758) (605,16.88423728942871) (154,16.855018615722656) (5891,16.80059814453125)
194: (755,20.82225227355957) (748,20.129772186279297) (2605,19.94989585876465) (162,19.03559684753418) (81,18.882753372192383)* (632,18.8133544921875) (621,18.611400604248047) (1098,18.550764083862305)* (603,18.523523330688477) (3707,18.483503341674805) (6151,18.276384353637695) (107,18.180082321166992) (237,18.16379165649414) (233,17.8253116607666) (1112,17.80144500732422) (2716,17.77875518798828) (1418,17.721176147460938) (3417,17.60133171081543) (1222,17.466339111328125) (3703,17.441381454467773)
195: (1806,18.749347686767578) (2265,18.232786178588867) (863,18.06807518005371)* (715,17.827770233154297) (599,17.485776901245117) (5844,17.060291290283203) (615,16.978168487548828) (718,16.83098602294922) (585,16.82405662536621) (203,16.68540382385254) (857,16.65247344970703) (159,16.52876853942871) (1639,16.50904655456543) (4620,16.48405647277832) (618,16.474403381347656) (428,16.39508056640625)* (2855,16.242067337036133) (620,16.2337703704834) (562,16.192214965820312)* (429,16.13150405883789)
196: (533,19.533906936645508) (190,19.51066780090332)* (159,19.35658073425293) (207,19.275741577148438)* (234,19.17123794555664)* (429,19.13699722290039) (228,19.062326431274414) (203,19.042095184326172) (88,18.522607803344727) (441,18.51951026916504) (173,18.46804428100586) (65,18.45444107055664)* (65,18.45444107055664)* (511,18.13541030883789) (716,18.021095275878906)* (199,17.953054428100586) (230,17.89971351623535) (428,17.841995239257812) (2531,17.704601287841797) (1048,17.60187339782715)
198: (815,21.024267196655273) (805,20.88950538635254) (814,19.56915855407715) (1547,19.52237319946289) (3721,19.305469512939453) (850,19.304841995239258) (823,19.136674880981445)* (2379,19.01689338684082) (500,18.805221557617188) (3032,18.780315399169922) (818,18.73312759399414) (834,18.48993492126465) (4504,18.301509857177734) (507,18.19443702697754) (810,18.140329360961914) (1192,18.01783561706543) (198,17.99379539489746) (4821,17.967571258544922) (770,17.96268653869629) (1196,17.946805953979492)
200: (163,20.17766761779785)* (1415,20.064069747924805)* (2901,19.5814151763916) (868,19.580169677734375) (1639,19.255348205566406) (2787,19.07335090637207)* (157,19.03253173828125) (2343,18.912017822265625) (975,18.837369918823242) (1413,18.78366470336914) (728,18.685752868652344) (2786,18.596450805664062) (730,18.59421730041504) (706,18.57646942138672)* (1372,18.55816650390625) (1426,18.43092155456543) (2861,18.40425682067871) (1249,18.257976531982422) (2853,18.120452880859375)* (735,18.09372329711914)
201: (2059,18.794551849365234) (930,18.72735023498535) (972,18.511417388916016) (961,18.149723052978516) (1098,17.740741729736328) (72,17.553260803222656)* (72,17.553260803222656)* (518,17.45416831970215)* (1001,17.34459114074707) (187,17.186296463012695) (903,17.118810653686523) (3901,17.025556564331055)* (3110,16.93393325805664) (67,16.89212417602539) (67,16.89212417602539) (2044,16.8553409576416) (1062,16.837644577026367) (955,16.773258209228516) (1114,16.745071411132812) (316,16.690263748168945)
202: (917,17.04463005065918)* (2961,16.231159210205078) (1339,16.09623146057129) (918,16.070165634155273)* (707,15.971320152282715)* (5672,15.872884750366211) (2963,15.72108268737793) (1358,15.530251502990723) (6,15.494135856628418) (930,15.49338150024414) (1338,15.490079879760742) (957,15.481634140014648) (2654,15.45596981048584) (8259,15.28557300567627) (2009,15.058743476867676) (1369,14.993703842163086) (2967,14.890835762023926) (1360,14.889498710632324) (841,14.756986618041992) (2381,14.591503143310547)
203: (808,19.898475646972656) (830,19.524690628051758) (1541,18.181671142578125)* (779,18.051862716674805) (818,18.025253295898438) (810,17.892240524291992)* (2847,17.652175903320312) (834,17.627653121948242) (1672,17.368911743164062) (1195,17.316768646240234) (2576,17.281522750854492) (823,17.12684440612793) (1868,16.96504783630371) (1181,16.88519859313965) (1145,16.862335205078125) (497,16.82330322265625) (507,16.79545021057129) (1200,16.787158966064453) (1179,16.73856544494629) (2940,16.715906143188477)*
204: (6773,19.590805053710938) (3616,19.431596755981445) (1046,18.4256591796875) (4262,18.409896850585938) (16135,17.779443740844727) (11985,17.774276733398438) (16136,17.761295318603516) (16137,17.642276763916016) (8461,17.50786590576172) (6294,17.288467407226562) (6463,17.258502960205078) (7723,17.22367286682129) (1193,17.18947982788086) (6452,17.173873901367188) (2628,17.12160873413086) (14203,17.009824752807617) (6769,16.84517478942871) (6298,16.834991455078125) (13581,16.806594848632812) (412,16.754150390625)
205: (492,17.673063278198242) (460,17.555395126342773)* (1196,16.878910064697266) (5066,16.846651077270508) (4896,16.76632308959961) (2835,16.618228912353516) (377,16.506187438964844) (808,16.427143096923828) (489,16.349470138549805) (779,16.337215423583984)* (2850,16.09740447998047) (512,16.095918655395508) (1541,16.049997329711914) (1104,16.02621078491211) (12413,16.01280403137207) (1863,15.949047088623047) (412,15.898061752319336) (3428,15.838394165039062) (8,15.738876342773438) (1099,15.712708473205566)
206: (1090,19.498233795166016) (424,18.036649703979492) (88,17.624988555908203) (56,17.40566062927246) (56,17.40566062927246) (190,17.25687599182129) (432,17.212568283081055) (203,17.13054084777832) (1400,17.038049697875977) (154,16.8947811126709)* (2133,16.858139038085938) (1048,16.80613899230957) (1515,16.77208709716797) (159,16.76677703857422) (228,16.731342315673828) (1398,16.696725845336914) (1520,16.61020278930664) (220,16.57767677307129) (234,16.51064109802246) (1099,16.352346420288086)
