userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,50.174537658691406) (51,49.95536804199219)* (1014,49.106544494628906) (187,49.09053039550781) (997,48.900047302246094) (59,48.88568115234375)* (4308,48.70415496826172) (998,48.684844970703125) (1073,48.46005630493164) (1892,48.42245101928711) (61,48.31501007080078)* (1013,48.30491256713867) (193,48.29257583618164) (877,48.16304016113281) (993,48.14425277709961) (1713,48.136940002441406) (1019,48.09062194824219) (3201,48.00580596923828) (511,47.96918487548828) (91,47.937923431396484)*
142: (59,49.48883056640625)* (238,49.137657165527344) (1098,49.08644485473633) (81,49.06174087524414) (1062,49.05166244506836) (53,48.83757781982422) (53,48.83757781982422) (603,48.704368591308594) (154,48.68867492675781) (441,48.597877502441406)* (1073,48.54780960083008) (1075,48.46109390258789) (1886,48.448143005371094) (159,48.44318771362305)* (1083,48.440155029296875)* (64,48.4329948425293) (64,48.4329948425293) (84,48.26088333129883) (70,48.24729537963867) (1394,48.18250274658203)
143: (1464,54.31739044189453) (2044,53.615299224853516) (253,53.60605239868164) (67,53.54100036621094) (67,53.54100036621094) (511,53.22971725463867)* (180,53.18459701538086) (959,53.06549835205078)* (1694,53.00984191894531) (187,52.85765838623047) (2183,52.72212219238281) (192,52.68999099731445)* (1000,52.68880844116211) (727,52.662109375) (69,52.64554214477539) (69,52.64554214477539) (2031,52.64165496826172) (1001,52.63987350463867) (51,52.63618850708008) (1081,52.635337829589844)
144: (288,53.720359802246094)* (306,53.450233459472656)* (701,53.060455322265625)* (257,52.99863052368164)* (349,52.92854309082031)* (310,52.67904281616211) (314,52.597557067871094)* (352,52.506187438964844) (296,52.45563507080078) (301,52.26042175292969)* (461,52.19941711425781) (318,52.19654083251953) (543,52.145530700683594) (329,52.13603210449219) (523,51.94336700439453) (535,51.9404411315918) (468,51.936302185058594) (291,51.875877380371094) (323,51.868370056152344) (544,51.763885498046875)
145: (300,53.41142272949219)* (289,53.33470916748047) (679,53.08402633666992) (288,53.0343017578125)* (498,52.93244934082031) (302,52.84200668334961)* (298,52.78850555419922) (67,52.675262451171875) (67,52.675262451171875) (306,52.63825607299805) (295,52.55012130737305) (292,52.54191589355469)* (461,52.475669860839844) (55,52.26949691772461) (681,52.15592575073242) (538,52.1243782043457) (680,52.12386703491211) (342,52.01886749267578)* (355,51.9951286315918) (324,51.95132064819336)*
146: (300,55.48314666748047)* (292,55.36559295654297)* (461,54.926055908203125)* (328,54.7015495300293) (544,54.43657684326172) (468,54.38601303100586) (1037,54.37882995605469) (907,54.378753662109375) (475,54.26034927368164) (55,54.23209762573242) (299,54.23147201538086) (327,54.22707748413086) (67,54.20245361328125)* (67,54.20245361328125)* (317,54.201881408691406) (161,54.198577880859375) (686,54.15663146972656) (352,54.15192413330078) (291,54.14801025390625)* (528,54.11817932128906)*
147: (288,51.78678512573242)* (306,51.730323791503906)* (89,51.57096862792969) (300,51.47105407714844) (157,51.415313720703125) (701,51.258583068847656)* (292,51.031455993652344)* (461,50.967689514160156) (903,50.76456069946289) (344,50.65718460083008) (325,50.570533752441406)* (455,50.513004302978516) (246,50.4265251159668) (2988,50.41786193847656) (466,50.334190368652344) (913,50.31255340576172) (298,50.311279296875) (523,50.277381896972656)* (329,50.263214111328125)* (680,50.14197540283203)
148: (3227,55.043216705322266) (1963,54.686988830566406) (1614,54.66862106323242) (2699,54.54306411743164) (1236,54.47005844116211) (605,54.45527648925781) (4779,54.43010330200195) (2832,54.40007400512695) (2698,54.35486602783203) (162,54.1192626953125) (276,54.08378601074219) (4222,54.06814193725586) (1548,54.055213928222656) (11754,53.998619079589844) (6321,53.8569221496582) (1640,53.852569580078125) (5605,53.826927185058594) (3043,53.79853820800781) (3169,53.79670715332031) (755,53.678070068359375)
149: (190,51.315345764160156) (65,51.09005355834961) (65,51.09005355834961) (229,50.724403381347656) (228,50.685115814208984) (533,50.468910217285156) (227,50.46826934814453) (1375,50.39907455444336) (377,50.3017692565918) (538,50.256717681884766) (182,50.231109619140625) (207,50.22373580932617) (220,50.20280456542969) (316,50.18211364746094) (683,50.00420379638672) (1377,49.954124450683594) (1048,49.94313049316406) (1246,49.92086410522461) (89,49.92066955566406)* (424,49.86902618408203)
150: (67,52.208984375) (67,52.208984375) (300,52.04635238647461) (295,51.779396057128906)* (292,51.58961868286133) (461,51.33736038208008) (498,51.304752349853516) (55,51.21435546875) (679,51.208892822265625) (291,51.106544494628906)* (310,51.05714797973633) (349,51.03941345214844)* (903,50.84576416015625) (542,50.835479736328125) (538,50.81616973876953) (466,50.8051872253418) (544,50.634212493896484) (230,50.62699508666992) (475,50.59851837158203) (299,50.59162902832031)*
151: (6480,48.97792434692383) (6123,48.58085250854492) (708,48.306339263916016) (1241,48.28466796875) (1775,48.267452239990234) (8732,48.19043731689453) (2987,48.176612854003906) (5772,48.16255187988281) (3127,48.15234375) (4087,48.10029983520508) (4850,47.94675064086914) (6795,47.90978240966797) (8371,47.89606857299805) (5587,47.81521224975586) (1809,47.782257080078125) (4470,47.74030303955078) (3393,47.702144622802734)* (1045,47.62001037597656) (924,47.59598922729492) (5593,47.560970306396484)
152: (464,48.02006530761719) (1045,47.95102310180664) (230,47.95078659057617) (89,47.94106674194336)* (439,47.77065658569336) (679,47.70886993408203) (228,47.636871337890625) (1047,47.56074523925781) (542,47.52273178100586) (209,47.520042419433594) (538,47.51087951660156) (1043,47.51021194458008) (470,47.50372314453125) (344,47.484886169433594)* (190,47.41840362548828) (65,47.39114761352539) (65,47.39114761352539) (3200,47.37531661987305) (461,47.343772888183594)* (903,47.31498718261719)*
153: (233,48.95671463012695) (1131,48.13176727294922) (450,48.02373504638672) (162,47.867733001708984)* (512,47.68857192993164) (1099,47.42755126953125) (173,47.36217498779297) (487,47.31416702270508) (1104,47.210819244384766) (226,47.19842529296875) (56,47.19490432739258) (56,47.19490432739258) (72,47.18613052368164) (72,47.18613052368164) (441,47.15966796875) (234,47.11235046386719) (515,47.107093811035156) (2,47.10050964355469) (152,47.063575744628906) (1203,47.05810546875)
154: (377,54.243160247802734) (1044,53.59198760986328) (230,53.37818908691406) (1249,53.33142852783203) (488,53.246463775634766) (497,53.23555374145508) (726,53.152854919433594) (498,53.141212463378906) (1672,53.104095458984375)* (7,53.04335403442383) (1854,52.91872787475586) (475,52.863365173339844) (503,52.59548568725586) (190,52.539310455322266) (978,52.5355110168457) (2941,52.529727935791016) (234,52.515037536621094) (706,52.510032653808594)* (504,52.50788879394531) (957,52.3885498046875)
155: (1411,53.16722869873047) (163,52.97956085205078) (4675,52.96317672729492) (1412,52.91936111450195) (1110,52.81243133544922) (2624,52.62124252319336)* (3481,52.59332275390625) (3431,52.52600860595703)* (10663,52.44279479980469) (152,52.41061019897461) (2493,52.388587951660156) (1119,52.34687805175781) (186,52.327735900878906) (1426,52.109378814697266) (4123,52.03912353515625) (12051,52.022762298583984) (607,52.01573181152344) (1639,52.00727081298828) (868,51.95752716064453) (218,51.88223648071289)
156: (533,49.339317321777344)* (228,49.20368194580078) (65,48.993125915527344)* (65,48.993125915527344)* (424,48.94099807739258) (439,48.83070755004883) (229,48.75257873535156) (1090,48.737972259521484) (429,48.559104919433594) (1375,48.51576614379883) (203,48.346275329589844) (182,48.34372329711914) (599,48.228546142578125) (225,48.09351348876953) (716,48.05634689331055) (1242,48.051082611083984) (428,48.03839111328125) (709,48.02875518798828) (1424,47.99601364135742) (316,47.98621368408203)
157: (1358,54.831947326660156)* (7792,54.16083526611328) (2834,54.06047821044922)* (707,53.832157135009766) (724,53.82737350463867) (1249,53.74409484863281) (959,53.694862365722656)* (732,53.69124221801758) (841,53.52442169189453) (924,53.4411506652832) (2569,53.405029296875) (1803,53.345802307128906) (2346,53.17381286621094) (2973,53.150569915771484)* (4180,53.128902435302734) (1366,53.106414794921875)* (4124,53.091495513916016) (1338,52.989830017089844) (956,52.81438064575195) (1343,52.796470642089844)
158: (288,61.18749237060547) (375,61.08806610107422) (89,61.015037536621094) (289,60.905914306640625) (2094,60.740272521972656) (300,60.71248245239258) (295,60.605674743652344) (1613,60.568214416503906) (292,60.52973175048828) (3324,60.45942687988281) (3317,60.39345169067383) (333,60.384098052978516) (306,60.247230529785156) (257,60.190147399902344) (302,60.13485336303711) (400,60.074153900146484) (388,60.06641387939453) (8161,60.04314422607422) (701,59.983768463134766) (67,59.95945739746094)
159: (157,54.490516662597656) (89,53.805179595947266) (289,53.43482208251953) (306,53.201114654541016) (310,53.15263748168945)* (55,53.10178756713867) (295,52.975608825683594) (972,52.96181106567383) (329,52.89081954956055) (71,52.83695983886719) (71,52.83695983886719) (300,52.7981071472168) (378,52.75160598754883) (190,52.73923873901367) (1379,52.62934112548828)* (1001,52.61689758300781) (331,52.561058044433594) (333,52.53644943237305) (1009,52.53575134277344) (475,52.52477264404297)
161: (6542,49.531429290771484) (1263,49.4394416809082) (377,49.25925064086914) (4162,49.254615783691406) (514,49.13401794433594) (6546,49.08905792236328) (3244,49.06184387207031)* (5670,49.04322052001953) (968,48.98503494262695) (930,48.714942932128906) (2,48.71232986450195) (6819,48.68097686767578) (811,48.62336730957031) (6812,48.60266876220703) (10978,48.58067321777344) (2168,48.532718658447266) (7639,48.52040481567383) (978,48.51354217529297)* (504,48.4678955078125) (1913,48.46488952636719)
162: (378,54.93706130981445)* (966,54.58549118041992) (157,54.49916076660156) (288,54.4924201965332) (300,54.46424102783203) (306,54.451133728027344) (377,54.38318634033203) (498,54.34855651855469) (518,54.29605484008789) (161,53.963531494140625) (292,53.93354415893555) (329,53.7744255065918) (701,53.6278076171875) (466,53.504608154296875) (230,53.44043731689453) (486,53.41960144042969) (461,53.418548583984375) (951,53.40587615966797) (972,53.37205123901367) (291,53.25857162475586)
163: (1462,46.048065185546875) (5267,45.332481384277344) (7252,45.31583023071289) (12690,45.29050064086914) (2443,45.28662872314453) (3127,45.23289489746094) (12683,45.230628967285156) (11217,45.213226318359375) (12414,45.20092010498047) (12684,45.1951904296875) (12687,45.132049560546875) (12416,45.12726974487305) (12422,45.11158752441406) (12420,45.08530807495117) (12681,45.072837829589844) (12415,45.03125762939453) (12417,45.02574157714844) (12421,45.024295806884766) (12419,45.01435470581055) (12689,45.01264953613281)
164: (227,52.375099182128906) (234,52.2701301574707) (226,52.08007049560547)* (436,51.789093017578125) (220,51.76887512207031) (190,51.59450912475586)* (163,51.577552795410156) (709,51.43971252441406) (429,51.30337905883789) (859,51.25105285644531) (2637,51.22517013549805) (207,51.220584869384766) (199,51.21815872192383) (1239,51.19647216796875) (982,51.18567657470703) (233,51.18505096435547) (868,51.16459655761719) (533,51.11296844482422) (857,51.099884033203125) (718,51.08224868774414)
166: (511,53.66874313354492) (159,53.38651657104492)* (65,53.30525207519531) (65,53.30525207519531) (599,53.291900634765625) (190,53.25217819213867) (154,53.19428253173828) (715,53.02829360961914) (72,52.940303802490234) (72,52.940303802490234) (1122,52.813331604003906) (163,52.596012115478516) (868,52.583370208740234) (234,52.52391052246094) (182,52.51082992553711) (228,52.467254638671875) (166,52.45494079589844) (220,52.45206069946289) (961,52.382598876953125) (959,52.382469177246094)
168: (444,50.32101821899414) (757,50.24629211425781)* (418,50.16328811645508) (440,50.088504791259766)* (103,50.02256774902344) (10615,49.804901123046875) (1747,49.79639434814453) (1745,49.79566192626953) (7665,49.73393630981445) (3411,49.692134857177734) (2139,49.52414321899414) (1155,49.50166702270508) (416,49.49347686767578) (3707,49.3955192565918) (1405,49.36022186279297) (1961,49.24403381347656) (445,49.198448181152344) (2542,49.1544303894043)* (6756,49.14482116699219) (703,49.12538146972656)*
170: (813,50.197174072265625) (370,50.01395797729492) (953,50.006065368652344) (809,49.65949630737305) (785,49.625606536865234) (198,49.58045959472656) (1861,49.52013397216797) (806,49.41851043701172) (1547,49.3653450012207) (2172,49.342323303222656) (832,49.33687973022461) (707,49.33047103881836)* (45,49.28612518310547) (2576,49.21781539916992) (1206,49.205631256103516) (826,49.2050666809082) (846,49.157386779785156) (162,49.142173767089844) (808,49.09828186035156) (3028,49.08078384399414)
171: (154,50.71742630004883)* (56,50.59111022949219) (56,50.59111022949219) (1400,50.47212600708008)* (430,50.27786636352539) (199,50.26776123046875) (217,50.127281188964844) (210,50.11505889892578) (425,50.09827423095703) (703,49.991817474365234)* (227,49.982391357421875) (1090,49.95844268798828) (689,49.87358093261719) (173,49.86189270019531) (418,49.82293701171875) (1048,49.77119064331055) (757,49.7667236328125)* (432,49.75274658203125) (1106,49.7409553527832) (424,49.7189826965332)
172: (159,46.68072509765625) (229,46.60161590576172) (1090,46.565826416015625) (227,46.41081237792969) (429,46.375972747802734) (533,46.35612487792969) (56,46.33562088012695) (56,46.33562088012695) (65,46.29616928100586) (65,46.29616928100586) (203,46.28843307495117) (234,46.16163635253906) (233,46.08663558959961) (436,46.06122970581055) (425,46.05934143066406) (225,46.05183792114258) (709,45.87262725830078) (1151,45.85247039794922) (1376,45.832054138183594) (199,45.823272705078125)
173: (439,47.063011169433594)* (227,46.63723373413086)* (982,46.29108428955078) (1513,46.24694061279297) (533,46.149227142333984) (230,46.100242614746094) (220,46.062992095947266) (228,45.9248161315918) (234,45.907127380371094) (706,45.89564514160156) (3747,45.44436264038086)* (735,45.29753112792969) (1249,45.23429489135742) (614,45.222328186035156) (1807,45.22121047973633) (65,45.206581115722656) (65,45.206581115722656) (562,45.184146881103516) (163,45.14323425292969)* (709,45.11361312866211)
174: (230,53.13488006591797) (190,53.11521530151367) (227,52.82020950317383) (316,52.726593017578125) (533,52.63971710205078) (366,52.63456344604492) (182,52.50906753540039) (220,52.27132797241211)* (228,52.19670104980469) (1048,52.16501998901367) (355,52.16419219970703) (498,52.133270263671875) (1470,52.071834564208984) (5099,52.04310607910156) (253,52.0075798034668) (966,51.994930267333984) (157,51.96677017211914) (207,51.924373626708984) (378,51.91572952270508) (538,51.89719009399414)
175: (1462,53.002567291259766) (7837,52.47644805908203) (5267,52.43819046020508) (3873,52.2880744934082) (3583,52.19654846191406)* (2437,52.188377380371094)* (7838,52.0366096496582) (11217,52.01984786987305) (892,51.995357513427734) (7252,51.972389221191406) (5249,51.949867248535156) (9417,51.82041549682617) (333,51.78684997558594) (355,51.7670783996582) (1447,51.65196228027344)* (498,51.64236068725586) (89,51.60639190673828) (6529,51.580230712890625) (300,51.548187255859375) (2445,51.537654876708984)
176: (190,46.720367431640625) (159,46.66701126098633) (229,46.352691650390625) (203,46.311397552490234) (56,46.136138916015625) (56,46.136138916015625) (1400,46.08592224121094) (207,46.04019546508789) (533,46.0369987487793) (65,46.02390670776367) (65,46.02390670776367) (1098,45.921600341796875) (425,45.868568420410156) (225,45.85882568359375)* (81,45.854190826416016) (1151,45.748085021972656) (418,45.74571990966797) (599,45.74446487426758) (199,45.73492431640625) (424,45.722591400146484)*
177: (163,53.58810043334961)* (1412,53.463348388671875)* (707,53.03718948364258) (152,52.70848083496094)* (868,52.64645004272461) (920,52.58207702636719) (1119,52.508182525634766) (607,52.437686920166016)* (1639,52.30642318725586)* (1131,52.292381286621094) (186,52.29061508178711) (234,52.27635192871094) (1372,52.2436637878418) (4675,52.19938659667969) (1358,52.14198303222656) (706,52.107940673828125) (614,51.98984909057617) (3940,51.96910858154297) (3431,51.924949645996094) (841,51.88744354248047)
178: (1206,53.539283752441406) (4271,53.12004470825195) (5169,53.09408187866211) (841,52.972965240478516) (1369,52.96300506591797) (854,52.9207878112793) (1119,52.81708908081055) (920,52.813785552978516) (9716,52.76698684692383) (152,52.74831771850586) (707,52.73322296142578) (1412,52.71698760986328) (1202,52.641483306884766) (843,52.59429168701172) (163,52.58892059326172) (9540,52.56801223754883) (1274,52.50526809692383) (1131,52.50284194946289) (3445,52.499507904052734) (370,52.47090148925781)
179: (89,47.610389709472656)* (190,47.4317512512207) (333,47.351722717285156)* (306,47.18065643310547) (298,46.84913635253906) (209,46.76847839355469) (230,46.76693344116211)* (1246,46.68592071533203) (538,46.63475799560547) (302,46.601253509521484) (328,46.482643127441406) (67,46.46492004394531)* (67,46.46492004394531)* (65,46.46280288696289) (65,46.46280288696289) (228,46.25233840942383) (329,46.24076843261719) (229,46.23727035522461) (295,46.21253204345703) (3200,46.1839485168457)
180: (845,49.0585823059082) (2151,48.710426330566406) (512,48.57817459106445) (370,48.32841491699219) (1131,48.26403045654297) (815,48.133514404296875) (7389,47.52592468261719) (8910,47.52472686767578) (2172,47.520347595214844) (2479,47.48478698730469) (2574,47.39661407470703) (964,47.3651008605957) (842,47.351497650146484) (2771,47.34510803222656) (2474,47.335445404052734) (5061,47.29606628417969) (2155,47.262638092041016) (751,47.15681076049805) (3720,47.1483154296875) (503,47.11653518676758)
181: (1104,54.07421112060547)* (1099,53.54314422607422) (407,53.3687629699707) (6077,53.10026931762695) (198,53.06768798828125) (7,52.97612380981445) (72,52.870445251464844) (72,52.870445251464844) (968,52.868499755859375) (1020,52.7552604675293) (1705,52.68006896972656) (377,52.678619384765625) (489,52.65911865234375) (3053,52.61663055419922) (4297,52.606109619140625) (1704,52.51124572753906) (487,52.478153228759766) (5605,52.447425842285156) (7639,52.38567352294922) (234,52.385616302490234)*
182: (727,53.7619514465332) (8047,53.5302848815918) (390,53.31296157836914) (2051,53.25408172607422) (157,53.23040008544922) (2044,53.12367630004883) (389,53.024627685546875) (2059,53.02370834350586) (65,52.97885513305664) (65,52.97885513305664) (406,52.960205078125) (63,52.916622161865234) (63,52.916622161865234) (3466,52.871639251708984) (67,52.85527038574219) (67,52.85527038574219) (2441,52.82830047607422) (356,52.76123809814453) (227,52.744544982910156) (2923,52.7390251159668)
183: (59,47.18052291870117)* (51,47.120994567871094) (599,46.79194641113281) (1001,46.663150787353516) (187,46.34104919433594) (227,46.06884765625) (203,46.03261947631836) (851,45.93638229370117) (441,45.81650924682617) (190,45.802310943603516) (997,45.79135513305664) (81,45.74443054199219) (1014,45.68638610839844) (173,45.6737060546875) (70,45.50920867919922) (715,45.46334457397461) (163,45.43998336791992)* (1892,45.410736083984375) (998,45.35454559326172) (2938,45.34700393676758)
184: (159,47.279823303222656) (56,46.99564743041992) (56,46.99564743041992) (59,46.97438049316406) (81,46.85478973388672)* (429,46.766475677490234) (441,46.72332000732422) (229,46.61117172241211) (1075,46.60812759399414) (1062,46.59804916381836) (227,46.45878601074219) (65,46.41664505004883) (65,46.41664505004883) (203,46.412254333496094) (599,46.39936447143555) (238,46.391685485839844)* (172,46.308353424072266) (228,46.27080535888672) (511,46.241031646728516) (1400,46.131587982177734)*
185: (187,47.32946014404297)* (99,46.969852447509766) (511,46.449989318847656) (1892,46.222190856933594) (77,46.08162307739258) (77,46.08162307739258) (993,45.949432373046875) (180,45.801048278808594) (2031,45.4630241394043) (85,45.31449508666992) (155,45.29365921020508) (253,45.17174530029297) (157,45.16172790527344) (533,45.09376907348633) (1079,45.092105865478516) (168,44.97174835205078) (190,44.893836975097656) (4978,44.736976623535156) (1072,44.715476989746094) (75,44.71403503417969)
186: (1246,50.804786682128906) (486,50.751956939697266) (209,50.586830139160156) (540,50.22895050048828) (537,49.97663116455078) (300,49.97377014160156)* (472,49.80754089355469) (536,49.75205993652344) (89,49.70132827758789)* (488,49.6497802734375) (1045,49.620399475097656) (538,49.61323928833008) (1180,49.6085090637207) (1673,49.54474639892578) (1047,49.51925277709961) (403,49.501258850097656) (1854,49.3987922668457) (475,49.318565368652344) (461,49.30349349975586) (1186,49.217166900634766)*
187: (72,48.95589065551758)* (72,48.95589065551758)* (511,48.59266662597656) (99,48.51277542114258) (193,48.38823318481445)* (1001,48.28969955444336) (163,48.13307189941406)* (1122,48.10179138183594) (868,47.92002868652344) (1892,47.84621047973633) (1014,47.76926803588867) (59,47.74612045288086) (159,47.712284088134766)* (1412,47.650543212890625) (77,47.61801528930664) (77,47.61801528930664) (1079,47.564151763916016) (1083,47.31188201904297) (1013,47.29378128051758)* (997,47.236167907714844)*
189: (1104,49.66157913208008) (234,49.422569274902344)* (504,49.27818298339844) (486,49.152095794677734)* (1116,49.051483154296875)* (497,49.017578125) (487,48.9749755859375) (1179,48.91381072998047) (1091,48.734718322753906) (1672,48.69867706298828) (45,48.696533203125) (220,48.67998123168945) (488,48.65058898925781) (503,48.61152267456055) (537,48.5708122253418) (815,48.52764892578125) (209,48.44694519042969) (1099,48.39124298095703) (930,48.35216522216797) (500,48.30109786987305)
190: (657,47.904029846191406) (12254,47.53972244262695) (2046,47.40717315673828) (2952,47.27236557006836) (12244,47.10539627075195) (3864,47.075008392333984) (6697,47.03994369506836) (664,46.96609115600586) (2072,46.90601348876953) (2056,46.894535064697266) (669,46.7892951965332) (2078,46.70684051513672) (2063,46.663780212402344) (2066,46.64252853393555) (2058,46.61788558959961) (9034,46.613582611083984) (15665,46.588321685791016) (9031,46.58622741699219) (401,46.55992889404297) (9030,46.55225372314453)
191: (70,52.457157135009766) (159,52.42831802368164) (187,52.372135162353516)* (190,52.26848602294922)* (63,52.2670783996582) (63,52.2670783996582) (173,52.110416412353516) (30,52.06354904174805) (1001,52.039798736572266) (1713,52.02391815185547)* (511,51.95973205566406) (1707,51.852603912353516) (1099,51.77841567993164) (156,51.77425003051758) (59,51.69432830810547) (1109,51.66875457763672) (172,51.66304397583008) (1394,51.66084671020508) (81,51.62644958496094) (163,51.611881256103516)
192: (1548,46.15571975708008) (8625,45.77549362182617) (13857,45.64654541015625) (8633,45.54465866088867) (8925,44.94977569580078) (3043,44.849281311035156) (2731,44.71603775024414) (12490,44.64714050292969) (4185,44.633296966552734) (2710,44.60734558105469) (3999,44.570091247558594)* (2698,44.541961669921875) (13260,44.518795013427734) (9801,44.469051361083984) (16272,44.41250228881836) (762,44.380001068115234) (1543,44.35178756713867) (2244,44.33003234863281) (2713,44.266780853271484) (3335,44.26143264770508)
193: (757,52.92042922973633) (1075,52.65434265136719) (331,52.50968551635742)* (7324,52.36234664916992) (547,52.20804214477539) (1098,52.2080078125) (70,52.155426025390625) (1099,52.14326477050781) (423,52.06479263305664) (1401,52.05615997314453) (1409,52.04974365234375) (173,52.01746368408203) (229,51.951255798339844) (107,51.94089126586914) (1379,51.936885833740234) (65,51.8934211730957) (65,51.8934211730957) (154,51.82198715209961) (238,51.80282974243164) (703,51.72246170043945)
194: (603,50.24304962158203) (748,50.182613372802734) (81,50.02467346191406)* (1098,49.94155502319336)* (429,49.804344177246094) (441,49.713905334472656) (757,49.55189514160156) (84,49.43587875366211) (196,49.368797302246094) (3411,49.33995056152344) (237,49.33341979980469) (1062,49.30054473876953) (2605,49.26226043701172) (1504,49.242774963378906) (59,49.219215393066406) (3280,49.16819763183594) (56,49.052085876464844) (56,49.052085876464844) (1983,49.035858154296875) (1709,49.03482437133789)
195: (599,50.00612258911133) (429,49.78162384033203) (863,49.643768310546875)* (612,49.31608200073242) (2531,48.98357009887695) (196,48.965911865234375) (159,48.893394470214844) (5416,48.87261962890625) (203,48.85663604736328) (1804,48.832542419433594) (3281,48.83200454711914) (1414,48.817909240722656) (206,48.79899597167969) (1504,48.794654846191406) (1881,48.79118728637695) (441,48.757110595703125) (59,48.705970764160156) (511,48.651123046875) (1412,48.63810729980469)* (715,48.618045806884766)
196: (533,46.484981536865234) (190,46.47848129272461)* (228,46.244022369384766) (207,46.196868896484375)* (203,46.0213623046875) (159,46.014713287353516) (173,45.97946548461914) (65,45.87238311767578)* (65,45.87238311767578)* (429,45.8081169128418) (1400,45.57776641845703) (225,45.57692337036133) (439,45.57622146606445) (436,45.560359954833984)* (441,45.54829025268555) (716,45.50068664550781)* (234,45.47550964355469)* (511,45.336299896240234) (1375,45.04241943359375) (1384,45.03556442260742)
198: (1192,54.04677200317383) (412,53.91764831542969) (814,53.766998291015625) (815,53.704471588134766) (805,53.66773223876953) (823,53.339996337890625)* (4821,53.32787322998047) (1100,53.32156753540039) (507,53.26750564575195) (198,53.24997329711914) (2847,53.24492645263672) (768,53.16925048828125) (1188,53.0658073425293) (2192,52.96291732788086) (1197,52.96048355102539) (1185,52.8760871887207) (500,52.834800720214844) (377,52.82095718383789) (537,52.81813430786133) (5966,52.796775817871094)
200: (163,53.042236328125)* (1369,52.59103012084961) (868,52.488460540771484) (706,52.301326751708984)* (2343,52.22076416015625) (1372,52.13764953613281) (1244,52.0904655456543) (735,52.00993347167969) (2347,51.96440505981445)* (1249,51.8885498046875) (707,51.86970520019531) (732,51.85639572143555) (1413,51.85160827636719) (1639,51.78734588623047) (599,51.747772216796875) (2787,51.68412780761719)* (2834,51.46269989013672) (72,51.41379928588867) (72,51.41379928588867) (2901,51.29205322265625)
201: (72,54.18617248535156)* (72,54.18617248535156)* (157,52.8631706237793) (187,52.75718688964844) (173,52.706146240234375) (518,52.671016693115234)* (7,52.6186637878418) (67,52.58495330810547) (67,52.58495330810547) (65,52.57674789428711) (65,52.57674789428711) (377,52.514625549316406) (70,52.428489685058594) (51,52.41654586791992) (511,52.402442932128906) (930,52.38985061645508) (1001,52.311126708984375) (159,52.25100326538086) (378,52.18209457397461)* (63,52.15518569946289)
202: (917,57.88572692871094)* (707,57.5146484375)* (957,56.66394805908203) (918,56.37428665161133)* (920,56.34751892089844) (841,56.24108123779297) (188,56.162574768066406) (1369,56.00559997558594) (198,55.99118423461914) (1249,55.94038772583008)* (953,55.93199157714844) (1358,55.90735626220703) (936,55.865692138671875) (1274,55.848365783691406) (25,55.799468994140625) (1339,55.77443313598633) (928,55.736488342285156)* (1360,55.60778045654297) (1132,55.543792724609375) (517,55.45317840576172)
203: (779,51.45244216918945) (808,50.81467056274414) (1541,50.67245101928711)* (823,50.57960891723633) (830,50.156707763671875) (1868,50.06789779663086) (507,50.00494384765625) (1185,50.00283432006836) (818,49.93156814575195) (810,49.87666320800781)* (825,49.83209228515625) (2200,49.82807159423828) (1853,49.820045471191406) (768,49.74924850463867) (835,49.67709732055664) (1196,49.6639404296875) (377,49.657676696777344) (1181,49.64775848388672) (2959,49.641014099121094) (1672,49.61223602294922)
204: (13260,46.14026641845703) (8264,45.71469497680664) (4185,45.62316131591797)* (8469,45.590511322021484) (6294,45.531150817871094) (10804,45.33580017089844) (13515,45.22418975830078) (4724,45.15301513671875) (12490,45.090675354003906) (1645,45.064735412597656) (8934,44.99235534667969) (3043,44.95830535888672) (10955,44.946075439453125) (6228,44.92713165283203) (5645,44.91992950439453) (3737,44.91042709350586)* (11553,44.893463134765625) (1228,44.80519104003906) (13526,44.70758819580078) (412,44.678524017333984)
205: (779,49.51975631713867)* (968,49.24001693725586) (4181,48.96631622314453) (1401,48.916297912597656) (1191,48.868343353271484) (45,48.66579818725586) (3812,48.58382797241211) (377,48.51667022705078) (2192,48.44457244873047) (1179,48.38359451293945) (1099,48.36184310913086) (2200,48.35303497314453) (6008,48.31141662597656) (1188,48.300025939941406)* (1541,48.276729583740234) (512,48.20740509033203) (2210,48.12495422363281) (487,48.123565673828125) (8788,48.10429763793945) (9766,48.06415939331055)
206: (190,52.81464767456055) (72,52.265445709228516) (72,52.265445709228516) (159,52.003047943115234) (65,51.968505859375) (65,51.968505859375) (154,51.867889404296875)* (70,51.672950744628906) (56,51.62920379638672) (56,51.62920379638672) (182,51.572147369384766) (1375,51.353336334228516) (88,51.33560562133789) (228,51.2481803894043) (1090,51.239044189453125) (511,51.14122772216797) (81,51.13810729980469) (172,51.1140022277832) (234,51.019386291503906) (1099,50.95388412475586)
207: (691,55.52490997314453) (300,55.131980895996094) (498,55.02781295776367) (289,54.90154266357422) (288,54.76007843017578) (344,54.6732177734375) (679,54.655033111572266) (298,54.64717102050781) (331,54.642486572265625) (1934,54.55827331542969) (374,54.331787109375) (324,54.29432678222656) (65,54.275001525878906) (65,54.275001525878906) (306,54.259803771972656) (471,54.25885772705078) (548,54.24528884887695) (292,54.14179229736328) (681,54.127342224121094) (689,54.11180114746094)
