userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,53.743186950683594) (51,53.6226921081543)* (187,52.742835998535156) (1014,52.682289123535156) (1073,52.478580474853516) (59,52.15489196777344)* (193,52.08202362060547) (3768,52.08128356933594) (511,52.05740737915039) (1013,51.96367645263672) (1019,51.921756744384766) (599,51.904022216796875) (993,51.81451416015625) (998,51.702423095703125) (1885,51.68733596801758) (1892,51.66470718383789) (3201,51.65154266357422) (1098,51.6512336730957) (997,51.5468635559082) (61,51.48124694824219)*
182: (727,55.18089294433594) (5338,53.679161071777344) (4616,53.568206787109375) (2051,53.48110580444336) (4987,53.38731384277344) (4037,53.386192321777344) (63,53.38032150268555) (63,53.38032150268555) (7157,53.29629898071289) (157,53.232940673828125) (6397,53.1837272644043) (389,53.11250305175781) (2044,53.10121536254883) (374,53.087425231933594) (13126,53.07703399658203) (3466,52.957523345947266) (397,52.909706115722656) (7142,52.869808197021484) (1846,52.80583572387695) (227,52.78290557861328)
183: (599,54.59239196777344) (51,54.139305114746094) (59,54.02233123779297)* (227,53.25300598144531) (203,53.18015670776367) (441,53.134803771972656) (1001,53.04413986206055) (2938,52.99453353881836) (1073,52.911415100097656) (98,52.841915130615234) (1014,52.84070587158203) (187,52.81367492675781) (985,52.807777404785156) (1886,52.72338104248047) (874,52.65597152709961) (997,52.65392303466797) (163,52.621788024902344)* (715,52.604923248291016) (959,52.597015380859375) (851,52.54235076904297)
184: (1075,50.90810012817383) (172,50.72794723510742) (81,50.555091857910156)* (229,50.47999954223633) (56,50.462379455566406) (56,50.462379455566406) (51,50.44178771972656) (159,50.427059173583984) (1713,50.35530090332031) (238,50.3447265625)* (1001,50.20033264160156) (59,50.18958282470703) (511,50.18439483642578) (599,50.139793395996094) (227,50.10418701171875) (1394,50.068668365478516) (1062,50.05270767211914) (1061,50.0256233215332) (58,50.02233123779297) (58,50.02233123779297)
185: (187,52.811668395996094)* (99,51.30033874511719) (511,51.123416900634766) (905,50.77732849121094) (7096,50.63683319091797) (2554,50.537986755371094) (1000,50.48273468017578) (994,50.351905822753906) (7429,50.293113708496094) (2935,50.28038024902344) (179,50.1414909362793) (253,50.05650329589844) (3966,50.026466369628906) (2936,49.97463607788086) (180,49.96330261230469) (1079,49.958900451660156) (1892,49.90934371948242) (1013,49.88774871826172)* (1298,49.88286590576172) (91,49.87055587768555)
186: (1246,55.006263732910156) (209,54.69550323486328) (537,54.67436218261719) (486,54.51885986328125) (540,54.17405700683594) (1180,54.089683532714844) (1186,54.04670715332031)* (475,53.98735809326172) (497,53.8873405456543) (1044,53.81372833251953) (488,53.72854232788086) (300,53.72357940673828)* (536,53.677024841308594) (89,53.622642517089844)* (500,53.61591720581055) (472,53.591617584228516) (1673,53.575103759765625) (1041,53.485748291015625) (1185,53.46433639526367) (7,53.367191314697266)
187: (193,55.101741790771484)* (72,54.88257598876953)* (72,54.88257598876953)* (511,54.640647888183594) (1079,54.28914260864258) (163,54.279075622558594)* (1083,54.24127197265625) (1013,54.22460174560547)* (99,54.193809509277344) (868,54.135746002197266) (2029,54.04884338378906) (159,54.016990661621094)* (1014,53.96158218383789) (1892,53.83551788330078) (2552,53.81226348876953) (59,53.79438018798828) (1889,53.766841888427734) (1001,53.654876708984375) (77,53.62230682373047) (77,53.62230682373047)
189: (1104,52.76197052001953) (503,51.60886001586914) (1179,50.9975471496582) (497,50.88737487792969) (843,50.77810287475586) (504,50.717891693115234) (815,50.64116668701172) (6257,50.62753677368164) (234,50.61662292480469)* (930,50.59300231933594) (923,50.395729064941406) (1116,50.346126556396484)* (488,50.249290466308594) (917,50.21031951904297) (1099,50.14759063720703) (806,50.13548278808594) (854,50.09992980957031) (1406,50.00281524658203) (1351,49.98984909057617) (163,49.93695831298828)
190: (6862,46.899375915527344) (2046,46.897254943847656) (3572,46.709049224853516) (2078,46.66665267944336) (2058,46.63207244873047) (2077,46.59004211425781) (2072,46.50780487060547) (2073,46.49950408935547) (10460,46.49530792236328) (2057,46.439517974853516) (2074,46.43324279785156) (2056,46.42566680908203) (7854,46.40264129638672) (2049,46.39137649536133) (2061,46.38726806640625) (7851,46.27423095703125) (2066,46.210235595703125) (479,46.19776916503906) (2063,46.19488525390625) (657,46.163002014160156)
191: (63,51.76335144042969) (63,51.76335144042969) (1109,51.5096435546875) (1118,51.434364318847656) (187,51.42353057861328)* (156,51.37298583984375) (163,51.32978820800781) (1790,51.270774841308594) (4143,51.21198654174805) (511,51.20726013183594) (175,51.18491744995117) (174,51.1331787109375) (1713,51.13212585449219)* (190,51.076847076416016)* (506,51.055458068847656) (959,50.992950439453125) (3627,50.95102310180664) (348,50.9171142578125) (3827,50.877174377441406) (3046,50.87020492553711)
192: (3729,57.83203887939453) (11859,56.562320709228516) (3442,56.16120529174805) (10449,56.04927444458008) (5600,55.89070129394531) (3043,55.84095764160156) (5227,55.69509506225586) (4194,55.66276550292969) (17938,55.45454406738281) (4211,55.45349884033203) (4107,55.43279266357422) (17945,55.3935546875) (5632,55.3553466796875) (16272,55.290931701660156) (4504,55.271175384521484) (17937,55.197322845458984) (5638,55.143150329589844) (17950,55.13163375854492) (2964,55.04038619995117) (12094,55.02424621582031)
193: (70,53.394100189208984) (173,53.061668395996094) (229,52.81339645385742) (154,52.7671012878418) (65,52.75853729248047) (65,52.75853729248047) (174,52.371822357177734) (81,52.28424835205078) (3046,52.2208251953125) (1009,52.18722915649414) (238,52.18585968017578) (88,52.1448974609375) (1075,52.094581604003906) (969,52.0865478515625) (377,51.987571716308594) (1400,51.94439697265625) (1109,51.88905334472656) (182,51.833229064941406) (1705,51.82130432128906) (722,51.77252960205078)
194: (748,59.59202575683594) (603,59.50537109375) (2605,58.90468978881836) (81,58.75593185424805)* (196,58.159156799316406) (632,58.149749755859375) (237,58.135398864746094) (206,58.108306884765625) (429,57.8544921875) (441,57.83647537231445) (203,57.79154586791992) (1098,57.702659606933594)* (199,57.63483428955078) (52,57.57773971557617) (52,57.57773971557617) (1790,57.537811279296875) (2676,57.50733184814453) (227,57.445194244384766) (6762,57.41192626953125) (1418,57.38901901245117)
195: (863,61.01922607421875)* (859,60.711761474609375)* (429,60.40342712402344) (436,60.25474548339844) (599,60.10988998413086) (615,60.086280822753906) (1504,60.0640983581543) (226,60.06291580200195) (630,60.0499267578125) (206,59.96916961669922) (857,59.92634582519531) (441,59.879417419433594) (199,59.83221435546875) (718,59.77281188964844) (203,59.65882110595703) (159,59.49296951293945) (1412,59.489219665527344)* (222,59.37645721435547) (562,59.32809066772461)* (1639,59.316184997558594)
196: (207,53.37302017211914)* (190,53.27306365966797)* (533,53.10460662841797) (173,53.03491973876953) (234,53.01513671875)* (228,52.985008239746094) (203,52.79590606689453) (65,52.76525115966797)* (65,52.76525115966797)* (159,52.75343322753906) (436,52.74302673339844)* (429,52.463706970214844) (225,52.437923431396484) (511,52.19928741455078) (441,52.19411849975586) (439,52.03996276855469) (230,51.87409210205078) (1048,51.854644775390625) (1515,51.777061462402344) (1513,51.76496124267578)
198: (815,58.82378387451172) (412,58.534027099609375) (4821,58.50647735595703) (198,58.051727294921875) (823,57.96016311645508)* (768,57.74340057373047) (805,57.66100311279297) (1974,57.64973068237305) (5966,57.553550720214844) (1192,57.534263610839844) (4833,57.51533889770508) (507,57.50623321533203) (500,57.48929214477539) (45,57.40592575073242) (209,57.36292266845703) (978,57.361236572265625) (814,57.347904205322266) (383,57.331634521484375) (1191,57.30885314941406) (3721,57.286590576171875)
200: (163,54.8618278503418)* (868,54.03148651123047) (707,53.79347229003906) (599,53.52842712402344) (1369,53.43492889404297) (1415,53.18345642089844)* (1639,52.91941833496094) (601,52.880958557128906) (1372,52.78971481323242) (72,52.726402282714844) (72,52.726402282714844) (1413,52.63141632080078) (614,52.585105895996094) (1244,52.50542449951172) (728,52.4979248046875) (706,52.486244201660156)* (732,52.47467803955078) (1249,52.43727111816406) (735,52.4241943359375) (96,52.375221252441406)
201: (72,53.19048309326172)* (72,53.19048309326172)* (187,52.80364990234375) (51,52.68224334716797) (1001,52.6794319152832) (1014,51.636558532714844) (99,51.24715042114258) (511,51.222721099853516) (193,51.175567626953125) (67,51.110084533691406) (67,51.110084533691406) (1713,51.0395393371582) (157,51.03388977050781) (172,51.007747650146484) (1379,50.93974304199219) (77,50.93592834472656) (77,50.93592834472656) (877,50.909263610839844) (75,50.88588333129883) (75,50.88588333129883)
202: (707,58.10237503051758)* (917,57.563411712646484)* (918,57.45191955566406)* (841,57.095947265625) (957,57.07965850830078) (920,56.89554977416992) (198,56.4268798828125) (517,56.41071319580078) (928,56.354312896728516)* (1339,56.26739501953125) (1360,56.237464904785156) (1132,56.21113967895508) (1249,56.20117950439453)* (370,56.173500061035156) (2360,56.0949592590332) (854,56.09314727783203) (2794,56.06801223754883) (1104,56.047645568847656)* (724,56.031700134277344) (2835,55.98744201660156)
203: (779,57.47487258911133) (1541,57.13159942626953)* (818,57.07212829589844) (808,57.004852294921875) (810,56.95574188232422)* (823,56.93385314941406) (830,56.72160339355469) (1672,56.58628845214844) (497,56.568511962890625) (834,56.43247604370117) (768,56.407936096191406) (1044,56.39586639404297) (3239,56.35475158691406) (811,56.320823669433594) (835,56.270347595214844) (5100,56.242156982421875) (1196,56.22359085083008) (1185,56.180580139160156) (507,56.17768859863281) (514,56.13763427734375)
204: (4184,53.720726013183594)* (4724,53.321815490722656) (7329,53.31828308105469) (1645,52.834983825683594) (13516,52.76221466064453) (3729,52.707061767578125) (8210,52.63330078125) (8264,52.51374053955078) (10804,52.49614715576172) (5210,52.45672607421875) (8934,52.43907165527344) (13854,52.42665100097656) (2269,52.32171630859375) (4826,52.27501678466797) (6195,52.22267150878906) (4820,52.216705322265625) (3043,51.98541259765625) (13518,51.929561614990234) (13521,51.92311477661133) (3737,51.80329895019531)*
205: (1179,55.64029312133789) (377,55.569488525390625) (489,55.546199798583984) (1099,55.45318603515625) (1191,55.34803009033203) (174,55.286399841308594) (968,55.25818634033203) (1104,55.21586990356445) (808,55.198631286621094) (517,55.169464111328125) (978,55.11705780029297) (497,55.0929069519043) (7639,55.06078338623047) (503,55.059425354003906) (1145,54.994388580322266) (1401,54.96286392211914) (512,54.952789306640625) (407,54.949092864990234) (4896,54.94902038574219) (8,54.946659088134766)
206: (154,53.92657470703125)* (190,53.550376892089844) (1375,53.089378356933594) (159,53.01982879638672) (715,52.94419479370117) (1090,52.8913688659668) (81,52.82623291015625) (88,52.772586822509766) (2524,52.77161407470703) (511,52.76389694213867) (1151,52.75291442871094) (72,52.68153381347656) (72,52.68153381347656) (1790,52.680015563964844) (65,52.640403747558594) (65,52.640403747558594) (1118,52.599952697753906) (1109,52.5714225769043) (234,52.421546936035156) (3057,52.393653869628906)
207: (691,56.96201705932617) (548,56.41724395751953) (498,56.31343078613281) (690,56.1685905456543) (300,56.003414154052734) (298,55.71526336669922) (486,55.695404052734375) (324,55.685203552246094) (689,55.66851043701172) (288,55.61878204345703) (65,55.58467102050781) (65,55.58467102050781) (679,55.56204605102539) (526,55.514957427978516) (1934,55.426753997802734) (229,55.41306686401367) (289,55.23170471191406) (191,55.18266296386719) (1400,55.1725959777832) (190,55.106163024902344)
208: (2970,59.33277130126953) (2765,58.859375) (4273,58.718345642089844)* (2654,58.57624053955078) (1254,58.51509475708008)* (25,58.483909606933594) (3806,58.399253845214844) (949,58.287166595458984) (821,58.236724853515625) (2963,58.226417541503906) (1214,58.221702575683594) (4280,58.20062255859375)* (918,58.1644172668457) (954,58.071136474609375) (1531,58.0467643737793) (1344,57.92332077026367) (1261,57.82902526855469) (1527,57.778953552246094) (1358,57.763370513916016)* (7924,57.75331115722656)
209: (333,53.96499252319336)* (89,53.680885314941406) (701,53.5252685546875) (466,53.45269775390625) (344,53.45262145996094) (292,53.333290100097656)* (679,53.1932487487793) (291,52.876441955566406)* (475,52.785545349121094) (544,52.759193420410156) (498,52.69731903076172)* (157,52.28464126586914) (298,52.283592224121094) (293,52.251731872558594) (464,52.11342239379883) (328,52.1085205078125) (458,52.06667709350586) (681,52.06169891357422) (802,51.97352600097656) (907,51.95269012451172)
210: (1104,50.03670120239258) (377,49.85684585571289) (518,49.59762191772461) (930,49.579063415527344) (486,49.44683837890625) (1009,49.44362258911133) (1020,49.347206115722656) (70,49.25535202026367) (189,49.25493621826172) (7,49.24866485595703) (2014,49.1926155090332) (51,49.084808349609375) (229,49.04305648803711) (511,48.944828033447266) (5079,48.870033264160156) (175,48.85900115966797) (65,48.84590530395508) (65,48.84590530395508) (1306,48.84126281738281) (1375,48.83266067504883)
211: (1075,50.72380447387695) (190,50.39936447143555)* (1104,50.215938568115234) (450,50.014339447021484) (70,49.909217834472656) (1300,49.74418640136719) (172,49.640682220458984) (56,49.628662109375) (56,49.628662109375) (7,49.484092712402344) (159,49.465980529785156) (1379,49.331153869628906) (64,49.2982177734375) (64,49.2982177734375) (1099,49.239253997802734) (1376,49.187835693359375) (5079,49.016021728515625) (1072,49.002349853515625)* (81,48.97504425048828) (432,48.90550231933594)
212: (7930,52.610382080078125) (1913,52.564918518066406) (3864,52.41949462890625) (5585,52.37881088256836) (7101,52.371788024902344) (7099,52.33677673339844) (9821,52.275699615478516) (956,52.22031021118164) (1347,52.20933532714844) (2746,52.178688049316406) (2055,52.130409240722656) (7042,51.969547271728516) (5076,51.94172668457031) (5456,51.937339782714844) (925,51.91055679321289) (1350,51.82984924316406)* (5016,51.82811737060547) (7107,51.74055099487305) (176,51.673614501953125) (5694,51.642147064208984)
213: (377,53.945152282714844)* (917,53.77836990356445) (503,53.659263610839844) (815,53.485260009765625) (808,53.46890640258789) (517,53.45658874511719)* (953,53.34520721435547) (2379,53.33613586425781) (230,53.33612823486328) (1274,53.160545349121094) (1406,53.040252685546875) (220,52.98664093017578)* (1104,52.839988708496094) (830,52.787471771240234) (1131,52.69792556762695) (918,52.69694900512695) (923,52.6660270690918) (841,52.59955978393555) (1873,52.53327178955078) (2850,52.52526092529297)
214: (289,51.26862335205078)* (55,50.65693664550781)* (455,50.568115234375) (349,50.54783630371094)* (257,50.4824104309082) (294,50.2774658203125) (310,50.1927490234375) (959,50.118770599365234)* (2523,50.06937789916992) (333,50.060386657714844) (1464,50.04460906982422) (525,50.024391174316406) (251,50.009063720703125) (906,49.947269439697266) (180,49.90773391723633) (913,49.843605041503906) (320,49.814910888671875) (285,49.76295471191406)* (258,49.74687957763672) (299,49.73777770996094)
215: (227,57.12039566040039) (220,56.949317932128906) (2361,56.90180587768555) (234,56.89485168457031) (4155,56.784881591796875) (2842,56.65851593017578) (163,56.499969482421875) (1643,56.48003387451172) (715,56.32822036743164) (982,56.31373596191406) (728,56.30644989013672) (1412,56.20096969604492) (6724,56.19654083251953) (1415,56.17106246948242) (1249,56.12330627441406) (7260,56.09088134765625) (585,56.084869384765625) (511,56.04443359375) (959,56.03558349609375) (857,56.027442932128906)
216: (757,56.62190628051758) (450,56.183738708496094) (173,56.158409118652344) (3196,55.79730987548828) (72,55.669456481933594)* (72,55.669456481933594)* (432,55.656124114990234) (229,55.61354064941406) (190,55.60249710083008) (1376,55.49382781982422) (154,55.279380798339844) (539,55.23014831542969) (11031,55.22138977050781) (233,55.105892181396484) (703,55.05844497680664) (487,55.046974182128906) (526,55.04069519042969) (159,54.98675537109375) (532,54.927513122558594) (6847,54.91886901855469)
217: (8555,58.50736999511719) (9540,58.1909065246582) (1207,58.146392822265625) (3431,58.08396911621094) (11623,58.03166961669922) (3434,57.79698181152344) (3435,57.52226257324219) (3011,57.227149963378906) (8423,57.17878723144531) (3430,57.065101623535156)* (12496,56.979454040527344) (9595,56.89788818359375) (1804,56.894081115722656) (3456,56.8809814453125) (3444,56.835140228271484) (3443,56.760337829589844) (9590,56.749114990234375) (863,56.74159622192383) (3354,56.66748046875) (3445,56.65841293334961)
218: (190,55.54787063598633) (1118,55.42818832397461) (233,55.23515319824219) (1131,55.13703536987305) (234,55.029808044433594) (7,55.022483825683594) (173,54.77945327758789) (512,54.72534942626953) (517,54.63462829589844) (226,54.52561569213867) (154,54.45646667480469) (1116,54.33030700683594) (229,54.31950759887695) (854,54.276554107666016) (159,54.24363327026367) (504,54.10792541503906) (377,54.040138244628906) (230,53.98933410644531) (533,53.968753814697266) (614,53.961246490478516)
219: (497,54.443756103515625) (498,54.327056884765625)* (488,54.09967803955078) (1186,53.576271057128906) (499,53.478946685791016)* (209,53.36223602294922) (1091,53.3266487121582) (3427,53.30195236206055) (230,53.23667907714844) (493,53.23420333862305) (537,53.21630096435547) (490,53.18284606933594) (536,53.109535217285156) (472,53.10651397705078) (4177,53.07509231567383) (5972,53.03241729736328) (808,52.95452117919922) (2661,52.888771057128906) (1380,52.83330535888672) (190,52.805274963378906)*
220: (429,57.685970306396484)* (1239,57.149391174316406) (441,57.099430084228516) (199,57.08039093017578) (195,57.01301574707031) (159,56.996315002441406) (5785,56.972259521484375) (428,56.90928268432617) (222,56.9076042175293) (618,56.900665283203125) (1090,56.77483367919922) (3744,56.7362174987793) (1242,56.62400436401367) (416,56.603736877441406) (1504,56.51622009277344) (223,56.47141647338867) (2531,56.427734375) (434,56.42091369628906) (3797,56.379119873046875) (859,56.378143310546875)
223: (333,56.06793212890625)* (89,55.837799072265625) (344,55.74587631225586)* (289,55.40972900390625)* (291,55.25246047973633)* (701,55.181121826171875) (2977,55.00689697265625) (321,54.997779846191406) (302,54.985069274902344)* (466,54.863182067871094) (498,54.76738739013672) (1470,54.742706298828125)* (307,54.663414001464844) (67,54.567359924316406) (67,54.567359924316406) (455,54.4858283996582) (544,54.44012451171875) (324,54.43640899658203) (257,54.430908203125) (318,54.25928497314453)
224: (2938,55.743629455566406) (511,55.609169006347656) (2029,55.43303680419922) (874,55.39817810058594) (985,55.3555908203125)* (203,55.277503967285156) (2531,55.11981964111328) (98,55.019126892089844) (1414,55.01385498046875) (1889,54.97792053222656) (154,54.93473434448242) (1001,54.87461853027344) (1014,54.871665954589844) (1013,54.808387756347656)* (851,54.7881965637207) (2552,54.782196044921875) (715,54.67279052734375)* (96,54.67266082763672)* (187,54.66524124145508)* (959,54.66056823730469)
225: (806,55.51936340332031) (391,55.315555572509766) (815,55.17810821533203) (2835,55.003578186035156) (837,54.97530746459961) (2955,54.80754470825195) (785,54.78013610839844)* (1913,54.733116149902344) (923,54.65737533569336) (813,54.596099853515625)* (1339,54.51585388183594) (2143,54.42063903808594) (846,54.36809539794922) (5041,54.31821060180664) (2735,54.318145751953125) (1104,54.28233337402344) (497,54.20223617553711) (489,54.17864990234375) (198,54.174625396728516) (957,54.16703796386719)
226: (300,53.283477783203125)* (466,53.155147552490234)* (288,53.06231689453125)* (461,52.988433837890625)* (306,52.7758903503418)* (292,52.6962776184082)* (475,52.306427001953125)* (464,51.99610900878906) (293,51.94438934326172) (299,51.849281311035156) (704,51.79308319091797) (328,51.781375885009766) (686,51.7510986328125)* (528,51.749507904052734) (908,51.71429443359375) (802,51.60224151611328)* (1032,51.598907470703125) (680,51.53508758544922) (458,51.459312438964844) (1456,51.45317077636719)
227: (288,52.83409118652344)* (89,52.53178787231445)* (306,51.98392105102539) (701,51.819915771484375)* (1449,51.816871643066406) (475,51.802513122558594) (328,51.783084869384766) (318,51.676570892333984) (317,51.5597038269043) (308,51.5107421875) (4562,51.479671478271484) (1037,51.462745666503906) (349,51.445884704589844)* (302,51.401329040527344)* (644,51.37971115112305) (907,51.36334991455078) (468,51.30461120605469) (296,51.22026443481445) (161,51.194313049316406) (1904,51.18702697753906)*
228: (8614,61.157630920410156) (567,60.61341094970703) (212,60.61173629760742)* (2415,60.39242172241211) (11935,60.37364959716797) (227,60.24406814575195) (3354,60.20648956298828) (1901,60.06646728515625) (1639,59.99028778076172) (5810,59.85139465332031) (4795,59.80128479003906) (735,59.79502868652344) (1631,59.768489837646484) (12496,59.764625549316406) (2637,59.732200622558594) (4780,59.72641372680664) (9590,59.700157165527344) (554,59.66474914550781) (3444,59.66379928588867) (6146,59.65309143066406)
229: (475,55.69269561767578) (1613,55.63041305541992) (377,54.78352355957031) (278,54.34686279296875) (331,54.33254623413086) (56,54.12790298461914) (56,54.12790298461914) (2179,54.10772705078125) (89,54.09489440917969)* (306,53.861785888671875)* (190,53.77093505859375) (378,53.73224639892578) (907,53.721561431884766) (547,53.72114944458008) (295,53.599456787109375) (157,53.588157653808594) (2923,53.57454299926758) (198,53.571773529052734) (1099,53.475494384765625) (333,53.45891571044922)
230: (295,51.937957763671875) (701,51.32466125488281)* (475,51.29521179199219) (907,51.230648040771484) (466,51.123779296875)* (328,50.925289154052734) (161,50.660125732421875) (468,50.58217239379883) (157,50.562591552734375) (544,50.488929748535156)* (327,50.43681335449219) (525,50.34270477294922) (1444,50.33063507080078) (1449,50.32110595703125) (329,50.30536651611328) (290,50.28294372558594) (310,50.27832794189453) (913,50.246124267578125) (386,50.19581604003906) (5988,50.17947769165039)
231: (328,49.958229064941406)* (333,49.95238494873047) (302,49.76220703125) (257,49.696144104003906)* (475,49.62192153930664) (461,49.59614562988281)* (55,49.55851745605469) (317,49.42478942871094)* (544,49.406097412109375) (314,49.33467102050781) (294,49.319618225097656) (308,49.26593017578125) (291,49.24671936035156) (525,49.0809326171875) (913,49.078163146972656) (293,49.06227493286133) (310,49.06130599975586) (531,49.01853942871094) (330,48.946685791015625) (157,48.901405334472656)
232: (67,50.55125427246094)* (67,50.55125427246094)* (157,50.366119384765625) (328,49.147010803222656) (475,49.13230895996094) (288,49.12956237792969)* (302,49.020450592041016) (329,48.94327163696289) (525,48.906028747558594) (378,48.8350715637207) (300,48.7974853515625) (296,48.78956604003906) (701,48.749359130859375) (72,48.69758987426758) (72,48.69758987426758) (377,48.613399505615234) (257,48.565650939941406)* (333,48.54338836669922) (1009,48.39188766479492) (1379,48.38661193847656)
233: (333,53.63267517089844) (466,53.56317901611328)* (295,53.25275421142578) (306,53.17597198486328)* (544,52.9453239440918) (302,52.918975830078125)* (704,52.88688278198242) (701,52.650726318359375) (293,52.461029052734375) (1034,52.43851852416992) (328,52.37071990966797) (523,52.308448791503906) (344,52.276100158691406) (464,52.21746063232422) (524,52.2046012878418) (291,52.11560821533203) (1032,52.078433990478516) (528,52.076499938964844) (318,52.074440002441406) (157,52.06721496582031)
234: (278,57.78507995605469) (2226,57.73284149169922) (527,57.540245056152344) (1537,57.41183853149414) (6288,57.20445251464844) (475,57.134849548339844) (1622,57.016021728515625) (1613,56.832801818847656) (1963,56.82670974731445) (331,56.6630973815918)* (10555,56.563079833984375) (8182,56.3465576171875) (2923,56.28127670288086) (9216,56.2659797668457) (4585,56.20144271850586)* (4344,56.18046951293945) (3357,56.09115219116211) (1620,56.07508850097656) (2179,56.04982376098633) (1401,55.98341751098633)
235: (370,56.40010452270508) (841,55.548179626464844) (920,55.3267936706543)* (843,55.31732940673828) (917,55.25108337402344)* (506,55.231727600097656) (821,55.1817626953125)* (949,55.0997200012207) (15,55.08553695678711)* (923,55.06061935424805) (25,54.967071533203125) (1104,54.91682815551758) (517,54.621192932128906) (954,54.40460205078125)* (4971,54.373390197753906) (1119,54.287254333496094) (198,54.23016357421875) (1113,54.18881607055664) (936,54.11723327636719) (1369,54.1047477722168)*
236: (475,50.981048583984375)* (377,50.766571044921875) (67,50.619503021240234) (67,50.619503021240234) (306,50.45730209350586) (295,50.392189025878906)* (157,50.35942840576172) (907,50.21936798095703) (190,50.21604919433594)* (56,50.204933166503906) (56,50.204933166503906) (378,50.10210418701172) (302,50.061309814453125) (538,50.013755798339844) (525,49.93398666381836) (328,49.921180725097656) (298,49.919105529785156) (1009,49.90633773803711) (498,49.8868522644043) (689,49.7174072265625)
237: (154,55.5142707824707)* (206,54.64018249511719) (418,54.63250732421875) (599,54.54824447631836)* (709,54.516849517822266) (441,54.470420837402344)* (199,54.437896728515625) (159,54.417869567871094) (863,54.409263610839844) (226,54.296852111816406) (212,54.28303527832031) (857,54.21263122558594) (225,54.13483810424805)* (215,54.05970764160156) (1090,53.931732177734375) (207,53.910648345947266)* (228,53.865928649902344) (88,53.82748794555664) (229,53.734527587890625) (602,53.639732360839844)
238: (4965,56.463619232177734) (1124,55.544898986816406) (4787,55.38386154174805) (2033,55.3680419921875) (9916,55.07666778564453) (8341,55.01673889160156) (8658,55.01544952392578) (4972,54.73193359375) (6571,54.641563415527344) (1111,54.55486297607422) (13870,54.414703369140625) (11455,54.32185363769531) (1128,54.2668571472168) (2746,54.18074417114258) (13871,54.1612548828125) (7111,54.046409606933594) (1177,54.03596496582031) (13872,54.013057708740234) (6506,54.00188064575195) (14912,53.992034912109375)
240: (377,50.41450500488281) (518,49.22822952270508) (161,49.10842514038086) (300,48.918949127197266)* (930,48.90160369873047) (1114,48.88960266113281) (157,48.85205841064453) (292,48.67835998535156)* (349,48.5857048034668) (461,48.53038787841797) (544,48.445518493652344)* (67,48.43357849121094)* (67,48.43357849121094)* (328,48.347816467285156)* (329,48.30936813354492) (7,48.29572296142578) (466,48.28517150878906)* (966,48.227378845214844) (291,48.110877990722656) (491,48.097740173339844)
241: (707,57.53923797607422)* (1249,56.7637939453125) (917,56.630393981933594) (2343,56.52508544921875) (843,56.50904846191406) (854,56.451942443847656) (918,56.45140075683594) (234,56.43791961669922) (1513,56.191261291503906) (724,56.159507751464844) (1360,55.86384201049805) (732,55.808006286621094) (517,55.70024108886719) (1206,55.677825927734375) (959,55.66164779663086) (1369,55.632240295410156) (1358,55.609954833984375) (163,55.54508972167969) (176,55.518959045410156) (1814,55.492454528808594)
242: (701,54.316009521484375)* (333,54.30376434326172) (257,54.17931365966797)* (907,54.12404251098633) (306,54.061851501464844)* (466,53.621761322021484)* (475,53.57524108886719) (468,53.5224609375) (461,53.465576171875) (525,53.45246505737305) (1613,53.43785095214844) (349,53.42229461669922)* (299,53.27263641357422)* (329,53.26337432861328) (331,53.25022506713867) (679,53.25010681152344) (157,53.2120361328125) (6389,53.09822463989258) (328,53.01787567138672) (55,52.97821807861328)
243: (532,48.871028900146484)* (58,48.84409713745117)* (58,48.84409713745117)* (526,48.68798828125) (1098,48.44780731201172)* (1062,48.42914962768555) (903,48.36309814453125) (1934,48.27789306640625) (690,48.25785827636719) (229,48.17673110961914) (157,48.175838470458984) (886,48.164283752441406) (72,48.08361053466797)* (72,48.08361053466797)* (1409,48.01881790161133) (539,47.98865509033203) (56,47.97331619262695) (56,47.97331619262695) (535,47.93409729003906) (1243,47.86389923095703)
244: (230,51.96795654296875) (333,51.83116149902344) (227,51.61439514160156) (67,51.50984191894531) (67,51.50984191894531) (289,51.37178039550781) (1246,51.30402374267578) (302,51.265960693359375) (679,51.17679214477539) (229,51.128150939941406) (701,51.10694122314453) (228,51.09208679199219)* (475,51.061851501464844) (377,51.03870391845703) (292,50.900428771972656) (316,50.886478424072266) (234,50.73347091674805) (466,50.71300506591797) (689,50.678504943847656) (3200,50.600921630859375)
247: (1809,45.51169204711914) (1470,44.884742736816406)* (9747,44.817752838134766) (11796,44.76287841796875) (2441,44.70784378051758) (8047,44.664886474609375) (2059,44.59906005859375) (495,44.552406311035156) (4216,44.40351867675781) (2096,44.35222625732422) (4177,44.32086181640625) (3427,44.30116271972656) (3859,44.18440628051758) (2652,44.170570373535156) (486,44.142608642578125) (6247,44.132362365722656) (2062,44.07414245605469) (1704,44.039459228515625) (1933,44.03507995605469) (498,43.984397888183594)
248: (289,51.45276641845703)* (1034,50.697593688964844) (67,50.64259338378906) (67,50.64259338378906) (544,50.47576141357422)* (55,50.400535583496094) (333,50.39585876464844)* (328,50.38970184326172) (352,50.38432312011719) (972,50.213226318359375) (294,50.20238494873047) (157,50.200897216796875) (302,50.15119171142578) (523,50.07500076293945) (308,49.989768981933594)* (674,49.9569091796875) (325,49.9566650390625)* (299,49.923866271972656) (318,49.88615417480469) (3925,49.83708190917969)
