userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,69.11055755615234) (1073,68.00506591796875) (51,67.45714569091797)* (3501,67.16667938232422) (1014,67.0721435546875) (187,66.75701141357422) (998,66.66470336914062) (157,66.63823699951172) (993,66.62583923339844) (3768,66.51156616210938) (1836,66.45092010498047) (238,66.26002502441406) (1713,66.2319564819336) (627,66.22425842285156) (1892,66.20221710205078) (59,66.17524719238281)* (877,66.13526153564453) (1013,66.11346435546875) (1098,66.10675811767578) (61,66.09306335449219)*
179: (89,73.29224395751953)* (190,72.69876098632812) (333,72.52284240722656)* (67,72.29582214355469)* (67,72.29582214355469)* (229,72.03226470947266) (1246,71.77440643310547) (306,71.75535583496094) (295,71.73794555664062) (701,71.72407531738281) (230,71.69776153564453)* (55,71.65379333496094) (3200,71.62838745117188) (302,71.51336669921875) (538,71.46392059326172) (349,71.43075561523438) (65,71.42701721191406) (65,71.42701721191406) (209,71.40813446044922) (228,71.36410522460938)
180: (6657,67.09556579589844) (370,66.20356750488281) (751,65.94001770019531) (3720,65.54838562011719) (1418,65.48014068603516) (757,65.3707275390625) (815,65.3520736694336) (6759,65.3409423828125) (11818,65.18333435058594) (2429,65.18123626708984) (45,64.99300384521484) (1401,64.9773941040039) (503,64.9609603881836) (512,64.89325714111328) (845,64.74890899658203) (1131,64.71012115478516) (2573,64.68379974365234) (4271,64.6830062866211) (2151,64.67733764648438) (779,64.58367919921875)
181: (3053,60.73159408569336) (1704,60.56237030029297) (72,60.310028076171875) (72,60.310028076171875) (1298,59.87815856933594) (1295,59.436397552490234) (4887,59.323848724365234) (460,59.24962615966797) (4901,59.12444305419922) (1104,58.84069061279297)* (234,58.803646087646484)* (18384,58.684818267822266) (3056,58.677181243896484) (6242,58.623817443847656) (10491,58.59048080444336) (3840,58.57711410522461)* (14128,58.535640716552734) (18386,58.497230529785156) (10435,58.48420333862305) (198,58.43019485473633)
182: (2051,72.82804107666016) (4437,72.49388122558594) (727,71.97488403320312) (9405,71.26521301269531) (1908,70.96533203125) (4616,70.95316314697266) (6397,70.87326049804688) (63,70.85037231445312) (63,70.85037231445312) (389,70.52597045898438) (1705,70.45793914794922) (2339,70.36132049560547) (722,70.17384338378906) (4931,70.15835571289062) (4920,70.04269409179688) (5605,70.0191650390625) (12992,69.98906707763672) (65,69.97264862060547) (65,69.97264862060547) (10837,69.94731140136719)
183: (51,72.44314575195312) (599,72.230712890625) (59,72.0167007446289)* (2938,71.67969512939453) (2638,71.53365325927734) (1001,71.526611328125) (187,71.51795196533203) (227,71.29890441894531) (441,71.12849426269531) (81,71.09821319580078) (851,71.05465698242188) (163,70.92655181884766)* (95,70.7874984741211) (1013,70.78179931640625) (5833,70.65546417236328) (993,70.6380386352539) (1886,70.62799835205078) (1073,70.60676574707031) (961,70.58160400390625) (715,70.46186828613281)
184: (65,69.04602813720703) (65,69.04602813720703) (81,68.93072509765625)* (1781,68.85127258300781) (238,68.18683624267578)* (54,68.14159393310547) (54,68.14159393310547) (418,67.98797607421875)* (229,67.89128875732422) (506,67.79034423828125)* (1075,67.78459167480469) (183,67.68025970458984) (227,67.64447021484375) (962,67.54707336425781) (159,67.46749877929688) (215,67.4167251586914) (233,67.37325286865234) (1385,67.23914337158203) (511,67.23065185546875) (1400,67.1219482421875)*
185: (187,58.36587905883789)* (1079,58.17728805541992) (1704,57.97611618041992) (511,57.68672561645508) (5254,57.54130554199219) (999,57.511192321777344) (1019,57.39484786987305) (715,57.13694381713867) (1013,57.13510513305664)* (993,57.08124923706055) (7130,57.038692474365234) (75,56.98452377319336) (75,56.98452377319336) (959,56.92241668701172) (190,56.78499221801758) (99,56.740535736083984) (6128,56.73054885864258) (227,56.61137771606445) (4155,56.58322525024414) (1892,56.57004928588867)
186: (300,72.71800231933594)* (1246,72.52164459228516) (461,72.17550659179688) (475,72.07862091064453) (89,72.0308609008789)* (344,71.98921966552734)* (701,71.60396575927734) (371,71.55862426757812) (1186,71.49305725097656)* (538,71.34930419921875) (161,71.3250961303711) (544,71.30928802490234) (537,71.29197692871094) (209,71.26811981201172) (458,71.22481536865234) (306,71.2245864868164)* (681,71.21305847167969)* (455,70.9345703125) (329,70.90088653564453) (295,70.83383178710938)
187: (72,73.11925506591797)* (72,73.11925506591797)* (193,71.1445083618164)* (511,71.07383728027344) (163,70.90166473388672)* (99,70.87495422363281) (1001,70.37922668457031) (159,70.19261169433594)* (851,70.18062591552734) (868,70.17942810058594) (1412,70.11744689941406) (905,70.09968566894531) (1464,70.01591491699219) (1707,69.9988784790039) (1013,69.9470443725586)* (715,69.86012268066406) (59,69.85468292236328) (1534,69.85131072998047) (95,69.79458618164062) (3302,69.74580383300781)
189: (1104,67.68910217285156) (1116,67.01750946044922)* (234,66.6286392211914)* (979,66.34027862548828) (1099,66.19147491455078) (5444,66.07990264892578) (1974,65.97355651855469) (486,65.95905303955078)* (497,65.91144561767578) (1672,65.82627868652344) (220,65.80426788330078) (504,65.77999877929688) (854,65.57001495361328) (982,65.47708129882812)* (1191,65.46196746826172) (7639,65.45658111572266) (519,65.45594024658203) (154,65.38738250732422) (2206,65.2559814453125)* (503,65.24726867675781)
190: (6856,61.35673141479492) (6697,61.25794982910156) (4324,61.00263595581055) (3497,60.59228515625) (791,60.5847282409668) (7545,60.510948181152344) (6713,59.77284622192383) (9116,59.548675537109375) (16771,59.52489471435547) (9090,59.52212905883789) (6860,59.372493743896484) (3311,59.34449768066406) (8844,59.30540466308594) (10807,59.253440856933594) (334,59.12659454345703) (347,59.061553955078125) (2054,58.99842834472656) (5238,58.91573715209961) (12587,58.83035659790039) (12592,58.7462158203125)
191: (880,64.987548828125) (2469,64.782470703125)* (1707,64.62486267089844) (70,64.4419937133789) (877,64.29927062988281) (1099,64.27783203125) (1713,64.2634506225586)* (1001,64.25096130371094) (63,64.21612548828125) (63,64.21612548828125) (4316,64.20497131347656) (175,64.12201690673828) (190,64.05720520019531)* (163,64.05490112304688) (234,63.94451904296875) (233,63.94185256958008) (173,63.88125991821289) (1073,63.875267028808594) (511,63.82387924194336) (986,63.78394317626953)
192: (8633,62.29859161376953) (3809,62.058448791503906) (11604,61.9940299987793) (10449,61.57119369506836) (8469,61.03376388549805) (3028,60.826698303222656) (3335,60.515419006347656) (4003,60.46017837524414)* (2771,60.35073471069336) (4107,60.08269500732422) (4283,60.07197952270508) (5135,60.071773529052734) (839,59.972808837890625) (4185,59.80511474609375) (13629,59.72956848144531) (2756,59.55472946166992) (11624,59.4288444519043) (1207,59.394283294677734) (9805,59.3622932434082) (9794,59.350791931152344)
193: (2610,63.28597640991211) (88,63.10686492919922) (1099,62.90756607055664) (2699,62.85655212402344) (229,62.79450225830078) (377,62.458824157714844) (70,62.357810974121094) (475,62.1670036315918) (969,62.09828567504883) (227,62.03150177001953) (1397,62.001319885253906)* (5072,61.989051818847656) (722,61.95625686645508) (1786,61.95034408569336) (511,61.942237854003906)* (230,61.84259033203125) (5071,61.83966827392578) (173,61.76174545288086) (65,61.68214416503906) (65,61.68214416503906)
194: (632,72.4195327758789) (1735,71.63154602050781)* (3411,71.3324966430664) (1098,71.2747573852539)* (1418,71.24073028564453) (763,71.059326171875) (2605,71.05364990234375) (81,70.98869323730469)* (748,70.98052978515625) (621,70.85501861572266) (622,70.84092712402344) (606,70.78160095214844) (757,70.61424255371094) (755,70.5826644897461) (7382,70.47593688964844) (1983,70.46112060546875) (4058,70.39938354492188) (615,70.39875030517578) (6756,70.37367248535156) (2542,70.26300811767578)
195: (599,73.62101745605469) (197,73.35501861572266) (429,73.26111602783203) (1633,73.19142150878906) (441,73.16673278808594) (715,73.12873840332031) (615,72.99114990234375) (859,72.83309173583984)* (206,72.7750244140625) (857,72.6480941772461) (203,72.63961029052734) (222,72.63922119140625) (9286,72.57534790039062) (159,72.53832244873047) (199,72.45582580566406) (1090,72.30067443847656) (867,72.28105926513672) (2531,72.2807388305664) (207,72.2105712890625) (618,72.14042663574219)
196: (533,70.10736846923828) (190,69.98915100097656)* (207,69.87433624267578)* (159,69.80835723876953) (203,69.65039825439453) (234,69.6196060180664)* (228,69.56607818603516) (429,69.41826629638672) (716,69.1548843383789)* (511,68.91748046875) (173,68.8746109008789) (163,68.83383178710938) (441,68.78107452392578) (1048,68.65435791015625) (65,68.63971710205078)* (65,68.63971710205078)* (735,68.54944610595703) (436,68.52812194824219)* (1512,68.50186157226562) (72,68.4935531616211)
198: (3032,76.21612548828125) (805,75.6728515625) (1192,75.1737060546875) (823,74.79276275634766)* (809,74.75640106201172) (814,74.7032470703125) (1100,74.6468734741211) (3616,74.58534240722656) (815,74.53877258300781) (6773,74.34800720214844) (810,74.33678436279297) (5969,74.31197357177734) (412,74.31118774414062) (4779,74.24617767333984) (1046,74.10279846191406) (6461,74.08003997802734) (4104,74.0368881225586)* (3997,74.03205871582031) (5444,74.0078125) (198,73.96772003173828)
200: (163,72.97527313232422)* (601,72.84630584716797) (1369,71.99067687988281) (157,71.97539520263672) (1372,71.86886596679688) (72,71.5874252319336) (72,71.5874252319336) (868,71.2813491821289) (975,71.24005126953125) (6959,71.1418685913086) (707,71.09933471679688) (1464,71.046875) (1413,71.01628112792969) (2558,70.99005126953125) (1244,70.89039611816406) (2742,70.86027526855469) (7054,70.75001525878906) (1415,70.70310974121094)* (77,70.69190979003906) (77,70.69190979003906)
201: (1114,70.11502075195312) (961,69.8158950805664) (390,69.7807846069336) (2059,69.6539306640625) (930,69.34349060058594) (406,69.2855224609375) (518,69.27508544921875)* (72,69.17108917236328)* (72,69.17108917236328)* (5238,69.10626220703125) (178,68.98403930664062) (2044,68.92074584960938) (1098,68.80262756347656) (2060,68.68904876708984) (967,68.61363983154297) (54,68.4582290649414) (54,68.4582290649414) (1300,68.43840026855469) (1375,68.4365005493164) (955,68.34777069091797)
202: (707,71.26950073242188)* (920,70.34271240234375) (917,70.01646423339844)* (918,69.9442138671875)* (957,69.72718811035156) (188,69.71588134765625) (928,69.6055908203125)* (2835,69.46166229248047) (2961,69.4173812866211) (2963,69.38175964355469) (4691,69.3511962890625) (2370,69.3243179321289) (1360,69.25944519042969) (25,69.24107360839844) (6129,69.15454864501953) (370,69.14295196533203) (4971,69.0827865600586) (181,69.03605651855469) (1339,69.00306701660156) (2654,68.97998046875)
203: (779,69.18708801269531) (1541,68.41281127929688)* (1672,68.12568664550781) (1044,68.09625244140625) (1678,68.05670166015625) (830,68.03987121582031) (2959,68.01097869873047) (537,67.90245056152344) (8,67.88687133789062) (45,67.79190063476562) (1185,67.72549438476562) (953,67.61131286621094) (498,67.61034393310547) (768,67.5966796875) (818,67.58727264404297) (5100,67.36604309082031) (978,67.30476379394531) (1181,67.18252563476562) (4171,67.13581848144531)* (823,67.1134262084961)
204: (8934,55.950843811035156) (13515,54.76753234863281) (1645,54.71767807006836) (4184,54.661102294921875)* (7329,54.40616226196289) (3729,54.346256256103516) (4724,54.170799255371094) (5810,54.08440017700195) (13237,53.796024322509766) (13819,53.772422790527344) (10955,53.69742965698242) (13518,53.68971252441406) (9794,53.50166320800781) (4821,53.49846267700195) (13260,53.45464324951172) (13528,53.394134521484375) (4820,53.3193244934082) (12490,53.25355529785156) (13858,53.16886901855469) (5628,53.05730438232422)
205: (45,66.68866729736328) (1099,65.81092071533203) (779,65.51713562011719)* (512,65.29305267333984) (1191,64.88573455810547) (198,64.7455825805664) (808,64.58268737792969) (234,64.53147888183594) (1206,64.52174377441406) (1044,64.42060089111328) (3053,64.085693359375) (7639,64.08274841308594) (978,63.97678756713867) (7,63.97098159790039) (8,63.966880798339844) (2850,63.96408462524414) (412,63.9380989074707) (489,63.923194885253906) (173,63.8282585144043)* (377,63.795841217041016)
206: (72,67.69000244140625) (72,67.69000244140625) (190,66.86671447753906) (159,66.4157943725586) (3053,66.37679290771484) (429,65.9364013671875) (511,65.91630554199219) (88,65.802734375) (1394,65.65481567382812) (1090,65.61315155029297) (59,65.55033111572266) (986,65.53988647460938) (234,65.50906372070312) (154,65.49319458007812)* (203,65.46052551269531) (715,65.41931915283203) (599,65.07784271240234) (1376,65.07174682617188) (64,65.00804138183594) (64,65.00804138183594)
207: (344,68.26300048828125) (300,68.0251235961914) (691,67.91442108154297) (289,67.63677978515625) (498,67.6358642578125) (679,67.61593627929688) (3081,67.40750885009766) (681,67.22423553466797) (307,67.15203094482422) (471,67.08065032958984) (548,66.9766845703125) (2977,66.97445678710938) (1105,66.86654663085938) (1934,66.8578872680664) (461,66.73645782470703) (65,66.65824890136719) (65,66.65824890136719) (298,66.6136703491211) (2607,66.56421661376953) (2982,66.53357696533203)
208: (4273,72.0432357788086)* (20,70.53327178955078) (2970,70.4736557006836) (1254,70.1926040649414)* (1264,69.5766830444336) (1214,69.51719665527344) (1344,68.96429443359375) (3509,68.93280792236328) (8251,68.8880615234375) (4280,68.70687866210938)* (7926,68.64193725585938) (1356,68.55327606201172) (949,68.54145812988281) (3660,68.50497436523438) (7918,68.46194458007812) (1654,68.44489288330078) (3637,68.42076873779297) (1523,68.27213287353516) (2761,68.13640594482422) (954,68.10531616210938)
209: (292,72.47591400146484)* (333,72.30754089355469)* (89,72.19551086425781) (701,72.06504821777344) (466,71.67461395263672) (291,71.45960998535156)* (344,71.41952514648438) (679,71.3963394165039) (157,71.1207046508789) (498,70.79566192626953)* (458,70.66828918457031) (320,70.55613708496094)* (464,70.34917449951172) (298,70.31807708740234) (646,70.28558349609375)* (903,70.2799301147461) (293,70.2260513305664) (455,70.2027359008789) (544,70.19552612304688) (542,70.12973022460938)
210: (1104,60.779720306396484) (1793,60.54433059692383) (75,60.470943450927734) (75,60.470943450927734) (70,60.386783599853516) (486,60.30320358276367) (153,60.261844635009766) (3501,60.18636703491211) (89,60.17267608642578)* (377,59.978057861328125) (518,59.96670150756836) (51,59.959232330322266) (3191,59.95173645019531) (229,59.92386245727539) (10959,59.90838623046875) (1704,59.899620056152344) (182,59.88778305053711) (64,59.88264846801758) (64,59.88264846801758) (7,59.7864875793457)
211: (1787,65.41363525390625) (1075,65.18303680419922) (190,65.10218811035156)* (70,64.55750274658203) (1104,64.50298309326172) (1072,64.25851440429688)* (450,63.99477005004883) (182,63.90119934082031) (1099,63.89131546020508) (7,63.81483459472656) (234,63.81049728393555) (3053,63.4603157043457) (880,63.38666915893555) (3046,63.285648345947266) (1376,63.28133010864258) (159,63.23502731323242) (757,63.154624938964844) (207,63.113563537597656) (851,63.09901428222656) (1062,63.018531799316406)*
212: (5585,70.25823211669922) (955,69.95196533203125) (5076,69.40213012695312) (963,69.21296691894531) (925,69.20670318603516) (1350,69.07807922363281)* (10460,69.02571105957031) (5016,68.91482543945312) (7101,68.86505126953125) (6282,68.61723327636719) (956,68.60425567626953) (1114,68.577880859375) (929,68.44610595703125) (944,68.41946411132812)* (1347,68.39762878417969) (6284,68.35374450683594) (4679,68.27938079833984) (954,68.24647521972656) (4135,68.21741485595703) (837,68.20763397216797)
213: (808,69.80538940429688) (1131,69.5071792602539) (377,69.49800872802734)* (230,69.47824096679688) (917,69.4382553100586) (918,69.28628540039062) (1274,69.2342529296875) (1104,69.22477722167969) (1369,69.147216796875) (220,69.14513397216797)* (1116,69.04925537109375)* (841,69.0339584350586) (1412,69.02684020996094) (503,69.0195541381836) (227,68.72023010253906) (830,68.70931243896484) (1406,68.70858001708984) (2379,68.59262084960938) (519,68.51573181152344) (517,68.43891906738281)*
214: (289,75.43009185791016)* (257,74.42676544189453) (2523,74.18302917480469) (349,74.01310729980469)* (1244,74.00540161132812)* (299,73.96712493896484) (455,73.95303344726562) (55,73.9372787475586)* (333,73.81318664550781) (461,73.36724853515625)* (285,73.351806640625)* (679,73.2586669921875) (251,73.2410659790039) (525,73.17263793945312) (310,73.15093231201172) (161,73.1158676147461) (227,73.06796264648438)* (320,73.05342864990234) (1464,73.0520248413086) (301,72.97671508789062)
215: (6348,69.2071304321289) (728,69.13687133789062) (511,68.5844955444336) (220,68.52708435058594) (190,68.44123077392578) (234,68.4039077758789) (1412,68.37840270996094) (154,68.19218444824219) (163,68.17601776123047) (227,68.1734619140625) (715,68.15133666992188) (1415,68.0593032836914) (2783,67.93864440917969) (2361,67.93214416503906) (945,67.86988067626953) (734,67.81572723388672) (6724,67.80147552490234) (982,67.7579116821289) (959,67.65421295166016) (562,67.64100646972656)
216: (757,65.98599243164062) (72,64.7090835571289)* (72,64.7090835571289)* (1098,64.55989074707031) (173,64.5435791015625) (84,64.35049438476562) (7324,64.26779174804688) (190,64.18350219726562) (229,64.09835052490234) (526,64.02207946777344) (4732,63.7963981628418) (5149,63.775299072265625) (4725,63.72283172607422) (1486,63.57835006713867) (420,63.55978012084961) (1405,63.51283264160156) (1099,63.50774002075195) (1376,63.50764465332031) (690,63.48681640625) (532,63.48160934448242)
217: (3354,65.20677947998047) (1227,64.42305755615234) (3431,64.17361450195312) (3430,63.79859924316406)* (11954,63.73405456542969) (3444,63.59212875366211) (3435,63.57844543457031) (9271,63.54671859741211) (3434,63.313716888427734) (10742,63.20103073120117) (9286,63.17237091064453) (11956,62.96841049194336) (1878,62.93442153930664) (227,62.88111877441406) (2481,62.82890319824219) (10766,62.649200439453125) (554,62.5789680480957) (857,62.53636932373047) (3792,62.46413803100586) (4520,62.39278793334961)
218: (190,71.48064422607422) (377,71.08190155029297) (234,70.98199462890625) (808,70.92395782470703) (173,70.54661560058594) (486,70.37664031982422) (209,70.35993957519531) (504,70.32263946533203) (498,70.28631591796875) (230,70.28092956542969) (229,70.1490707397461) (154,69.93390655517578) (7,69.84272003173828) (1854,69.83793640136719) (517,69.72097778320312) (497,69.62843322753906) (1704,69.59874725341797) (1099,69.59639739990234) (1116,69.56095886230469) (65,69.54695892333984)*
219: (488,66.55168151855469) (498,66.39840698242188)* (1377,66.27537536621094) (490,66.13956451416016) (11796,65.89564514160156) (5437,65.72293853759766) (4756,65.69511413574219) (1852,65.6926040649414) (4177,65.58729553222656) (3427,65.57829284667969) (190,65.55194854736328)* (209,65.52600860595703) (497,65.4689712524414) (518,65.4375) (499,65.27850341796875)* (1470,65.18917083740234) (2666,65.155029296875) (1375,65.05562591552734) (540,65.04022216796875) (495,65.02454376220703)
220: (439,73.00814056396484) (196,72.6063003540039) (1755,72.56657409667969) (618,72.33467864990234) (199,72.23493957519531) (1766,72.11585235595703) (223,72.05172729492188) (65,71.95244598388672) (65,71.95244598388672) (3391,71.82416534423828) (416,71.81977081298828) (7147,71.81224822998047) (231,71.73246765136719) (195,71.67359924316406) (5414,71.63202667236328) (1090,71.5135726928711) (4793,71.51313018798828) (1761,71.49613952636719) (3468,71.48579406738281) (632,71.44580078125)
223: (307,70.27832794189453) (291,69.85076904296875)* (344,69.6022720336914)* (2977,69.57915496826172) (289,69.53751373291016)* (333,69.47948455810547)* (786,69.26360321044922) (265,69.02391052246094) (89,68.9952163696289) (302,68.90519714355469)* (1470,68.82112121582031)* (1459,68.7973861694336) (498,68.62620544433594) (311,68.48751068115234)* (3489,68.46142578125)* (701,68.43443298339844) (3321,68.41905975341797) (466,68.19401550292969) (257,68.12349700927734) (1934,68.07237243652344)
224: (3281,73.29191589355469) (2938,72.9395523071289) (1883,72.6988525390625) (1001,72.51061248779297) (874,72.42031860351562) (96,72.41207122802734)* (1013,72.08360290527344)* (2029,72.05116271972656) (1878,71.90200805664062) (2531,71.7335433959961) (511,71.69389343261719) (187,71.59393310546875)* (4129,71.45039367675781) (1014,71.32401275634766) (98,71.30233001708984) (3768,71.21952056884766) (1073,71.21023559570312) (863,71.19058227539062) (1889,71.15664672851562) (1892,71.15608215332031)
225: (954,68.79261016845703)* (1281,68.51134490966797) (953,68.33985900878906) (1348,68.108642578125) (11936,68.09931945800781) (785,67.82911682128906)* (808,67.56980895996094) (198,67.37322998046875) (45,67.3062744140625) (5667,67.23699951171875) (843,67.21924591064453) (1521,67.21403503417969) (3239,67.1637954711914) (1206,67.11685943603516) (850,67.06623840332031) (2746,66.99641418457031) (923,66.94281005859375) (815,66.79835510253906) (813,66.74713897705078)* (841,66.6941909790039)*
226: (288,71.79783630371094)* (300,71.73041534423828)* (292,71.42005920410156)* (466,71.35816192626953)* (461,71.2460708618164)* (686,70.65042877197266)* (704,70.40348052978516) (306,70.2886962890625)* (464,70.15951538085938) (299,70.13524627685547) (293,70.12097930908203) (55,69.99751281738281) (458,69.91021728515625) (528,69.80589294433594) (352,69.75265502929688) (908,69.691650390625) (525,69.57298278808594) (298,69.54280853271484) (386,69.50701141357422) (324,69.48667907714844)
227: (288,71.21430969238281)* (89,70.38056945800781)* (2102,69.94280242919922) (318,69.58051300048828) (349,69.5158462524414)* (375,69.34920501708984) (1904,69.33734893798828)* (290,69.29088592529297) (302,69.27466583251953)* (296,69.20695495605469) (374,69.1077651977539) (701,69.09490203857422)* (972,69.021484375) (325,68.93559265136719) (328,68.88843536376953) (306,68.79553985595703) (344,68.79339599609375)* (323,68.70880126953125) (686,68.69535827636719) (548,68.66398620605469)
228: (583,68.6587142944336) (567,68.0589599609375) (10394,67.98766326904297) (7148,67.65300750732422) (3440,67.59419250488281) (3354,67.39067077636719) (6824,67.26530456542969) (3364,67.26355743408203) (2633,67.26103210449219) (10214,67.1517333984375) (212,67.11651611328125)* (9271,67.10305786132812) (206,66.97895050048828) (565,66.95038604736328) (2265,66.88934326171875) (2415,66.868408203125) (5660,66.86827087402344) (1901,66.82725524902344) (12599,66.81639099121094) (163,66.75382232666016)
229: (475,73.30311584472656) (289,72.38782501220703)* (89,72.06904602050781)* (288,72.05561065673828)* (1613,71.73744201660156) (306,71.68412017822266)* (328,71.64823150634766) (331,71.59098815917969) (300,71.57062530517578) (701,71.55780029296875) (295,71.55046844482422) (157,71.45808410644531) (2179,71.44934844970703) (333,71.34095764160156) (292,71.2984848022461) (468,71.22205352783203) (377,71.15170288085938) (378,70.96656036376953) (466,70.9129638671875) (67,70.86808013916016)
230: (295,73.81068420410156) (466,73.0158920288086)* (290,72.70590209960938) (701,72.50130462646484)* (679,72.35829162597656) (161,72.2280502319336) (455,72.19215393066406) (2094,72.10237884521484) (681,72.05317687988281) (386,72.02685546875) (352,72.00564575195312) (310,71.97224426269531) (293,71.97169494628906) (265,71.86658477783203) (1459,71.8472671508789) (326,71.66505432128906) (498,71.5707778930664) (296,71.41829681396484) (325,71.39093780517578) (786,71.36583709716797)
231: (328,66.79034423828125)* (257,66.62464141845703)* (333,66.60169219970703) (461,66.5295639038086)* (317,66.43096160888672)* (302,66.41993713378906) (55,66.27222442626953) (314,66.20515441894531) (310,65.91678619384766) (525,65.90583038330078) (531,65.90031433105469) (686,65.739990234375) (308,65.66195678710938) (294,65.64496612548828) (291,65.63037872314453) (4814,65.51337432861328) (329,65.47894287109375) (544,65.45205688476562) (1451,65.43824768066406) (325,65.42362976074219)
232: (67,68.52818298339844)* (67,68.52818298339844)* (288,68.3764419555664)* (328,68.19012451171875) (157,67.62295532226562) (299,67.22715759277344)* (312,67.15831756591797) (1601,66.9201431274414) (300,66.89192199707031) (701,66.77386474609375) (4767,66.53936767578125) (302,66.52722930908203) (155,66.48283386230469) (329,66.39886474609375) (466,66.30108642578125) (525,66.26152801513672) (2598,66.20423889160156) (535,66.1248779296875) (331,66.11641693115234) (333,66.10493469238281)
233: (466,71.5666732788086)* (295,71.2949447631836) (333,71.2716064453125) (704,71.02754974365234) (306,70.73167419433594)* (544,70.3781967163086) (542,70.36481475830078) (302,70.1395263671875)* (325,70.12999725341797) (701,70.03182220458984) (686,69.93667602539062) (344,69.93489074707031) (524,69.90210723876953) (464,69.89273071289062) (790,69.81002807617188) (802,69.72132873535156) (349,69.66444396972656) (328,69.57369232177734) (324,69.5162124633789) (528,69.4102554321289)
234: (2226,65.60418701171875) (527,65.30974578857422) (278,65.12203979492188) (3357,64.94788360595703) (2179,64.16971588134766) (1963,64.0582504272461) (1613,63.82819747924805) (1620,63.49392318725586) (2236,63.4581184387207) (475,63.30986404418945) (240,63.086524963378906) (2923,62.900245666503906) (4585,62.71399688720703)* (3355,62.69387435913086) (2921,62.61939239501953) (2924,62.612857818603516) (331,62.608802795410156)* (3317,62.49540710449219) (7472,62.33698272705078) (249,62.304954528808594)
235: (920,70.82361602783203)* (370,70.44703674316406) (506,69.94669342041016) (2006,69.89122772216797) (821,69.53913879394531)* (1113,69.38386535644531) (1134,69.07899475097656)* (3416,69.0212631225586) (181,68.67848205566406) (2654,68.6666259765625) (806,68.65241241455078) (3788,68.62333679199219) (3405,68.59347534179688) (186,68.53781127929688) (1994,68.51378631591797) (25,68.50331115722656) (843,68.48361206054688) (15,68.47516632080078)* (917,68.36444854736328)* (1118,68.33126831054688)
236: (306,72.26583862304688) (328,71.67465209960938) (310,71.17838287353516) (302,71.0376205444336) (498,71.02133178710938) (190,71.01519012451172)* (295,70.91618347167969)* (4024,70.90467071533203) (907,70.85032653808594) (377,70.7566146850586) (88,70.72686004638672) (538,70.61651611328125) (157,70.61441802978516) (67,70.57905578613281) (67,70.57905578613281) (291,70.52727508544922) (1455,70.30541229248047) (475,70.27059173583984)* (301,70.18912506103516)* (294,70.18559265136719)*
237: (154,73.99861907958984)* (225,72.85905456542969)* (441,72.81781768798828)* (1090,72.6127700805664) (207,72.47126007080078)* (159,72.3574447631836) (709,72.1884536743164) (199,72.17475128173828) (599,72.00643920898438)* (418,71.79137420654297) (206,71.70046997070312) (228,71.58900451660156) (173,71.4276123046875) (229,71.40118408203125) (618,71.24041748046875) (65,71.15927124023438) (65,71.15927124023438) (2542,71.03848266601562) (863,71.0369873046875) (425,70.97264862060547)
238: (4283,59.675689697265625) (4273,59.674251556396484) (3435,58.7398681640625) (1259,58.46721649169922) (3809,58.29715347290039) (4791,58.090370178222656) (4271,57.83917999267578) (7918,57.7585563659668) (20,57.69496536254883) (4807,57.482730865478516) (4290,57.367950439453125) (227,57.168331146240234) (4275,57.144107818603516) (3432,56.943233489990234) (1206,56.733882904052734) (3442,56.517189025878906) (917,56.51447677612305) (841,56.45967102050781) (3431,56.43678283691406) (1521,56.40861892700195)
240: (157,72.70844268798828) (300,72.44124603271484)* (292,72.3851089477539)* (377,72.30065155029297) (913,72.13347625732422) (294,72.0543441772461) (466,71.99490356445312)* (257,71.96747589111328) (349,71.77953338623047) (299,71.60818481445312) (328,71.45503997802734)* (310,71.35678100585938) (67,71.35066223144531)* (67,71.35066223144531)* (329,71.29468536376953) (461,71.24346160888672) (161,71.16311645507812) (291,70.98011016845703) (544,70.9351577758789)* (907,70.91761779785156)
241: (707,71.0268325805664)* (917,70.03742218017578) (854,69.89903259277344) (2794,69.77633666992188) (2370,69.6773452758789)* (918,69.55616760253906) (843,69.41677856445312) (234,69.26599884033203) (928,69.21259307861328) (957,69.17631530761719) (163,68.90204620361328) (370,68.89883422851562)* (924,68.88861846923828) (821,68.81997680664062) (1360,68.78434753417969) (186,68.74654388427734) (1249,68.66673278808594) (841,68.63075256347656) (190,68.53313446044922) (614,68.51206970214844)
242: (701,73.78874969482422)* (306,73.751220703125)* (349,73.33677673339844)* (913,73.113037109375) (257,73.08348083496094)* (1936,73.0143051147461) (468,72.94856262207031) (299,72.76885986328125)* (466,72.66792297363281)* (333,72.5314712524414) (294,72.52095031738281)* (5249,72.3734130859375) (329,72.27129364013672) (461,72.23971557617188) (161,72.1331558227539) (484,72.07035827636719) (328,72.04078674316406) (55,72.02056884765625) (241,71.91861724853516) (157,71.89527893066406)
