userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,75.0465316772461) (3768,74.84757995605469) (1073,74.75566101074219) (51,74.49420928955078)* (3920,74.2337875366211) (1014,73.69796752929688) (1019,73.68535614013672) (1013,73.63550567626953) (998,73.54996490478516) (1836,73.5308609008789) (997,73.46241760253906) (187,73.40522766113281) (3501,73.39506530761719) (1885,73.39071655273438) (59,73.33796691894531)* (157,73.26742553710938) (1886,73.21783447265625) (4308,73.1673355102539) (91,73.10387420654297)* (61,73.01515197753906)*
106: (2158,75.5003433227539) (11743,74.93267822265625) (2818,74.70149230957031) (2816,73.77709197998047) (13902,73.66861724853516) (13827,73.65406036376953) (12838,73.59124755859375) (2149,73.51858520507812) (460,73.23641204833984)* (4896,73.2082290649414) (208,73.15840911865234) (4181,73.09557342529297) (2193,73.07059478759766) (3828,73.056396484375) (5071,73.01675415039062) (9718,73.014404296875) (2747,72.93106842041016) (2832,72.90864562988281) (14739,72.85437774658203) (17192,72.81157684326172)
107: (707,80.66460418701172)* (1358,79.97051239013672) (1913,79.94007873535156) (959,79.67730712890625) (176,79.42573547363281) (732,79.35578155517578) (1412,79.11345672607422) (2565,79.09398651123047) (706,79.07516479492188) (1249,79.04318237304688) (2347,79.03680419921875) (1366,78.99879455566406) (2838,78.9510726928711) (1372,78.91442108154297) (2342,78.8497543334961) (163,78.83647155761719) (724,78.80801391601562)* (868,78.64083099365234) (1338,78.53649139404297) (3470,78.50804138183594)
108: (4271,76.69503021240234) (12,75.62906646728516)* (370,75.6158447265625) (4965,75.34100341796875) (4273,74.71498107910156) (2966,74.71124267578125) (9540,74.6869888305664) (3417,74.55774688720703) (4290,74.20433807373047) (6289,74.16063690185547) (3806,74.11895751953125) (1134,74.02459716796875) (812,73.95199584960938) (821,73.68036651611328) (2969,73.62226104736328) (1128,73.60467529296875) (1276,73.56201934814453) (3798,73.48858642578125) (953,73.4280014038086) (824,73.40890502929688)
109: (2346,76.9373550415039)* (706,76.76625061035156) (952,76.14920043945312)* (928,75.4419174194336) (1810,75.25709533691406)* (2347,75.12635040283203) (1415,75.12516784667969) (4180,75.09854888916016) (917,74.8807601928711) (2797,74.8075942993164)* (924,74.69239807128906) (728,74.36225891113281) (707,74.3343276977539) (6291,74.30609893798828) (1244,74.28627014160156) (2834,74.27135467529297) (230,74.21959686279297) (2664,74.16162872314453) (2859,74.13053894042969) (220,74.10826873779297)
110: (9199,81.08692169189453) (388,80.99369812011719)* (4562,80.90963745117188) (466,80.6350326538086) (410,80.53211975097656) (344,80.46368408203125) (461,80.26364135742188) (686,80.17325592041016) (386,80.1614761352539) (1455,80.13494873046875) (2107,79.9236068725586) (681,79.9018325805664) (793,79.8833999633789) (399,79.5599136352539) (502,79.5179214477539) (318,79.40758514404297) (914,79.39830780029297) (5574,79.34622192382812) (374,79.31218719482422) (321,79.27574920654297)
111: (757,77.40660858154297) (154,77.07734680175781) (441,76.87085723876953)* (238,76.85049438476562)* (4108,76.57510375976562) (748,76.53547668457031) (2158,76.47897338867188) (56,76.38490295410156) (56,76.38490295410156) (234,76.24851989746094) (227,75.92984771728516) (162,75.91416931152344) (420,75.91416931152344) (768,75.87264251708984) (4896,75.8589096069336) (418,75.799560546875) (196,75.7607650756836) (2716,75.73448944091797) (190,75.70108795166016) (3362,75.69969940185547)
113: (707,74.57249450683594)* (198,74.21407318115234)* (706,73.71475219726562) (1351,73.43413543701172) (918,73.32009887695312) (2346,73.09545135498047) (808,73.02154541015625) (1406,72.9886245727539) (517,72.89332580566406) (1672,72.8803939819336) (978,72.78575897216797) (2343,72.7604751586914) (1803,72.7562026977539) (176,72.75554656982422)* (843,72.7017822265625) (1412,72.6466293334961) (1044,72.6311264038086) (724,72.60271453857422) (841,72.6024169921875) (412,72.5964584350586)
114: (1415,77.85245513916016) (1412,77.08236694335938)* (1249,77.07073211669922)* (1244,76.98441314697266) (951,76.54666900634766)* (732,76.40470123291016) (562,76.30998229980469)* (511,76.2235336303711) (2901,76.08927154541016) (712,75.76103210449219) (2786,75.75424194335938) (4369,75.72309112548828) (2834,75.6919937133789) (234,75.66730499267578) (734,75.56526184082031) (554,75.5364761352539) (857,75.53376007080078)* (1369,75.51429748535156)* (220,75.51123809814453) (1416,75.50631713867188)
115: (8559,78.13739776611328) (2864,77.89261627197266)* (1469,77.65209197998047) (8123,77.59064483642578) (2070,77.46369171142578) (11923,77.2825698852539) (7056,77.18791198730469) (583,77.13028717041016) (730,77.0399398803711) (6366,76.98851013183594) (728,76.92768096923828)* (6361,76.77791595458984) (1415,76.75849151611328) (6165,76.72920227050781) (6363,76.64584350585938) (6370,76.64484405517578) (565,76.63825225830078) (11918,76.58935546875) (9528,76.5235366821289) (8555,76.49417114257812)
116: (267,84.2727279663086)* (3227,82.24754333496094) (278,82.24361419677734) (1610,81.6736831665039) (6901,81.47541809082031) (6626,81.418212890625) (3357,81.31856536865234) (1979,81.2414321899414) (6629,81.16136932373047) (1839,81.03936004638672) (1613,81.03556060791016)* (2247,80.87733459472656) (6633,80.82132720947266) (1614,80.66787719726562) (271,80.57059478759766) (1641,80.52798461914062) (6887,80.46542358398438) (6046,80.45252227783203) (617,80.22869873046875) (4586,80.12324523925781)
117: (187,75.94066619873047)* (1464,75.6435546875) (511,75.48986053466797) (77,75.24079132080078) (77,75.24079132080078) (1081,74.90081787109375) (192,74.87712860107422)* (959,74.78080749511719) (993,74.73445129394531) (1079,74.58331298828125) (1122,74.4561538696289) (3302,74.4288558959961) (389,74.37245178222656) (2444,74.1921157836914) (155,74.02215576171875) (1013,74.0201416015625) (877,73.95879364013672) (86,73.9063949584961) (12352,73.84878540039062) (2783,73.77388000488281)
118: (497,73.24263763427734) (835,73.0791244506836) (1854,73.07852935791016) (930,72.97630310058594) (500,72.8767318725586) (486,72.61027526855469) (1672,72.53189086914062)* (2963,72.47003173828125) (488,72.42755126953125)* (726,72.39891815185547) (504,72.3420639038086)* (1180,72.20932006835938) (1339,72.133544921875) (518,72.12708282470703) (953,72.05644989013672) (2014,72.00496673583984) (1044,71.97825622558594) (806,71.97806549072266) (1914,71.94561004638672)* (4162,71.90689086914062)
119: (812,72.33056640625)* (2143,71.47647857666016) (6289,71.41429138183594) (815,71.33557891845703) (25,71.16929626464844) (806,71.10984802246094)* (12,71.09442138671875) (824,71.07011413574219)* (2744,71.06828308105469) (1131,70.9380111694336) (846,70.83230590820312) (707,70.63165283203125) (15,70.51438903808594) (1992,70.5108413696289) (785,70.35181427001953) (837,70.31123352050781) (4971,70.2375259399414) (949,70.1898193359375) (4271,70.03446960449219) (2006,70.0060043334961)
120: (89,79.62574768066406) (466,79.11293029785156) (679,78.73623657226562) (325,78.30535125732422) (302,78.22339630126953) (464,78.18916320800781) (680,78.10879516601562) (324,78.10770416259766) (681,78.01101684570312) (544,77.9567642211914) (321,77.79199981689453) (306,77.7349624633789) (318,77.71087646484375) (686,77.63402557373047) (191,77.62548065185547)* (481,77.53133392333984) (293,77.51961517333984)* (67,77.51556396484375) (67,77.51556396484375) (311,77.457275390625)
121: (333,77.29151153564453)* (646,77.25450897216797)* (4474,77.17603302001953) (498,77.05977630615234) (3378,76.90446472167969) (1045,76.89163208007812) (378,76.85059356689453)* (466,76.7125473022461) (1659,76.70516204833984) (1673,76.63628387451172) (679,76.5493392944336) (790,76.48637390136719) (1681,76.38750457763672) (802,76.38736724853516)* (344,76.34355926513672) (4293,76.16858673095703) (455,76.06987762451172) (1047,76.06396484375) (3332,76.00936889648438) (3173,76.00611877441406)
122: (8837,70.57709503173828) (565,70.28521728515625) (1783,70.1756362915039) (613,70.07685089111328)* (2419,69.78282928466797) (1779,69.41788482666016) (8110,69.32313537597656) (11646,69.2866439819336) (572,69.1175537109375) (13598,69.0442886352539) (10891,69.04251098632812) (13586,69.0154037475586) (7123,68.9853515625) (1763,68.96585083007812) (9424,68.94786834716797) (10969,68.87488555908203) (13593,68.8724365234375) (12115,68.84246826171875) (13599,68.84062194824219) (13588,68.82588958740234)
123: (779,75.99441528320312)* (190,75.59109497070312) (2847,75.49473571777344) (1541,75.45230102539062) (1100,75.26229858398438) (154,75.2066650390625) (2829,75.20591735839844) (412,75.13352966308594) (1195,75.09954071044922)* (4387,75.04676818847656) (229,74.89045715332031) (217,74.89039611816406) (230,74.83397674560547) (65,74.77643585205078) (65,74.77643585205078) (228,74.68070983886719) (6191,74.64446258544922) (56,74.63880157470703)* (56,74.63880157470703)* (207,74.50386047363281)
124: (1789,74.29560852050781) (1704,74.28694915771484) (3833,74.18890380859375) (3827,74.0853271484375) (1786,74.07850646972656) (2735,74.06511688232422) (726,73.91118621826172) (6439,73.8537826538086) (8726,73.79586791992188) (198,73.79270935058594)* (517,73.75689697265625) (11170,73.7259521484375) (460,73.66022491455078) (234,73.6066665649414) (1913,73.60157775878906) (6246,73.44586181640625) (10430,73.42676544189453) (4226,73.364501953125) (2835,73.0990219116211) (758,73.09677124023438)
125: (1415,78.68086242675781) (511,78.61125183105469) (227,78.30854797363281)* (1464,78.2709732055664) (1244,78.10099792480469) (316,78.09091186523438) (157,77.9197769165039) (180,77.87419891357422) (2176,77.87212371826172) (1803,77.83985900878906) (253,77.82819366455078) (928,77.70500946044922) (190,77.66017150878906) (230,77.63624572753906) (3427,77.54222869873047) (366,77.53073120117188) (735,77.44999694824219) (951,77.3968505859375) (1375,77.3853530883789) (683,77.33500671386719)
126: (679,77.14120483398438) (344,76.85779571533203) (324,76.21813201904297) (291,76.10271453857422) (302,76.09553527832031) (704,75.97437286376953) (1047,75.86441802978516) (461,75.82682037353516) (680,75.72142791748047)* (464,75.70360565185547) (701,75.57823181152344) (65,75.49311828613281) (65,75.49311828613281) (544,75.42633819580078) (293,75.33447265625) (355,75.27311706542969) (55,75.24165344238281)* (325,75.23468017578125)* (378,75.2236328125) (470,75.14241027832031)
127: (966,75.1236572265625) (928,74.9532699584961) (176,74.86366271972656) (472,74.85328674316406) (707,74.65867614746094) (1854,74.54715728759766) (2664,74.4374008178711) (706,74.33364868164062) (230,74.28614807128906) (198,74.2812271118164) (488,74.19398498535156) (982,74.13307189941406) (2352,74.11526489257812) (497,74.03303527832031)* (1406,74.02302551269531) (377,73.97242736816406) (2941,73.91551208496094) (917,73.90983581542969) (3427,73.72259521484375) (220,73.68266296386719)
128: (1837,71.01519775390625) (3466,70.22927856445312) (1740,70.15016174316406) (1375,70.05220794677734) (905,69.97830200195312) (204,69.96839141845703) (9707,69.85419464111328) (3681,69.83470916748047) (7428,69.80481719970703) (4616,69.77540588378906) (12194,69.76115417480469) (1772,69.72169494628906) (4402,69.6898422241211) (2071,69.68929290771484) (3119,69.67289733886719)* (13711,69.65726470947266) (3057,69.65489959716797) (5447,69.58717346191406) (6762,69.58399963378906) (13713,69.5817642211914)
129: (300,78.33001708984375)* (289,78.29049682617188)* (288,78.21178436279297)* (333,78.18873596191406)* (292,78.15010833740234)* (679,77.95720672607422) (291,77.81517791748047) (701,77.58173370361328) (257,77.28002166748047)* (311,77.22733306884766) (1934,77.18482208251953) (461,77.10489654541016)* (906,77.03993225097656)* (301,77.0053482055664) (306,76.90186309814453) (298,76.79793548583984) (318,76.74800109863281) (349,76.72396850585938) (2521,76.7210922241211) (972,76.70169830322266)*
130: (295,76.5709457397461)* (302,76.08026123046875) (306,75.68455505371094) (466,75.5462417602539) (679,75.47348022460938) (301,75.38033294677734) (291,75.35155487060547) (329,75.04335021972656) (906,75.00984191894531)* (328,74.98851013183594) (310,74.92657470703125) (2523,74.8119125366211) (523,74.79197692871094)* (294,74.75560760498047)* (296,74.62689208984375) (318,74.55802917480469) (344,74.55657196044922)* (352,74.47732543945312) (544,74.45125579833984) (325,74.44769287109375)
131: (57,78.35665893554688) (6004,78.2698974609375) (2711,78.26736450195312) (266,77.49071502685547) (748,77.41646575927734) (5515,77.40547943115234) (5353,77.34912109375) (7123,77.32868957519531) (592,77.28929138183594) (10663,77.27198791503906) (1139,77.21440124511719) (2811,77.10853576660156) (1833,76.99649810791016) (1230,76.96662139892578) (1226,76.90350341796875) (572,76.87562561035156) (9971,76.80755615234375) (2419,76.79094696044922) (1943,76.77854919433594) (263,76.74785614013672)
132: (289,78.73992919921875)* (300,78.6967544555664)* (288,78.57342529296875)* (292,78.24972534179688) (679,77.54790496826172) (67,77.49372100830078) (67,77.49372100830078) (349,77.11254119873047)* (257,76.98424530029297)* (291,76.97962188720703) (328,76.9549789428711) (475,76.87661743164062) (329,76.74891662597656) (1037,76.61921691894531) (386,76.5929183959961) (704,76.57426452636719) (161,76.55681610107422) (523,76.55400085449219) (458,76.55200958251953) (293,76.4869155883789)
133: (466,77.0240707397461)* (679,76.87255859375)* (306,76.57025909423828)* (55,76.47480773925781) (802,76.46295928955078)* (544,76.228515625)* (344,76.12189483642578) (458,76.09227752685547) (686,76.05522155761719) (790,75.94087982177734) (299,75.82978820800781) (318,75.82160186767578) (681,75.66779327392578)* (646,75.65287780761719)* (908,75.57901000976562) (352,75.54235076904297) (543,75.51404571533203)* (680,75.51182556152344) (321,75.4867172241211) (161,75.41641998291016)
134: (306,79.94463348388672) (461,79.15330505371094) (295,79.04096984863281) (701,79.020751953125)* (161,78.8038558959961) (913,78.8036880493164) (802,78.64772033691406) (458,78.29877471923828) (455,78.2569580078125) (300,78.18560791015625) (89,78.16690063476562)* (2548,78.00654602050781)* (638,78.00309753417969) (157,77.91484832763672) (257,77.8037338256836)* (466,77.79084014892578)* (498,77.55545806884766) (676,77.53434753417969) (1428,77.4393310546875) (523,77.34040832519531)
135: (1114,71.74343872070312) (378,71.48641967773438) (3367,70.76445007324219) (5079,70.55419921875) (955,70.520263671875) (1379,70.32237243652344) (1705,70.31348419189453) (300,70.24248504638672)* (328,70.18875885009766) (486,70.11737823486328) (70,70.09809112548828) (1098,70.04354095458984) (6548,70.03156280517578) (526,70.01024627685547) (5459,69.96369934082031) (238,69.93053436279297) (12088,69.84169006347656) (174,69.77155303955078) (295,69.6548843383789) (6527,69.63472747802734)
136: (295,79.84068298339844)* (302,79.72877502441406)* (55,79.53517150878906)* (300,79.50016784667969) (294,79.41374969482422)* (288,79.34613800048828)* (265,79.1783676147461) (466,79.08480072021484) (311,78.92491149902344) (290,78.77864074707031)* (465,78.77425384521484)* (523,78.55706787109375)* (913,78.48959350585938)* (296,78.45907592773438) (461,78.439453125) (525,78.40287017822266) (285,78.36861419677734) (1459,78.32952880859375)* (161,78.23197937011719) (907,78.20771026611328)*
137: (89,74.36602783203125) (903,74.36296844482422) (689,73.8980484008789) (526,73.76728057861328) (532,73.7237548828125) (2521,73.5746078491211) (679,73.40960693359375) (690,73.18290710449219) (97,73.12007141113281) (425,73.11338806152344) (1243,73.07676696777344)* (546,72.98590850830078) (2083,72.89826965332031) (333,72.8899917602539) (295,72.8058090209961) (302,72.7903823852539) (1062,72.75962829589844) (1400,72.73796844482422) (288,72.66637420654297) (466,72.6536865234375)
139: (504,69.6468734741211) (1104,69.60438537597656) (497,69.54651641845703) (517,69.50785827636719) (978,69.47769165039062)* (1672,69.215576171875)* (198,69.07229614257812) (7,68.90885925292969)* (815,68.81863403320312) (514,68.76433563232422) (1914,68.574951171875) (503,68.48114776611328) (830,68.38472747802734) (2014,68.30022430419922) (1145,68.19837951660156) (488,68.1742935180664) (2835,68.10368347167969) (6257,68.0985336303711) (811,68.07683563232422) (1714,68.049072265625)
140: (222,79.31108856201172) (632,78.9685287475586) (2542,78.8619613647461) (615,78.65203094482422) (4058,78.24488067626953) (225,78.17725372314453)* (858,78.15508270263672) (10610,78.1446762084961) (429,77.94971466064453) (440,77.91455841064453) (629,77.90660858154297) (433,77.901123046875) (441,77.83890533447266) (2582,77.83746337890625) (1957,77.72807312011719) (1510,77.71965026855469) (206,77.6958999633789) (162,77.62591552734375) (81,77.52202606201172) (14836,77.4551773071289)
141: (72,77.45813751220703)* (72,77.45813751220703)* (1298,76.86090087890625) (187,76.25224304199219) (193,76.16450500488281) (712,76.01469421386719) (1534,75.91204071044922) (868,75.87830352783203) (599,75.86620330810547)* (227,75.49854278564453)* (190,75.30037689208984)* (986,75.2338638305664) (99,75.19047546386719) (1001,75.15333557128906) (717,75.0256118774414) (63,74.9049301147461) (63,74.9049301147461) (877,74.90309143066406) (1425,74.81375122070312) (1079,74.67498016357422)
142: (59,70.19628143310547)* (52,70.02325439453125) (52,70.02325439453125) (2043,69.8541488647461) (238,69.83894348144531) (1073,69.61620330810547) (603,69.60015106201172) (3992,69.578369140625) (3291,69.53392028808594)* (4316,69.51667022705078) (81,69.5108642578125) (1886,69.4859619140625) (1098,69.47567749023438) (1083,69.44591522216797)* (1001,69.43274688720703) (1836,69.38630676269531) (1394,69.24301147460938) (1824,69.23848724365234) (154,69.1443862915039) (3768,69.12554931640625)
143: (1464,77.52574920654297) (67,77.33856964111328) (67,77.33856964111328) (959,77.10033416748047)* (77,76.88800811767578) (77,76.88800811767578) (2183,76.8446044921875) (253,76.7941665649414) (3777,76.64007568359375) (601,76.43708038330078) (69,76.33885192871094) (69,76.33885192871094) (511,76.20518493652344)* (5787,76.1216812133789) (192,76.11907196044922)* (96,76.0978775024414) (51,76.09410095214844) (1122,75.99620819091797) (735,75.93896484375) (717,75.89176940917969)*
144: (306,78.8775863647461)* (308,78.0193099975586) (330,77.87200927734375) (468,77.85291290283203) (1613,77.78382110595703) (288,77.78074645996094)* (349,77.71317291259766)* (701,77.71144104003906)* (310,77.58141326904297) (312,77.22299194335938)* (5988,77.22019958496094) (484,77.18038940429688) (545,77.1636962890625) (1596,77.13972473144531)* (329,77.05366516113281) (331,77.04772186279297) (314,77.00093841552734)* (2179,76.98298645019531) (257,76.92496490478516)* (1449,76.79816436767578)
145: (679,79.88404846191406) (300,79.71434020996094)* (1459,79.64051055908203) (289,79.44084930419922) (342,79.3837890625)* (691,79.34114837646484) (288,79.31085205078125)* (498,79.13919830322266) (362,79.13435363769531) (307,79.12010955810547) (302,79.11152648925781)* (1470,79.0965576171875) (1684,79.09609985351562) (301,78.9981918334961)* (355,78.98526763916016) (1447,78.9802474975586)* (461,78.91647338867188) (1377,78.90142059326172) (292,78.8865737915039)* (683,78.85128784179688)
146: (300,86.81380462646484)* (292,86.48595428466797)* (461,86.14166259765625)* (475,86.06441497802734) (4562,85.94644165039062) (1455,85.93620300292969) (291,85.775146484375)* (317,85.77107238769531) (67,85.76325988769531)* (67,85.76325988769531)* (468,85.66109466552734) (907,85.64080810546875) (679,85.46651458740234) (327,85.41789245605469) (1037,85.36632537841797) (544,85.32134246826172) (55,85.29420471191406) (5988,85.29116821289062) (329,85.2340316772461) (299,85.21795654296875)
147: (89,78.97026062011719) (300,78.92408752441406) (466,78.3471908569336) (298,78.29895782470703) (292,78.29193115234375)* (344,78.09284973144531) (701,77.76167297363281)* (288,77.61614990234375)* (301,77.5403823852539) (324,77.42298126220703) (2988,77.3951187133789) (246,77.30403137207031) (311,77.29747009277344) (1047,77.25743103027344) (316,77.21585083007812)* (342,77.21511840820312) (683,77.1187973022461) (355,76.9636459350586) (461,76.94435119628906) (325,76.92709350585938)*
148: (3227,81.21710205078125) (1963,80.69747161865234) (605,80.44298553466797) (276,80.13829040527344) (617,80.004150390625) (278,79.7949447631836) (4108,79.40131378173828) (4779,79.30872344970703) (1614,79.3023910522461) (527,79.26455688476562) (154,79.22566223144531) (56,79.20133972167969) (56,79.20133972167969) (234,79.1109619140625) (2252,79.0625) (1974,78.99727630615234) (831,78.86836242675781) (1099,78.8525390625) (2698,78.83805084228516) (227,78.80349731445312)
149: (89,76.76913452148438)* (65,76.44529724121094) (65,76.44529724121094) (333,76.42317962646484) (190,76.10337829589844) (679,75.83583068847656) (316,75.60821533203125) (229,75.4994888305664) (298,75.49881744384766) (289,75.36949920654297) (227,75.35515594482422) (67,75.35273742675781) (67,75.35273742675781) (344,75.3122787475586) (182,75.3082504272461) (689,75.24934387207031) (683,75.20867156982422) (903,75.09236907958984) (1375,75.06241607666016) (1246,75.01483154296875)
150: (300,79.0950698852539) (67,79.0625) (67,79.0625) (295,78.72914123535156)* (679,78.70682525634766) (292,78.45415496826172) (291,78.28890991210938)* (55,78.11500549316406) (461,78.04115295410156) (466,77.907470703125) (316,77.75772094726562) (360,77.62396240234375) (498,77.61903381347656) (355,77.43898010253906) (1464,77.37284088134766) (265,77.35099029541016)* (2523,77.34170532226562) (349,77.22372436523438)* (889,77.20414733886719) (951,77.20111846923828)
151: (3384,72.2146987915039)* (1775,72.0762939453125) (6480,71.93062591552734) (4471,71.92454528808594) (4828,71.89186096191406) (3127,71.47856140136719) (1045,71.39722442626953) (5427,71.31376647949219) (4709,71.29954528808594) (6123,71.22089385986328) (6120,71.20823669433594) (8732,71.02308654785156) (3377,70.962890625)* (708,70.96074676513672) (498,70.95733642578125)* (1659,70.91539001464844) (4473,70.87627410888672) (4474,70.63264465332031) (4753,70.62785339355469) (3741,70.62032318115234)
152: (89,75.56303405761719)* (679,75.30694580078125) (464,75.04060363769531) (470,75.02828216552734) (230,74.83418273925781) (1047,74.81324768066406) (412,74.5484848022461)* (324,74.46782684326172)* (1045,74.41053009033203) (903,74.31310272216797)* (461,74.30464935302734)* (288,74.28309631347656) (295,74.24894714355469) (227,74.14335632324219)* (344,74.14167785644531)* (475,74.12870788574219) (3200,74.11026000976562) (542,74.02664947509766) (544,73.99457550048828) (424,73.91046905517578)
153: (450,72.08534240722656) (233,71.97502136230469) (152,71.87689208984375) (1118,71.79113006591797) (81,71.40476989746094) (186,71.3967056274414) (162,71.38180541992188)* (418,71.3436050415039) (1131,71.25670623779297) (173,71.0096435546875) (10740,70.7973403930664) (1116,70.70095825195312) (1385,70.59063720703125) (3901,70.55074310302734) (6847,70.49497985839844) (238,70.43240356445312) (181,70.3541488647461) (1098,70.3241195678711) (920,70.28939056396484) (755,70.21271514892578)
154: (377,78.08039855957031) (498,77.36495208740234) (497,76.70842742919922) (7,76.59423065185547) (726,76.58241271972656) (230,75.8380355834961) (1406,75.64704132080078) (957,75.61698150634766) (1797,75.2804946899414) (475,75.26847076416016) (190,75.15232849121094) (1044,75.00740814208984) (1114,74.98705291748047)* (499,74.98526763916016) (405,74.96528625488281) (710,74.93051147460938) (481,74.92928314208984) (489,74.76982116699219) (488,74.7547378540039) (1854,74.74459075927734)
155: (2624,71.4062271118164)* (1411,70.9204330444336) (1110,70.82673645019531) (3481,70.58380126953125) (163,70.28410339355469) (2475,70.06869506835938) (4675,69.95541381835938) (152,69.89204406738281) (188,69.58133697509766) (1412,69.57524871826172) (4790,69.49610900878906) (1813,69.48483276367188) (1119,69.45988464355469) (614,69.45879364013672) (1413,69.41655731201172) (607,69.3785400390625) (1426,69.34642028808594) (599,69.28679656982422)* (1369,69.26453399658203) (11506,69.23509216308594)
156: (65,76.36839294433594)* (65,76.36839294433594)* (1375,75.78004455566406) (533,75.5982437133789)* (182,75.5909652709961) (229,75.55543518066406) (217,75.43873596191406) (228,75.41300964355469) (316,75.38642883300781) (683,75.05778503417969) (429,75.02403259277344) (366,75.01403045654297) (962,74.72740936279297) (1090,74.66350555419922) (715,74.642333984375) (204,74.57383728027344) (599,74.53546905517578) (1414,74.52447509765625) (1772,74.49411010742188) (166,74.48094940185547)
157: (732,78.02721405029297) (1803,77.7431640625) (959,77.70417785644531)* (1249,77.54608917236328) (2901,77.4600601196289) (1415,77.404296875) (2346,77.36947631835938) (724,77.21149444580078) (951,77.1856689453125) (1358,76.97327423095703)* (1366,76.91471862792969)* (728,76.73145294189453) (4180,76.7044906616211) (2834,76.57587432861328)* (2838,76.49383544921875) (707,76.24274444580078) (2784,76.1642837524414)* (1244,75.93861389160156) (735,75.91863250732422) (6959,75.67576599121094)
158: (344,81.82086944580078) (2094,81.76222229003906) (375,81.59590911865234) (1459,81.49179077148438) (89,81.47095489501953) (333,81.30380249023438) (300,81.07254791259766) (301,81.0634765625) (691,80.88258361816406) (288,80.87474822998047) (1059,80.84317779541016) (292,80.6976318359375) (257,80.6715087890625) (295,80.61024475097656) (3081,80.6041488647461)* (679,80.58393859863281)* (5767,80.57999420166016) (302,80.56143951416016) (289,80.52757263183594) (5267,80.4117202758789)
159: (157,78.66529846191406) (89,78.16999053955078) (289,78.10086059570312) (55,78.04316711425781) (71,77.52894592285156) (71,77.52894592285156) (180,77.52130889892578) (295,77.39118957519531) (257,77.11682891845703)* (1464,77.09950256347656) (265,77.07024383544922)* (310,77.05886840820312)* (291,77.04073333740234) (1081,76.99171447753906) (300,76.93251037597656) (378,76.91620635986328) (349,76.90971374511719) (333,76.906005859375) (306,76.88420104980469) (3576,76.81688690185547)
161: (2944,74.34464263916016) (930,73.01380920410156) (1797,72.81835174560547) (518,72.80558013916016) (8,72.7723159790039) (2014,72.69509887695312) (1859,72.68384552001953) (3244,72.52830505371094)* (811,72.47441101074219) (2,72.46479797363281) (4162,72.31848907470703) (2963,72.2756118774414) (2961,72.24903106689453) (6542,72.24041748046875) (835,72.22826385498047) (504,72.21823120117188) (726,72.14484405517578) (1914,72.03720092773438) (1263,71.94306945800781) (968,71.9184341430664)
162: (157,78.71520233154297) (288,78.42747497558594) (306,78.36107635498047) (701,78.3158950805664) (161,78.11743927001953) (498,78.05290222167969) (461,77.98338317871094) (300,77.85193634033203) (378,77.76286315917969)* (292,77.64140319824219) (55,77.53618621826172) (349,77.21601867675781) (802,77.12260437011719) (680,77.07174682617188) (972,77.02596282958984) (257,76.87347412109375) (377,76.84123229980469) (913,76.78839874267578) (466,76.67498779296875) (190,76.64655303955078)
163: (5267,76.06409454345703) (2442,75.83132934570312)* (2467,75.43693542480469)* (2443,74.41284942626953) (11769,74.25347137451172) (12683,74.24859619140625) (12684,74.1119155883789) (364,74.09561920166016) (12681,73.99473571777344) (12687,73.9877700805664) (12690,73.88973236083984) (12689,73.77259826660156) (12688,73.69139099121094) (5649,73.53191375732422) (3585,73.42701721191406)* (3760,73.21697998046875) (2450,72.91195678710938) (5767,72.86931610107422) (2466,72.79972839355469) (2448,72.75045776367188)
164: (190,74.54986572265625)* (204,74.39854431152344)* (65,74.31997680664062) (65,74.31997680664062) (436,73.76560974121094) (7147,73.68928527832031) (199,73.66666412353516) (4432,73.6380844116211) (982,73.58715057373047) (227,73.56250762939453) (223,73.35550689697266) (222,73.35523223876953) (233,73.32575225830078) (195,73.30347442626953) (4069,73.29971313476562) (6724,73.28593444824219) (1643,73.2701644897461)* (854,73.23816680908203) (366,73.22530364990234) (3057,73.2027359008789)
166: (159,78.19976806640625)* (511,78.13322448730469) (190,77.97486114501953) (1122,77.92745208740234) (857,77.91238403320312) (614,77.7695083618164) (157,77.7598648071289) (959,77.71735382080078) (1412,77.5798568725586) (601,77.52439880371094) (599,77.39683532714844) (65,77.3299331665039) (65,77.3299331665039) (220,77.32044219970703) (234,77.1650619506836) (72,77.1643295288086) (72,77.1643295288086) (715,77.12963104248047) (228,77.04672241210938) (868,77.03852844238281)
168: (2289,72.73682403564453) (418,72.5879135131836) (2139,72.33425903320312) (3707,72.17693328857422) (1117,72.05035400390625) (616,71.9643783569336) (603,71.90642547607422) (433,71.87598419189453) (2542,71.85848999023438)* (632,71.78910064697266) (6409,71.76370239257812) (7665,71.74183654785156) (1969,71.72159576416016) (11204,71.71907043457031) (1944,71.70934295654297) (621,71.68309020996094) (440,71.66438293457031)* (12002,71.55611419677734) (1155,71.51435852050781) (3299,71.49689483642578)
