userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,74.55168914794922) (187,73.03765869140625) (51,72.87222290039062)* (1713,72.80648803710938) (3501,72.65637969970703) (1073,72.46194458007812) (157,72.06377410888672) (238,71.9781265258789) (1098,71.9620361328125) (1394,71.91475677490234) (1795,71.90744018554688) (3992,71.90199279785156) (511,71.79154205322266) (1014,71.66934204101562) (1379,71.54679870605469) (1892,71.3944091796875) (70,71.37683868408203)* (175,71.3460693359375) (61,71.24837493896484)* (59,71.24139404296875)*
129: (288,68.8018569946289)* (300,68.76197052001953)* (292,68.75724792480469)* (289,68.65592956542969)* (333,68.43492126464844)* (291,68.32870483398438) (679,68.06246185302734) (701,67.8038330078125) (298,67.56550598144531) (1934,67.42940521240234) (461,67.40736389160156)* (257,67.20945739746094)* (306,67.17095947265625) (97,67.1506118774414) (680,67.1192626953125) (349,67.07054901123047) (1243,67.04991912841797) (311,67.009521484375) (301,67.00772094726562) (903,66.8895034790039)
130: (295,70.0567398071289)* (302,69.32861328125) (291,69.15068054199219) (466,68.9241943359375) (679,68.74797058105469) (344,68.52780151367188)* (310,68.38883972167969) (306,68.34270477294922) (294,68.20486450195312)* (523,68.03218078613281)* (352,68.02742004394531) (301,68.02281951904297) (318,67.85040283203125) (903,67.70421600341797) (296,67.55850219726562) (1934,67.50635528564453) (97,67.47914123535156) (316,67.39164733886719) (1243,67.3404312133789) (328,67.301513671875)
131: (5353,72.46540069580078) (9836,72.08727264404297) (16102,72.07969665527344) (9843,71.94654846191406) (9833,71.84429931640625) (12258,71.80741119384766) (9834,71.6756820678711) (1620,71.5973892211914) (286,71.52509307861328) (1640,71.45155334472656) (13093,71.3028793334961) (5848,71.29200744628906) (207,71.22566223144531) (5850,71.17310333251953) (13090,71.0929946899414) (1136,71.08747863769531) (2705,70.94225311279297) (3677,70.90039825439453) (12255,70.8959732055664) (13094,70.89383697509766)
132: (288,67.72994232177734)* (300,67.69013214111328)* (289,67.51459503173828)* (292,67.44943237304688) (291,66.58966064453125) (349,66.30963134765625)* (679,66.26559448242188) (680,66.05802154541016) (67,65.96666717529297) (67,65.96666717529297) (257,65.81664276123047)* (523,65.665283203125) (293,65.52505493164062) (328,65.5030746459961) (298,65.365966796875) (704,65.32206726074219) (458,65.28740692138672) (1037,65.12638092041016) (161,65.06187438964844) (908,65.0435562133789)
133: (466,68.02946472167969)* (344,67.35086822509766) (679,67.02152252197266)* (686,66.73170471191406) (306,66.71568298339844)* (458,66.59959411621094) (299,66.56962585449219) (680,66.40304565429688) (318,66.3670654296875) (908,66.21273040771484) (293,66.18389129638672) (681,66.12205505371094)* (298,66.11135864257812) (544,66.06246185302734)* (352,66.04167938232422) (55,65.99398040771484) (802,65.99180603027344)* (2020,65.85176849365234) (1032,65.67253112792969) (543,65.57755279541016)*
134: (89,66.90535736083984)* (466,66.736328125)* (1037,66.52471160888672) (295,66.49060821533203) (686,66.46005249023438)* (523,66.45476531982422) (461,66.38654327392578) (1453,66.30177307128906) (1428,66.29334259033203) (306,66.19308471679688) (2548,66.19109344482422)* (318,66.08467102050781) (352,66.00177001953125) (2091,65.85127258300781) (802,65.79366302490234) (797,65.7267837524414) (300,65.69798278808594) (913,65.63011169433594) (701,65.58677673339844)* (908,65.5259017944336)
135: (3367,76.51599884033203) (390,74.95250701904297) (1114,74.79481506347656) (2094,74.75275421142578) (5079,74.7361831665039) (522,74.60760498046875) (1797,74.36233520507812) (2102,74.34567260742188) (4980,74.32681274414062) (5459,74.30433654785156) (7,74.19865417480469) (4136,74.1636734008789) (378,74.07038879394531) (1104,73.91487121582031) (504,73.8914794921875) (6548,73.87032318115234) (955,73.84297180175781) (375,73.83878326416016) (1704,73.8360595703125) (524,73.7660140991211)
136: (295,64.23480224609375)* (288,64.22846984863281)* (300,63.5924072265625) (302,63.40864944458008)* (461,63.29984664916992) (466,63.168277740478516) (55,62.90104293823242)* (525,62.777442932128906) (352,62.740596771240234) (294,62.620361328125)* (523,62.606807708740234)* (908,62.28464126586914) (157,62.26566696166992) (161,62.244407653808594) (913,62.17324447631836)* (465,62.11784744262695)* (325,62.030975341796875)* (544,61.926082611083984) (543,61.707916259765625) (290,61.63186264038086)*
137: (903,73.96952056884766) (89,73.3165054321289) (1400,72.82192993164062) (228,72.58971405029297) (81,72.50599670410156) (690,72.40731048583984) (425,72.38240814208984) (97,72.35307312011719) (1767,72.34673309326172) (4704,72.32078552246094) (546,72.30068969726562) (65,72.22590637207031)* (65,72.22590637207031)* (423,72.22159576416016) (2521,72.16197967529297) (1243,72.15862274169922)* (157,72.08802795410156) (689,72.06681060791016) (316,72.01091766357422)* (229,72.00672912597656)
139: (978,72.31377410888672)* (1104,72.04737854003906) (497,71.70806121826172) (504,71.3165054321289) (198,71.2121810913086) (1672,71.11520385742188)* (517,71.10215759277344) (7,71.0860366821289)* (1854,71.017822265625) (1145,70.98681640625) (808,70.93930053710938) (7639,70.84174346923828) (488,70.72563934326172) (2835,70.5152359008789) (503,70.51398468017578) (2956,70.48074340820312) (2380,70.36829376220703) (209,70.24232482910156) (3240,70.12847137451172)* (514,70.01234436035156)
140: (629,64.36531066894531) (440,64.32743835449219) (210,64.28848266601562) (222,64.102294921875) (1163,64.04812622070312) (1159,63.92720031738281) (433,63.89915084838867) (3026,63.73089599609375) (618,63.687110900878906) (88,63.507110595703125) (170,63.480316162109375)* (206,63.451053619384766) (3057,63.36109924316406) (429,63.28511047363281) (621,63.1571044921875) (2398,63.07329559326172) (632,62.93444061279297) (2405,62.914024353027344) (964,62.90538024902344) (203,62.82013702392578)*
141: (72,77.0633544921875)* (72,77.0633544921875)* (599,76.16322326660156)* (707,75.54309844970703) (193,75.52125549316406) (930,75.50381469726562) (227,75.3941421508789)* (172,75.2821044921875) (2469,75.26176452636719) (706,75.2501220703125) (234,75.06061553955078) (166,75.04582214355469) (868,74.96766662597656) (8042,74.88707733154297) (2044,74.82369995117188) (190,74.61502075195312)* (187,74.59481811523438) (1464,74.53730773925781) (46,74.51537322998047) (1244,74.47401428222656)
142: (59,75.7986831665039)* (441,73.87389373779297)* (1083,73.49935913085938)* (1886,73.42402648925781) (1062,73.11536407470703) (159,73.1103744506836)* (1001,72.89973449707031) (4308,72.70896911621094) (1073,72.67263793945312) (3281,72.59518432617188)* (98,72.57972717285156) (3941,72.54430389404297) (1534,72.45346069335938) (1890,72.43788146972656) (1075,72.38285827636719) (1895,72.33314514160156) (874,72.32994079589844) (5833,72.2881851196289) (450,72.17781066894531) (1013,72.14044952392578)
143: (601,68.38714599609375) (1464,68.06893920898438) (3063,67.08512115478516) (69,66.73247528076172) (69,66.73247528076172) (67,66.5730972290039) (67,66.5730972290039) (11084,66.56119537353516) (575,66.4683837890625) (96,66.42170715332031) (717,66.39036560058594)* (959,66.36951446533203)* (192,66.30877685546875)* (511,66.14730834960938)* (3921,66.08140563964844) (2454,66.05315399169922) (1834,65.98792266845703) (8313,65.8567886352539) (1415,65.85604095458984) (910,65.82282257080078)
144: (288,69.46856689453125)* (1596,69.2515869140625)* (314,69.10725402832031)* (349,68.89007568359375)* (4566,68.86214447021484) (312,68.83980560302734)* (257,68.77152252197266)* (310,68.73185729980469) (279,68.62344360351562) (306,68.24445343017578)* (352,67.89076232910156) (309,67.75784301757812) (330,67.74956512451172) (6562,67.73140716552734) (308,67.71552276611328) (262,67.51731872558594) (701,67.47606658935547)* (301,67.43650817871094)* (1613,67.37195587158203) (331,67.36937713623047)
145: (300,68.06114196777344)* (679,67.2679443359375) (288,67.20023345947266)* (289,67.14170837402344) (295,66.8769302368164) (292,66.84159851074219)* (298,66.80708312988281) (302,66.7587661743164)* (691,66.71154022216797) (461,66.68364715576172) (324,66.54303741455078)* (342,66.53775787353516)* (301,66.2530517578125)* (306,66.23065948486328) (498,66.20046997070312) (680,66.13238525390625) (1447,65.986328125)* (683,65.87725830078125) (1243,65.82223510742188) (1470,65.65452575683594)
146: (461,67.96157836914062)* (300,67.66771697998047)* (458,67.58869934082031) (475,67.30176544189453) (468,67.13458251953125) (531,67.05316925048828) (686,66.85472869873047) (292,66.75117492675781)* (544,66.7110824584961) (327,66.6794204711914) (681,66.59099578857422) (291,66.52933502197266)* (1037,66.50506591796875) (1449,66.47018432617188) (1042,66.36161804199219) (679,66.31263732910156) (455,66.27830505371094) (1455,66.27629852294922) (308,66.23602294921875) (331,66.15034484863281)
147: (89,70.87705993652344) (344,70.70306396484375) (300,70.64198303222656) (461,70.1283950805664) (288,70.0575180053711)* (466,70.02584075927734) (292,69.91120910644531)* (701,69.15383911132812)* (298,69.12519073486328) (523,69.11951446533203)* (681,68.89224243164062) (680,68.83187103271484) (908,68.80648040771484) (325,68.7683334350586)* (318,68.73638153076172)* (686,68.7250747680664) (306,68.35320281982422)* (1459,68.35142517089844) (903,68.31934356689453) (704,68.24053955078125)
148: (3227,69.100341796875) (276,68.5928726196289) (6997,68.04631042480469) (857,67.98258209228516) (5936,67.51600646972656) (10616,67.44273376464844) (3685,67.27577209472656) (2923,67.17819213867188) (3053,67.0156478881836) (13692,66.99951934814453) (2747,66.97174835205078) (278,66.96492767333984) (2510,66.81105041503906) (1640,66.80097198486328) (1963,66.69638061523438) (8945,66.66645050048828) (6824,66.66545867919922) (605,66.6123046875) (8633,66.59577941894531) (1978,66.56853485107422)
149: (65,71.80652618408203) (65,71.80652618408203) (333,71.53561401367188) (190,71.34725189208984) (89,70.93939971923828)* (1377,70.79643249511719) (229,70.75112915039062) (377,70.64456176757812) (228,70.53571319580078) (540,70.47639465332031) (1375,70.44841766357422) (209,70.41213989257812) (182,70.3846435546875) (344,70.34951782226562) (227,70.32658386230469) (1048,70.27660369873047) (1246,70.24282836914062) (207,70.22102355957031) (1470,70.01354217529297)* (298,69.9910659790039)
150: (461,72.98196411132812) (300,72.392822265625) (295,72.1913833618164)* (349,72.12484741210938)* (679,72.08113098144531) (291,71.93067932128906)* (292,71.67491912841797) (466,71.59544372558594) (67,71.535888671875) (67,71.535888671875) (360,71.34008026123047) (1464,71.32699584960938) (523,71.17733764648438) (356,71.12814331054688) (310,71.01216888427734) (475,70.94926452636719) (318,70.94364929199219) (299,70.8703842163086)* (903,70.86003112792969) (908,70.77021026611328)
151: (6480,65.73352813720703) (1241,64.29425048828125) (4463,63.29915237426758) (6483,63.0513801574707) (5594,62.68431091308594) (4709,62.43798065185547) (4850,62.34248733520508) (439,62.32417297363281) (5772,62.262237548828125) (6121,62.091705322265625) (3332,62.0914421081543) (283,61.98023223876953)* (6123,61.924503326416016) (4087,61.92348861694336) (5630,61.85783767700195) (4474,61.83401870727539) (261,61.794776916503906) (4828,61.73656463623047) (708,61.709896087646484) (4471,61.67316818237305)
152: (89,72.73907470703125)* (470,72.71485137939453) (1043,72.0798110961914) (324,71.9542465209961)* (344,71.89596557617188)* (679,71.84100341796875) (1047,71.77104949951172) (209,71.57857513427734) (424,71.43031311035156) (464,71.08197784423828) (3200,71.02193450927734) (230,70.93404388427734) (412,70.93346405029297)* (461,70.82391357421875)* (903,70.77442932128906)* (228,70.71784973144531) (288,70.7134780883789) (302,70.64712524414062) (229,70.58942413330078) (292,70.46649932861328)
153: (173,74.71543884277344) (233,74.56088256835938) (152,74.4415283203125) (1118,73.90058898925781) (1116,73.54953002929688) (162,73.51583862304688)* (1131,73.45240020751953) (238,73.41284942626953) (81,73.26547241210938) (1109,73.16812133789062) (72,73.08056640625) (72,73.08056640625) (181,73.02752685546875) (186,72.90884399414062) (182,72.86983489990234) (1700,72.70089721679688) (183,72.64888000488281) (418,72.54696655273438) (8512,72.492431640625) (65,72.435546875)
154: (377,71.74658203125) (498,70.52304077148438) (1672,70.44880676269531)* (230,70.33975982666016) (497,70.33414459228516) (1854,70.31951141357422) (1044,69.80540466308594) (1180,69.66046905517578) (488,69.56977844238281) (490,69.29207611083984) (536,69.17960357666016) (190,69.17805480957031) (726,68.93850708007812) (371,68.89958190917969) (2062,68.88579559326172) (503,68.79086303710938) (1249,68.74897003173828) (7,68.70681762695312) (808,68.6707534790039) (333,68.61182403564453)
155: (857,73.34832763671875) (875,72.81686401367188)* (3431,72.70114135742188)* (1083,72.07156372070312)* (5785,72.03233337402344) (599,71.92060089111328)* (59,71.85648345947266) (2488,71.79731750488281) (1814,71.70463562011719) (9327,71.69054412841797) (852,71.63189697265625) (4278,71.60244750976562) (1202,71.57684326171875) (10403,71.56613159179688) (853,71.45142364501953) (867,71.40399169921875) (2938,71.28148651123047) (5260,71.2394027709961) (13879,71.22782897949219) (1513,71.21207427978516)
156: (217,68.29226684570312) (228,68.23509216308594) (65,68.13459777832031)* (65,68.13459777832031)* (618,67.61593627929688) (366,67.4133529663086) (199,67.2933120727539) (424,67.25994110107422) (622,67.18450927734375) (195,67.09122467041016) (426,67.08802032470703) (1390,67.08673095703125) (683,67.05294799804688) (222,67.02012634277344) (533,67.00904846191406)* (439,66.79224395751953) (204,66.75238037109375) (1519,66.74707794189453) (602,66.70330810546875) (1424,66.67086791992188)
157: (1803,71.91645812988281) (724,71.42948150634766) (707,71.30891418457031) (959,71.17046356201172)* (732,71.11543273925781) (1249,71.11067962646484) (1358,71.01006317138672)* (951,70.97314453125) (2346,70.8376693725586) (2834,70.31962585449219)* (2797,70.26311492919922) (735,69.72405242919922) (4180,69.72171020507812) (1415,69.53755950927734) (4460,69.26887512207031) (2790,69.21428680419922) (2784,69.20137786865234)* (2789,68.88752746582031) (1366,68.72612762451172)* (234,68.71694946289062)
158: (288,70.87885284423828) (344,70.51595306396484) (289,70.45054626464844) (912,70.11355590820312) (5032,70.11011505126953) (461,70.03041076660156) (786,69.97378540039062) (2977,69.78607177734375) (1059,69.69979095458984) (3324,69.69639587402344) (333,69.5908203125) (1918,69.56729888916016) (89,69.51351928710938) (161,69.48522186279297) (4923,69.38648986816406) (300,69.37361145019531) (2094,69.33292388916016) (681,69.27193450927734)* (674,69.24700164794922) (7656,69.1546630859375)
159: (157,67.7818603515625) (71,66.94914245605469) (71,66.94914245605469) (1379,66.8769760131836)* (310,66.68512725830078)* (722,66.63323974609375) (89,66.54296875) (306,66.52058410644531) (295,66.4384536743164) (294,66.42284393310547)* (184,66.31061553955078) (1009,66.27197265625) (55,66.2255630493164) (697,66.16693878173828) (689,66.16203308105469) (289,66.0377197265625) (1795,66.02835845947266) (161,66.02692413330078) (97,65.98036193847656) (180,65.95223999023438)
161: (45,80.87725067138672) (2944,80.25934600830078) (8,80.1325912475586) (811,80.06378936767578) (1910,80.063232421875) (34,79.93174743652344) (6818,79.86164855957031) (3244,79.74565124511719)* (504,79.7054443359375) (930,79.67127990722656) (1919,79.42496490478516) (1263,79.40145111083984) (25,79.33203125) (1295,79.11007690429688) (835,79.0477066040039) (4162,79.04417419433594) (2014,78.93787384033203) (6257,78.81382751464844) (768,78.63306427001953) (5065,78.63261413574219)
162: (161,70.8276138305664) (288,70.78394317626953) (157,70.7835693359375) (913,70.28572082519531) (349,70.25393676757812) (701,70.06797790527344) (461,69.74911499023438) (292,69.66571044921875) (306,69.53034973144531) (294,69.3670654296875) (377,69.32979583740234) (257,69.23138427734375) (792,69.16004180908203) (300,69.0781478881836) (318,69.04627990722656) (251,69.01713562011719) (310,69.00068664550781) (55,68.99371337890625) (299,68.89972686767578) (378,68.82168579101562)*
163: (5267,72.9826889038086) (12689,71.91508483886719) (1462,71.83020782470703) (2443,71.05607604980469) (7399,70.87854766845703) (5266,70.8531265258789) (2445,70.77485656738281) (2442,70.70027160644531)* (5649,70.34371185302734) (12683,70.31624603271484) (12688,70.20558166503906) (11775,70.04850769042969) (1696,69.92584991455078) (12681,69.71260070800781) (9299,69.6570816040039) (2437,69.65525817871094) (2467,69.54216003417969)* (3585,69.478271484375)* (12684,69.46072387695312) (2466,69.45800018310547)
164: (227,67.08248901367188) (163,66.61540985107422) (220,66.5445556640625) (65,66.4123764038086) (65,66.4123764038086) (533,66.00904083251953) (190,66.00666046142578)* (1643,65.99760437011719)* (418,65.87181091308594) (3057,65.8201675415039) (212,65.69860076904297) (366,65.63945770263672) (511,65.61988067626953) (234,65.60737609863281) (3670,65.50547790527344) (1412,65.44285583496094) (436,65.43692016601562) (1239,65.41151428222656) (215,65.40301513671875)* (204,65.36053466796875)*
166: (1122,70.11536407470703) (511,69.7493896484375) (65,69.70216369628906) (65,69.70216369628906) (220,69.65205383300781) (154,69.3677978515625) (157,69.19683837890625) (1795,69.13104248046875) (155,68.94223022460938) (599,68.9284439086914) (715,68.8509292602539) (331,68.81978607177734) (190,68.78254699707031) (986,68.77039337158203) (67,68.73026275634766) (67,68.73026275634766) (614,68.70539093017578) (4037,68.4740982055664) (5235,68.41278839111328) (234,68.3765869140625)
168: (1117,69.25141906738281) (2139,68.84307861328125) (7665,68.75277709960938) (1155,68.57947540283203) (7742,68.16285705566406) (1961,68.09674835205078) (418,67.8193130493164) (619,67.70024108886719) (3685,67.59608459472656)* (440,67.56207275390625)* (10615,67.47926330566406) (621,67.32420349121094) (3411,67.32197570800781) (703,67.22242736816406)* (6217,67.11732482910156) (9727,67.06040954589844) (8705,66.94734954833984) (603,66.9290771484375) (3707,66.87745666503906) (757,66.83908081054688)*
170: (978,75.43277740478516) (233,75.33367156982422) (806,75.26702117919922) (1104,75.22911834716797) (2379,75.05255126953125) (198,75.02722930908203) (7639,74.93260955810547) (1044,74.72633361816406)* (707,74.59965515136719)* (785,74.43760681152344) (769,74.28754425048828) (489,74.26403045654297) (953,74.22212982177734) (7389,74.18917846679688) (370,74.17807006835938) (2835,74.01980590820312) (1119,73.93730926513672)* (25,73.92041015625) (846,73.91610717773438) (1191,73.68714904785156)
171: (1400,66.66050720214844)* (154,65.70414733886719)* (424,65.58454132080078) (210,65.55341339111328) (217,65.48059844970703) (1390,65.3764419555664) (56,65.36463165283203) (56,65.36463165283203) (432,65.26858520507812) (425,65.19972229003906) (430,65.11846160888672) (1106,65.1119155883789) (1090,65.1004409790039) (703,65.06734466552734)* (1048,64.97712707519531) (757,64.97651672363281)* (969,64.97265625) (1116,64.87049865722656) (716,64.8600845336914) (199,64.82355499267578)
172: (234,72.97357940673828) (1090,72.61094665527344) (56,72.45551300048828) (56,72.45551300048828) (159,72.37799072265625) (229,72.1817398071289) (857,72.13424682617188)* (709,71.96514892578125) (2821,71.94561004638672)* (72,71.82553100585938) (72,71.82553100585938) (227,71.82244873046875) (425,71.76483154296875) (420,71.71217346191406) (203,71.6146011352539) (220,71.54164123535156) (59,71.48706817626953) (65,71.39681243896484) (65,71.39681243896484) (88,71.36689758300781)
173: (439,71.03206634521484)* (227,70.37248992919922)* (228,69.80867767333984) (3747,69.56837463378906)* (533,69.48687744140625) (229,69.15912628173828) (220,69.09799194335938) (716,69.023193359375) (932,68.96269226074219) (982,68.91127014160156) (226,68.85252380371094) (234,68.75027465820312) (154,68.6647720336914)* (1515,68.62757110595703) (163,68.59680938720703)* (159,68.57337951660156)* (11460,68.54092407226562) (166,68.48338317871094) (1400,68.41331481933594)* (1116,68.34247589111328)
174: (4616,65.89340209960938) (227,65.7325668334961) (1772,65.61347961425781) (366,65.44146728515625) (2176,65.26676940917969) (355,65.26303100585938) (3057,65.18681335449219) (230,65.17762756347656) (730,64.88216400146484) (10677,64.79830932617188) (344,64.7602310180664) (3749,64.51426696777344)* (2893,64.45497131347656) (1511,64.44000244140625) (1470,64.38134765625) (538,64.34136199951172) (190,64.33792877197266) (333,64.31591796875) (2840,64.27054595947266) (3078,64.1999740600586)
175: (2456,69.59696197509766) (2437,69.07936096191406)* (5267,68.98358917236328) (2445,68.65644073486328) (3583,68.53235626220703)* (1459,68.51551818847656)* (2466,68.44807434082031) (908,68.40794372558594) (2396,68.4006118774414) (892,68.3288803100586) (2448,68.32611083984375) (1462,68.24723052978516) (3582,68.09478759765625) (2450,68.08009338378906) (465,67.99647521972656)* (13265,67.86026763916016) (788,67.85681915283203) (3601,67.83963012695312) (2444,67.83509826660156) (4700,67.74569702148438)
176: (857,73.38388061523438) (159,72.72537231445312) (208,72.16215515136719) (2531,72.09647369384766) (190,72.00379180908203) (207,71.90436553955078) (599,71.87933349609375) (203,71.80003356933594) (56,71.71141815185547) (56,71.71141815185547) (234,71.7034912109375) (969,71.67064666748047)* (229,71.58375549316406) (425,71.44088745117188) (859,71.28326416015625) (709,71.24708557128906) (1400,71.03598022460938) (88,71.00968933105469) (2818,70.9179916381836) (206,70.88419342041016)
177: (163,74.0558853149414)* (707,73.40518188476562) (1412,73.1305160522461)* (706,72.66722106933594) (152,72.44794464111328)* (920,72.42386627197266) (1372,72.30042266845703) (562,72.12677001953125) (1119,72.11911010742188) (1131,72.08663177490234) (607,72.07648468017578)* (234,71.94869995117188) (614,71.89158630371094) (868,71.83541107177734) (1358,71.82610321044922) (599,71.77691650390625)* (1244,71.75791931152344) (735,71.68142700195312) (1413,71.46235656738281) (4675,71.37940979003906)
178: (2375,74.1307373046875) (707,74.10545349121094) (1119,73.76696014404297) (152,73.68246459960938) (4271,73.3525619506836) (163,73.2779541015625) (370,73.2464599609375) (1411,73.24182891845703) (1131,73.21597290039062) (3805,73.0835189819336) (1369,73.04296112060547) (920,73.04193878173828) (964,72.91655731201172) (841,72.89545440673828) (2493,72.80980682373047) (1412,72.58004760742188) (2654,72.56859588623047) (5169,72.49529266357422) (2381,72.34160614013672) (3481,72.34089660644531)
179: (230,78.33647918701172)* (333,78.2693862915039)* (89,78.24617004394531)* (209,78.02717590332031) (190,77.89375305175781) (1186,77.82086181640625) (405,77.44528198242188) (1246,77.36380004882812) (488,77.28162384033203) (229,77.16021728515625) (1183,77.03730773925781) (298,76.67819213867188) (306,76.56401824951172) (403,76.52857971191406) (537,76.52069091796875) (3200,76.48023223876953) (228,76.47061157226562) (324,76.4598159790039) (207,76.42369842529297) (1179,76.37976837158203)
180: (845,81.17488098144531) (3720,80.73344421386719) (1099,80.27108001708984) (9783,80.19328308105469) (9122,80.10733795166016) (1204,80.08118438720703) (2151,80.03204345703125) (758,79.83074951171875) (512,79.80419921875) (10500,79.59246063232422) (407,79.53069305419922) (768,79.50666046142578) (1191,79.43700408935547) (4611,79.37914276123047) (1548,79.1950454711914) (7389,79.11170959472656) (4887,79.05859375) (2165,79.02925872802734) (1131,78.96131896972656) (45,78.96101379394531)
181: (1913,74.35919189453125) (2033,73.46241760253906) (6238,72.4798812866211) (4887,72.47421264648438) (460,72.01321411132812) (6237,71.97986602783203) (377,71.95037078857422) (6239,71.92495727539062) (3053,71.91664123535156) (2154,71.90310668945312) (4906,71.88330078125) (6243,71.87647247314453) (6240,71.77523803710938) (6234,71.70584869384766) (6236,71.62364959716797) (2506,71.59928894042969) (407,71.59343719482422) (72,71.58647155761719) (72,71.58647155761719) (1104,71.5801010131836)*
182: (4928,70.72190856933594) (1130,70.68025207519531) (63,70.60189056396484) (63,70.60189056396484) (1112,70.30612182617188) (4616,70.29348754882812) (7119,70.25642395019531) (4920,69.88139343261719) (4927,69.70873260498047) (910,69.67147827148438) (1123,69.65875244140625) (2051,69.46105194091797) (1121,69.41387176513672) (7530,69.3895492553711) (184,69.22183990478516) (1705,69.10096740722656) (727,68.96575927734375) (1377,68.80386352539062) (5806,68.77976989746094) (3057,68.6835708618164)
183: (59,68.27413940429688)* (599,67.77813720703125) (51,67.71501159667969) (715,67.5294418334961) (1001,67.33052825927734) (187,67.05873107910156) (851,66.98351287841797) (441,66.7825698852539) (227,66.60506439208984) (868,66.4941635131836) (203,66.39875030517578) (173,66.11957550048828) (1089,65.98873138427734) (190,65.95236206054688) (959,65.82614135742188) (1073,65.77349853515625) (5890,65.61750030517578) (993,65.58694458007812) (1014,65.5735855102539) (620,65.553466796875)
184: (81,71.07284545898438)* (1781,70.22142791748047) (238,69.62959289550781)* (4153,69.5453872680664) (54,69.5296630859375) (54,69.5296630859375) (183,69.43991088867188) (697,69.36890411376953) (3890,69.33973693847656) (962,69.12228393554688) (95,69.11048889160156) (237,68.97776794433594) (65,68.9521255493164) (65,68.9521255493164) (511,68.90828704833984) (1375,68.77411651611328) (1908,68.72377014160156) (418,68.71702575683594)* (3676,68.6730728149414) (4143,68.50871276855469)
185: (187,70.33290100097656)* (3832,68.18641662597656) (6926,68.08551025390625) (993,68.05506134033203) (99,68.05075073242188) (1713,68.04621887207031) (6064,68.00099182128906) (4609,67.945068359375) (2938,67.85547637939453) (905,67.82647705078125) (1892,67.6347885131836) (91,67.58059692382812) (30,67.53575134277344) (3201,67.46221160888672) (4649,67.42385864257812) (5260,67.39875030517578) (1079,67.38214874267578) (3966,67.35172271728516) (98,67.31058502197266) (5088,67.27465057373047)
186: (486,74.17133331298828) (300,73.97872924804688)* (209,73.59649658203125) (89,73.56695556640625)* (1180,73.56165313720703) (1246,73.54248046875) (344,73.06645965576172)* (461,72.9685287475586) (1673,72.90855407714844) (472,72.864990234375) (536,72.82209014892578) (540,72.79059600830078) (500,72.77626037597656) (475,72.70951080322266) (1044,72.68677520751953) (488,72.6652603149414) (497,72.66184997558594) (1047,72.5914306640625) (1186,72.50032043457031)* (1045,72.38018035888672)
187: (72,74.37049102783203)* (72,74.37049102783203)* (193,73.97692108154297)* (59,73.25498962402344) (1001,72.92958068847656) (99,72.87694549560547) (159,72.75450134277344)* (868,72.67918395996094) (511,72.45491027832031) (1892,72.25807189941406) (997,72.05909729003906)* (1013,72.05004119873047)* (2469,71.94998931884766) (1014,71.94827270507812) (715,71.94066619873047) (163,71.89410400390625)* (851,71.77481842041016) (1884,71.76862335205078) (905,71.64832305908203) (96,71.57423400878906)
189: (503,69.33123779296875) (234,69.15254974365234)* (220,68.92447662353516) (1116,68.78367614746094)* (1104,68.7640609741211) (497,68.6516342163086) (1672,68.60617065429688) (486,68.59646606445312)* (1179,68.53880310058594) (854,68.42894744873047) (917,68.40266418457031) (1099,68.2994155883789) (504,68.199951171875) (1974,68.08637237548828) (982,68.06278228759766)* (1091,68.04801177978516) (500,68.02525329589844) (1406,67.9593734741211) (806,67.86829376220703) (229,67.84494018554688)
190: (3570,62.9426155090332) (669,61.18519973754883) (334,60.59711456298828) (3572,60.24639129638672) (16149,60.1064453125) (17146,60.01759719848633) (157,59.97276306152344) (12925,59.81715774536133) (349,59.811012268066406) (161,59.646263122558594) (16775,59.57120895385742) (792,59.41773223876953) (16145,59.3681755065918) (479,59.326507568359375) (677,59.30099105834961) (9030,59.26823043823242) (17147,59.13387680053711) (288,59.07658004760742) (16147,59.0704231262207) (4180,58.968406677246094)
191: (1713,71.25349426269531)* (1072,70.87408447265625)* (3046,70.22758483886719) (1061,69.94744110107422) (1001,69.8984375) (187,69.66273498535156)* (59,69.42745208740234) (233,69.3749771118164) (154,69.3595962524414) (159,69.34534454345703) (1014,69.34064483642578) (63,69.30517578125) (63,69.30517578125) (1790,69.29815673828125) (30,69.2935791015625) (1394,69.2778091430664) (190,69.24772644042969)* (407,69.22637176513672) (70,69.15013122558594) (3053,69.13729095458984)*
192: (3807,78.5615005493164) (5063,77.89024353027344) (5069,76.10875701904297) (5970,75.99617004394531) (503,75.22664642333984) (3028,75.07467651367188) (4182,74.87486267089844) (3806,74.8580551147461) (4611,74.58216094970703) (3800,74.32271575927734) (768,74.31301879882812) (780,74.28178405761719) (845,74.27019500732422) (1550,74.21137237548828) (5066,74.18203735351562) (5807,74.09092712402344) (2173,73.94702911376953) (12850,73.92072296142578) (4271,73.91915893554688) (7981,73.84064483642578)
