userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,65.89234924316406)* (1001,65.65420532226562) (187,64.37413024902344) (1073,64.36953735351562) (59,64.2488784790039)* (1824,64.08040618896484) (1014,64.03302764892578) (627,63.97802734375) (1836,63.826751708984375) (157,63.7722053527832) (3768,63.72329330444336) (4308,63.64678955078125) (1394,63.629295349121094) (1892,63.520938873291016) (3992,63.51335525512695) (70,63.407649993896484)* (175,63.354522705078125) (601,63.354087829589844) (193,63.33505630493164) (511,63.30375671386719)
189: (1104,57.8206672668457) (1099,57.70046615600586) (234,56.82274627685547)* (1179,56.71182632446289) (504,56.558258056640625) (486,56.27003860473633)* (726,56.19178771972656) (854,56.11454391479492) (1701,56.06568145751953) (3238,56.008872985839844) (1974,55.999900817871094) (497,55.96501159667969) (154,55.913639068603516) (815,55.77582931518555) (2794,55.76820373535156) (7639,55.608158111572266) (2380,55.571693420410156) (1410,55.562469482421875) (1406,55.55323791503906) (503,55.4490966796875)
190: (8765,59.341270446777344) (4880,59.167747497558594) (6697,58.60783386230469) (4885,58.19136428833008) (638,58.05262756347656) (6232,57.918548583984375) (3572,57.803253173828125) (8017,57.70713806152344) (9231,57.67433547973633) (6713,57.39701461791992) (1015,57.3706169128418) (6705,57.32713317871094) (6308,57.06389617919922) (89,56.913795471191406) (1066,56.91094970703125) (55,56.87041473388672) (8768,56.63660430908203) (669,56.63296127319336) (1937,56.55232620239258) (157,56.532371520996094)
191: (151,67.72166442871094) (63,67.33592987060547) (63,67.33592987060547) (3827,66.93425750732422) (1394,66.51643371582031) (3046,66.43757629394531) (880,66.35785675048828) (187,66.22437286376953)* (30,66.20244598388672) (945,66.03417205810547) (1800,65.99337768554688) (4912,65.96147918701172) (4037,65.91272735595703) (722,65.90876007080078) (6056,65.85303497314453) (986,65.82090759277344) (407,65.81951904296875) (159,65.7555160522461) (6052,65.73919677734375) (959,65.69746398925781)
192: (5667,74.53124237060547) (5135,73.38160705566406) (3999,73.13418579101562)* (5126,72.9154052734375) (4185,72.87019348144531) (5968,72.71326446533203) (4937,72.19479370117188) (15044,71.9830322265625) (9540,71.86940002441406) (2579,71.76254272460938)* (15053,71.74686431884766) (4183,71.71432495117188) (2429,71.63919830322266) (15049,71.59967041015625) (12490,71.54954528808594) (10650,71.5399169921875) (12,71.510498046875) (845,71.42352294921875) (15045,71.41553497314453) (10955,71.35417938232422)
193: (1099,65.57359313964844) (2919,64.42515563964844) (1396,64.38368225097656) (1397,64.37564849853516)* (1401,64.35281372070312) (331,64.32232666015625)* (70,64.21795654296875) (80,64.16534423828125) (1405,64.07530975341797) (475,64.01435089111328) (1394,63.98473358154297) (5045,63.91569900512695) (1613,63.853050231933594) (5072,63.84685516357422) (8790,63.79579544067383) (88,63.566864013671875) (757,63.3695068359375) (1410,63.33464431762695) (1408,63.28441619873047) (4028,63.25690460205078)*
194: (8027,63.73914337158203) (748,63.260433197021484) (6756,62.941680908203125) (81,62.69871139526367)* (621,62.62904739379883) (1098,62.51469039916992)* (3411,62.448421478271484) (2605,62.28256607055664) (237,62.23509979248047) (2616,62.08053970336914) (57,62.078704833984375) (4230,62.057533264160156) (616,61.9691047668457) (603,61.94164276123047) (5185,61.92408752441406) (632,61.83096694946289) (1824,61.631412506103516) (4113,61.586875915527344) (2676,61.44218444824219) (606,61.36602783203125)
195: (197,63.19422912597656) (863,62.958892822265625)* (859,62.94953918457031)* (429,62.90031814575195) (612,62.47681427001953) (441,62.347408294677734) (630,62.17445755004883) (599,62.07781219482422) (203,62.033203125) (2265,61.84193801879883) (1504,61.73723220825195) (1888,61.7330207824707) (206,61.64299392700195) (857,61.63908767700195) (159,61.618831634521484) (1639,61.42377853393555) (4079,61.384700775146484) (618,61.36133575439453) (2629,61.33119583129883) (1958,61.219520568847656)
196: (533,59.543128967285156) (207,59.02500915527344)* (228,58.68903350830078) (234,58.66436767578125)* (190,58.56690979003906)* (716,58.51836395263672)* (203,58.290035247802734) (159,58.221168518066406) (173,58.16470718383789) (429,58.13654327392578) (65,58.09020233154297)* (65,58.09020233154297)* (230,57.8875846862793) (511,57.65293884277344) (441,57.64042282104492) (614,57.49577331542969) (1048,57.45531463623047) (432,57.43458938598633) (1512,57.37189483642578) (1384,57.36835861206055)
198: (805,62.601417541503906) (815,62.58174514770508) (823,62.29612731933594)* (500,61.74717712402344) (1196,61.440216064453125) (814,61.157920837402344) (768,60.907039642333984) (1868,60.80910873413086) (2959,60.76371765136719) (818,60.72509765625) (2210,60.7014274597168) (1192,60.65419387817383) (825,60.65318298339844) (1188,60.6346435546875) (4346,60.57311248779297) (1197,60.53658676147461) (1181,60.45903778076172) (507,60.43825912475586) (809,60.370418548583984) (3239,60.35143280029297)
200: (163,65.45532989501953)* (868,64.91861724853516) (1369,64.04176330566406) (1413,63.83264923095703) (51,63.59306335449219) (193,63.577205657958984) (707,63.537818908691406) (1639,63.478515625) (735,63.467369079589844) (234,63.46668243408203) (72,63.44444274902344) (72,63.44444274902344) (1372,63.371864318847656) (1427,63.34360122680664) (5020,63.32799530029297) (2347,63.24332809448242)* (601,63.16028594970703) (1244,63.05021667480469) (1249,63.00740051269531) (245,62.95245361328125)
201: (955,61.25233459472656) (1300,60.53837966918945) (12909,60.39005661010742) (930,60.313236236572266) (8646,60.24230194091797) (3901,60.2152099609375)* (518,59.96419906616211)* (7100,59.851280212402344) (289,59.758827209472656) (1114,59.510093688964844) (67,59.47589874267578) (67,59.47589874267578) (3425,59.47394561767578) (5459,59.38954544067383) (55,59.379417419433594) (5079,59.36363983154297) (3198,59.28892517089844) (1098,59.222530364990234) (5735,59.059486389160156) (1062,59.05208969116211)
202: (920,69.03117370605469) (928,68.8890151977539)* (917,68.4800033569336)* (1339,68.31520080566406) (812,68.14017486572266) (1132,68.02894592285156) (943,67.99323272705078) (1998,67.96852111816406) (188,67.91227722167969) (936,67.83995056152344) (937,67.8016128540039) (707,67.76435089111328)* (957,67.67188262939453) (1350,67.50337219238281) (2945,67.33535766601562) (947,67.23413848876953)* (953,67.22537231445312) (918,66.87781524658203)* (5585,66.7832260131836) (370,66.78216552734375)
203: (1541,66.76726531982422)* (823,66.31607055664062) (779,66.28939056396484) (1868,65.43250274658203) (830,65.32975769042969) (1196,65.27246856689453) (810,65.26094818115234)* (2959,65.24702453613281) (2618,65.17765045166016) (818,65.12137603759766) (808,64.91111755371094) (3239,64.85201263427734) (5100,64.74063110351562) (2576,64.69046783447266) (2214,64.67576599121094) (2386,64.66584014892578) (825,64.58196258544922) (768,64.54668426513672) (834,64.5274429321289) (1672,64.400634765625)
204: (13237,69.39147186279297) (8934,67.9973373413086) (4826,67.6874008178711) (13260,67.65290069580078) (11553,67.33642578125) (4185,67.25554656982422)* (10955,67.20269012451172) (3341,67.16877746582031) (1187,67.12418365478516) (1645,66.95435333251953) (4014,66.81021118164062) (6294,66.6971435546875) (4724,66.37057495117188) (898,66.24478149414062) (4821,66.20465850830078) (8275,66.15159606933594) (3057,66.13263702392578) (13692,66.12960052490234) (8274,66.12886047363281) (8264,66.10367584228516)
205: (779,63.39277648925781)* (808,62.85762023925781) (1099,62.749759674072266) (1179,62.46462631225586) (1191,62.38349151611328) (45,62.18526077270508) (512,62.13116455078125) (198,62.035888671875) (377,61.95466613769531) (1044,61.89496612548828) (978,61.8168830871582) (7639,61.80765914916992) (1180,61.623497009277344) (489,61.5116081237793) (3239,61.49829864501953) (497,61.462013244628906) (7,61.38986587524414) (1104,61.298980712890625) (1541,61.29512023925781) (1186,61.25336456298828)
206: (1090,63.17338943481445) (432,62.80098342895508) (159,62.419158935546875) (234,62.34986114501953) (425,62.28877258300781) (228,62.251461029052734) (3053,62.24353790283203) (72,62.119564056396484) (72,62.119564056396484) (1520,62.0870475769043) (424,62.03787612915039) (716,62.03277587890625) (203,62.01936721801758) (1376,62.00466537475586) (429,61.99812316894531) (190,61.953407287597656) (1048,61.8794059753418) (15119,61.84342575073242) (56,61.83732986450195) (56,61.83732986450195)
207: (3081,67.05033874511719) (1383,66.70722961425781) (289,66.66893005371094) (548,66.63469696044922) (344,66.43534851074219) (691,66.41209411621094) (300,66.2611312866211) (307,66.1819076538086) (324,66.16822052001953) (679,66.13919067382812) (1590,66.0376968383789) (680,65.97421264648438) (362,65.92292785644531) (1934,65.79658508300781) (2546,65.71564483642578) (1105,65.69601440429688) (7449,65.66311645507812) (689,65.62332916259766) (1389,65.5988540649414) (498,65.55577087402344)
208: (2765,76.88910675048828) (1992,76.70768737792969) (1214,76.63983154296875) (188,76.18147277832031) (1274,76.05067443847656)* (1254,75.96444702148438)* (954,75.9084701538086) (947,75.8282699584961) (1264,75.7884292602539) (2970,75.49217224121094) (920,75.3407974243164) (1132,75.28617095947266) (821,75.17029571533203) (1261,75.02587890625) (1344,75.01468658447266) (949,74.96879577636719) (1528,74.93732452392578) (2746,74.77882385253906) (25,74.72990417480469) (1353,74.70729064941406)
209: (333,69.40628051757812)* (344,69.26358795166016) (466,69.2537841796875) (292,68.79206848144531)* (686,68.52957153320312) (701,68.4897232055664) (291,68.23641967773438)* (89,68.17149353027344) (681,68.12364959716797) (498,67.6867446899414)* (293,67.64942169189453) (679,67.60511779785156) (528,67.60454559326172) (161,67.443115234375) (320,67.40472412109375)* (464,67.38671875) (790,67.38424682617188) (1037,67.28337097167969) (544,67.26182556152344) (352,67.21493530273438)
210: (3047,71.45445251464844) (1104,71.38301086425781) (1009,70.8936996459961) (7,70.6500015258789) (475,70.63910675048828) (377,70.60130310058594) (70,70.47634887695312) (529,70.39871215820312) (89,70.11102294921875)* (1795,70.09760284423828) (3501,70.07452392578125) (1099,69.99359130859375) (64,69.89701843261719) (64,69.89701843261719) (1793,69.88298034667969) (1410,69.79118347167969) (65,69.77568817138672) (65,69.77568817138672) (75,69.74678039550781) (75,69.74678039550781)
211: (190,58.18400573730469)* (1075,57.81493377685547) (70,57.27232360839844) (159,57.153564453125) (187,56.96894836425781) (64,56.958404541015625) (64,56.958404541015625) (182,56.90249252319336) (1072,56.825157165527344)* (66,56.63017272949219) (66,56.63017272949219) (59,56.49959945678711) (450,56.434791564941406) (432,56.24076843261719) (7,56.20128631591797) (228,56.19413757324219) (88,56.18162536621094) (172,56.154869079589844) (207,56.115821838378906) (75,56.11479949951172)
212: (7111,75.42826843261719) (7101,75.26325988769531) (1132,73.32166290283203) (956,73.27530670166016) (4161,73.27328491210938) (9511,73.07136535644531) (922,73.0204849243164) (2055,73.00148010253906) (4691,72.9782943725586) (5158,72.8870620727539) (1366,72.79776763916016) (1350,72.77083587646484)* (3217,72.70618438720703) (2787,72.56291198730469) (710,72.56214904785156) (3472,72.51565551757812) (6,72.46175384521484) (707,72.4453125) (1347,72.43067169189453) (927,72.41926574707031)
213: (808,73.08002471923828) (517,72.8005599975586)* (220,72.20121002197266)* (383,71.75091552734375) (1406,71.70015716552734) (1873,71.61455535888672) (230,71.60469818115234) (377,71.4669418334961)* (1104,71.3644027709961) (7639,71.28227233886719) (1196,71.18559265136719) (4821,71.15902709960938) (226,71.13877868652344) (1206,71.13690948486328) (1145,71.0521469116211) (614,71.03018951416016) (706,70.91630554199219) (1412,70.8465576171875) (2595,70.8004150390625) (1513,70.72929382324219)
214: (55,67.4292221069336)* (289,67.1106948852539)* (349,67.07255554199219)* (285,67.0508804321289)* (310,66.6036605834961) (525,66.50850677490234) (180,66.41510009765625) (257,66.37086486816406) (301,66.32650756835938) (299,66.2772445678711) (913,66.23519897460938) (251,66.20368194580078) (320,65.87092590332031) (2523,65.69353485107422) (258,65.5994873046875) (328,65.57315063476562) (333,65.41177368164062) (378,65.3502197265625) (538,65.2239761352539) (176,65.17440032958984)
215: (227,69.4334716796875) (245,69.27379608154297) (857,69.24287414550781) (220,68.85845947265625) (163,68.80138397216797) (1412,68.6808090209961) (234,68.53988647460938) (562,68.46780395507812) (706,68.38121795654297) (5236,68.35010528564453) (959,68.14067077636719) (718,67.99805450439453) (1122,67.98191833496094) (4216,67.95159912109375) (1249,67.88250732421875) (511,67.85545349121094) (1244,67.8250732421875) (7540,67.63201141357422) (735,67.60043334960938) (2346,67.59898376464844)
216: (64,59.9904899597168) (64,59.9904899597168) (757,59.42939758300781) (72,59.28910827636719)* (72,59.28910827636719)* (1099,58.899696350097656) (7324,58.77709197998047) (70,58.60555648803711) (2521,58.51380920410156) (4725,58.5056266784668) (1409,58.40390396118164) (4728,58.38166809082031) (432,58.29932403564453) (173,58.29581832885742) (526,58.25998306274414) (229,58.128440856933594) (532,58.0626335144043) (190,58.017555236816406) (6054,57.961238861083984) (425,57.925052642822266)
217: (12051,64.19812774658203) (2786,63.51685333251953) (4675,63.50884246826172) (1411,63.37315368652344) (163,63.19516372680664) (8716,63.152286529541016) (212,62.89957809448242) (3780,62.881988525390625) (3417,62.73015594482422) (3217,62.6622200012207) (2419,62.56721496582031) (5446,62.52647018432617) (949,62.5093994140625) (609,62.4986572265625) (227,62.436405181884766) (2711,62.397361755371094) (3776,62.39286804199219) (7056,62.38398361206055) (841,62.314430236816406) (8837,62.29869842529297)
218: (1974,66.51422119140625) (234,66.40167236328125) (517,66.0409927368164) (978,65.79459381103516) (614,65.5112533569336) (808,65.49604797363281) (154,65.46871948242188) (220,65.41588592529297) (7,65.38512420654297) (190,65.37187194824219) (233,65.24134826660156) (159,65.16041564941406) (726,65.12158203125) (173,65.0842056274414) (1145,64.89558410644531) (489,64.8718490600586) (1118,64.86524200439453) (1406,64.8001937866211) (1131,64.74586486816406) (1249,64.73422241210938)
219: (488,65.49790954589844) (536,65.44620513916016) (209,65.40269470214844) (537,65.23124694824219) (498,65.104736328125)* (1377,65.04855346679688) (540,64.94080352783203) (1470,64.5087890625) (499,64.46884155273438)* (1180,64.42587280273438) (493,64.37333679199219) (1091,64.32156372070312) (5437,64.19374084472656) (18553,64.04850006103516) (6006,63.99430847167969) (4262,63.97010803222656) (1672,63.959228515625) (497,63.934661865234375) (1375,63.88179397583008) (1874,63.85108947753906)
220: (196,51.35539627075195) (429,51.34709167480469)* (618,51.2376594543457) (199,51.14053726196289) (1504,50.961341857910156) (425,50.95634078979492) (441,50.954959869384766) (1089,50.9029426574707) (215,50.8642578125) (416,50.7907829284668) (428,50.75446319580078) (1090,50.75229263305664) (1510,50.711605072021484) (3279,50.645912170410156) (443,50.638450622558594) (6726,50.51592254638672) (3469,50.498687744140625) (599,50.43400573730469) (5414,50.41063690185547) (604,50.40882873535156)
223: (344,69.2064437866211)* (291,68.78101348876953)* (307,68.50482940673828) (289,68.46195983886719)* (333,68.44950103759766)* (2977,67.74891662597656) (1459,67.62391662597656) (1470,67.57524871826172)* (89,67.49713134765625) (680,67.47767639160156) (498,67.32413482666016) (466,67.22359466552734) (3489,67.13744354248047)* (302,67.09683227539062)* (786,67.04402160644531) (311,66.95740509033203)* (2392,66.9195785522461) (5032,66.7835693359375) (324,66.6549072265625) (257,66.63166809082031)
224: (851,58.92824935913086) (511,58.71683120727539) (715,58.13109588623047)* (163,57.98530197143555) (1013,57.83252716064453)* (2469,57.71977996826172) (2938,57.67813491821289) (868,57.623756408691406) (2531,57.54511260986328) (98,57.45845413208008) (874,57.30481719970703) (959,57.288516998291016) (1001,57.25511169433594) (1150,57.23515701293945) (96,57.10350036621094)* (3889,57.03269958496094) (863,56.94237518310547) (154,56.92760467529297) (1884,56.903507232666016) (2554,56.82787322998047)
225: (842,71.0245361328125)* (785,70.3354721069336)* (1274,69.46231842041016) (8298,69.34442901611328) (3239,69.32102966308594) (4229,69.19684600830078) (7639,69.17446899414062) (2955,69.14710998535156) (2211,69.11709594726562) (1206,69.10781860351562) (1281,69.08319854736328) (805,69.08155059814453) (923,69.00370788574219) (953,68.99520111083984) (815,68.78477478027344) (843,68.76799011230469) (11856,68.67218017578125) (4003,68.66668701171875) (818,68.65699005126953) (5666,68.65242004394531)
226: (300,70.41295623779297)* (288,70.25306701660156)* (466,70.08806610107422)* (461,69.79425811767578)* (292,69.75715637207031)* (306,69.1634521484375)* (299,68.71390533447266) (464,68.6578369140625) (320,68.39175415039062) (686,68.36687469482422)* (528,68.35687255859375) (55,68.27177429199219) (458,68.24195861816406) (329,68.207763671875) (298,68.1796875) (293,68.07559967041016) (704,68.0219497680664) (352,68.00624084472656) (1042,67.98233795166016) (2020,67.97216796875)
227: (288,67.78240966796875)* (3324,67.7365493774414) (374,67.55699920654297) (89,67.41924285888672)* (1904,67.26018524169922)* (2102,66.98054504394531) (318,66.84431457519531) (686,66.84166717529297) (1037,66.77338409423828) (344,66.69905090332031)* (375,66.65483856201172) (793,66.56666564941406) (528,66.45028686523438) (317,66.34112548828125) (701,66.26268005371094)* (2106,66.23461151123047)* (325,66.18966674804688) (531,66.076416015625) (5574,66.05371856689453) (2086,66.04571533203125)
228: (565,68.50911712646484) (2633,68.27715301513672) (13621,67.40070343017578) (1944,67.31828308105469) (5627,66.98490905761719) (212,66.67625427246094)* (1242,66.51307678222656) (582,66.41014862060547) (10848,66.35247039794922) (205,66.33802795410156) (1962,66.30744171142578) (10026,66.30609130859375) (2424,66.28267669677734) (554,66.2406005859375) (227,66.08773040771484) (1976,66.04053497314453) (3299,65.9868392944336) (2265,65.9560775756836) (286,65.9150619506836) (1171,65.90311431884766)
229: (475,66.15409851074219) (331,65.76826477050781) (1613,65.48726654052734) (89,65.47254180908203)* (328,65.42831420898438) (907,65.34796905517578) (288,65.26264190673828)* (295,65.20296478271484) (377,65.16558837890625) (306,65.1119155883789)* (292,65.02859497070312) (2976,64.93983459472656) (289,64.89869689941406)* (67,64.8270263671875) (67,64.8270263671875) (300,64.74528503417969) (333,64.5916976928711) (55,64.5208740234375) (2179,64.4234848022461) (466,64.40882110595703)
230: (466,65.26402282714844)* (295,64.87930297851562) (681,64.4561996459961) (386,64.44420623779297) (701,64.44154357910156)* (352,64.36677551269531) (2094,64.27835845947266) (686,64.27774810791016) (679,64.21858215332031) (325,64.08930206298828) (290,63.89837646484375) (161,63.68356704711914) (1684,63.66986083984375) (523,63.62399673461914) (293,63.600830078125) (374,63.58747100830078)* (528,63.581382751464844) (360,63.55067443847656) (1459,63.49370574951172) (326,63.48394775390625)
231: (314,66.98796844482422) (317,66.91305541992188)* (1451,66.76713562011719) (308,66.22041320800781) (257,66.12085723876953)* (1456,66.08317565917969) (461,66.04844665527344)* (4814,65.9988784790039) (531,65.85254669189453) (55,65.79864501953125) (333,65.6462631225586) (328,65.60342407226562)* (913,65.58988189697266) (301,65.52371215820312) (1051,65.47229766845703) (331,65.46891021728516)* (544,65.45321655273438) (1042,65.44837951660156) (1032,65.43757629394531) (1452,65.34093475341797)
232: (67,64.075439453125)* (67,64.075439453125)* (157,63.825016021728516) (329,63.60533905029297) (475,63.60518264770508) (299,63.52116394042969)* (257,63.39739227294922)* (913,63.32853698730469) (330,63.29280090332031) (468,63.24274826049805) (288,63.126590728759766)* (1613,63.10503387451172) (279,62.89337921142578) (328,62.861427307128906) (331,62.84384536743164) (701,62.81999206542969) (327,62.81521987915039) (1596,62.808837890625) (1433,62.72296142578125) (2179,62.710235595703125)
233: (466,63.396358489990234)* (295,63.26166534423828) (333,63.02052307128906) (701,62.99740982055664) (306,62.96881103515625)* (542,62.4534912109375) (3200,62.332366943359375) (704,62.32744216918945) (349,62.20648193359375) (464,61.964256286621094) (302,61.96295928955078)* (689,61.96000289916992) (544,61.882572174072266) (523,61.64362716674805) (546,61.6248779296875) (157,61.60639190673828) (329,61.380859375)* (378,61.3546257019043) (328,61.35287857055664) (1032,61.33550262451172)
234: (2923,73.54013061523438) (1620,72.48133850097656) (278,72.10511779785156) (1402,72.05655670166016) (2921,72.00483703613281) (1963,71.82124328613281) (331,71.7997055053711)* (1943,71.5634994506836) (2226,71.4170913696289) (1613,71.34960174560547) (527,71.13439178466797) (6226,71.01775360107422) (1099,70.90821838378906) (2668,70.9018325805664) (603,70.88048553466797) (3317,70.8736343383789) (619,70.67161560058594) (249,70.55915832519531) (2164,70.55908203125) (748,70.55425262451172)
235: (370,65.545166015625) (821,65.31892395019531)* (841,65.14894104003906) (15,64.87062072753906)* (917,64.66668701171875)* (843,64.66365051269531) (923,64.525390625) (25,64.44761657714844) (920,64.44436645507812)* (954,64.3157730102539)* (949,64.28605651855469) (2963,63.850223541259766) (1281,63.72111511230469) (6289,63.57670211791992) (806,63.44690704345703) (1710,63.4332389831543) (7922,63.34154510498047) (2654,63.15732955932617) (1274,63.0564079284668) (2151,63.05358123779297)
236: (475,63.619117736816406)* (67,63.47795867919922) (67,63.47795867919922) (907,63.384910583496094) (306,62.98063278198242) (298,62.96250915527344) (295,62.91594314575195)* (310,62.773860931396484) (466,62.66447830200195) (302,62.651973724365234) (157,62.5864372253418) (328,62.53984451293945) (525,62.47084426879883) (301,62.441741943359375)* (2179,62.42138671875) (346,62.40695571899414) (538,62.40071487426758) (689,62.378990173339844) (55,62.35597229003906) (377,62.12068176269531)
237: (154,61.293819427490234)* (441,60.69167709350586)* (226,60.26121520996094) (418,59.775638580322266) (199,59.6367073059082) (215,59.56998062133789) (863,59.48595428466797) (868,59.424530029296875) (1510,59.37776184082031) (206,59.29135513305664) (1412,59.12894058227539) (599,59.10960388183594)* (159,59.09135055541992) (225,59.05833435058594)* (152,59.000389099121094) (212,58.87849426269531) (858,58.871585845947266) (233,58.856040954589844) (1090,58.7942008972168) (709,58.694984436035156)
238: (2952,73.84818267822266) (10390,73.81377410888672) (12452,73.59774780273438) (4183,73.46158599853516) (7239,73.32785034179688) (10912,73.29521942138672) (7540,73.02434539794922) (1743,72.99069213867188) (154,72.81864166259766) (1109,72.80421447753906) (65,72.66548156738281) (65,72.66548156738281) (3057,72.65678405761719) (1098,72.38310241699219) (1123,72.25977325439453) (3729,72.06270599365234) (5236,71.95614624023438) (3877,71.94490051269531) (9807,71.87921142578125) (1112,71.82013702392578)
240: (377,66.92310333251953) (907,66.06685638427734) (300,65.91265869140625)* (161,65.8487548828125) (466,65.80989837646484)* (461,65.76155090332031) (405,65.71997833251953) (386,65.68517303466797)* (644,65.58216094970703) (544,65.57250213623047)* (531,65.42076110839844) (292,65.40923309326172)* (491,65.26790618896484) (328,65.16503143310547)* (1444,65.11219787597656) (468,65.1039047241211) (291,65.03167724609375) (966,64.92387390136719) (294,64.84147644042969) (681,64.82485961914062)
241: (917,63.198612213134766) (707,63.009124755859375)* (928,62.94044494628906) (918,62.69935989379883) (957,62.36270523071289) (924,62.34764862060547) (952,62.17033004760742) (1249,62.149314880371094) (710,62.01321792602539)* (953,61.57093811035156) (923,61.50685119628906) (2343,61.43915939331055) (841,61.43065643310547) (843,61.426856994628906) (854,61.39533233642578) (724,61.359519958496094) (955,61.3568115234375) (930,61.31254959106445) (1339,61.28207015991211) (163,61.203041076660156)
242: (257,65.95526123046875)* (701,65.73442077636719)* (299,65.59917449951172)* (466,65.37388610839844)* (461,65.34486389160156) (349,65.32879638671875)* (333,65.08062744140625) (161,64.94586181640625) (55,64.78652954101562) (294,64.67730712890625)* (465,64.57398986816406)* (325,64.55679321289062) (913,64.50700378417969) (306,64.48416137695312)* (686,64.4350814819336) (352,64.42509460449219) (326,64.38726806640625) (523,64.3700942993164) (265,64.21980285644531) (525,64.05782318115234)
243: (58,61.57960510253906)* (58,61.57960510253906)* (535,60.653236389160156) (1062,60.506103515625) (886,60.44439697265625) (1098,60.355751037597656)* (289,60.186790466308594) (903,60.15560531616211) (526,59.81480407714844) (1934,59.762603759765625) (157,59.75453186035156) (532,59.70656967163086)* (980,59.703704833984375) (1243,59.59479522705078) (961,59.464908599853516) (539,59.45718002319336) (288,59.43442153930664)* (703,59.242313385009766) (425,59.17267608642578)* (300,59.09605026245117)
244: (289,69.02163696289062) (542,68.88381958007812) (333,68.86186218261719) (714,68.38632202148438) (230,68.07364654541016) (292,67.87944030761719) (679,67.86029815673828) (67,67.79429626464844) (67,67.79429626464844) (227,67.75017547607422) (466,67.6435546875) (302,67.55513000488281) (1246,67.54252624511719) (377,67.54185485839844) (701,67.47882080078125) (228,67.4434814453125)* (1045,67.37342834472656) (1681,67.37206268310547) (2080,67.24317932128906) (966,67.216064453125)
247: (9187,69.3575210571289) (1470,68.39254760742188)* (498,68.08675384521484) (8728,68.06037139892578) (378,67.83670043945312) (4466,67.82792663574219) (11217,67.79457092285156) (6600,67.7349853515625) (4177,67.64794921875) (3384,67.63780975341797) (8732,67.53922271728516) (12027,67.49027252197266) (3928,67.47872161865234) (1438,67.47224426269531) (486,67.4541015625) (7837,67.38263702392578) (65,67.27887725830078) (65,67.27887725830078) (3927,67.20753479003906) (1375,67.16837310791016)
248: (327,66.189453125) (1037,66.04409790039062) (299,66.0158920288086) (531,65.99596405029297) (4562,65.93277740478516) (289,65.89418029785156)* (352,65.84773254394531) (2990,65.84011840820312) (4814,65.77386474609375) (544,65.7284927368164)* (317,65.68855285644531) (308,65.62910461425781)* (314,65.61193084716797) (1444,65.5916519165039) (333,65.50365447998047)* (1051,65.45916748046875) (468,65.44620513916016) (1456,65.41776275634766) (318,65.41156768798828) (458,65.3948974609375)*
249: (1191,60.84296417236328) (537,60.66587829589844)* (488,60.40484619140625) (45,60.397499084472656) (1179,60.386051177978516) (209,60.271644592285156)* (540,60.114994049072266) (1200,59.900665283203125) (1874,59.809242248535156) (1854,59.804664611816406) (89,59.79490280151367) (779,59.78267288208008)* (475,59.73967361450195) (830,59.710208892822266) (499,59.678466796875) (191,59.65918731689453) (1186,59.55895233154297) (378,59.552791595458984) (2432,59.38089370727539) (492,59.35504913330078)
250: (163,71.43721771240234)* (1216,71.4071044921875) (3354,71.21172332763672) (1110,70.72515869140625) (9125,70.5844497680664) (1369,70.51789093017578) (917,70.43212890625) (152,70.31913757324219) (227,70.31900787353516) (11956,70.28177642822266) (3792,70.180908203125) (841,70.0525131225586) (718,70.04957580566406) (5636,70.02053833007812) (630,70.01358032226562) (707,69.95270538330078) (562,69.91195678710938) (964,69.90513610839844) (1206,69.88058471679688) (1202,69.7807388305664)
251: (1513,69.89614868164062)* (1206,69.82806396484375) (383,69.43274688720703) (857,69.22688293457031) (706,69.0908203125)* (1412,69.05973815917969) (227,68.99676513671875) (707,68.66616821289062) (1974,68.5571517944336) (234,68.52853393554688) (868,68.480712890625) (709,68.45874786376953) (614,68.39598083496094) (3333,68.26383209228516) (1645,68.17789459228516) (220,68.1618881225586) (3456,68.0884017944336) (10403,68.01046752929688) (2637,67.97021484375) (4821,67.850341796875)
252: (466,64.81334686279297)* (288,64.33470153808594)* (291,64.31244659423828) (324,63.693946838378906) (2094,63.66264343261719) (680,63.61759948730469) (318,63.610477447509766) (681,63.474037170410156)* (1934,63.469024658203125) (3319,63.40259552001953) (293,63.23401641845703) (352,63.23305130004883) (528,63.126739501953125)* (701,63.003440856933594) (523,62.89567565917969) (1684,62.83037567138672) (1590,62.78592300415039) (691,62.74018096923828) (2521,62.683319091796875) (690,62.599647521972656)*
253: (300,65.54403686523438) (295,65.0594482421875)* (378,64.89080810546875) (1775,64.74982452392578) (283,64.56575775146484) (2988,64.41341400146484) (3332,64.34623718261719) (3176,64.16665649414062) (4350,64.15323638916016) (518,63.88039779663086) (1114,63.81983947753906) (466,63.7392692565918) (714,63.71992492675781) (903,63.717613220214844)* (972,63.508338928222656) (637,63.50722122192383) (3173,63.49977493286133) (679,63.48518371582031) (641,63.43152618408203) (291,63.39396667480469)*
