userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,60.729061126708984) (51,60.478668212890625)* (4308,60.35188293457031) (1073,60.26145935058594) (1014,60.11940383911133) (187,60.02652359008789) (59,59.92206573486328)* (1713,59.8930549621582) (1098,59.7582893371582) (1072,59.57716751098633) (1892,59.5313835144043) (1885,59.50275802612305) (3768,59.46878433227539) (1836,59.41993713378906) (11794,59.418235778808594) (3501,59.34492492675781) (1394,59.28071212768555) (157,59.23124694824219) (1062,59.20265197753906) (70,59.15004348754883)*
161: (1263,69.27983856201172) (6542,68.3594741821289) (930,68.11870574951172) (1300,68.08820343017578) (2,68.0569076538086) (1914,68.03448486328125) (45,67.9783706665039) (8,67.78258514404297) (7078,67.67475891113281) (5079,67.60967254638672) (4162,67.60636138916016) (1292,67.58750915527344) (6548,67.56758880615234) (6847,67.56275939941406) (3196,67.55326843261719) (2014,67.50495147705078) (5670,67.46817779541016) (6547,67.44807434082031) (4137,67.43519592285156) (9,67.42814636230469)
162: (157,62.55887222290039) (288,62.361244201660156) (461,62.02684020996094) (701,61.95490264892578) (300,61.78464126586914) (498,61.74264907836914) (378,61.688480377197266)* (802,61.68610763549805) (306,61.68235778808594) (292,61.68048858642578) (972,61.57284164428711) (377,61.56571578979492) (349,61.45467758178711) (2498,61.37154006958008) (55,61.34027099609375) (161,61.239715576171875) (679,61.235843658447266) (466,61.216224670410156) (680,61.201995849609375) (180,61.1992073059082)
163: (2442,57.71852111816406)* (1489,57.70611572265625) (4542,57.57606887817383) (5267,57.48252487182617) (3585,57.44816970825195)* (6529,57.40110778808594) (2466,57.398345947265625) (2467,57.27363204956055)* (2443,57.08897018432617) (11778,56.925296783447266) (11768,56.90849685668945) (2445,56.7181282043457) (11771,56.66826629638672) (11777,56.640098571777344) (11770,56.562129974365234) (7838,56.55350112915039) (11775,56.5378303527832) (11781,56.51918411254883) (11772,56.50483322143555) (11773,56.5018310546875)
164: (227,57.052581787109375) (199,56.107017517089844) (234,55.9402961730957) (429,55.834754943847656) (1239,55.809410095214844) (533,55.76653289794922) (190,55.68700408935547)* (220,55.66780090332031) (163,55.66231918334961) (718,55.649574279785156) (226,55.61664581298828)* (2637,55.56632995605469) (859,55.55984878540039) (436,55.52162551879883) (857,55.46416091918945) (982,55.40735626220703) (418,55.38962173461914) (212,55.35591125488281) (228,55.3096809387207) (65,55.29108428955078)
166: (511,57.79194259643555) (715,57.329952239990234) (1122,57.30853271484375) (65,57.257080078125) (65,57.257080078125) (159,57.09730911254883)* (157,57.01338195800781) (959,56.99013137817383) (190,56.9420280456543) (163,56.89381790161133) (166,56.84554672241211) (599,56.84267807006836) (69,56.840824127197266) (69,56.840824127197266) (1244,56.79185485839844) (868,56.784095764160156) (154,56.78391647338867) (1772,56.7324104309082) (986,56.631778717041016) (1109,56.62060546875)
168: (444,58.98548889160156) (420,58.02861785888672) (418,57.92600631713867) (1155,57.775421142578125) (1400,57.5278434753418) (757,57.39944839477539)* (3411,57.22361755371094) (8705,57.1782341003418) (1961,57.171234130859375) (703,56.96831130981445)* (2139,56.9427375793457) (2542,56.885982513427734)* (11783,56.79560470581055) (440,56.7779541015625)* (746,56.7542610168457) (84,56.73676300048828) (1101,56.728511810302734) (2582,56.713600158691406)* (236,56.66141891479492) (603,56.6420783996582)
170: (785,55.444862365722656) (846,55.21002197265625) (198,55.02485656738281) (489,54.87974548339844) (707,54.70990753173828)* (7639,54.700748443603516) (1974,54.63621520996094)* (978,54.60435104370117) (1861,54.57217788696289) (813,54.55380630493164) (2211,54.50136947631836) (1274,54.495948791503906) (1104,54.472862243652344) (806,54.25370407104492) (1044,54.22669219970703)* (1549,54.18379211425781) (188,54.1771125793457) (2381,54.082374572753906) (4500,54.01443099975586) (2379,54.00813674926758)
171: (1400,54.506778717041016)* (56,53.99462890625) (56,53.99462890625) (1090,53.83349609375) (424,53.720802307128906) (425,53.64479064941406) (154,53.62449264526367)* (430,53.428184509277344) (210,53.36653137207031) (432,53.36293411254883) (199,53.30963134765625) (716,53.283695220947266) (689,53.22947692871094) (703,53.20527648925781)* (217,53.166378021240234) (1106,53.134944915771484) (420,53.118995666503906) (1048,53.11266326904297) (969,53.079227447509766) (1941,53.052616119384766)
172: (56,51.48688507080078) (56,51.48688507080078) (234,51.04015350341797) (227,50.95750427246094) (65,50.87503433227539) (65,50.87503433227539) (229,50.864280700683594) (88,50.739681243896484) (533,50.73307418823242) (220,50.66954803466797) (1090,50.611385345458984) (233,50.59014129638672) (159,50.58344650268555) (72,50.25129699707031) (72,50.25129699707031) (709,50.1592903137207) (1098,49.95185089111328) (203,49.945518493652344) (331,49.90349578857422) (429,49.887062072753906)
173: (439,51.59140396118164)* (1513,51.20757293701172) (227,51.066871643066406)* (982,51.04734802246094) (533,50.94759750366211) (706,50.74636459350586) (220,50.73252868652344) (234,50.328880310058594) (3747,50.04298782348633)* (228,49.970436096191406) (735,49.88496398925781) (716,49.79631423950195) (230,49.77415084838867) (614,49.752445220947266) (226,49.66461944580078) (421,49.631507873535156) (8710,49.62431335449219) (1249,49.59446334838867) (1239,49.53475570678711) (709,49.41044998168945)
174: (227,59.702415466308594) (356,59.5166015625) (366,59.30229187011719) (355,59.279727935791016) (316,59.211402893066406) (6529,59.042720794677734) (230,59.028079986572266) (1772,58.80143737792969) (718,58.797279357910156) (1244,58.7861328125) (892,58.75761032104492) (2439,58.58189392089844) (3057,58.56951904296875) (157,58.43712615966797) (1470,58.4123420715332) (5099,58.409706115722656) (498,58.39717102050781) (190,58.3614616394043) (344,58.31227493286133) (538,58.29061508178711)
175: (3583,61.49085998535156)* (5267,61.40583419799805) (2456,61.39267349243164) (6529,61.039390563964844) (2466,60.92475128173828) (3611,60.688148498535156) (2445,60.571189880371094) (3584,60.47161865234375) (4815,60.42792892456055) (3589,60.38208770751953) (3609,60.37057113647461) (8372,60.259037017822266) (2437,60.20690155029297)* (2440,60.19499969482422) (161,60.15317916870117) (4542,60.02021026611328) (641,60.00886917114258) (7838,59.90400314331055) (1432,59.896907806396484) (5649,59.86738204956055)
176: (159,56.51881790161133) (1098,55.874359130859375) (190,55.76132583618164) (203,55.718074798583984) (81,55.641441345214844) (418,55.60675048828125) (599,55.60498809814453) (229,55.58222198486328) (56,55.552772521972656) (56,55.552772521972656) (533,55.45487594604492) (199,55.43703842163086) (65,55.398006439208984) (65,55.398006439208984) (436,55.26241683959961) (225,55.240074157714844)* (1384,55.049842834472656) (511,55.000701904296875) (182,54.993743896484375) (1151,54.9686164855957)
177: (163,58.3625373840332)* (707,58.18050003051758) (152,57.59754180908203)* (1412,57.5614128112793)* (868,57.40232467651367) (920,57.378631591796875) (1119,56.99613952636719) (234,56.98672866821289) (1131,56.94959259033203) (607,56.79706954956055)* (72,56.68788146972656) (72,56.68788146972656) (233,56.61675262451172) (1358,56.61246109008789) (1372,56.60459899902344) (706,56.51778030395508) (614,56.507469177246094) (3940,56.48945617675781) (186,56.415771484375) (159,56.39567947387695)
178: (152,58.618289947509766) (1119,58.59968185424805) (1131,58.489830017089844) (920,58.461700439453125) (841,58.412635803222656) (854,58.282535552978516) (949,58.2503776550293)* (1202,58.237911224365234) (370,58.18886184692383) (2375,58.10476303100586) (707,58.096038818359375) (2362,58.054195404052734) (3723,57.89761734008789) (4271,57.87709045410156) (1206,57.857608795166016) (2381,57.854408264160156) (2006,57.84954071044922) (843,57.802879333496094) (853,57.70344924926758) (186,57.69190216064453)
179: (89,54.28726577758789)* (306,53.583229064941406) (333,53.49516677856445)* (190,53.4720458984375) (295,53.328060150146484) (67,53.303157806396484)* (67,53.303157806396484)* (230,53.239952087402344)* (302,53.17293930053711) (701,52.861324310302734) (55,52.791900634765625) (538,52.75364303588867) (298,52.68592071533203) (679,52.68391799926758) (65,52.68101119995117) (65,52.68101119995117) (903,52.63117218017578) (328,52.6156005859375) (972,52.55284881591797) (310,52.466896057128906)
180: (503,62.59573745727539) (815,62.390281677246094) (512,62.147247314453125) (2151,62.07215118408203) (8910,61.982513427734375) (45,61.87540817260742) (5069,61.79679489135742) (2429,61.665950775146484) (370,61.65913391113281) (2172,61.64009094238281) (1131,61.55551528930664) (768,61.49070358276367) (813,61.423667907714844) (845,61.378257751464844) (832,61.368133544921875) (953,61.335418701171875) (2474,61.272518157958984) (1191,61.26074981689453) (2186,61.24541473388672) (2479,61.23293685913086)
181: (475,59.2470817565918) (6626,58.666446685791016) (12243,58.641292572021484) (3462,58.48113250732422) (2226,58.2111930847168) (63,58.13268280029297) (63,58.13268280029297) (1104,58.108516693115234)* (4344,58.10405349731445) (1433,58.07674789428711) (3863,58.07644271850586) (2251,58.016380310058594) (1789,57.99641799926758) (1009,57.985206604003906) (1613,57.983150482177734) (14343,57.980674743652344) (157,57.75322723388672) (2179,57.74946594238281) (5073,57.68245315551758) (722,57.66122055053711)
182: (356,61.765724182128906) (1694,61.38204574584961) (727,60.90032958984375) (12138,60.73862838745117) (3611,60.7213020324707) (6529,60.61513900756836) (1123,60.584373474121094) (1740,60.52265548706055) (1121,60.49613952636719) (13164,60.473365783691406) (157,60.4563102722168) (7157,60.41911315917969) (389,60.41572952270508) (4920,60.315059661865234) (4928,60.2976188659668) (1130,60.29152297973633) (4437,60.23250198364258) (3466,60.147274017333984) (2051,60.12964630126953) (9271,60.1086311340332)
183: (59,55.938934326171875)* (51,55.50883102416992) (599,55.03211212158203) (1001,54.94424057006836) (1014,54.688514709472656) (1073,54.63292694091797) (187,54.41641616821289) (441,54.3785400390625) (997,54.365413665771484) (1892,54.13283157348633) (81,54.05559158325195) (2938,53.963871002197266) (998,53.914608001708984) (851,53.79414367675781) (993,53.78365707397461) (98,53.71834182739258) (874,53.660499572753906) (54,53.65364074707031) (54,53.65364074707031) (227,53.645355224609375)
184: (59,58.284385681152344) (159,57.72637176513672) (172,57.46733856201172) (51,57.36810302734375) (1001,57.12852096557617) (429,57.030738830566406) (1075,57.02738571166992) (599,57.022769927978516) (81,56.971038818359375)* (58,56.93900680541992) (58,56.93900680541992) (1062,56.88947296142578) (187,56.8093376159668) (1073,56.62856674194336) (511,56.58207321166992) (3201,56.47380447387695)* (56,56.464237213134766) (56,56.464237213134766) (715,56.38851547241211) (227,56.364044189453125)
185: (930,64.24567413330078) (1114,63.8360710144043) (6527,63.77526092529297) (187,63.66545486450195)* (4137,63.40766906738281) (1803,63.294559478759766) (5003,63.055179595947266) (1079,62.8565559387207) (3896,62.856292724609375) (91,62.84954833984375) (4135,62.847652435302734) (3217,62.842323303222656) (99,62.84078598022461) (2973,62.65171432495117) (1069,62.59895706176758) (3201,62.524009704589844) (157,62.480491638183594) (959,62.48017883300781) (3474,62.437713623046875) (98,62.43658447265625)
186: (1246,57.90465545654297) (461,57.82038497924805) (300,57.71592330932617)* (89,57.51118087768555)* (475,57.478233337402344) (544,57.383331298828125) (472,57.354251861572266) (486,57.337032318115234) (209,57.063819885253906) (679,57.014625549316406) (1047,56.876468658447266) (344,56.854305267333984)* (701,56.774105072021484) (306,56.760860443115234)* (1673,56.749267578125) (540,56.73072814941406) (1186,56.64494323730469)* (536,56.624420166015625) (538,56.611812591552734) (681,56.59690856933594)*
187: (72,62.15973663330078)* (72,62.15973663330078)* (193,61.94755172729492)* (1001,61.276161193847656) (1892,61.11585998535156) (1014,61.02915954589844) (59,61.0034294128418) (99,60.99493408203125) (511,60.922447204589844) (159,60.8015022277832)* (163,60.79885482788086)* (997,60.77254867553711)* (1083,60.720550537109375) (85,60.50613021850586) (868,60.39973068237305) (2552,60.396949768066406) (1122,60.37623977661133) (874,60.26825714111328) (2029,60.170814514160156) (5833,60.0460205078125)
189: (1104,52.76838684082031) (475,52.49579620361328) (234,52.46684646606445)* (1974,52.06134033203125) (497,52.008235931396484) (486,51.991886138916016)* (220,51.88712692260742) (1099,51.844051361083984) (504,51.75835418701172) (843,51.7476806640625) (510,51.6351318359375) (1116,51.55762481689453)* (1672,51.55453872680664) (1406,51.5343017578125) (503,51.533878326416016) (1179,51.515132904052734) (56,51.45465087890625) (56,51.45465087890625) (917,51.41547393798828) (1091,51.408355712890625)
190: (2076,59.47459030151367) (6860,59.14051818847656) (6697,59.05134963989258) (334,58.574100494384766) (2395,58.56253433227539) (265,58.306949615478516) (669,58.21598815917969) (3311,58.05363464355469) (16764,57.962318420410156) (6856,57.96016311645508) (4481,57.7877082824707) (792,57.77031707763672) (16767,57.676918029785156) (16772,57.60592269897461) (637,57.5867919921875) (2396,57.5760612487793) (638,57.571128845214844) (16770,57.569557189941406) (791,57.50748825073242) (16771,57.50080108642578)
191: (63,58.403377532958984) (63,58.403377532958984) (157,58.26234436035156)* (1713,58.09548568725586)* (70,58.078895568847656) (1394,58.05384063720703) (5254,57.54057312011719) (529,57.52466583251953) (601,57.45402908325195) (2222,57.41294860839844) (959,57.38627624511719) (187,57.2309455871582)* (4316,57.225128173828125) (1790,57.18439865112305) (1800,57.14181137084961) (4297,57.113590240478516) (1795,57.080345153808594) (1072,57.024940490722656)* (174,56.953697204589844) (4037,56.92308044433594)
192: (5936,58.72816848754883) (9796,58.66521453857422) (9804,58.3394775390625) (17094,57.78104782104492) (9794,57.598411560058594) (13857,57.574092864990234) (5135,57.55056381225586) (18537,57.50706481933594) (3999,57.39945983886719)* (9801,57.28219985961914) (18535,57.12581253051758) (18543,57.062801361083984) (18538,57.048675537109375) (18529,57.01554489135742) (9805,56.95559310913086) (15054,56.94871139526367) (13819,56.926055908203125) (18528,56.858551025390625) (8925,56.832035064697266) (9798,56.826751708984375)
193: (70,57.8834228515625) (1099,57.7718620300293) (238,57.64056396484375) (1394,57.120487213134766) (173,56.960655212402344) (1098,56.81352615356445) (331,56.765750885009766)* (1713,56.68057632446289) (1075,56.63838577270508) (233,56.5474967956543) (1379,56.514862060546875) (66,56.438011169433594) (66,56.438011169433594) (174,56.435874938964844) (81,56.41994094848633) (1401,56.39936447143555) (88,56.33045959472656) (154,56.31004333496094) (475,56.27165603637695) (1397,56.240055084228516)*
194: (81,59.47989273071289)* (603,59.11528396606445) (748,59.072505950927734) (1098,58.80942916870117)* (429,58.79526138305664) (3707,58.66122055053711) (2605,58.54922866821289) (206,58.53081130981445) (237,58.4770622253418) (441,58.467376708984375) (632,58.432586669921875) (196,58.43197250366211) (159,58.42074966430664) (621,58.32200622558594) (199,58.20014190673828) (56,58.18415832519531) (56,58.18415832519531) (208,58.151878356933594) (1394,58.047401428222656) (606,57.994205474853516)
195: (599,58.263038635253906) (429,57.881629943847656) (159,57.44239044189453) (715,57.29866027832031) (863,57.173709869384766)* (441,56.969173431396484) (2531,56.95299530029297) (851,56.93336486816406) (859,56.865455627441406)* (4129,56.82346725463867) (215,56.657711029052734) (612,56.65088653564453) (59,56.61753845214844) (511,56.57911682128906) (436,56.56045150756836) (1811,56.50387954711914) (206,56.499794006347656) (203,56.49490737915039) (858,56.443058013916016) (630,56.416908264160156)
196: (533,49.36618423461914) (228,49.13663101196289) (207,49.066959381103516)* (190,48.9588737487793)* (159,48.752471923828125) (234,48.66628646850586)* (65,48.66415786743164)* (65,48.66415786743164)* (429,48.64961242675781) (56,48.63850784301758) (56,48.63850784301758) (203,48.6180305480957) (441,48.554073333740234) (173,48.49169158935547) (716,48.48105239868164)* (436,48.44874572753906)* (225,48.44599533081055) (439,48.007137298583984) (1098,47.888484954833984) (88,47.8784294128418)
198: (412,56.69163513183594) (198,56.573795318603516) (4821,56.452144622802734) (4346,56.4420280456543) (3032,56.43411636352539) (814,56.328975677490234) (3721,56.25802230834961) (489,56.21639633178711) (2580,56.18167495727539) (805,56.16224670410156) (815,56.07051086425781) (230,56.03206253051758) (377,55.86781311035156) (2574,55.814208984375) (1974,55.79216384887695) (383,55.75054931640625) (1187,55.70956039428711) (3040,55.70030975341797) (1116,55.70002365112305) (809,55.681880950927734)
200: (163,58.01894760131836)* (868,57.88697814941406) (735,57.56850814819336) (1639,57.49011993408203) (2901,57.30145263671875) (975,57.156982421875) (1413,57.0994873046875) (1244,56.89889907836914) (599,56.897037506103516) (1415,56.76081085205078)* (72,56.75228500366211) (72,56.75228500366211) (1369,56.7405891418457) (1372,56.71915817260742) (2609,56.686988830566406) (707,56.633522033691406) (728,56.60788345336914) (3934,56.52199172973633) (706,56.50279235839844)* (5020,56.46296691894531)
201: (3217,66.8912124633789) (930,66.51094818115234) (1114,66.16254425048828) (4137,65.86736297607422)* (6544,65.66333770751953) (18,65.48027038574219) (1,65.40132141113281) (72,65.34178161621094)* (72,65.34178161621094)* (187,65.30135345458984) (390,65.17542266845703) (51,65.04261779785156) (1298,65.01173400878906) (396,64.99427795410156) (997,64.84537506103516) (5079,64.79833221435547) (172,64.73592376708984) (159,64.67555236816406) (955,64.63372802734375) (3267,64.59489440917969)
202: (917,66.86634826660156)* (707,66.70108032226562)* (1339,66.10356903076172) (930,65.97887420654297) (936,65.93360900878906) (920,65.8825454711914) (25,65.8382568359375) (957,65.54315948486328) (949,65.39814758300781) (1338,65.3730697631836) (937,65.3593521118164) (841,65.34466552734375) (188,65.30064392089844) (2975,65.2643051147461) (1132,65.25211334228516) (953,65.2498779296875) (928,65.17723083496094)* (15,65.17572784423828) (1349,65.07792663574219) (1104,65.01114654541016)*
203: (779,63.183040618896484) (1541,62.84859848022461)* (497,62.74910354614258) (1672,62.69331741333008) (377,62.39338684082031) (1185,62.322383880615234) (830,62.24211883544922) (808,62.19190216064453) (1044,62.16814041137695) (537,62.16335678100586) (498,61.83528137207031) (507,61.79875564575195) (2062,61.78266906738281) (1195,61.745574951171875) (45,61.74540710449219) (768,61.74159240722656) (1853,61.741371154785156) (1678,61.70359802246094) (1184,61.67899703979492) (1200,61.650569915771484)
204: (10955,61.71306610107422) (5638,61.464881896972656) (7329,61.026309967041016) (4820,61.00643539428711) (2276,60.98653030395508) (11900,60.933773040771484) (6294,60.58543395996094) (13515,60.43576431274414) (3616,60.3851203918457) (11623,60.36233139038086) (6391,60.312744140625) (10407,60.23496627807617) (11413,60.1859016418457) (1228,60.166324615478516) (10405,60.15558624267578) (2643,60.1103630065918) (3791,60.05667495727539) (10409,60.02312469482422) (10214,60.008121490478516) (10408,59.987823486328125)
205: (475,62.80086135864258) (377,62.64608383178711) (779,62.57780456542969)* (754,62.512939453125) (1401,62.284202575683594) (968,62.234622955322266) (2192,61.73521423339844) (1179,61.63671112060547) (1541,61.594966888427734) (497,61.49355697631836) (1044,61.43783187866211) (45,61.39022445678711) (1099,61.35219955444336) (1191,61.32096862792969) (489,61.32011795043945) (198,61.18862533569336) (2923,61.18742370605469) (56,61.16618728637695) (56,61.16618728637695) (1195,61.09541702270508)
206: (190,55.66105651855469) (88,55.609134674072266) (65,55.46217346191406) (65,55.46217346191406) (331,55.36433029174805) (475,55.2308349609375) (154,55.083526611328125)* (1613,55.053409576416016) (56,54.956478118896484) (56,54.956478118896484) (234,54.84065628051758) (157,54.53839111328125) (220,54.51432418823242) (159,54.49374771118164) (228,54.48553466796875) (72,54.4490852355957) (72,54.4490852355957) (2923,54.44456100463867) (70,54.41823959350586) (3053,54.41606903076172)
207: (691,64.15644073486328) (498,63.37440872192383) (344,63.20530700683594) (1934,63.18818664550781) (681,63.15299606323242) (679,63.11203384399414) (374,63.09010314941406) (3057,63.050621032714844) (362,63.009742736816406) (324,62.97557830810547) (1389,62.93500900268555) (898,62.841922760009766) (471,62.824684143066406) (300,62.78523635864258) (680,62.784576416015625) (289,62.739784240722656) (288,62.59357452392578) (1105,62.53669738769531) (9578,62.53165817260742) (548,62.50479507446289)
208: (1214,65.7557601928711) (949,65.531005859375) (188,65.05257415771484) (2970,64.95671081542969) (1254,64.94857025146484)* (503,64.92806243896484) (1992,64.72779083251953) (2654,64.71824645996094) (1264,64.70667266845703) (2763,64.68346405029297) (923,64.6617660522461) (3509,64.63375091552734) (7922,64.53450012207031) (1132,64.52417755126953) (3806,64.52157592773438) (821,64.46683502197266) (954,64.45594787597656) (1111,64.32502746582031) (2765,64.28987121582031) (1267,64.25833129882812)
209: (89,55.75612258911133) (333,55.64082336425781)* (292,55.509464263916016)* (701,55.50608825683594) (679,55.4871711730957) (466,55.410884857177734) (344,54.93571090698242) (291,54.91346740722656)* (544,54.736324310302734) (498,54.6025276184082)* (298,54.39030075073242) (802,54.36143493652344) (293,54.34429931640625) (464,54.31024169921875) (680,54.261932373046875) (686,54.18421173095703) (320,54.16160583496094)* (458,54.15543746948242) (542,54.129730224609375) (681,54.09701156616211)
210: (1009,56.53338623046875) (10997,56.498130798339844) (70,56.46467971801758) (529,56.41007995605469) (3501,56.15841293334961) (475,56.120906829833984) (328,56.047096252441406) (4024,56.033355712890625) (55,55.94382858276367) (1104,55.94001388549805) (1397,55.90666580200195) (306,55.781986236572266) (64,55.77043533325195) (64,55.77043533325195) (1394,55.76332473754883) (38,55.70920181274414) (1099,55.708343505859375) (310,55.70667266845703) (175,55.6870002746582) (1793,55.648162841796875)
211: (70,50.73268508911133) (56,50.56285095214844) (56,50.56285095214844) (190,50.34769058227539)* (1099,50.203372955322266) (1104,50.14558792114258) (1072,50.06786346435547)* (1394,49.975833892822266) (1379,49.887550354003906) (159,49.873783111572266) (1098,49.850650787353516) (1075,49.78049087524414) (64,49.76613998413086) (64,49.76613998413086) (7,49.762657165527344) (157,49.732452392578125) (88,49.530364990234375) (66,49.42378616333008) (66,49.42378616333008) (234,49.4127311706543)
212: (3429,67.28771209716797) (4161,66.796630859375) (1366,66.48302459716797) (4180,66.39826965332031) (4137,66.3624267578125) (9514,66.3530502319336) (9460,66.33000946044922) (2341,66.2950210571289) (6282,66.2347640991211) (925,66.21472930908203) (10460,66.20879364013672) (7101,66.20747375488281) (5585,66.20388793945312) (4165,66.20166015625) (4866,66.1867904663086) (7099,66.17070770263672) (16427,66.1422348022461) (955,66.0981674194336) (8696,66.07112884521484) (10690,66.02123260498047)
213: (377,51.73412322998047)* (517,51.47270202636719)* (3646,51.44316482543945) (808,51.405303955078125) (1873,51.19663619995117) (230,50.96742630004883) (1406,50.95024108886719) (3238,50.904964447021484) (1104,50.87718200683594) (1274,50.83185958862305) (510,50.78086471557617) (1145,50.726741790771484) (2738,50.696319580078125) (1975,50.662208557128906) (220,50.57352066040039)* (497,50.520633697509766) (1537,50.469181060791016) (7040,50.467987060546875) (2380,50.3827018737793) (1989,50.3191032409668)
214: (289,54.823944091796875)* (55,54.79619216918945)* (310,54.629390716552734) (257,54.390357971191406) (349,54.127803802490234)* (525,54.01813888549805) (301,53.79840087890625) (299,53.79175567626953) (333,53.713157653808594) (180,53.70454025268555) (285,53.59607696533203)* (161,53.53656768798828) (2523,53.47876739501953) (913,53.451507568359375) (320,53.42268753051758) (294,53.41502380371094) (155,53.40945816040039) (328,53.4080924987793) (291,53.37040328979492) (679,53.31800842285156)
215: (227,59.469879150390625) (163,58.929718017578125) (1412,58.89302062988281) (735,58.7862434387207) (959,58.7453498840332) (975,58.679359436035156) (562,58.480918884277344) (234,58.470279693603516) (1639,58.31882095336914) (220,58.229190826416016) (718,58.02709197998047) (1244,57.96452331542969) (728,57.93532180786133) (730,57.903289794921875) (706,57.8183708190918) (857,57.79427719116211) (1513,57.789398193359375) (1415,57.76703643798828) (917,57.71145248413086) (447,57.70619583129883)
216: (1098,56.73809051513672) (757,56.58005905151367) (64,56.456844329833984) (64,56.456844329833984) (84,56.31062316894531) (420,56.3018913269043) (703,56.29613494873047) (58,56.061378479003906) (58,56.061378479003906) (539,56.0504264831543) (2083,56.04621887207031) (72,55.971134185791016)* (72,55.971134185791016)* (173,55.94899368286133) (423,55.94580841064453) (425,55.91451644897461) (154,55.90836715698242) (81,55.861995697021484) (7324,55.85324478149414) (432,55.82265853881836)
217: (1207,58.3358154296875) (3444,57.99821090698242) (1411,57.919708251953125) (212,57.656715393066406) (3354,57.624393463134766) (4809,57.611061096191406) (3434,57.559200286865234) (1639,57.487674713134766) (4790,57.48432922363281) (7074,57.33424377441406) (3456,57.33339309692383) (1422,57.329444885253906) (4675,57.30274200439453) (227,57.1155891418457) (163,57.09214401245117) (554,57.05548858642578) (863,57.03996276855469) (853,57.02580261230469) (3445,57.022579193115234) (857,56.9691047668457)
218: (190,56.22309494018555) (173,55.98166275024414) (234,55.949851989746094) (56,55.78362274169922) (56,55.78362274169922) (233,55.74235916137695) (7,55.607234954833984) (154,55.43190002441406) (377,55.34733581542969) (1099,55.305599212646484) (220,55.250919342041016) (65,55.15446853637695)* (65,55.15446853637695)* (159,55.04404830932617) (512,54.96898651123047) (1116,54.91718673706055) (229,54.89376449584961) (1131,54.72565460205078) (230,54.69709777832031) (486,54.68962097167969)
219: (498,64.0787353515625)* (499,62.84598922729492)* (230,62.76425552368164) (1186,62.7380485534668) (209,62.5811882019043) (4177,62.56541061401367) (2661,62.47824478149414) (536,62.46569061279297) (1201,62.397613525390625) (540,62.357666015625) (472,62.24130630493164) (344,62.24129104614258) (471,62.223876953125) (687,62.185794830322266) (11796,62.18027877807617) (1470,62.15442657470703) (537,62.14362716674805) (481,62.13195037841797) (1189,62.10572052001953) (1198,62.03493881225586)
220: (429,54.77132034301758)* (428,54.725887298583984) (199,54.34317398071289) (1239,54.33725357055664) (618,54.24000930786133) (1424,54.12997817993164) (196,54.10816955566406) (1242,53.901668548583984) (3744,53.89580154418945) (5414,53.8538932800293) (1755,53.82883071899414) (4384,53.780025482177734) (533,53.75760269165039) (863,53.75271224975586) (206,53.72441864013672) (1504,53.717628479003906) (3747,53.649845123291016) (195,53.6484260559082) (212,53.64051818847656) (554,53.58986282348633)
223: (344,63.24702453613281)* (289,63.16948699951172)* (333,62.847747802734375)* (291,62.75826644897461)* (89,62.71976089477539) (701,62.663551330566406) (1459,62.44742202758789) (257,62.323883056640625) (680,62.23353958129883) (302,62.231502532958984)* (466,62.15817642211914) (265,62.07282638549805) (321,62.023193359375) (67,61.97984313964844) (67,61.97984313964844) (161,61.889251708984375) (1684,61.884849548339844) (318,61.85768508911133) (793,61.760032653808594) (465,61.683250427246094)
224: (1001,59.44200134277344) (511,59.24042892456055) (2938,59.22918701171875) (187,59.225406646728516)* (874,59.20050811767578) (715,59.095096588134766)* (1892,59.06763458251953) (851,58.95197677612305) (1014,58.91104507446289) (163,58.783443450927734) (1884,58.66828536987305) (98,58.638427734375) (2029,58.601558685302734) (1073,58.57596206665039) (2638,58.4794921875) (868,58.40177917480469) (2531,58.3863525390625) (8229,58.375389099121094) (93,58.36248016357422) (85,58.32257080078125)
225: (785,63.16468811035156)* (815,63.031150817871094) (846,62.98976135253906) (813,62.97488021850586)* (198,62.7740478515625) (1281,62.693214416503906) (808,62.61786651611328) (2211,62.490501403808594) (1044,62.48335647583008) (489,62.45782470703125) (843,62.4435920715332) (7639,62.34018325805664) (978,62.32324981689453) (923,62.322513580322266) (517,62.16514587402344) (497,62.161109924316406) (8350,62.12443161010742) (707,62.09477996826172) (1555,62.070106506347656) (12,62.06000518798828)
226: (300,54.254066467285156)* (292,54.16086959838867)* (288,54.14811706542969)* (466,54.14238739013672)* (461,53.97686767578125)* (306,53.70756912231445)* (299,53.345359802246094) (55,53.296104431152344) (528,53.212947845458984) (293,53.11117935180664) (686,53.051204681396484)* (352,52.97744369506836) (320,52.862571716308594) (802,52.83203125)* (464,52.79836654663086) (1032,52.77845764160156) (1456,52.720767974853516) (531,52.702457427978516) (458,52.662906646728516) (2020,52.603492736816406)
