userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (157,11.638233184814453) (1001,11.373764038085938) (1394,11.122992515563965) (1713,10.931801795959473) (159,10.276026725769043) (156,10.232832908630371) (603,10.231363296508789) (187,10.127117156982422) (172,9.9810791015625) (59,9.789396286010742)* (1790,9.75740909576416) (1061,9.614583015441895) (51,9.42298412322998)* (1062,9.356060981750488) (238,9.347040176391602) (1073,9.316446304321289) (190,9.229035377502441) (429,9.221417427062988) (4153,9.220003128051758) (70,9.199180603027344)*
192: (3999,12.772573471069336)* (5068,11.968984603881836) (5069,11.920738220214844) (4003,11.915576934814453)* (5070,11.870512962341309) (3621,11.869919776916504) (4004,11.811707496643066)* (3718,11.69242000579834) (4103,11.600000381469727) (512,11.598984718322754) (1195,11.52790355682373) (2847,11.491463661193848) (1204,11.154568672180176) (4173,10.916044235229492) (17476,10.771977424621582) (815,10.758076667785645) (3812,10.66221809387207) (779,10.64151382446289) (4940,10.640453338623047) (5135,10.639369010925293)
193: (1394,9.841981887817383) (1099,9.708707809448242) (70,9.637694358825684) (174,9.182998657226562) (1098,9.104488372802734) (1410,9.010871887207031) (703,8.839923858642578) (3462,8.717825889587402) (238,8.690587997436523) (228,8.671330451965332) (159,8.643744468688965) (173,8.570524215698242) (227,8.568902015686035) (88,8.532212257385254) (489,8.47036361694336) (229,8.45760440826416) (233,8.39380168914795) (868,8.33437442779541) (757,8.30735969543457) (1713,8.2988862991333)
194: (603,11.938591957092285) (1790,11.760059356689453) (604,11.365006446838379) (196,10.722379684448242) (81,10.273584365844727)* (429,10.13996410369873) (608,9.974577903747559) (1732,9.83935546875) (228,9.80888843536377) (632,9.349377632141113) (3681,9.269444465637207) (748,9.21087646484375) (620,9.139426231384277) (190,9.121159553527832) (126,9.11603832244873) (159,9.083128929138184) (2605,8.942785263061523) (1098,8.846864700317383)* (757,8.846308708190918) (445,8.79759693145752)
195: (863,11.971729278564453)* (859,10.898016929626465)* (429,10.469256401062012) (202,10.097369194030762) (857,9.967367172241211) (197,9.961347579956055) (159,9.84611988067627) (2637,9.643505096435547) (2475,9.581145286560059) (206,9.516073226928711) (203,9.500799179077148) (562,9.432894706726074)* (1414,9.258326530456543) (2629,9.223370552062988) (715,9.196331977844238) (3279,9.194683074951172) (1412,9.126858711242676)* (1239,9.053397178649902) (599,9.008954048156738) (1976,8.957907676696777)
196: (1515,11.357009887695312) (228,10.718926429748535) (190,10.327404022216797)* (533,10.25584602355957) (207,9.938700675964355)* (159,9.912640571594238) (429,9.754021644592285) (863,9.722073554992676) (203,9.65698528289795) (88,9.391919136047363) (1048,9.383988380432129) (428,9.351482391357422) (716,9.332021713256836)* (1512,9.31709098815918) (1400,9.305356979370117) (614,9.263154983520508) (225,9.243253707885742) (65,9.214410781860352)* (65,9.214410781860352)* (436,9.188109397888184)*
198: (198,11.06790828704834) (815,11.019706726074219) (489,10.783309936523438) (1179,10.479438781738281) (3621,10.207673072814941) (497,10.165586471557617) (805,10.136154174804688) (377,10.065436363220215) (1196,10.006144523620605) (978,9.881898880004883) (500,9.803963661193848) (823,9.781965255737305)* (814,9.7173490524292) (810,9.64661693572998) (1547,9.364465713500977) (1145,9.3320951461792) (845,9.307746887207031) (768,9.272648811340332) (1188,9.267815589904785) (45,9.239786148071289)
200: (868,14.100247383117676) (163,12.766472816467285)* (1369,12.703568458557129) (1415,11.867819786071777)* (157,11.615255355834961) (212,11.395824432373047) (1244,11.26017951965332) (2347,11.133002281188965)* (1464,10.990097045898438) (707,10.96058464050293) (1372,10.927318572998047) (2346,10.913363456726074) (728,10.882316589355469) (1249,10.78307056427002) (2787,10.713920593261719)* (1413,10.684435844421387) (706,10.526773452758789)* (2343,10.47323226928711) (730,10.45440673828125) (1639,10.433699607849121)
201: (930,11.724157333374023) (172,11.294677734375) (959,10.469806671142578) (97,10.377448081970215) (961,10.329054832458496) (3460,9.924871444702148) (903,9.814254760742188) (511,9.751848220825195) (183,9.70482063293457) (3462,9.635223388671875) (157,9.567562103271484) (1394,9.487363815307617) (3466,9.392603874206543) (72,9.217316627502441)* (72,9.217316627502441)* (538,9.109855651855469) (518,9.089326858520508)* (226,9.041932106018066) (1108,8.978713035583496) (95,8.872781753540039)
202: (1369,11.986968994140625) (949,11.915046691894531) (198,11.759214401245117) (1339,11.265043258666992) (917,11.178236961364746)* (841,11.13798713684082) (918,11.023792266845703)* (1360,11.022005081176758) (1274,10.905826568603516) (707,10.560771942138672)* (854,10.525062561035156) (1281,10.468464851379395) (928,10.401841163635254)* (1527,10.37508773803711) (952,10.362621307373047) (957,10.360372543334961) (953,10.335366249084473) (1364,10.299378395080566) (1261,10.26331901550293) (1338,10.261497497558594)
203: (808,12.974897384643555) (779,12.35626220703125) (3621,11.590022087097168) (4103,11.333391189575195) (198,10.716169357299805) (823,10.576448440551758) (830,10.358285903930664) (512,10.276217460632324) (497,10.113256454467773) (1044,10.078489303588867) (1196,10.013629913330078) (809,9.905835151672363) (1179,9.784820556640625) (839,9.74098014831543) (489,9.725711822509766) (978,9.68649959564209) (377,9.6851167678833) (817,9.667808532714844) (1672,9.658775329589844) (3032,9.649862289428711)
204: (5810,12.469576835632324) (16137,11.937759399414062) (11859,11.896244049072266) (17152,11.893054008483887) (17149,11.82603931427002) (16136,11.807019233703613) (8945,11.746647834777832) (17151,11.669709205627441) (4822,11.465659141540527) (3442,11.43663501739502) (14108,11.080561637878418) (3444,10.987154006958008) (9807,10.918689727783203) (10573,10.887874603271484) (10449,10.872282028198242) (1217,10.822163581848145) (16135,10.747963905334473) (10579,10.622739791870117) (10569,10.604033470153809) (835,10.554967880249023)
205: (779,10.842450141906738)* (512,10.513813018798828) (489,10.40229606628418) (1195,10.140759468078613) (1099,10.087946891784668) (808,10.041914939880371) (1196,9.784889221191406) (198,9.778770446777344) (377,9.774544715881348) (5966,9.770827293395996) (1858,9.755603790283203) (1191,9.73999309539795) (2850,9.663467407226562) (2574,9.513258934020996) (1179,9.47326374053955) (3621,9.383293151855469) (845,9.2821626663208) (2576,9.227629661560059) (2429,9.031521797180176) (2210,9.014942169189453)
206: (1515,9.77826976776123) (420,9.77175235748291) (56,9.738532066345215) (56,9.738532066345215) (1376,9.647822380065918) (3767,9.563950538635254) (72,9.505308151245117) (72,9.505308151245117) (1400,9.3663330078125) (228,9.208662986755371) (159,8.99089241027832) (432,8.866376876831055) (190,8.834817886352539) (88,8.8211088180542) (429,8.698166847229004) (3213,8.689778327941895) (1090,8.633843421936035) (424,8.629213333129883) (187,8.558717727661133) (986,8.529706954956055)
207: (1246,10.458468437194824) (289,10.137210845947266) (470,9.998953819274902) (228,9.725646018981934) (1243,9.585837364196777) (1198,9.515349388122559) (1047,9.480856895446777) (1515,9.46487808227539) (1400,9.463284492492676) (681,9.440793991088867) (691,9.375457763671875) (298,9.316883087158203) (288,9.278650283813477) (693,9.198326110839844) (1038,9.127710342407227) (498,9.066051483154297) (3712,9.0508394241333) (704,8.943737983703613) (540,8.928031921386719) (481,8.923500061035156)
208: (503,13.598159790039062) (1523,12.346786499023438) (1369,12.106485366821289)* (954,12.051766395568848) (9215,11.732217788696289) (1254,11.507211685180664)* (47,11.473287582397461) (7918,11.20587158203125) (6289,11.102380752563477) (836,10.850408554077148) (4273,10.756528854370117)* (13867,10.648889541625977) (2970,10.581138610839844) (20,10.520721435546875) (1264,10.453417778015137) (11372,10.44485855102539) (1261,10.388697624206543) (2765,10.356086730957031) (2749,10.339944839477539) (9212,10.227384567260742)
209: (320,10.271713256835938)* (681,10.054749488830566) (2020,10.044962882995605) (686,10.032670021057129) (466,9.953699111938477) (333,9.818960189819336)* (455,9.768878936767578) (344,9.751790046691895) (528,9.656641960144043) (701,9.644216537475586) (524,9.619682312011719) (292,9.61219596862793)* (913,9.606003761291504) (458,9.547245025634766) (679,9.505154609680176) (802,9.494367599487305) (291,9.478706359863281)* (89,9.401470184326172) (293,9.392032623291016) (544,9.37530517578125)
210: (3501,11.543842315673828) (7,11.173138618469238) (1797,10.66487979888916) (529,10.409444808959961) (294,10.28341293334961) (175,10.099863052368164) (75,10.044527053833008) (75,10.044527053833008) (172,9.891365051269531) (70,9.490714073181152) (475,9.406498908996582) (1104,9.34520149230957) (3739,9.204784393310547) (1796,9.176103591918945) (151,8.990095138549805) (998,8.982688903808594) (1892,8.981412887573242) (155,8.856943130493164) (1795,8.82017993927002) (3047,8.813302040100098)
211: (159,10.995317459106445) (190,10.910545349121094)* (228,10.021647453308105) (1098,9.958605766296387) (172,9.942028999328613) (157,9.770604133605957) (1062,9.662607192993164)* (1075,9.66129207611084) (429,9.609097480773926) (88,9.595098495483398) (1394,9.511780738830566) (182,9.329507827758789) (70,9.292877197265625) (1001,9.285171508789062) (58,9.243886947631836) (58,9.243886947631836) (56,9.189167022705078) (56,9.189167022705078) (962,9.02423095703125) (227,8.970067024230957)
212: (943,13.405427932739258) (934,12.601028442382812) (918,12.553380012512207) (846,12.543417930603027) (923,12.464997291564941)* (932,12.347434043884277) (10865,12.218400955200195) (1357,12.189172744750977) (919,12.063400268554688) (2970,11.980292320251465) (12928,11.97652816772461) (1343,11.875652313232422) (1356,11.643058776855469) (944,11.602163314819336)* (1281,11.489407539367676) (12931,11.227383613586426) (1363,11.204941749572754)* (2010,11.19890308380127) (2007,11.034625053405762) (926,10.947195053100586)
213: (808,9.6474609375) (377,9.620375633239746)* (517,9.620194435119629)* (226,9.567181587219238) (815,9.531719207763672) (1104,9.351783752441406) (1145,9.3151216506958) (3621,9.213031768798828) (1131,9.208975791931152) (510,8.971488952636719) (1179,8.929598808288574) (1116,8.916244506835938)* (503,8.885247230529785) (614,8.87723159790039) (830,8.753021240234375) (230,8.748798370361328) (810,8.705986976623535) (964,8.702847480773926) (1873,8.686471939086914) (953,8.681073188781738)
214: (289,12.122041702270508)* (320,11.160995483398438) (349,11.051116943359375)* (1456,10.893204689025879) (294,10.473520278930664) (285,10.362737655639648)* (251,10.149438858032227) (906,10.088236808776855) (544,10.004483222961426)* (913,9.934727668762207) (258,9.8790922164917) (310,9.777959823608398) (1464,9.765381813049316) (301,9.744626998901367) (55,9.650384902954102)* (257,9.63531494140625) (299,9.504582405090332) (230,9.373199462890625) (180,9.314308166503906) (265,9.30392837524414)
215: (227,12.63010025024414) (212,11.962804794311523) (1412,11.132457733154297) (863,10.604376792907715) (163,10.44119930267334) (562,10.2830810546875) (735,10.043770790100098) (159,9.942400932312012) (202,9.88017463684082) (226,9.82776165008545) (220,9.612436294555664) (718,9.466789245605469) (709,9.356147766113281) (917,9.312067985534668) (859,9.31140422821045) (733,9.176462173461914) (436,9.14796257019043) (234,9.120116233825684) (975,9.11445426940918) (1513,9.024227142333984)
216: (64,10.550047874450684) (64,10.550047874450684) (757,10.515168190002441) (1394,10.376585960388184) (1098,9.857391357421875) (526,9.771394729614258) (703,9.744562149047852) (7324,9.712115287780762) (1409,9.694968223571777) (72,9.6507568359375)* (72,9.6507568359375)* (58,9.630315780639648) (58,9.630315780639648) (228,9.53247356414795) (159,9.460519790649414) (88,9.415124893188477) (546,9.303808212280273) (2083,9.284297943115234) (190,9.239176750183105) (432,9.153241157531738)
217: (866,10.879987716674805) (3792,10.688370704650879) (867,10.418699264526367) (3791,10.119233131408691) (857,10.101845741271973) (863,10.024931907653809) (8600,9.743074417114258) (3444,9.704355239868164) (859,9.597929000854492) (10753,9.516404151916504) (2641,9.49441146850586) (3435,9.447150230407715) (3354,9.43504524230957) (1227,9.311980247497559) (1217,9.276992797851562) (3443,9.202604293823242) (13880,9.162389755249023) (2637,9.137332916259766) (15838,9.131121635437012) (8945,9.122452735900879)
218: (512,9.847710609436035) (3621,9.71096420288086) (614,9.481314659118652) (56,9.456146240234375) (56,9.456146240234375) (7,9.273296356201172) (190,9.063553810119629) (229,8.963998794555664) (159,8.94966983795166) (1099,8.916508674621582) (220,8.72551155090332) (234,8.646427154541016) (475,8.521265983581543) (1406,8.49931526184082) (226,8.393985748291016) (952,8.364785194396973) (489,8.355372428894043) (228,8.353320121765137) (233,8.2948579788208) (1974,8.216227531433105)
219: (498,12.157825469970703)* (403,12.141018867492676) (499,11.968708038330078)* (481,11.574871063232422) (488,11.281599998474121) (2352,11.14622974395752) (536,11.113359451293945) (497,11.01705551147461) (490,10.869858741760254) (1377,10.52519416809082) (230,10.502917289733887) (4177,10.459017753601074) (2661,10.447452545166016) (540,10.40180492401123) (1866,10.374665260314941) (1189,10.364116668701172) (5099,10.237997055053711) (2977,10.176650047302246) (209,10.161567687988281) (3427,10.098596572875977)
220: (3112,11.526078224182129) (1515,11.056023597717285) (196,11.015789031982422) (1164,10.677055358886719) (604,10.597002029418945) (6224,10.46644401550293) (6217,10.446017265319824) (199,10.257414817810059) (6222,10.125551223754883) (898,9.97851848602295) (533,9.942225456237793) (618,9.937952041625977) (420,9.893314361572266) (429,9.834787368774414)* (1424,9.68021297454834) (3057,9.533878326416016) (4810,9.439830780029297) (3676,9.394168853759766) (430,9.378795623779297) (1633,9.31013298034668)
223: (455,13.504780769348145) (289,13.253829956054688)* (1459,11.035907745361328) (306,11.005999565124512) (680,10.837376594543457) (311,10.641148567199707)* (344,10.584510803222656)* (291,10.531633377075195)* (2094,10.526219367980957) (915,10.414304733276367) (320,10.147862434387207) (360,10.085883140563965) (307,10.06706714630127) (257,9.992450714111328) (2801,9.949243545532227) (701,9.904470443725586) (2977,9.88045883178711) (302,9.864992141723633)* (293,9.776507377624512) (386,9.74997615814209)
224: (1889,10.630205154418945) (187,10.437671661376953)* (1888,10.25645637512207) (1001,10.247442245483398) (863,9.952608108520508) (1073,9.941080093383789) (1464,9.799736022949219) (874,9.766013145446777) (511,9.740229606628418) (2029,9.712547302246094) (601,9.711915969848633) (1013,9.643162727355957)* (1713,9.641819953918457) (868,9.558662414550781) (880,9.365490913391113) (3441,9.290452003479004) (85,9.265995979309082) (715,9.263832092285156)* (98,9.262843132019043) (1892,9.262124061584473)
225: (815,10.774776458740234) (198,10.421571731567383) (843,10.2994966506958) (808,10.085206985473633) (813,9.928071022033691)* (1044,9.787229537963867) (1274,9.768308639526367) (826,9.759709358215332) (953,9.649690628051758) (978,9.53586483001709) (845,9.46603012084961)* (809,9.45334243774414) (2143,9.391817092895508) (806,9.240655899047852) (810,9.222516059875488) (2835,9.212060928344727) (805,9.188344955444336) (830,9.18194580078125) (500,9.16844367980957) (489,9.159256935119629)
226: (461,12.274993896484375)* (306,12.15748119354248)* (288,12.13563346862793)* (802,10.904254913330078)* (294,10.851521492004395) (1032,10.741320610046387) (466,10.582842826843262)* (686,10.569321632385254)* (300,10.337401390075684)* (528,10.312628746032715) (524,10.27734661102295) (320,10.262411117553711) (464,10.182931900024414) (458,10.164652824401855) (704,10.046586036682129) (299,9.984410285949707) (2020,9.94461727142334) (680,9.939635276794434) (908,9.937783241271973) (292,9.916099548339844)*
227: (455,11.562149047851562) (288,11.251191139221191)* (349,10.641475677490234)* (306,10.143993377685547) (915,10.028031349182129) (320,9.987581253051758) (523,9.767435073852539) (1459,9.663101196289062)* (344,9.624856948852539)* (680,9.407621383666992) (290,9.396943092346191) (325,9.387474060058594) (318,9.35594367980957) (686,9.273921012878418) (908,9.25594425201416) (374,9.252531051635742) (2977,9.233793258666992) (311,9.171103477478027) (375,9.145813941955566) (701,9.053062438964844)*
228: (2475,9.818967819213867) (2637,9.701498031616211) (2629,9.674895286560059) (1242,9.621156692504883) (212,9.438902854919434)* (1901,9.418289184570312) (6824,9.377211570739746) (3279,9.320097923278809) (4092,9.201799392700195) (2415,9.175457954406738) (429,9.150672912597656) (6146,9.130682945251465) (205,9.083152770996094) (2541,9.064549446105957) (202,8.870596885681152) (235,8.801172256469727) (9545,8.772256851196289) (3364,8.743668556213379) (227,8.706317901611328) (1732,8.660951614379883)
229: (475,10.171221733093262) (545,9.945595741271973) (306,9.468994140625)* (377,9.24652099609375) (544,9.164885520935059) (1456,9.012666702270508) (1613,8.860486030578613) (289,8.758438110351562)* (331,8.625714302062988) (288,8.498270034790039)* (915,8.423535346984863) (97,8.398598670959473) (230,8.15137004852295) (320,8.147850036621094) (458,7.91819953918457) (913,7.854270935058594)* (512,7.800037384033203) (1449,7.750853061676025) (461,7.739339351654053) (546,7.728891372680664)
230: (455,12.430179595947266) (681,11.201812744140625) (2094,10.492240905761719) (320,10.471355438232422) (915,10.441431045532227) (523,10.15814208984375) (680,10.153594970703125) (701,10.135183334350586)* (326,10.111270904541016) (325,10.070365905761719) (1459,9.962213516235352) (679,9.820069313049316) (386,9.750253677368164) (310,9.709883689880371) (311,9.642313957214355) (293,9.566460609436035) (290,9.532493591308594) (686,9.489517211914062) (295,9.48051929473877) (360,9.464131355285645)
231: (461,13.103901863098145)* (1032,12.438750267028809) (294,12.144449234008789) (681,11.085198402404785) (686,10.9564208984375) (802,10.94423770904541) (458,10.815571784973145)* (1042,10.806880950927734) (475,10.793415069580078) (2020,10.669500350952148) (314,10.627033233642578) (1456,10.606311798095703) (308,10.56006908416748) (1451,10.522970199584961) (793,10.503150939941406) (4814,10.466695785522461) (699,10.453582763671875)* (2081,10.423069953918457) (544,10.372660636901855) (328,10.295256614685059)*
232: (475,11.440337181091309) (461,10.77247142791748) (1456,10.356758117675781) (288,10.2117338180542)* (1613,10.050217628479004) (915,10.047666549682617) (701,9.989375114440918) (502,9.930660247802734) (913,9.911120414733887) (1032,9.793702125549316) (97,9.5668363571167) (157,9.43017292022705) (903,9.284048080444336) (296,9.269197463989258) (257,9.231948852539062)* (299,9.168580055236816)* (455,9.162107467651367) (544,9.131720542907715)* (329,8.96071720123291) (545,8.946513175964355)
233: (306,13.507872581481934)* (701,11.408222198486328) (294,11.245978355407715) (302,10.911373138427734)* (320,10.755470275878906) (349,10.719118118286133) (329,10.681396484375)* (157,10.595747947692871) (333,10.563323974609375) (455,10.539721488952637) (295,10.502220153808594) (538,10.383951187133789) (523,10.340597152709961) (378,10.210371971130371) (542,10.195545196533203) (291,10.191618919372559) (544,10.166866302490234) (257,10.107053756713867) (466,10.096989631652832)* (310,10.092269897460938)
234: (512,10.479477882385254) (278,10.43451976776123) (3317,10.33813190460205) (527,10.234294891357422) (2923,10.213207244873047) (1613,9.95242691040039) (331,9.890288352966309)* (1963,9.867181777954102) (475,9.726666450500488) (1943,9.612456321716309) (107,9.59376049041748) (547,9.539965629577637) (1941,9.420453071594238) (1614,9.416926383972168) (1099,9.275429725646973) (11401,9.14896011352539) (2921,9.128172874450684) (1401,9.0629243850708) (619,9.028889656066895) (3357,9.024600982666016)
235: (846,15.480002403259277) (1110,13.666614532470703) (1104,12.624802589416504) (917,12.385665893554688)* (186,12.223780632019043) (841,12.053065299987793) (2003,11.960329055786133) (928,11.944733619689941) (226,11.882963180541992) (506,11.770011901855469) (920,11.474056243896484)* (2970,11.352020263671875) (2006,11.201764106750488) (1281,10.993435859680176) (924,10.731462478637695) (3415,10.63565444946289)* (1343,10.462296485900879) (923,10.421441078186035) (955,10.373716354370117)* (949,10.371152877807617)
236: (306,11.628325462341309) (689,10.470359802246094) (294,10.26308822631836)* (903,10.160806655883789) (461,9.99540901184082) (298,9.979269027709961) (455,9.700773239135742) (538,9.634149551391602) (302,9.525557518005371) (310,9.455232620239258) (97,9.393513679504395) (475,9.294448852539062)* (690,9.255085945129395) (466,9.247133255004883) (680,9.230365753173828) (915,9.227401733398438) (301,9.184175491333008)* (320,9.166471481323242) (1032,9.148658752441406) (349,9.142492294311523)
237: (418,10.564647674560547) (228,10.370144844055176) (212,10.165693283081055) (1239,10.026611328125) (2277,10.000107765197754) (858,9.935273170471191) (199,9.921903610229492) (1515,9.902443885803223) (863,9.857364654541016) (159,9.70974063873291) (154,9.67741584777832)* (206,9.66639518737793) (3057,9.59588623046875) (604,9.57160472869873) (620,9.553759574890137) (618,9.539420127868652) (225,9.53682804107666)* (1976,9.510499000549316) (1242,9.483860969543457) (88,9.4725980758667)
238: (5058,12.02102279663086) (5243,11.72385025024414) (1984,11.559926986694336) (5245,11.507429122924805) (3415,11.258055686950684) (6626,11.180466651916504) (1104,11.128575325012207) (8984,11.115299224853516) (3646,11.04849624633789) (3679,10.84720516204834) (3640,10.764774322509766) (6634,10.761622428894043) (1452,10.637147903442383) (6625,10.634575843811035) (3650,10.595634460449219) (4960,10.589865684509277) (7040,10.587885856628418) (846,10.578459739685059) (6627,10.500772476196289) (6628,10.459626197814941)
240: (294,10.72256088256836) (915,10.552240371704102) (377,10.407767295837402) (461,10.275711059570312) (97,9.95985221862793) (913,9.833206176757812) (538,9.815805435180664) (349,9.24354362487793) (325,9.15945816040039) (320,9.1498384475708) (3462,9.052042007446289) (966,9.032739639282227) (157,9.01218318939209) (903,8.953120231628418) (1452,8.868281364440918) (297,8.83194351196289) (1456,8.826451301574707) (518,8.798095703125) (308,8.79432487487793) (1034,8.770166397094727)
241: (917,13.170536994934082) (707,12.428200721740723)* (918,12.3273286819458) (1369,11.550908088684082) (949,11.40669059753418) (1110,11.373867988586426) (163,11.24305534362793) (952,11.232999801635742) (226,11.139291763305664) (1104,11.106691360473633) (928,10.993013381958008) (841,10.928665161132812) (959,10.833964347839355) (868,10.823599815368652) (843,10.795145034790039) (846,10.5575532913208) (930,10.273030281066895) (957,10.264248847961426) (1249,10.18222427368164) (1364,9.99290943145752)
242: (306,12.342408180236816)* (461,11.294034957885742) (458,11.231904983520508) (294,11.175167083740234)* (161,10.977550506591797) (545,10.874183654785156) (544,10.786721229553223) (913,10.556962013244629) (1456,10.249139785766602) (701,10.225749015808105)* (349,10.078371047973633)* (793,9.997854232788086) (455,9.979822158813477) (523,9.95038890838623) (299,9.945684432983398)* (681,9.903186798095703) (686,9.900161743164062) (2081,9.884846687316895) (1032,9.848913192749023) (1042,9.839383125305176)
243: (903,11.904179573059082) (1098,11.73076057434082)* (289,11.605841636657715) (526,11.553647994995117) (58,11.3468017578125)* (58,11.3468017578125)* (532,11.21224594116211)* (228,11.097667694091797) (1688,10.892473220825195) (190,10.867959976196289) (1243,10.691619873046875) (1062,10.673469543457031) (157,10.541247367858887) (690,10.537994384765625) (88,10.534607887268066) (306,10.483370780944824) (1934,10.419421195983887) (288,10.411742210388184)* (980,10.312713623046875) (3057,10.29806900024414)
244: (230,11.88797664642334) (289,11.65122127532959) (228,10.576589584350586)* (1246,9.951009750366211) (320,9.866776466369629) (1243,9.865894317626953) (703,9.823386192321777) (227,9.795929908752441) (349,9.63276481628418) (546,9.60195255279541) (377,9.498492240905762) (97,9.490756034851074) (316,9.42042064666748) (689,9.237834930419922) (511,9.125726699829102) (229,9.076091766357422) (542,9.01795768737793) (544,9.009336471557617) (333,8.9530668258667) (329,8.893603324890137)
247: (3859,9.736988067626953) (377,9.540619850158691) (1852,9.255631446838379)* (499,9.24849796295166) (490,9.220884323120117) (4177,9.18696403503418) (536,9.167342185974121) (2941,9.165069580078125) (12788,9.115751266479492) (497,9.091402053833008) (498,9.075398445129395) (408,9.030631065368652) (2661,8.984990119934082) (1874,8.904458999633789)* (371,8.830239295959473) (3928,8.733551979064941) (403,8.723549842834473)* (481,8.70297622680664) (4428,8.680532455444336) (1905,8.654471397399902)
248: (294,11.983760833740234) (475,10.85636043548584) (289,10.70947551727295)* (308,10.24575138092041)* (523,10.242156982421875) (1032,10.239572525024414) (464,10.19473648071289)* (1455,9.989786148071289) (802,9.865169525146484) (524,9.815671920776367) (793,9.694817543029785) (681,9.506814956665039) (1034,9.313817024230957) (528,9.297146797180176) (531,9.217206954956055) (352,9.142176628112793) (458,9.133012771606445)* (318,9.115817070007324) (525,9.106842041015625) (1037,9.066463470458984)
249: (966,12.473145484924316) (499,11.645090103149414) (490,11.454859733581543) (488,10.954368591308594) (537,10.413396835327148)* (491,10.404842376708984) (489,10.270148277282715) (1854,10.140435218811035) (2941,10.080276489257812) (1905,9.888134002685547) (481,9.778349876403809) (1874,9.76374340057373) (1186,9.718606948852539) (209,9.701521873474121)* (1852,9.676844596862793) (540,9.659521102905273) (371,9.621935844421387)* (2352,9.565743446350098) (403,9.498470306396484)* (1673,9.455524444580078)
250: (1369,12.459543228149414) (868,12.1249418258667) (163,11.677244186401367)* (1119,10.364480018615723) (227,10.26547622680664) (1426,10.198235511779785) (917,9.980634689331055) (614,9.961785316467285) (1110,9.849982261657715) (562,9.723470687866211) (630,9.412738800048828) (1425,9.376384735107422) (735,9.309087753295898) (226,9.260519981384277) (863,9.016796112060547) (202,8.988898277282715) (1639,8.976856231689453) (1804,8.944343566894531) (718,8.92153549194336) (1413,8.857558250427246)
251: (1206,10.934823036193848) (857,10.711729049682617) (2637,10.705106735229492) (1513,10.666685104370117)* (227,10.604898452758789) (3328,10.225468635559082) (859,10.20655632019043) (212,10.070586204528809) (614,9.868335723876953) (3333,9.492301940917969) (1645,9.47153091430664) (3792,9.459236145019531) (383,9.434480667114258) (202,9.349464416503906) (3791,9.29810905456543) (429,9.287338256835938) (4359,9.26419448852539) (3744,9.18884563446045) (159,9.149611473083496) (855,9.108885765075684)
252: (306,11.38936996459961) (288,11.352779388427734)* (523,10.540094375610352) (525,10.288055419921875) (294,10.275226593017578) (2020,10.244524955749512) (701,10.122241973876953) (674,10.114294052124023) (681,9.847492218017578)* (913,9.673498153686523) (2083,9.660727500915527) (524,9.583588600158691) (455,9.579899787902832) (680,9.408331871032715) (466,9.264952659606934)* (311,9.19892406463623) (352,9.183369636535645) (528,9.160090446472168)* (329,9.151302337646484) (1934,9.106844902038574)
253: (2523,12.393537521362305) (972,11.986595153808594) (316,11.972702026367188) (329,11.83438491821289) (1243,11.718095779418945) (71,11.613698959350586) (71,11.613698959350586) (3063,11.51436710357666) (534,11.477571487426758) (378,11.46812629699707) (157,11.346498489379883) (525,11.342714309692383) (302,11.27086353302002)* (889,11.142206192016602)* (320,11.101690292358398) (1464,11.094715118408203) (538,11.073965072631836) (283,11.014949798583984) (523,10.998950004577637) (294,10.737465858459473)
254: (4822,12.204625129699707)* (1545,11.268498420715332) (537,11.168401718139648) (1246,11.036386489868164) (230,11.027488708496094) (5630,10.872048377990723) (932,10.844671249389648) (412,10.545949935913086)* (6196,10.466390609741211) (1041,10.34333610534668) (377,10.279923439025879) (424,10.236692428588867) (6793,10.064974784851074) (6120,10.027138710021973) (2352,9.983716011047363) (1672,9.96390151977539) (12107,9.920821189880371) (3333,9.869494438171387) (7328,9.83205795288086) (501,9.829575538635254)
255: (1099,10.952583312988281) (1410,10.75950813293457) (1401,10.18835163116455) (1745,10.011384010314941)* (1398,9.699236869812012) (70,9.637396812438965) (64,9.523448944091797) (64,9.523448944091797) (2605,9.407289505004883) (755,9.368302345275879) (603,9.354704856872559)* (1787,9.297686576843262) (1394,9.289576530456543) (8510,9.255491256713867) (56,9.100420951843262) (56,9.100420951843262) (1790,8.99283218383789) (2832,8.935770988464355) (774,8.907668113708496) (4316,8.900065422058105)
256: (306,11.721179962158203)* (288,11.616984367370605)* (1464,10.877357482910156) (1243,10.514911651611328) (3393,10.290692329406738) (913,10.197122573852539) (3332,10.116142272949219) (455,10.026962280273438) (349,10.021242141723633)* (1775,9.91712760925293) (157,9.832138061523438) (542,9.818062782287598) (316,9.805880546569824) (3200,9.779170989990234) (714,9.775073051452637) (2523,9.727995872497559) (3173,9.700126647949219)* (340,9.666414260864258) (3763,9.430994987487793) (3074,9.368086814880371)
257: (9,13.716445922851562)* (1294,13.513959884643555)* (6873,12.209271430969238) (13,12.161249160766602) (1314,11.981036186218262) (3195,11.659049034118652) (7514,11.593809127807617) (11,11.515617370605469) (14284,11.4148530960083) (1331,11.339385032653809) (4871,11.292998313903809)* (31,11.244044303894043) (5581,11.236505508422852) (11094,11.145696640014648) (14286,11.123929023742676) (16901,11.091758728027344) (6875,11.05599308013916) (7513,10.88699722290039) (11093,10.781059265136719) (1315,10.739982604980469)
