userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,54.48860549926758) (51,53.69181823730469)* (59,53.14431381225586)* (187,53.137508392333984) (1073,52.83039474487305) (1098,52.69015121459961) (1713,52.43505859375) (2638,52.38718795776367) (3992,52.326019287109375) (511,52.30113220214844) (157,52.18468475341797) (1824,52.175132751464844) (993,52.07918167114258) (4308,52.0689811706543) (1014,52.04991912841797) (715,52.04514694213867) (1072,51.98812484741211) (70,51.943885803222656)* (238,51.941497802734375) (997,51.92046356201172)
132: (300,51.2178955078125)* (288,51.08191680908203)* (289,50.87261962890625)* (292,50.759090423583984) (291,50.235496520996094) (679,50.09696578979492) (704,49.91672134399414) (349,49.761253356933594)* (67,49.744407653808594) (67,49.744407653808594) (257,49.682403564453125)* (1037,49.63909912109375) (523,49.62410354614258) (328,49.608848571777344) (293,49.59621047973633) (680,49.507835388183594) (458,49.46885681152344) (298,49.43971252441406) (475,49.28758239746094) (543,49.18155288696289)*
133: (466,50.4242057800293)* (306,50.089317321777344)* (679,49.91926193237305)* (544,49.84282302856445)* (318,49.5955924987793) (299,49.5645866394043) (55,49.55089569091797) (458,49.421138763427734) (686,49.35348129272461) (344,49.25163269042969) (543,49.21137237548828)* (802,49.193756103515625)* (2020,49.062782287597656) (790,49.041324615478516) (352,48.970062255859375) (646,48.94719696044922)* (161,48.933570861816406) (293,48.9173583984375) (1456,48.87018585205078) (328,48.860595703125)
134: (461,54.350467681884766) (295,54.27507781982422) (466,54.27286911010742)* (686,54.15738296508789)* (318,54.15733337402344) (352,53.95336151123047) (300,53.912322998046875) (802,53.79291534423828) (89,53.71831512451172)* (306,53.682315826416016) (161,53.49153137207031) (908,53.38419723510742) (333,53.33008575439453) (302,53.272674560546875) (1037,53.26874542236328) (2548,53.235618591308594)* (1456,53.226409912109375) (541,53.186546325683594) (701,53.171539306640625)* (257,53.1497802734375)*
135: (5079,48.176963806152344) (300,48.016029357910156)* (532,47.99502182006836) (524,47.902069091796875) (3367,47.86595916748047) (7,47.849693298339844) (333,47.8287239074707) (377,47.82103729248047) (306,47.81648635864258) (302,47.80593490600586) (515,47.73752975463867) (157,47.72187805175781) (38,47.6820068359375) (5670,47.67692947387695) (295,47.64940643310547) (704,47.63724136352539) (450,47.634944915771484) (2094,47.6248893737793) (1886,47.575130462646484) (2091,47.556556701660156)
136: (288,49.33903121948242)* (295,49.21223831176758)* (300,49.14478302001953) (302,49.01517868041992)* (55,48.957088470458984)* (466,48.55355453491211) (525,48.51094055175781) (157,48.2877197265625) (461,48.22137451171875) (161,48.214866638183594) (294,48.170677185058594)* (544,47.9671745300293) (523,47.89871597290039)* (903,47.78392791748047) (913,47.7064208984375)* (298,47.61016845703125) (325,47.51908493041992)* (378,47.4952507019043) (352,47.454986572265625) (285,47.393104553222656)
137: (903,48.59773254394531) (89,48.349239349365234) (65,48.349151611328125)* (65,48.349151611328125)* (689,48.22915267944336) (229,48.09883117675781) (228,47.92225646972656) (1243,47.79756546020508)* (316,47.73908996582031)* (157,47.73371124267578) (97,47.71480941772461) (679,47.608821868896484) (190,47.56088638305664) (302,47.48407745361328) (182,47.441314697265625) (511,47.41893768310547) (1375,47.41002655029297) (425,47.40210723876953) (526,47.3680419921875) (333,47.28483963012695)
139: (497,53.42994689941406) (198,53.338802337646484) (488,53.28586196899414) (978,53.195777893066406)* (1104,53.154415130615234) (7,53.12101745605469)* (1854,53.04886245727539) (517,52.97016525268555) (1672,52.93938064575195)* (504,52.80445098876953) (1145,52.79782485961914) (503,52.711402893066406) (514,52.4698600769043) (209,52.4410400390625) (808,52.420223236083984) (811,52.23154067993164) (230,52.21885681152344) (1179,52.19826889038086) (830,51.99351119995117) (1339,51.968772888183594)
140: (632,54.55841064453125) (206,54.008785247802734) (222,53.70652770996094) (225,53.6973876953125)* (964,53.660343170166016) (615,53.58353805541992) (226,53.47832107543945) (629,53.357688903808594) (5423,53.03743362426758) (436,53.02667999267578) (1976,53.00625991821289) (2572,53.00426483154297) (859,52.990699768066406) (1957,52.93694305419922) (6295,52.8918342590332) (1958,52.84980773925781) (227,52.84602737426758) (621,52.83635330200195) (1504,52.830116271972656) (1163,52.79023361206055)
141: (1412,50.89874267578125) (72,50.7605094909668)* (72,50.7605094909668)* (227,50.74756622314453)* (599,50.59183883666992)* (1244,50.132789611816406) (735,50.04844284057617)* (868,49.81568145751953) (234,49.632240295410156) (562,49.630615234375) (157,49.61376953125) (154,49.5841064453125) (706,49.578468322753906) (1098,49.57578659057617) (717,49.467308044433594) (607,49.45505905151367) (506,49.40165710449219) (190,49.373348236083984)* (193,49.35865020751953) (172,49.35258102416992)
142: (59,53.968013763427734)* (1886,53.509742736816406) (1083,53.33908462524414)* (1062,53.23536682128906) (1878,53.17952346801758) (874,53.06656265258789) (875,52.993282318115234) (7878,52.92882537841797) (441,52.674537658691406)* (1073,52.627471923828125) (5908,52.56692886352539) (159,52.481136322021484)* (1098,52.47744369506836) (3893,52.471702575683594) (1534,52.45914077758789) (3451,52.357749938964844) (1888,52.3001708984375) (1085,52.24397277832031) (4308,52.23491287231445) (5478,52.18994903564453)
143: (1464,53.46589279174805) (1694,53.34330749511719) (67,53.1837272644043) (67,53.1837272644043) (1844,52.690513610839844) (5787,52.52385330200195) (889,52.36001205444336) (1081,52.24306869506836) (8152,52.19844436645508) (1820,52.12834548950195) (2059,52.097679138183594) (3313,52.09491729736328) (253,52.061737060546875) (601,51.97394943237305) (2044,51.87596130371094) (959,51.87284469604492)* (511,51.78262710571289)* (575,51.773006439208984) (180,51.755619049072266) (55,51.70557403564453)
144: (288,52.2060661315918)* (306,52.12580108642578)* (310,51.862281799316406) (314,51.82071304321289)* (349,51.77758026123047)* (257,51.751739501953125)* (701,51.67104721069336)* (291,51.41075134277344) (301,51.35435104370117)* (329,51.206138610839844) (468,51.16993713378906) (309,51.0042724609375) (484,50.93352127075195) (352,50.9164924621582) (296,50.908721923828125) (279,50.826969146728516) (330,50.82213592529297) (4566,50.80638885498047) (318,50.725067138671875) (1457,50.57794189453125)
145: (300,47.698219299316406)* (288,47.38951873779297)* (289,47.353729248046875) (302,47.30717849731445)* (298,47.263980865478516) (679,47.14711380004883) (306,47.113765716552734) (67,47.02472686767578) (67,47.02472686767578) (292,47.0128288269043)* (55,46.998008728027344) (295,46.9203987121582) (301,46.62706756591797)* (461,46.507869720458984) (498,46.45864486694336) (310,46.28281784057617) (689,46.242286682128906)* (1243,46.18262481689453) (525,46.158145904541016) (538,46.0753173828125)
146: (300,54.15814208984375)* (292,54.07392501831055)* (1037,54.0158805847168) (461,53.910011291503906)* (317,53.90951919555664) (352,53.75624084472656) (686,53.457305908203125) (528,53.448856353759766)* (299,53.3818244934082) (544,53.35261154174805) (291,53.334224700927734)* (328,53.266048431396484) (1451,53.14932632446289) (468,53.08800506591797) (531,53.01318359375) (1042,52.911285400390625) (309,52.8556022644043) (475,52.81660079956055) (310,52.806549072265625) (327,52.80189514160156)
147: (89,49.108943939208984) (300,48.86042404174805) (298,48.66820526123047) (466,48.25187683105469) (344,48.16850280761719) (292,48.15692138671875)* (288,48.02748489379883)* (903,47.98100280761719) (461,47.87006378173828) (544,47.84743118286133) (701,47.79868698120117)* (704,47.79570388793945) (306,47.769039154052734)* (157,47.730037689208984) (680,47.606285095214844) (523,47.597843170166016)* (1246,47.505313873291016) (681,47.35639190673828) (65,47.3437385559082) (65,47.3437385559082)
148: (1963,59.78691101074219) (3227,59.606101989746094) (4232,59.390052795410156) (162,59.142250061035156) (605,59.0994873046875) (15499,58.964664459228516) (4779,58.87810516357422) (3707,58.78936004638672) (1979,58.763572692871094) (617,58.69259262084961) (2698,58.69000244140625) (977,58.67571258544922) (7895,58.6700439453125) (4222,58.645843505859375) (770,58.597511291503906) (154,58.509822845458984) (11204,58.501739501953125) (5040,58.447872161865234) (1952,58.43797302246094) (4108,58.345314025878906)
149: (190,49.112030029296875) (65,48.985469818115234) (65,48.985469818115234) (229,48.81226348876953) (228,48.58708572387695) (377,48.50545883178711) (903,48.4168586730957) (538,48.30376434326172) (533,48.28727340698242) (227,48.27225112915039) (220,48.25732421875) (1375,48.16427230834961) (475,48.102378845214844) (182,47.89167785644531) (207,47.89039993286133) (1377,47.83391189575195) (424,47.76762008666992) (89,47.76679229736328)* (209,47.644325256347656) (689,47.61381149291992)
150: (67,50.56675720214844) (67,50.56675720214844) (300,50.461578369140625) (292,50.181785583496094) (295,50.088836669921875)* (679,50.01720428466797) (55,49.9114990234375) (291,49.79490661621094)* (461,49.791385650634766) (466,49.626487731933594) (498,49.46714782714844) (349,49.38441467285156)* (544,49.25479507446289) (2498,49.182769775390625) (2523,49.1248779296875) (299,49.12242889404297)* (523,49.05781936645508) (903,48.98991394042969) (310,48.9637451171875) (889,48.933345794677734)
151: (4463,50.62579345703125) (6480,50.59829330444336) (1241,49.98423767089844) (4087,49.925148010253906) (6483,49.59187316894531) (9856,49.54813003540039) (4324,49.4837646484375) (6123,49.39232635498047) (283,49.37119674682617)* (6795,49.343505859375) (708,49.29330062866211) (2545,49.28579330444336)* (1775,49.20914840698242) (6120,49.18940734863281) (6121,49.09209060668945) (4474,49.06539535522461) (4753,49.06216812133789) (10459,49.0019416809082) (9282,48.99013137817383) (4462,48.91167068481445)
152: (230,49.19078826904297) (89,49.128334045410156)* (424,49.09469985961914) (228,49.08952331542969) (679,49.07164001464844) (209,49.04790496826172) (464,49.02091979980469) (229,48.9557991027832) (190,48.893707275390625) (903,48.884521484375)* (65,48.851009368896484) (65,48.851009368896484) (3200,48.82917785644531) (538,48.77832794189453) (412,48.73671340942383)* (1047,48.680198669433594) (486,48.57662582397461) (1043,48.513633728027344) (227,48.498844146728516)* (470,48.49459457397461)
153: (1131,51.665283203125) (233,51.59294128417969) (152,51.08480453491211) (173,50.72565841674805) (418,50.657569885253906) (163,50.598876953125) (436,50.56306457519531) (1118,50.550148010253906) (964,50.27546310424805) (227,50.12995910644531) (56,50.12619400024414) (56,50.12619400024414) (238,50.02617263793945) (1098,50.01416778564453) (512,49.95956802368164) (450,49.94712829589844) (4069,49.8885612487793) (226,49.878822326660156) (188,49.852569580078125)* (162,49.846343994140625)*
154: (377,51.31450271606445) (1044,50.56877136230469) (7,50.18680953979492) (498,49.92506408691406) (475,49.88387680053711) (1672,49.77875900268555)* (230,49.74520492553711) (488,49.66079330444336) (497,49.660160064697266) (504,49.51911544799805) (1854,49.47072982788086) (1673,49.41554641723633) (190,49.40742874145508) (1249,49.38898468017578) (978,49.238197326660156) (503,49.1787109375) (706,49.158756256103516)* (1714,49.07163619995117) (1145,49.0689811706543) (234,49.01567459106445)
155: (1804,49.232852935791016) (9343,48.97596740722656) (875,48.9459342956543)* (1369,48.923587799072266) (3431,48.802616119384766)* (7047,48.77191162109375) (3011,48.697242736816406) (1813,48.57884979248047) (1083,48.55659866333008)* (9345,48.49665832519531) (841,48.41722869873047) (1513,48.40784454345703) (1531,48.38603973388672) (706,48.35113525390625) (1812,48.284446716308594) (4278,48.22431564331055) (2343,48.21709060668945) (599,48.21267318725586)* (867,48.19859313964844) (163,48.16532897949219)
156: (65,46.73969650268555)* (65,46.73969650268555)* (228,46.668922424316406) (533,46.64105987548828)* (424,46.6231803894043) (229,46.46611404418945) (903,46.41506576538086) (1424,46.289249420166016) (2277,46.27222442626953) (1375,46.25661087036133) (316,46.10538864135742) (439,46.053489685058594) (298,46.035518646240234) (429,45.99980545043945) (217,45.91875076293945) (1090,45.915435791015625) (618,45.879493713378906) (962,45.84263610839844) (683,45.833099365234375) (199,45.808406829833984)
157: (1358,50.67181396484375)* (732,50.52408981323242) (1803,50.19443130493164) (724,50.03845977783203) (1249,49.83919143676758) (959,49.83308410644531)* (1366,49.764625549316406)* (2834,49.49079513549805)* (707,49.31187057495117) (841,49.298240661621094) (2784,49.27776336669922)* (2346,49.03744888305664) (2351,48.85531997680664) (2013,48.82158279418945) (4124,48.8028450012207) (7792,48.788848876953125) (951,48.783565521240234) (2790,48.74424362182617) (2838,48.67540740966797) (1079,48.63658142089844)
158: (288,56.191375732421875) (289,56.13739013671875) (89,56.085086822509766) (2094,55.93173599243164) (292,55.84417724609375) (295,55.69272232055664) (300,55.643070220947266) (67,55.522857666015625) (67,55.522857666015625) (302,55.473533630371094) (55,55.46240234375) (701,55.3139762878418) (257,55.26666259765625) (375,55.225555419921875) (461,55.10139846801758) (352,55.03261947631836) (333,55.029422760009766) (306,55.00403594970703) (296,54.923057556152344) (349,54.87968444824219)
159: (157,52.272491455078125) (55,52.124595642089844) (89,52.101741790771484) (310,51.823490142822266)* (306,51.78769302368164) (295,51.67127227783203) (289,51.50667953491211) (329,51.35414505004883) (525,51.26530456542969) (285,51.25876235961914) (300,51.248817443847656) (903,51.2408332824707) (328,51.16183090209961) (71,50.963897705078125) (71,50.963897705078125) (257,50.9439582824707)* (535,50.94189453125) (294,50.93296813964844)* (349,50.90557861328125) (1379,50.834625244140625)*
161: (1263,52.19393539428711) (45,51.85111999511719) (2963,51.677978515625) (837,51.66876220703125) (25,51.647945404052734) (930,51.48944091796875) (391,51.41309356689453) (2961,51.16362380981445) (4162,51.12733840942383) (8,51.09992599487305) (11818,51.00699234008789) (10978,50.99613952636719) (377,50.95952606201172) (3244,50.9257698059082)* (811,50.92185974121094) (5667,50.85064697265625) (397,50.847900390625) (813,50.845436096191406) (5670,50.806129455566406) (34,50.763031005859375)
162: (157,52.57127380371094) (292,52.12034225463867) (378,52.11504364013672)* (349,52.04902267456055) (288,52.017547607421875) (300,51.95931625366211) (306,51.93195343017578) (701,51.71052932739258) (55,51.67291259765625) (161,51.646583557128906) (2498,51.635231018066406) (461,51.62617111206055) (329,51.62041473388672) (180,51.56559371948242) (310,51.383785247802734) (291,51.369598388671875) (257,51.3588752746582) (299,51.34095001220703) (466,51.30472183227539) (972,51.262535095214844)
163: (5087,51.26859664916992) (2467,50.903076171875)* (1462,50.115726470947266) (3585,49.47829818725586)* (2442,49.460575103759766)* (2443,49.38046646118164) (5267,49.2896842956543) (6529,49.229644775390625) (2445,49.117401123046875) (3766,49.10111999511719) (3127,49.08601379394531) (5382,49.0381965637207) (1489,48.993709564208984) (9820,48.92295837402344) (5810,48.75442886352539) (15903,48.742759704589844) (396,48.72910690307617) (2466,48.624473571777344) (8105,48.58504104614258) (3765,48.58226013183594)
164: (227,52.5662727355957) (418,51.63671112060547) (190,51.60408020019531)* (65,51.39813232421875) (65,51.39813232421875) (1109,51.374324798583984) (199,51.36551284790039) (163,51.33015060424805) (436,51.28834915161133) (229,51.20626449584961) (3057,51.16187286376953) (206,51.05821228027344) (234,51.007083892822266) (88,50.99131774902344) (220,50.85779571533203) (533,50.81882095336914) (226,50.79304504394531)* (1643,50.775962829589844)* (228,50.75774002075195) (202,50.678863525390625)
166: (65,50.91635513305664) (65,50.91635513305664) (511,50.798404693603516) (154,50.73374557495117) (190,50.64091873168945) (163,50.624698638916016) (220,50.58771896362305) (234,50.36493682861328) (1412,50.29001998901367) (614,50.19549560546875) (868,50.061866760253906) (959,49.969966888427734) (1109,49.93056106567383) (159,49.86173629760742)* (166,49.82809066772461) (228,49.78507995605469) (366,49.7843017578125)* (1375,49.73517990112305) (735,49.69639205932617) (182,49.615028381347656)
168: (7665,56.78436279296875) (757,56.68592071533203)* (440,56.60435104370117)* (444,56.55534744262695) (1961,56.54392623901367) (3707,56.443138122558594) (1745,56.379859924316406) (2139,56.32062530517578) (418,56.30682373046875) (6409,56.261898040771484) (8705,56.20496368408203) (10615,55.945186614990234) (1155,55.88967514038086) (2542,55.889617919921875)* (1954,55.88157653808594) (416,55.86935043334961) (621,55.85491943359375) (746,55.85004806518555) (3411,55.836944580078125) (199,55.667537689208984)
170: (198,53.80169677734375) (813,53.606040954589844) (978,53.449520111083984) (707,53.374427795410156)* (785,53.352821350097656) (846,53.27967071533203) (1044,53.17815399169922)* (806,53.13096618652344) (953,53.101783752441406) (1861,53.02553176879883) (826,52.93205261230469) (1274,52.808231353759766) (2835,52.782142639160156) (808,52.760929107666016) (2381,52.73526382446289) (1104,52.727394104003906) (809,52.704490661621094) (1547,52.70387268066406) (233,52.69392013549805) (2211,52.60142517089844)
171: (1400,54.31208038330078)* (432,54.130271911621094) (1090,53.983734130859375) (154,53.895851135253906)* (424,53.72874069213867) (425,53.69942092895508) (1048,53.681888580322266) (173,53.55319595336914) (225,53.505035400390625) (210,53.48568344116211) (1106,53.43161392211914) (716,53.32498550415039) (182,53.30409622192383) (199,53.19905090332031) (969,53.14305877685547) (1376,53.105587005615234) (56,53.028953552246094) (56,53.028953552246094) (217,52.97202682495117) (227,52.90668869018555)
172: (229,51.54457092285156) (227,51.491424560546875) (234,51.408119201660156) (159,51.385581970214844) (233,51.205753326416016) (1090,51.204627990722656) (65,51.17465591430664) (65,51.17465591430664) (709,51.08912658691406) (533,51.04683303833008) (436,51.01316833496094) (220,51.00676727294922) (429,50.99419403076172) (225,50.860443115234375) (56,50.840171813964844) (56,50.840171813964844) (199,50.81199645996094) (88,50.76640319824219) (203,50.67547607421875) (450,50.600006103515625)
173: (220,50.420379638671875) (982,50.308170318603516) (227,50.126014709472656)* (533,49.99889373779297) (439,49.9005012512207)* (234,49.75718688964844) (1513,49.68283462524414) (706,49.46449279785156) (228,49.32585525512695) (1090,49.29990005493164) (230,49.18948745727539) (65,49.148155212402344) (65,49.148155212402344) (226,49.126712799072266) (1048,49.111412048339844) (614,49.064476013183594) (1515,49.02543258666992) (709,48.968936920166016) (229,48.9591064453125) (716,48.85837936401367)
174: (366,50.00804901123047) (227,49.932044982910156) (316,49.14384460449219) (355,49.0106201171875) (903,48.85894775390625) (190,48.634864807128906) (261,48.555580139160156) (533,48.4942512512207) (220,48.48213577270508)* (1772,48.46708679199219) (157,48.42416763305664) (10677,48.36766052246094) (498,48.364925384521484) (538,48.34064483642578) (230,48.33869552612305) (228,48.32514572143555) (966,48.3167839050293) (3057,48.23183822631836) (2176,48.20097351074219) (1244,48.118099212646484)
175: (5087,52.81199264526367) (1462,52.468650817871094) (6529,51.837425231933594) (3583,51.70484161376953)* (3611,51.6633186340332) (396,51.4460563659668) (2462,51.40134048461914) (9820,51.35569763183594) (2445,51.086814880371094) (5267,50.978633880615234) (1438,50.90952682495117) (15903,50.88199234008789) (1694,50.808780670166016) (2447,50.69634246826172) (3557,50.684940338134766) (2456,50.60606384277344) (2466,50.56663513183594) (3127,50.535274505615234) (10460,50.48065185546875) (3584,50.45490264892578)
176: (159,49.98824691772461) (199,49.920265197753906) (436,49.7447624206543) (229,49.71746063232422) (190,49.66383361816406) (1098,49.49365997314453) (418,49.47749328613281) (599,49.45607376098633) (1400,49.44953536987305) (56,49.411376953125) (56,49.411376953125) (425,49.4050407409668) (424,49.33924102783203)* (225,49.28054428100586)* (709,49.272918701171875) (2531,49.253868103027344) (226,49.24766159057617) (533,49.166378021240234) (207,49.1517219543457) (703,49.150482177734375)
177: (163,50.46376419067383)* (152,50.350791931152344)* (1412,49.921234130859375)* (920,49.66631317138672) (607,49.486793518066406)* (186,49.424591064453125) (1131,49.36037063598633) (1710,49.02149963378906) (707,49.013065338134766) (1119,48.95523452758789) (718,48.903114318847656) (3940,48.81684875488281) (706,48.74504089355469) (599,48.728126525878906)* (154,48.68808364868164)* (234,48.67171096801758) (4675,48.65100860595703) (841,48.62076187133789) (949,48.59767532348633) (562,48.57953643798828)
178: (841,52.71660614013672) (1274,51.920814514160156) (920,51.85390090942383) (1369,51.700626373291016) (1119,51.69438934326172) (1411,51.56648635864258) (843,51.56233215332031) (854,51.53816223144531) (1202,51.46495056152344) (163,51.32410430908203) (1131,51.313899993896484) (707,51.25267028808594) (949,51.24813461303711)* (152,51.234188079833984) (4675,51.05910873413086) (1412,50.92427444458008) (918,50.91695022583008) (947,50.88572692871094) (2381,50.86122131347656) (1261,50.81859588623047)
179: (190,48.57509231567383) (230,48.281402587890625)* (89,48.11991882324219)* (1246,48.1045036315918) (209,48.064022064208984) (333,48.030731201171875)* (229,47.86772537231445) (538,47.86189651489258) (306,47.7592658996582) (65,47.6885986328125) (65,47.6885986328125) (298,47.472373962402344) (903,47.4579963684082) (228,47.414241790771484) (302,47.41352081298828) (67,47.26285934448242)* (67,47.26285934448242)* (220,47.234230041503906) (540,47.15667724609375) (329,47.097564697265625)
180: (845,55.912872314453125) (768,55.62600326538086) (45,55.517730712890625) (815,55.500091552734375) (512,55.45366287231445) (503,55.436126708984375) (6847,55.035213470458984) (1131,54.91105651855469) (1099,54.84480667114258) (1401,54.8237419128418) (10859,54.797607421875) (1191,54.73633575439453) (3720,54.70722198486328) (779,54.664920806884766) (2151,54.60940933227539) (1861,54.57944869995117) (826,54.54368209838867) (1104,54.53995132446289) (198,54.480377197265625) (813,54.390625)
181: (6245,55.06450653076172) (3650,54.9139289855957) (3056,54.83755111694336) (11170,54.814125061035156) (13637,54.71015930175781) (6267,54.66856002807617) (3053,54.666961669921875) (13016,54.59929656982422) (7718,54.29512023925781) (6242,54.07224655151367) (7717,53.91180419921875) (3646,53.856178283691406) (7720,53.80522537231445) (7715,53.7825813293457) (6263,53.77912139892578) (1913,53.53798294067383) (3049,53.45444869995117) (7040,53.313716888427734) (6439,53.29462814331055) (4306,53.289466857910156)
182: (1433,47.26763153076172) (727,46.625728607177734) (184,46.50008773803711) (5119,46.3447151184082) (5338,46.34300231933594) (4616,46.328670501708984) (2124,46.28043746948242) (4987,46.218528747558594) (65,46.21342468261719) (65,46.21342468261719) (63,46.0844841003418) (63,46.0844841003418) (6376,46.01433181762695) (266,45.998565673828125) (475,45.853004455566406) (4344,45.84619140625) (250,45.74003982543945) (5236,45.73823547363281) (157,45.70503234863281) (278,45.6700325012207)
183: (59,51.549007415771484)* (599,51.41925811767578) (51,51.01152801513672) (227,50.64545822143555) (1001,50.61142349243164) (441,50.39970016479492) (715,50.39117431640625) (203,50.25429916381836) (163,50.06766891479492)* (1073,50.022056579589844) (187,49.948421478271484) (874,49.85377502441406) (1089,49.83095932006836) (2938,49.73954391479492) (851,49.69853591918945) (98,49.68333053588867) (959,49.67736053466797) (81,49.6530876159668) (997,49.60234069824219) (2638,49.59711456298828)
184: (81,48.63542938232422)* (172,48.44475555419922) (227,48.34818649291992) (65,48.272830963134766) (65,48.272830963134766) (238,48.20427322387695)* (511,48.157379150390625) (229,48.14162063598633) (1781,48.05019760131836) (418,48.041996002197266)* (58,47.958213806152344) (58,47.958213806152344) (56,47.86831283569336) (56,47.86831283569336) (599,47.84452438354492) (157,47.79068374633789) (159,47.759769439697266) (1705,47.678157806396484) (4153,47.60896682739258) (163,47.530540466308594)*
185: (187,52.933738708496094)* (176,52.52724075317383) (5254,52.4678840637207) (6698,52.36737060546875) (6064,52.34805679321289) (959,52.317359924316406) (1000,52.203128814697266) (99,51.9734001159668) (1079,51.93412780761719) (1892,51.87102127075195) (994,51.77676773071289) (3966,51.70659637451172) (1249,51.67575454711914) (77,51.661956787109375) (77,51.661956787109375) (85,51.652587890625) (2787,51.61699676513672) (4031,51.6162223815918) (180,51.60725021362305) (2936,51.556087493896484)
186: (1246,50.14757537841797) (486,50.12028884887695) (209,50.091468811035156) (475,49.70772171020508) (300,49.66740417480469)* (536,49.58285140991211) (472,49.499080657958984) (488,49.42060852050781) (538,49.4111328125) (540,49.37125778198242) (1186,49.359100341796875)* (89,49.28696823120117)* (497,49.16313552856445) (1673,49.080196380615234) (537,49.044212341308594) (403,49.02552032470703) (461,49.01322937011719) (306,49.003211975097656)* (1854,48.87587356567383) (302,48.741493225097656)*
187: (72,51.964012145996094)* (72,51.964012145996094)* (163,51.41764450073242)* (511,51.341548919677734) (1001,50.907989501953125) (1412,50.739131927490234) (1122,50.69049835205078) (193,50.66690444946289)* (159,50.54791259765625)* (868,50.4714469909668) (99,50.368892669677734) (735,50.198307037353516) (157,50.147003173828125) (59,50.12006378173828) (1098,49.96536636352539) (1892,49.927494049072266) (1244,49.91364288330078) (1413,49.88374710083008) (172,49.80955505371094) (851,49.78371810913086)
189: (1104,50.373687744140625) (234,50.27479934692383)* (486,50.20161056518555)* (1116,50.13865280151367)* (220,49.908504486083984) (1974,49.845333099365234) (209,49.830963134765625) (1672,49.797271728515625) (982,49.65879821777344)* (614,49.610965728759766)* (503,49.55350875854492) (497,49.54169464111328) (504,49.51805877685547) (1179,49.48151397705078) (488,49.458683013916016) (1091,49.43284225463867) (229,49.34429931640625) (7636,49.29395294189453) (843,49.21248245239258) (65,49.20346450805664)
190: (4324,48.655303955078125) (7239,48.5452995300293) (669,47.57993698120117) (6697,47.31869125366211) (6860,47.25822448730469) (6701,47.14202117919922) (6713,47.06239318847656) (10460,47.03631591796875) (2498,46.96651840209961) (6710,46.95289611816406) (660,46.95048141479492) (6715,46.94053649902344) (13265,46.9271354675293) (3311,46.90357208251953) (5403,46.69232940673828) (6704,46.67530059814453) (3176,46.63834762573242) (6716,46.53244400024414) (334,46.53227996826172) (9820,46.52116012573242)
191: (1713,56.00771713256836)* (1072,55.88308334350586)* (70,55.04187774658203) (194,55.00853729248047) (30,54.9308967590332) (187,54.878273010253906)* (163,54.81528854370117) (4316,54.80223846435547) (173,54.76219177246094) (3053,54.73502731323242)* (1001,54.69780349731445) (159,54.69333267211914) (154,54.68398666381836) (233,54.66130065917969) (1061,54.6356086730957) (153,54.49500274658203) (190,54.48453140258789)* (63,54.359405517578125) (63,54.359405517578125) (3988,54.350006103515625)*
192: (3028,54.84098434448242) (15052,53.634212493896484) (15050,53.55723190307617) (15045,53.516048431396484) (15051,53.40800476074219) (15049,53.407501220703125) (8261,53.40508270263672) (15053,53.38561248779297) (10650,53.358673095703125) (4004,53.30034637451172)* (15047,53.26847457885742) (15044,53.25370788574219) (15046,53.23600769042969) (4003,53.17190933227539)* (817,53.127685546875) (2187,52.98466873168945) (5063,52.981143951416016) (2186,52.96868896484375) (805,52.83393096923828) (3999,52.79564666748047)*
193: (1099,61.114845275878906) (1075,60.87300491333008) (1379,60.30690383911133) (173,60.26325225830078) (7324,60.11630630493164) (9766,60.06155776977539) (486,59.92971420288086) (70,59.924076080322266) (377,59.90542221069336) (475,59.8604621887207) (6439,59.856346130371094) (757,59.72248458862305) (3053,59.631195068359375) (5071,59.62541961669922) (1410,59.62297058105469) (2824,59.576324462890625) (1409,59.55855941772461) (331,59.54093933105469)* (969,59.489437103271484) (229,59.42090606689453)
194: (81,54.821128845214844)* (748,54.513362884521484) (1098,54.27102279663086)* (632,54.243499755859375) (237,54.09197998046875) (621,54.04851531982422) (206,53.84794235229492) (1418,53.84566116333008) (1109,53.829288482666016) (603,53.804203033447266) (1708,53.723060607910156) (196,53.51025390625) (199,53.50351333618164) (1958,53.44603729248047) (6187,53.4289436340332) (1824,53.396759033203125) (233,53.350242614746094) (8513,53.257102966308594) (2605,53.20598602294922) (1718,53.184913635253906)
195: (599,50.32220458984375) (436,49.99139404296875) (429,49.85146713256836) (859,49.70348358154297)* (615,49.5601921081543) (206,49.49125671386719) (197,49.39812469482422) (159,49.32914352416992) (2531,49.235107421875) (199,49.16843032836914) (441,49.044212341308594) (1504,49.04100036621094) (851,49.031883239746094) (222,48.9752197265625) (630,48.82051467895508) (562,48.7892951965332)* (511,48.75895690917969) (718,48.74781799316406) (1412,48.72344207763672)* (1089,48.690467834472656)
196: (207,48.693416595458984)* (533,48.65034103393555) (190,48.59726333618164)* (173,48.40016174316406) (228,48.355987548828125) (234,48.34324264526367)* (65,48.31878662109375)* (65,48.31878662109375)* (203,48.164512634277344) (159,48.163856506347656) (436,47.918556213378906)* (429,47.86745834350586) (441,47.865936279296875) (225,47.80070877075195) (716,47.6171760559082)* (614,47.53951644897461) (1400,47.534420013427734) (221,47.44332504272461) (511,47.428077697753906) (88,47.38510513305664)
