userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,13.564674377441406)* (1001,13.463759422302246) (157,13.009085655212402) (3768,12.665403366088867) (998,12.491379737854004) (511,12.053409576416016) (1072,11.801580429077148) (1014,11.795880317687988) (1073,11.552505493164062) (187,11.229269981384277) (877,11.150175094604492) (59,10.92856502532959)* (1713,10.899521827697754) (238,10.850545883178711) (153,10.82229995727539) (1707,10.732564926147461) (3280,10.726459503173828) (1013,10.550677299499512) (1394,10.457609176635742) (70,10.338756561279297)*
106: (107,13.385046005249023) (154,12.061393737792969) (3703,11.991203308105469) (7665,11.506677627563477) (1731,11.376465797424316) (7963,10.593013763427734) (8390,10.235198974609375) (2416,10.164264678955078) (2173,10.087336540222168) (8625,9.877119064331055) (2158,9.827178955078125) (460,9.674177169799805)* (1627,9.649591445922852) (5970,9.622057914733887) (137,9.477933883666992) (1946,9.475854873657227) (1396,9.383432388305664) (762,9.175786972045898) (2640,9.14598560333252) (2668,9.009498596191406)
107: (707,10.555790901184082)* (920,9.954170227050781) (1358,9.459582328796387) (15,9.047905921936035) (1214,9.01426887512207) (1104,8.974381446838379) (949,8.963476181030273) (837,8.668489456176758) (812,8.5106840133667) (503,8.466392517089844) (953,8.301352500915527) (163,8.278928756713867) (821,8.178646087646484) (843,8.153116226196289)* (25,7.9799394607543945) (928,7.953585624694824) (922,7.667496681213379) (710,7.608083724975586) (1710,7.560214519500732) (370,7.556232452392578)
108: (12,16.720306396484375)* (1276,16.01746368408203) (2970,14.53583812713623) (821,14.244298934936523) (949,13.629472732543945) (2966,13.556609153747559) (1992,13.425422668457031) (1261,13.377579689025879) (4271,13.303398132324219) (3509,13.09390926361084) (1535,13.004077911376953) (947,12.833688735961914) (4273,12.762171745300293) (824,12.684858322143555) (6258,12.52065372467041) (4611,12.33530044555664) (4275,12.315766334533691) (6,12.243975639343262) (820,12.226452827453613) (1521,12.17448616027832)*
109: (707,12.414726257324219) (706,11.425021171569824) (2342,10.449176788330078) (163,10.0265531539917) (1369,9.48888111114502) (227,9.400713920593262)* (2347,8.650912284851074) (1810,8.642318725585938)* (952,8.377532958984375)* (917,8.362422943115234) (533,8.341216087341309) (2346,8.137897491455078)* (1372,8.04308795928955) (860,7.928224563598633) (1814,7.7775068283081055) (982,7.602718830108643) (1415,7.570984363555908) (918,7.529346466064453) (1358,7.486063003540039) (2797,7.153016567230225)*
110: (498,16.96273422241211) (475,16.918832778930664) (67,16.709636688232422) (67,16.709636688232422) (466,15.994613647460938) (701,14.766002655029297) (686,13.98997974395752) (5249,13.930156707763672) (545,13.821399688720703) (306,13.585943222045898) (325,13.444319725036621)* (458,13.333280563354492) (641,12.96676254272461) (792,12.931313514709473) (386,12.761507034301758) (461,12.758859634399414) (1475,12.732795715332031) (2462,12.626587867736816) (790,12.616500854492188) (157,12.368629455566406)
111: (190,8.862171173095703) (154,8.267642974853516) (1398,7.995884895324707) (229,7.72316837310791) (7665,7.6638689041137695) (1983,7.631853103637695) (331,7.524819374084473) (107,7.463015079498291) (757,7.457126140594482) (4074,7.40802001953125) (2582,7.211166858673096) (1700,7.122014045715332) (56,7.08396053314209) (56,7.08396053314209) (425,7.0757155418396) (1378,6.859870910644531) (3411,6.727824687957764) (512,6.7256269454956055) (1090,6.586547374725342) (487,6.573782444000244)
113: (707,9.434682846069336)* (198,7.8454508781433105)* (918,7.544710636138916) (1044,7.35329532623291) (951,7.2965922355651855) (1672,7.2540178298950195) (808,6.952427864074707) (978,6.891214370727539) (724,6.7894086837768555) (517,6.694295406341553) (843,6.68263053894043) (500,6.6492180824279785) (1803,6.633001327514648) (920,6.558021545410156)* (2379,6.48532772064209) (2342,6.480156898498535) (706,6.38471794128418) (923,6.349068641662598) (489,6.2997283935546875) (1358,6.159726142883301)
114: (1412,18.806316375732422)* (707,15.919658660888672) (1369,12.553398132324219)* (917,12.549367904663086) (1249,12.308780670166016)* (234,11.88817310333252) (511,11.03378677368164) (1415,10.910801887512207) (212,10.7040433883667)* (1244,10.595236778259277) (220,10.368534088134766) (562,10.141430854797363)* (190,10.141345977783203) (951,9.904613494873047)* (2342,9.859193801879883) (1416,9.786026000976562) (614,9.743640899658203) (157,9.572656631469727) (715,9.229480743408203) (1513,9.095953941345215)
115: (227,11.479341506958008) (12057,8.311775207519531) (7056,8.196157455444336) (8111,7.513906955718994) (2864,7.497777938842773)* (163,7.307123184204102) (11923,6.644017696380615) (11885,6.047153949737549) (1254,5.949364185333252) (12059,5.858341217041016) (735,5.779922008514404) (12061,5.7569451332092285) (1238,5.747137546539307) (1772,5.688936710357666) (1109,5.675693988800049) (13272,5.639992713928223) (583,5.635035037994385) (4335,5.6154465675354) (1128,5.562221527099609) (14126,5.443474769592285)
116: (1613,11.540396690368652)* (331,11.383004188537598) (72,11.2169189453125) (72,11.2169189453125) (2220,9.348709106445312) (278,8.926982879638672) (267,8.732505798339844)* (375,8.670884132385254) (6626,8.526899337768555) (1104,8.502022743225098) (279,8.236936569213867) (262,8.228142738342285) (1099,8.107650756835938) (157,7.992094039916992) (13303,7.817185401916504) (330,7.7893829345703125) (56,7.552373886108398) (56,7.552373886108398) (6618,7.489169120788574) (3227,7.461623191833496)
117: (511,11.375263214111328) (959,11.115917205810547) (187,10.974193572998047)* (3768,10.224029541015625) (55,9.948752403259277)* (1464,9.91769027709961) (3302,9.565595626831055) (599,9.401042938232422) (877,9.259333610534668) (1081,9.24538803100586) (1079,9.191524505615234) (1013,9.127814292907715) (91,8.974544525146484)* (1076,8.966815948486328) (3920,8.850257873535156) (77,8.582254409790039) (77,8.582254409790039) (601,8.513059616088867) (889,8.465630531311035) (155,8.402766227722168)
118: (500,9.342950820922852) (1044,9.186907768249512) (808,9.015026092529297) (815,8.926116943359375) (2379,8.426156044006348) (1672,8.406818389892578)* (779,8.28427791595459) (198,8.044278144836426) (850,8.039422988891602) (826,7.963629722595215) (813,7.910737991333008) (8350,7.875087738037109) (810,7.868660926818848) (497,7.804288864135742) (2380,7.685136318206787) (1853,7.543169975280762) (806,7.54073429107666) (4170,7.499773979187012) (371,7.4652323722839355) (3563,7.431683540344238)
119: (1281,17.422988891601562) (15,17.111595153808594) (12,16.668611526489258) (1214,16.644994735717773) (707,16.549907684326172) (918,15.677434921264648)* (949,15.328798294067383) (1358,15.132710456848145) (1276,14.936395645141602) (1992,14.914698600769043) (2765,14.89148235321045) (846,14.214607238769531) (812,14.090795516967773)* (1274,14.047693252563477) (947,14.006500244140625) (824,13.935670852661133)* (1259,13.927713394165039) (1547,13.909253120422363) (1360,13.785008430480957) (163,13.747179985046387)
120: (89,22.252742767333984) (466,15.763642311096191) (67,14.891407012939453) (67,14.891407012939453) (302,12.867199897766113) (306,12.683517456054688) (55,12.205767631530762) (679,11.444290161132812) (349,11.431697845458984) (257,11.396533966064453)* (325,11.197731018066406) (686,11.152998924255371) (298,11.027200698852539) (544,10.516427040100098) (464,10.467275619506836) (680,10.431907653808594) (318,10.393592834472656) (299,10.315268516540527) (293,9.960882186889648)* (523,9.850709915161133)
121: (498,15.487930297851562) (333,15.116466522216797)* (344,12.508798599243164) (466,12.037327766418457) (67,11.408326148986816) (67,11.408326148986816) (291,11.310335159301758) (257,11.133312225341797)* (679,11.120757102966309) (378,10.65134048461914)* (3332,10.326286315917969) (714,10.233559608459473) (1681,10.161116600036621) (157,10.154816627502441) (951,10.114460945129395) (646,9.947790145874023)* (1045,9.761222839355469) (325,9.658823013305664) (304,9.635360717773438) (481,9.531841278076172)
122: (227,21.44536781311035) (154,16.53701400756836) (163,15.402990341186523) (12583,15.138833999633789) (1136,13.605388641357422) (613,12.840909957885742)* (13033,12.119823455810547) (2300,11.690485000610352) (8837,11.619161605834961) (4081,11.400975227355957) (7123,11.381194114685059) (572,11.348243713378906) (4972,11.219740867614746) (17979,11.210441589355469) (2312,11.189739227294922) (3505,11.185819625854492) (13318,11.127357482910156) (6189,11.07054615020752) (2624,11.048916816711426)* (8110,11.041616439819336)
123: (412,17.236013412475586) (154,15.402793884277344) (217,15.210126876831055) (779,14.16773796081543)* (190,14.034321784973145) (1046,13.144451141357422) (4387,13.01868724822998) (512,12.844083786010742) (4375,12.800392150878906) (10029,12.69591999053955) (331,12.570435523986816) (4189,12.542978286743164) (2210,12.41865062713623) (170,12.339276313781738) (1541,12.299898147583008) (840,12.250895500183105) (818,12.055524826049805) (10034,12.02527141571045) (1192,12.00046443939209) (4173,11.938305854797363)
124: (56,14.329408645629883) (56,14.329408645629883) (198,13.096256256103516)* (234,12.57851791381836) (229,12.444990158081055)* (517,12.365104675292969) (930,11.991905212402344) (220,11.835051536560059) (159,11.829402923583984) (488,11.481897354125977) (233,11.162485122680664) (181,10.963041305541992) (487,10.84335708618164) (497,10.796611785888672) (518,10.775545120239258) (3768,10.720104217529297) (30,10.689706802368164) (9,10.574413299560547) (808,10.477348327636719) (1914,10.433030128479004)
125: (227,17.16257095336914)* (157,10.710519790649414) (163,10.457669258117676) (67,9.292494773864746)* (67,9.292494773864746)* (212,9.23615550994873) (735,8.73504638671875) (190,8.700769424438477) (511,8.517648696899414) (1244,8.190832138061523) (1415,8.088980674743652) (234,7.835014343261719) (289,7.756155014038086) (868,7.719207286834717) (706,7.694695472717285)* (180,7.498706817626953) (316,7.455615043640137) (1249,7.328060150146484)* (707,7.255382537841797) (344,7.076780319213867)
126: (701,15.171000480651855) (65,13.248855590820312) (65,13.248855590820312) (461,13.073232650756836) (55,13.067480087280273)* (679,12.988855361938477) (344,12.898731231689453) (306,12.881329536437988) (291,12.75610065460205) (302,12.693136215209961) (227,12.602210998535156) (190,11.275747299194336) (257,10.827713012695312) (464,10.41434097290039) (689,10.37601089477539) (349,10.371334075927734) (544,10.337223052978516) (378,10.274134635925293) (228,10.267784118652344) (1098,10.253120422363281)
127: (707,14.38515853881836) (190,12.035337448120117) (706,11.974020004272461) (377,10.702818870544434) (517,10.594640731811523) (1104,10.42060661315918) (959,10.397862434387207) (198,10.386686325073242) (917,9.678196907043457) (488,9.580955505371094) (1412,9.489872932434082) (230,9.442863464355469) (724,9.365288734436035) (5079,9.364883422851562) (2342,9.207670211791992) (487,9.12734317779541) (2787,9.125632286071777) (7,9.095465660095215)* (497,9.076421737670898)* (518,9.067336082458496)
128: (190,12.204325675964355) (67,11.394615173339844) (67,11.394615173339844) (3057,11.386123657226562) (3119,10.249029159545898)* (1375,10.23651123046875) (81,10.128763198852539) (3206,10.065537452697754) (187,10.052651405334473) (3110,9.878323554992676)* (599,9.76134204864502) (3767,9.758878707885742) (2407,9.740293502807617) (4918,9.7166748046875) (89,9.671419143676758) (5665,9.63005256652832) (548,9.518372535705566) (1081,9.476964950561523) (59,9.454137802124023) (5480,9.446100234985352)
129: (288,14.318512916564941)* (289,14.30885124206543)* (292,12.932557106018066)* (701,11.089706420898438) (300,10.87254810333252)* (311,10.762572288513184) (291,10.031635284423828) (257,9.630332946777344)* (349,9.476966857910156) (333,9.397092819213867)* (906,9.209182739257812)* (310,8.961002349853516) (465,8.820934295654297)* (2523,8.775089263916016) (461,8.489317893981934)* (299,8.449968338012695)* (301,8.3970947265625) (679,8.353870391845703) (1243,8.3536376953125) (318,8.343843460083008)
130: (295,19.375656127929688)* (302,15.242167472839355) (291,14.947700500488281) (466,14.488590240478516) (306,13.875770568847656) (344,13.486482620239258)* (679,13.437141418457031) (310,12.690380096435547) (301,12.613409042358398) (523,12.604032516479492)* (903,12.332164764404297) (294,12.292442321777344)* (906,11.668951034545898)* (318,11.545812606811523) (2523,11.459939956665039) (323,11.398064613342285) (465,11.373045921325684)* (1243,11.283618927001953) (889,11.267638206481934) (544,11.177529335021973)
131: (8625,11.341622352600098) (1731,11.085809707641602) (5348,11.034517288208008) (2605,10.895851135253906) (1943,10.710844039916992) (2298,10.589860916137695) (2698,10.345285415649414) (2300,10.282268524169922) (1226,10.25723934173584) (7963,10.129196166992188) (4536,9.805937767028809) (748,9.577568054199219) (266,9.429338455200195) (2796,9.319941520690918) (3703,9.309425354003906) (103,9.25600528717041) (5347,9.237752914428711) (5353,9.230780601501465) (2640,9.220284461975098) (570,9.207643508911133)
132: (288,22.565168380737305)* (289,20.58245086669922)* (300,18.460710525512695)* (292,17.565757751464844) (67,15.400175094604492) (67,15.400175094604492) (349,12.290857315063477)* (291,12.219528198242188) (257,11.532793998718262)* (679,10.542874336242676) (298,10.465085983276367) (475,10.170286178588867) (328,10.034156799316406) (1037,9.550609588623047) (680,9.363258361816406) (157,9.315898895263672) (903,9.241935729980469) (523,9.216182708740234) (293,9.075569152832031) (329,9.070449829101562)
133: (466,14.395720481872559)* (306,12.430129051208496)* (55,12.264303207397461) (299,10.951667785644531) (686,10.632646560668945) (344,10.580147743225098) (679,10.343589782714844)* (298,10.230822563171387) (318,9.921102523803711) (544,9.6854248046875)* (352,9.597694396972656) (294,9.269998550415039) (301,9.133676528930664) (525,9.093242645263672) (328,9.05359935760498) (293,9.027833938598633) (310,9.00779914855957) (680,8.987430572509766) (903,8.978092193603516) (802,8.877199172973633)*
134: (89,17.85099983215332)* (295,15.64643669128418) (300,14.554716110229492) (701,13.251765251159668)* (333,12.697515487670898) (686,12.496576309204102)* (1684,12.366308212280273) (466,12.327770233154297)* (674,12.306768417358398) (681,12.227360725402832) (461,12.115579605102539) (458,11.456701278686523) (257,11.455465316772461)* (455,11.440572738647461) (291,11.36903190612793) (302,10.970192909240723) (1453,10.89704418182373) (797,10.865504264831543) (456,10.858124732971191) (290,10.753715515136719)
135: (190,14.752708435058594) (377,13.876955032348633) (1104,13.696704864501953) (486,13.273724555969238) (378,12.127766609191895) (157,11.810708999633789) (7,11.76554012298584) (302,11.627634048461914) (300,11.468986511230469)* (295,11.293469429016113) (229,11.17599868774414) (306,11.121212005615234) (488,11.091591835021973) (291,10.970434188842773) (5079,10.96699333190918) (56,10.946880340576172) (56,10.946880340576172) (1704,10.742683410644531) (349,10.274715423583984) (504,10.266460418701172)
136: (288,14.376260757446289)* (295,12.44262981414795)* (300,10.769558906555176) (55,9.360809326171875)* (302,8.933058738708496)* (466,8.43880558013916) (461,8.129955291748047) (523,7.965778827667236)* (265,7.916425704956055) (294,7.7504472732543945)* (686,7.490994930267334) (323,7.4907965660095215) (311,7.478074550628662) (352,7.388912677764893) (525,7.224721431732178) (325,6.9665632247924805)* (465,6.858311176300049)* (157,6.840899467468262) (544,6.764387130737305) (908,6.710472583770752)
137: (89,17.916580200195312) (288,13.777359008789062) (65,13.776659965515137)* (65,13.776659965515137)* (903,13.32606315612793) (316,12.181280136108398)* (295,12.109184265136719) (333,11.90167236328125) (1243,11.886693954467773)* (679,11.86355209350586) (157,11.683164596557617) (229,11.551803588867188) (302,11.535269737243652) (311,11.316051483154297) (889,11.31352710723877) (97,11.310945510864258) (697,11.301265716552734) (362,11.218488693237305) (906,11.18281364440918) (689,11.151433944702148)
139: (498,14.289135932922363)* (198,13.61308479309082) (1104,13.290571212768555) (517,13.035926818847656) (488,12.180815696716309) (497,12.179601669311523) (808,11.90047550201416) (1672,11.810025215148926)* (190,11.784984588623047)* (504,11.468711853027344) (209,11.253341674804688) (1854,11.133720397949219) (378,11.091853141784668)* (978,11.016902923583984)* (7,11.014595985412598)* (503,10.848060607910156) (230,10.492362022399902) (2062,10.484590530395508) (966,10.36325454711914) (779,10.237634658813477)
140: (227,21.743497848510742) (207,12.893312454223633)* (412,12.623315811157227) (234,12.497590065002441) (441,11.80315113067627) (615,11.695109367370605) (429,11.689764976501465) (220,11.280241966247559) (159,11.219649314880371) (225,11.002250671386719)* (859,10.950777053833008) (632,10.81125259399414) (88,10.459770202636719) (163,10.413496971130371) (1239,10.185332298278809) (977,10.164060592651367) (233,10.038597106933594) (206,10.036165237426758) (222,9.769002914428711) (197,9.693784713745117)
141: (72,21.241464614868164)* (72,21.241464614868164)* (190,13.631357192993164)* (67,13.602057456970215) (67,13.602057456970215) (157,13.098694801330566) (1104,11.960007667541504) (707,11.267990112304688) (3768,11.19734001159668) (187,10.921422958374023) (99,10.748997688293457) (1079,10.547831535339355) (518,10.36410140991211) (930,10.150798797607422) (181,10.122724533081055) (5079,10.018526077270508) (172,9.928791046142578) (1810,9.777053833007812) (1412,9.760416030883789) (180,9.746604919433594)
142: (3768,15.104486465454102) (59,13.708840370178223)* (1013,12.799243927001953) (1837,12.033193588256836) (1707,12.005874633789062) (159,11.765474319458008)* (998,11.109365463256836) (441,10.795341491699219)* (98,10.714160919189453) (197,10.674593925476074) (81,10.63379955291748) (3884,10.625316619873047) (1083,10.533019065856934)* (1886,10.504457473754883) (3413,10.468494415283203) (238,10.422489166259766) (1075,10.399535179138184) (187,10.358580589294434) (511,10.272022247314453) (233,10.175138473510742)
143: (67,12.43954086303711) (67,12.43954086303711) (1464,12.070245742797852) (511,10.316816329956055)* (265,9.478597640991211) (5249,9.374343872070312) (959,9.103187561035156)* (889,8.908726692199707) (69,8.6041259765625) (69,8.6041259765625) (1772,8.525020599365234) (3966,8.487228393554688) (5787,8.468636512756348) (3466,8.366416931152344) (727,8.198171615600586) (163,8.188907623291016) (63,8.179181098937988) (63,8.179181098937988) (2044,8.03935718536377) (253,8.019164085388184)
144: (288,25.67205238342285)* (701,15.630663871765137)* (349,14.688680648803711)* (306,14.21995735168457)* (257,13.139273643493652)* (331,12.453983306884766) (301,12.023911476135254)* (310,11.948596954345703) (291,11.932906150817871) (329,11.468635559082031) (352,11.319116592407227) (296,11.276378631591797) (1613,11.179515838623047) (318,10.75009822845459) (314,10.58955192565918)* (468,10.492419242858887) (1449,10.292397499084473) (1456,10.155936241149902) (461,10.086064338684082) (535,10.082537651062012)
145: (289,9.883742332458496) (300,8.938716888427734)* (292,8.753652572631836)* (288,7.972918510437012)* (523,7.971904277801514) (342,7.391676425933838)* (1459,7.13280725479126) (461,7.111217498779297) (302,7.085266590118408)* (295,6.953722953796387) (679,6.927585124969482) (67,6.815776348114014) (67,6.815776348114014) (55,6.627127647399902) (1243,6.522695541381836) (323,6.443707466125488) (548,6.246664047241211)* (298,6.230075836181641) (265,6.223271369934082) (1447,6.156226634979248)*
146: (292,14.08799934387207)* (300,13.973356246948242)* (67,11.57049560546875)* (67,11.57049560546875)* (686,10.87961196899414) (299,10.223043441772461) (461,9.989090919494629)* (475,9.838582038879395) (1037,9.801846504211426) (55,9.762895584106445) (291,9.717076301574707)* (352,9.28488540649414) (327,8.963728904724121) (2094,8.86961555480957)* (458,8.860281944274902) (328,8.832891464233398) (681,8.81452751159668) (525,8.641801834106445) (468,8.59277057647705) (907,8.547887802124023)
147: (288,15.682218551635742)* (89,14.372573852539062) (292,13.512259483337402)* (300,13.007386207580566) (701,12.129314422607422)* (461,10.875356674194336) (325,10.798822402954102)* (344,10.720667839050293) (466,10.395983695983887) (523,10.070507049560547)* (680,9.723562240600586) (311,9.510908126831055) (544,9.460216522216797) (681,9.308036804199219) (455,9.25513744354248) (342,8.876787185668945) (306,8.756974220275879)* (1459,8.743684768676758) (318,8.711170196533203)* (298,8.592798233032227)
148: (3673,9.649617195129395) (107,9.417194366455078) (7665,9.157979965209961) (1396,8.899946212768555) (3280,8.869565963745117) (1405,8.827486038208008) (3707,8.715423583984375) (3411,8.672224998474121) (757,8.543672561645508) (755,8.480006217956543) (3046,8.46872329711914) (603,8.246147155761719) (1155,8.190281867980957) (4113,8.092024803161621) (3767,7.985970973968506) (4232,7.882165908813477) (1390,7.841947555541992) (3290,7.82621431350708) (3227,7.819665908813477) (768,7.818541049957275)
149: (227,15.028472900390625) (65,11.636919021606445) (65,11.636919021606445) (89,11.401309967041016)* (333,10.604742050170898) (1378,9.845897674560547) (190,9.783082962036133) (289,9.733210563659668) (316,9.311043739318848) (1377,9.286423683166504) (344,9.109270095825195) (1470,8.751218795776367)* (377,8.733278274536133) (683,8.686017990112305) (497,8.6790132522583)* (229,8.535102844238281) (499,8.518667221069336) (1109,8.431009292602539) (298,8.390266418457031) (966,8.3336820602417)*
150: (300,19.79903793334961) (67,19.377975463867188) (67,19.377975463867188) (295,18.209836959838867)* (292,17.42649269104004) (498,17.13351058959961) (679,15.154001235961914) (291,14.960293769836426)* (466,14.562776565551758) (55,14.431004524230957) (461,14.350062370300293) (65,14.126035690307617) (65,14.126035690307617) (230,13.046573638916016) (903,12.962239265441895) (349,12.915708541870117)* (265,12.5184965133667)* (959,12.383359909057617) (316,12.255528450012207) (1464,12.017876625061035)
151: (498,21.25605010986328)* (227,19.768905639648438) (1775,17.21875762939453) (283,15.464362144470215)* (344,14.997503280639648) (333,14.77932071685791) (4828,14.508702278137207) (3741,14.285017013549805) (1045,14.129152297973633) (708,13.898587226867676) (8732,13.796387672424316) (542,13.738191604614258)* (3332,13.69056224822998) (8728,13.562454223632812) (4439,13.449907302856445) (683,13.306045532226562) (1768,13.234967231750488) (7252,13.155794143676758) (5425,13.142027854919434) (1470,13.082364082336426)
152: (89,11.874547958374023)* (288,10.292900085449219) (292,8.979413032531738) (461,8.791239738464355)* (464,8.56651782989502) (190,8.36624526977539) (693,8.092801094055176) (295,7.921598434448242) (227,7.872867584228516)* (229,7.789638519287109) (486,7.610050201416016) (306,7.563798904418945) (470,7.558005332946777) (1032,7.480578899383545) (154,7.3817901611328125) (686,7.352502822875977) (377,7.349615097045898) (209,7.105527877807617) (1098,7.073369026184082) (3200,7.009537696838379)
153: (233,13.865955352783203) (173,13.393585205078125) (487,12.659832000732422) (72,12.50947380065918) (72,12.50947380065918) (450,11.061728477478027) (517,10.709945678710938) (5079,10.527835845947266) (512,10.283695220947266) (234,10.195866584777832) (181,10.082618713378906) (162,9.993239402770996)* (1104,9.881059646606445) (1131,9.693941116333008) (10859,9.400781631469727) (1118,9.32951545715332) (441,9.28230094909668) (7,9.260536193847656) (1191,9.173720359802246) (163,9.145170211791992)
154: (377,19.34001922607422) (498,18.988584518432617) (190,16.301395416259766) (230,14.749338150024414) (497,14.096136093139648) (488,14.017528533935547) (1803,13.648782730102539) (1044,13.468047142028809) (3928,13.426313400268555) (89,13.205596923828125) (951,13.19564151763916) (706,13.133260726928711)* (1854,12.990829467773438) (1672,12.549844741821289)* (1249,12.54862117767334) (405,12.446962356567383) (333,12.416518211364746) (371,12.261083602905273) (7,12.206172943115234) (234,12.163610458374023)
155: (163,12.048863410949707) (2493,11.401199340820312) (233,11.236541748046875) (867,11.028757095336914) (1814,10.59290599822998) (1119,10.437912940979004) (2624,10.434242248535156)* (2787,10.414316177368164) (515,10.346805572509766) (2369,10.232718467712402) (1203,10.173555374145508) (1131,10.163189888000488) (854,10.152151107788086) (875,10.012190818786621)* (1205,10.007768630981445) (1369,9.983539581298828) (852,9.979694366455078) (859,9.812744140625) (152,9.684574127197266) (1083,9.641412734985352)*
156: (65,12.046757698059082)* (65,12.046757698059082)* (228,9.374826431274414) (229,9.319734573364258) (903,8.81657886505127) (163,8.754132270812988)* (533,8.675041198730469)* (1412,8.571813583374023) (599,8.095710754394531) (316,7.914434432983398) (424,7.602975845336914) (683,7.5132622718811035) (429,7.431581497192383) (1098,7.380436897277832) (2277,7.290658473968506) (1242,7.263958930969238) (1244,7.259669303894043) (679,7.2387189865112305) (1772,7.208580493927002) (439,7.1371660232543945)
157: (707,17.616268157958984) (227,16.63555145263672) (959,14.254083633422852)* (951,13.58483600616455) (1803,12.777963638305664) (724,12.77352237701416) (1249,12.607699394226074) (1358,12.348493576049805)* (234,11.074980735778809) (841,10.515649795532227) (2797,10.422269821166992) (732,10.397459030151367) (920,10.37812328338623) (198,10.106697082519531) (157,9.976568222045898) (922,9.936660766601562) (3774,9.918143272399902) (533,9.895469665527344) (2346,9.847589492797852) (843,9.811307907104492)
158: (288,13.042137145996094) (289,10.997894287109375) (67,10.67284107208252) (67,10.67284107208252) (89,10.337890625) (157,9.685783386230469) (295,9.627975463867188) (349,9.17828369140625) (701,9.12153434753418) (674,9.099953651428223) (265,9.07885456085205) (257,9.075424194335938) (681,9.032083511352539)* (292,8.856948852539062) (2523,8.810918807983398) (161,8.791030883789062) (2094,8.623489379882812) (906,8.620532035827637) (455,8.562894821166992) (360,8.460331916809082)
159: (89,13.906370162963867) (157,13.456146240234375) (289,11.851142883300781) (55,11.174957275390625) (295,10.352826118469238) (227,10.33806037902832) (1098,10.068225860595703) (190,10.039407730102539) (310,9.20220947265625)* (349,8.982458114624023) (906,8.883028030395508)* (265,8.645312309265137)* (229,8.628273963928223) (71,8.599427223205566) (71,8.599427223205566) (1464,8.582443237304688) (291,8.575227737426758) (257,8.549578666687012)* (294,8.42685604095459)* (2523,8.214176177978516)
161: (3244,15.327040672302246)* (1300,14.503859519958496) (6875,13.587844848632812) (2154,13.425830841064453) (1914,13.353752136230469) (1277,13.1779203414917) (10430,13.135204315185547) (13,13.022412300109863) (758,12.960956573486328) (2,12.69556999206543) (9,12.595613479614258) (1292,12.580341339111328) (1270,12.524084091186523) (7078,12.485077857971191) (1913,12.469483375549316) (10,12.450658798217773) (3425,12.43553638458252) (4226,12.431954383850098) (517,12.412590026855469) (5063,12.395112991333008)
162: (288,20.428234100341797) (300,16.165767669677734) (701,15.181802749633789) (498,14.819730758666992) (157,14.810588836669922) (292,14.7223482131958) (344,13.456942558288574) (291,12.921792030334473) (466,12.791879653930664) (257,12.732088088989258) (679,12.36888313293457) (55,12.323179244995117) (190,12.044225692749023) (461,11.973926544189453) (349,11.347679138183594) (65,11.10594367980957) (65,11.10594367980957) (681,11.065013885498047) (306,11.030156135559082) (378,10.939802169799805)*
163: (5267,14.674548149108887) (3489,14.175151824951172) (5649,14.051847457885742) (2467,14.05107593536377)* (2443,13.982829093933105) (364,13.419465065002441) (8738,13.344655990600586) (2442,13.27931022644043)* (3585,13.06941032409668)* (11236,12.978206634521484) (679,12.871358871459961) (9707,12.86716365814209) (3466,12.855843544006348) (265,12.844078063964844) (2977,12.815462112426758) (342,12.776922225952148) (321,12.762249946594238) (3078,12.681657791137695) (681,12.531194686889648) (311,12.524225234985352)
164: (227,17.611726760864258) (163,10.293798446655273) (1109,9.65716552734375) (190,9.603840827941895)* (418,8.917482376098633) (5437,8.876749992370605) (212,8.873345375061035) (162,8.717124938964844) (233,8.697612762451172) (234,8.673929214477539) (3057,8.599830627441406) (735,8.582737922668457) (81,8.421799659729004) (65,7.830873012542725) (65,7.830873012542725) (453,7.8203935623168945) (223,7.741295337677002) (961,7.710061550140381) (5079,7.702436447143555) (166,7.679572105407715)
166: (190,8.621959686279297) (154,8.561626434326172) (163,8.169326782226562) (599,7.084805965423584) (715,6.896172523498535) (234,6.718326091766357) (1416,6.686802387237549) (1412,6.6686625480651855) (511,6.646396160125732) (868,6.585297584533691) (1414,6.434193134307861) (3057,6.335664749145508) (735,6.334783554077148) (220,6.1170454025268555) (1242,6.104716777801514) (65,6.042215347290039) (65,6.042215347290039) (81,6.015822410583496) (159,5.959249019622803)* (157,5.921014308929443)
168: (603,16.429716110229492) (444,16.254077911376953) (1969,15.393051147460938) (418,15.391294479370117) (2668,15.203393936157227) (2667,14.9038667678833) (1745,14.140066146850586) (7665,13.927184104919434) (3411,12.77122974395752) (1731,12.74049186706543) (616,12.392009735107422) (632,12.29254150390625) (757,12.201622009277344)* (3707,12.15655517578125) (744,11.937389373779297) (2676,11.839488983154297) (103,11.685087203979492) (1098,11.597299575805664) (2416,11.294787406921387) (217,11.23073673248291)
170: (813,18.290672302246094) (707,18.164260864257812)* (805,17.757537841796875) (234,17.466522216796875)* (1214,17.360946655273438) (1547,17.143798828125) (779,17.08098602294922) (198,16.7652587890625) (808,16.757633209228516) (12,16.35372543334961) (821,16.203025817871094) (917,16.17302703857422)* (839,16.15190315246582) (15,16.062402725219727) (370,15.957693099975586) (2586,15.77894401550293) (846,15.73924446105957) (816,15.633660316467285) (1104,15.576461791992188) (233,15.518383026123047)
