userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,66.58647155761719)* (175,65.37803649902344) (187,64.90553283691406) (1001,64.88278198242188) (7157,64.47735595703125) (877,64.34078979492188) (59,64.18665313720703)* (1713,64.17733764648438) (1014,64.14742279052734) (511,64.12152099609375) (2044,63.905189514160156) (3501,63.846500396728516) (1061,63.79167175292969) (880,63.76355743408203) (193,63.76264190673828) (1013,63.68028259277344) (1073,63.56485366821289) (389,63.55927276611328) (993,63.483253479003906) (4037,63.448429107666016)
106: (4108,56.692176818847656) (5063,56.3879280090332) (2158,56.28243637084961) (3366,56.253482818603516) (512,56.198707580566406) (770,56.19414138793945) (460,55.98210525512695)* (3828,55.89665603637695) (2818,55.83082962036133) (5604,55.671409606933594) (2173,55.364845275878906) (4893,55.354339599609375) (4994,55.337425231933594) (13854,55.33336639404297) (4901,55.32225036621094) (2154,55.29377746582031) (8277,55.27088928222656) (3348,55.24698257446289) (3053,55.22140884399414) (12710,55.12880325317383)
107: (707,62.874168395996094)* (1104,62.12957763671875) (1358,61.59258270263672) (1351,61.185264587402344) (475,61.165733337402344) (843,60.85019302368164)* (959,60.61186218261719) (489,60.49703598022461) (7,60.49315643310547) (6265,60.357322692871094) (1254,60.29665756225586) (1531,60.268680572509766) (2835,60.12577438354492) (706,60.10746383666992) (163,60.0931510925293) (1257,60.06595230102539) (1261,60.045555114746094) (2251,59.99277877807617) (2738,59.82898712158203)* (1406,59.813438415527344)*
108: (1276,64.84593963623047) (4615,64.82099914550781) (12,64.44331359863281)* (2964,64.31907653808594) (4605,63.90289306640625) (821,63.79582977294922) (4273,63.713443756103516) (1992,63.695579528808594) (3809,63.69242858886719) (843,63.650943756103516) (2962,63.58574295043945) (4271,63.554168701171875) (4971,63.553382873535156) (923,63.539005279541016) (2969,63.53009033203125) (3806,63.51454544067383) (1528,63.142459869384766) (370,63.12803649902344) (2970,63.0900764465332) (949,63.07780075073242)
109: (706,61.70338821411133) (1415,61.6337776184082) (917,61.46746826171875) (952,61.37069320678711)* (2346,60.95138168334961)* (227,60.38214874267578)* (2834,60.38009262084961) (2347,60.31303405761719) (918,60.18968963623047) (707,60.18034744262695) (1464,60.00438690185547) (1358,59.81637191772461) (1810,59.81344985961914)* (4165,59.73792266845703) (289,59.643043518066406) (1416,59.56843566894531) (1513,59.54649353027344) (163,59.519859313964844) (1366,59.50984573364258) (1369,59.359779357910156)
110: (374,62.309783935546875) (2102,61.991920471191406)* (375,61.86994171142578) (544,61.107826232910156) (466,60.95988082885742) (306,60.92109298706055) (3324,60.76658630371094) (2101,60.68444061279297) (386,60.625526428222656) (1918,60.60715866088867)* (399,60.59906005859375) (2086,60.46680450439453) (2512,60.46670150756836) (461,60.450958251953125) (475,60.42396926879883) (528,60.411617279052734) (349,60.3959846496582)* (410,60.22304916381836) (498,60.18553161621094) (1684,60.10432434082031)
111: (154,59.98666000366211) (755,59.474735260009766) (162,59.04722213745117) (748,58.771446228027344) (238,58.28335189819336)* (206,58.056819915771484) (1418,58.01915740966797) (418,57.85544967651367) (964,57.815650939941406) (6046,57.717262268066406) (632,57.71339797973633) (2716,57.70310974121094) (4316,57.591217041015625) (757,57.572357177734375) (2668,57.540523529052734) (617,57.50520706176758) (3707,57.464839935302734) (70,57.35721969604492) (605,57.31258010864258) (512,57.22650909423828)
113: (706,62.43311309814453) (707,62.43208312988281)* (198,62.17618942260742)* (2346,62.13090133666992) (1672,61.684478759765625) (412,61.559234619140625) (918,61.49024200439453) (1406,61.43450927734375) (614,61.38364791870117)* (843,61.31067657470703) (5306,61.30817413330078) (808,61.18748474121094) (1873,61.08483123779297) (1974,61.032623291015625) (227,60.99102783203125) (2352,60.97164535522461) (503,60.91875076293945) (1412,60.84590148925781) (1351,60.76335144042969) (163,60.62141418457031)
114: (1412,61.01471710205078)* (917,60.510501861572266) (1415,60.383392333984375) (157,60.34510803222656) (562,60.038570404052734)* (1369,59.91061782836914)* (1249,59.893028259277344)* (1416,59.84028244018555) (732,59.685523986816406) (707,59.64268493652344) (1464,59.63384246826172) (1513,59.578651428222656) (1358,59.40622329711914) (234,59.33892822265625) (511,59.329498291015625) (1244,59.301605224609375) (190,59.201026916503906) (951,59.073219299316406)* (289,59.07113265991211) (982,59.0700798034668)
115: (5416,62.810123443603516) (1771,61.480125427246094) (10413,61.30215072631836) (1414,60.86983871459961) (10027,60.75712203979492) (5470,60.71562194824219) (10428,60.611961364746094) (1416,60.574485778808594) (4796,60.42306900024414) (554,60.40757369995117) (2834,60.18095779418945) (2786,60.143917083740234) (212,60.14356994628906) (1415,60.11137008666992) (6722,60.074974060058594) (5550,60.062862396240234) (8593,60.0460205078125) (889,59.918331146240234) (735,59.725521087646484) (9543,59.71648025512695)
116: (267,58.26443099975586)* (1641,57.612579345703125) (12254,57.48152542114258) (2247,57.17310333251953) (240,57.049827575683594) (2236,56.77212142944336) (3357,56.76981735229492) (6901,56.58458709716797) (3227,56.4813232421875) (6626,56.48004913330078) (2244,56.44034957885742) (278,56.34444808959961) (1544,56.21200180053711) (4344,56.09492492675781) (8161,56.093013763427734) (1839,56.067935943603516) (12414,55.902862548828125) (1543,55.78873062133789) (1613,55.67635726928711)* (1979,55.653594970703125)
117: (1464,61.33281707763672) (187,60.33440017700195)* (511,59.942142486572266) (1081,59.63638687133789) (601,59.628074645996094) (959,59.607666015625) (100,59.54302978515625)* (599,59.45978927612305) (77,59.27935791015625) (77,59.27935791015625) (999,59.154239654541016)* (1076,59.111732482910156) (289,59.011722564697266) (1013,58.95740509033203) (1889,58.84768295288086) (192,58.84721755981445)* (3201,58.74519348144531) (85,58.69791030883789) (1000,58.661895751953125) (889,58.64404296875)
118: (500,59.49855422973633) (1672,59.45378494262695)* (1044,59.05119323730469) (497,58.851314544677734) (378,58.633636474609375) (837,58.57692337036133) (198,58.568260192871094) (726,58.55375289916992) (475,58.462650299072266) (966,58.39804458618164) (1145,58.397804260253906)* (707,58.33396911621094) (834,58.33147048950195)* (1104,58.23006820678711) (488,58.1748046875)* (230,58.1649055480957) (504,58.07783126831055)* (1854,58.072269439697266) (808,58.0228157043457) (917,57.99949264526367)
119: (1992,63.3867073059082) (707,63.25525665283203) (4971,63.134559631347656) (12,63.04263687133789) (918,62.89194869995117)* (846,62.72908401489258) (954,62.619056701660156) (949,62.54415512084961) (1274,62.459228515625) (15,62.40006637573242) (1344,62.276268005371094) (957,62.2375602722168) (1358,62.17610168457031) (824,62.120994567871094)* (1131,62.11943054199219) (2763,62.11008834838867) (1281,62.061614990234375) (1214,62.02452087402344) (1360,61.93147659301758) (3416,61.90352249145508)
120: (89,59.78213119506836) (306,59.21168518066406) (466,59.18135452270508) (544,58.58097839355469) (324,58.46426773071289) (464,58.36051559448242) (302,58.235050201416016) (681,58.099185943603516) (349,57.93914031982422) (680,57.88251876831055) (325,57.826560974121094) (458,57.73278045654297) (691,57.714576721191406) (528,57.657474517822266) (293,57.53055953979492)* (679,57.41166687011719) (686,57.32040786743164) (318,57.26488494873047) (55,57.26047134399414) (1455,57.2593879699707)
121: (257,62.9054069519043)* (646,62.88072204589844)* (333,62.82440948486328)* (466,62.70244598388672) (344,62.62933349609375) (790,62.298336029052734) (299,62.24260330200195) (1453,62.18461608886719) (2548,61.999794006347656) (291,61.99551010131836) (679,61.96207046508789) (498,61.7686767578125) (802,61.76142501831055)* (161,61.71892166137695)* (456,61.674407958984375) (686,61.55290222167969) (304,61.46862030029297) (67,61.38887023925781) (67,61.38887023925781) (349,61.351436614990234)
122: (14385,64.93179321289062) (10766,63.713016510009766) (15386,63.59568786621094) (9271,63.58646774291992) (3458,63.24964904785156) (4520,63.08973693847656) (9825,62.91936111450195) (2411,62.741188049316406) (2412,62.66057586669922) (15384,62.53206253051758) (12220,62.47382354736328) (6458,62.39057159423828) (1242,62.384681701660156) (15393,62.3450927734375) (15391,62.33405685424805) (7427,62.2401237487793) (1888,62.231346130371094) (15389,62.20832443237305) (15387,62.1928825378418) (2417,62.138671875)
123: (2923,64.50776672363281) (617,62.644325256347656) (1100,62.59206771850586) (527,62.47856521606445) (1963,62.45054244995117) (1614,62.348731994628906) (3616,62.293663024902344) (2242,62.10218048095703) (512,61.89828109741211) (154,61.877742767333984) (3227,61.70362091064453) (1613,61.64848709106445) (1187,61.6129035949707) (3317,61.601806640625) (56,61.53696060180664)* (56,61.53696060180664)* (162,61.453304290771484) (229,61.42157745361328) (4118,61.42053985595703) (547,61.41046142578125)
124: (198,60.07577896118164)* (726,60.04607391357422) (517,59.67107391357422) (405,59.65876770019531) (722,59.36379623413086) (475,59.24396896362305) (959,59.19639587402344) (1704,59.16831970214844) (159,59.0376091003418) (497,59.021141052246094) (380,58.92013931274414) (234,58.90867233276367) (157,58.89320755004883)* (3827,58.76983642578125) (930,58.64911651611328) (1797,58.58321762084961) (229,58.48674011230469)* (227,58.4608039855957) (220,58.40843200683594) (378,58.407344818115234)
125: (227,68.2148666381836)* (163,67.70801544189453) (261,67.53659057617188) (212,67.41776275634766) (157,67.36775970458984) (903,67.31044006347656) (917,67.301513671875) (706,66.96511840820312)* (1415,66.95928192138672) (5416,66.79476928710938) (289,66.70857238769531) (1464,66.56262969970703) (6529,66.50448608398438) (718,66.21814727783203) (67,66.20053100585938)* (67,66.20053100585938)* (868,66.1684799194336) (1244,66.15426635742188) (889,66.09135437011719) (2786,66.07328033447266)*
126: (324,62.907676696777344) (306,62.74782180786133) (344,62.718299865722656) (679,62.48378372192383) (302,62.400779724121094) (544,62.360897064208984) (701,62.25400924682617) (704,62.14157485961914) (461,62.1246223449707) (464,61.99327087402344) (523,61.88929748535156) (291,61.82145690917969) (1047,61.81962203979492) (55,61.79315185546875)* (681,61.695919036865234) (691,61.57461166381836) (349,61.56230926513672) (528,61.548282623291016) (293,61.54085922241211) (680,61.53996658325195)*
127: (190,63.78487014770508) (930,63.61643600463867) (707,63.56455993652344) (377,63.47556686401367) (498,63.46278381347656) (917,63.41077423095703) (2352,63.37188720703125) (230,63.04896926879883) (1104,62.9294548034668) (2038,62.89868927001953) (966,62.864620208740234) (928,62.77008056640625) (706,62.7341423034668) (2014,62.71084976196289) (1339,62.70643615722656) (924,62.70457458496094) (7,62.58369827270508)* (932,62.455223083496094) (918,62.441497802734375)* (3740,62.4035530090332)
128: (715,60.82627487182617) (429,60.487953186035156) (59,60.386314392089844) (511,60.25965881347656) (227,60.04842758178711)* (190,59.746368408203125) (154,59.730316162109375) (1375,59.678253173828125) (229,59.493568420410156) (599,59.377628326416016) (2531,59.33314895629883) (2524,59.318607330322266) (9470,59.30670166015625) (533,59.26932907104492) (851,59.185543060302734) (961,59.18328094482422) (441,59.06710433959961) (620,59.03564453125) (1383,58.95676803588867) (11910,58.82695388793945)
129: (292,61.82346725463867)* (288,61.55947494506836)* (289,61.41290283203125)* (300,60.73091506958008)* (306,60.675228118896484) (298,60.371971130371094) (701,60.304569244384766) (333,60.25019073486328)* (679,59.773094177246094) (349,59.756195068359375) (903,59.71210479736328) (1934,59.65072250366211) (257,59.63142013549805)* (2521,59.51530456542969) (913,59.49232864379883) (291,59.46208953857422) (301,59.42093276977539) (526,59.402015686035156) (906,59.398406982421875)* (299,59.330318450927734)*
130: (295,60.33195877075195)* (302,59.47576141357422) (306,59.2276611328125) (466,58.61328125) (913,58.42836380004883) (291,58.276126861572266) (320,58.23036193847656) (301,58.1855583190918) (310,58.04545211791992) (352,57.95823669433594) (329,57.75293731689453) (906,57.75022888183594)* (523,57.71510696411133)* (679,57.69279479980469) (328,57.68874740600586) (544,57.4637336730957) (294,57.45943832397461)* (2523,57.37015151977539) (344,57.297176361083984)* (1601,57.27600860595703)
131: (6588,60.36301803588867) (6764,59.74985885620117) (7259,59.42393112182617) (1963,59.29539489746094) (1640,59.08708572387695) (1230,59.02663803100586) (7472,58.9737663269043) (5353,58.87366485595703) (10333,58.86847686767578) (7148,58.66178512573242) (569,58.46100616455078) (1943,58.455650329589844) (10394,58.393104553222656) (10374,58.32188415527344) (1226,58.24824905395508) (10370,58.15216064453125) (6335,58.101619720458984) (3703,58.06049346923828) (6831,57.97001266479492) (1620,57.853912353515625)
132: (288,59.54146194458008)* (289,59.3414306640625)* (292,59.08900833129883) (300,58.34783935546875)* (349,57.633052825927734)* (257,57.45078659057617)* (67,57.12998962402344) (67,57.12998962402344) (161,57.079750061035156) (291,57.01904296875) (458,57.017356872558594) (320,56.939048767089844)* (523,56.870452880859375) (679,56.69678497314453) (328,56.60906982421875) (475,56.4682502746582) (1037,56.2427864074707) (293,56.159053802490234) (386,56.136138916015625) (298,56.12223434448242)
133: (466,58.01283264160156)* (299,57.446044921875) (306,57.03997802734375)* (55,56.780662536621094) (318,56.715126037597656) (352,56.59593963623047) (686,56.515594482421875) (344,56.47029495239258) (908,56.27294921875) (544,56.196327209472656)* (293,56.15494918823242) (320,56.13236618041992) (525,56.01638412475586) (679,55.97719955444336)* (161,55.88294219970703) (543,55.807586669921875)* (458,55.763031005859375) (324,55.61573791503906) (790,55.468788146972656) (386,55.405677795410156)
134: (701,60.47545623779297)* (461,60.038978576660156) (466,59.830265045166016)* (89,59.81525421142578)* (295,59.7440299987793) (1037,59.03716278076172) (523,59.03390121459961) (320,58.95415496826172) (161,58.91527557373047) (797,58.90128707885742) (306,58.87628173828125) (2094,58.82841491699219)* (300,58.824310302734375) (352,58.82026672363281) (686,58.75130081176758)* (257,58.57725524902344)* (525,58.272403717041016) (1441,58.23014831542969) (458,58.21701431274414) (318,58.16222381591797)
135: (39,61.155494689941406) (5670,60.92509078979492) (7,60.79899597167969) (524,60.547611236572266) (523,60.51364517211914) (15524,60.47533416748047) (1104,60.44263458251953) (306,60.278709411621094) (300,60.2613525390625)* (349,60.22179412841797) (704,60.2132568359375) (295,60.152130126953125) (5079,60.056861877441406) (532,59.99363327026367) (378,59.89134979248047) (302,59.890724182128906) (701,59.872779846191406) (333,59.83561706542969) (157,59.82742691040039) (486,59.81626892089844)
136: (288,60.577247619628906)* (295,60.44208526611328)* (302,59.74616241455078)* (55,59.65726852416992)* (300,59.20912551879883) (466,59.15102767944336) (525,58.7800407409668) (294,58.63806915283203)* (352,58.600685119628906) (908,58.55175018310547) (461,58.51430892944336) (161,58.496307373046875) (913,58.32263946533203)* (906,58.3123664855957) (523,58.28303527832031)* (325,58.24658966064453)* (465,58.20735549926758)* (290,58.19701385498047)* (528,57.77103042602539) (544,57.75325012207031)
137: (89,66.41356658935547) (903,65.99029541015625) (689,65.75294494628906) (423,65.00425720214844) (288,64.71195220947266) (2521,64.70586395263672) (526,64.55174255371094) (2277,64.4345703125) (1243,64.2482681274414)* (157,64.16645050048828) (316,64.0879135131836)* (697,63.99166488647461) (3902,63.98625183105469) (295,63.905517578125) (97,63.86598587036133) (437,63.797916412353516) (2083,63.78434753417969) (5150,63.7784423828125) (65,63.72877883911133)* (65,63.72877883911133)*
139: (1104,65.5123291015625) (7,64.92133331298828)* (497,64.81051635742188) (198,64.44352722167969) (517,64.16085815429688) (503,63.985958099365234) (498,63.88892364501953)* (504,63.8380241394043) (1672,63.59516906738281)* (779,63.58941650390625) (378,63.5790901184082)* (209,63.48082733154297) (230,63.34484100341797) (89,63.30619812011719) (2967,63.19084167480469) (808,63.11491012573242) (1406,62.99070358276367) (289,62.98796081542969) (514,62.94062423706055) (978,62.79179382324219)*
140: (615,65.52420806884766) (632,65.11393737792969) (227,65.02223205566406) (226,64.65264892578125) (225,64.63919067382812)* (429,64.5861587524414) (424,64.56114196777344)* (2277,64.33023071289062) (206,64.32193756103516) (222,64.27969360351562) (162,64.09624481201172) (629,64.06846618652344) (5423,64.01154327392578) (964,63.8468017578125) (604,63.70631408691406) (207,63.67471694946289)* (1504,63.658267974853516) (436,63.6384391784668) (231,63.62245559692383) (618,63.58870315551758)
141: (72,66.92981719970703)* (72,66.92981719970703)* (1464,65.80339813232422) (599,65.61146545410156)* (187,65.41532897949219) (190,65.35863494873047)* (193,65.24246215820312) (227,65.16969299316406)* (180,64.8158187866211) (1412,64.81178283691406) (99,64.60906219482422) (712,64.51827239990234) (192,64.47689819335938) (59,64.46939086914062) (930,64.429443359375) (2044,64.28663635253906) (715,64.2704849243164)* (533,64.22457122802734) (1109,64.20574188232422) (1534,64.16139221191406)
142: (59,62.93583679199219)* (1083,61.42758560180664)* (1886,61.32012176513672) (3768,61.272274017333984) (1878,61.2380256652832) (159,61.229095458984375)* (441,61.012386322021484)* (1707,60.99884796142578) (998,60.91265869140625) (875,60.81060028076172) (1062,60.621883392333984) (1073,60.54569625854492) (874,60.222679138183594) (3451,60.20179748535156) (1001,60.0985107421875) (4732,60.027565002441406) (8583,59.95627212524414) (3281,59.927059173583984)* (30,59.91189193725586) (852,59.880950927734375)
143: (1464,64.94937133789062) (575,64.49357604980469) (67,63.834320068359375) (67,63.834320068359375) (889,63.75672149658203) (1772,63.75115203857422) (601,63.64706039428711) (253,63.491085052490234) (69,63.45083999633789) (69,63.45083999633789) (285,63.450557708740234) (2044,63.15434646606445) (1123,63.103336334228516) (192,62.94243621826172)* (2394,62.92452621459961) (77,62.918067932128906) (77,62.918067932128906) (289,62.90074157714844) (730,62.88754653930664) (2786,62.878746032714844)
144: (468,61.49641799926758) (288,61.46760559082031)* (306,61.419654846191406)* (257,61.034637451171875)* (349,60.98434829711914)* (314,60.967830657958984)* (320,60.902042388916016) (329,60.79560852050781) (330,60.67265701293945) (484,60.45682144165039) (701,60.41614532470703)* (301,60.38069534301758)* (310,60.31744384765625) (331,60.18166732788086) (1444,60.16368103027344)* (1936,60.16230010986328) (352,60.1513671875) (4566,60.127994537353516) (308,59.880126953125) (312,59.78778839111328)*
145: (289,60.57499313354492) (288,60.122802734375)* (300,59.75492477416992)* (302,59.62708282470703)* (306,59.51578903198242) (324,59.42671585083008)* (292,59.40930938720703)* (908,59.402679443359375) (679,59.21231460571289) (295,59.09563446044922) (55,58.964805603027344) (307,58.86660385131836) (461,58.835453033447266) (349,58.8250617980957) (342,58.81425476074219)* (298,58.77439498901367) (67,58.739990234375) (67,58.739990234375) (498,58.698638916015625) (1459,58.660343170166016)
146: (468,62.71310806274414) (461,62.151397705078125)* (308,62.133323669433594) (292,62.08889389038086)* (299,61.93756866455078) (915,61.92005920410156) (544,61.85768127441406) (1451,61.65263748168945) (1037,61.518592834472656) (161,61.378475189208984) (458,61.33745574951172) (317,61.27025604248047) (475,61.18242645263672) (157,61.13703155517578) (310,61.04124069213867) (55,60.9930305480957) (1449,60.95954895019531) (523,60.940433502197266) (327,60.877716064453125) (300,60.86509323120117)*
147: (89,61.9761962890625) (523,61.52607727050781)* (292,61.483184814453125)* (300,61.453590393066406) (466,61.380859375) (306,61.16176986694336)* (288,61.07075500488281)* (701,60.95758819580078)* (461,60.5510368347168) (544,60.532684326171875) (298,60.35662841796875) (344,60.23567199707031) (908,60.12000274658203) (528,60.1006965637207) (324,60.01271057128906) (318,59.966880798339844)* (524,59.92671203613281) (686,59.91830062866211) (325,59.86469650268555)* (704,59.78573989868164)
148: (1963,58.65283966064453) (3227,57.84543991088867) (605,57.388816833496094) (2698,57.2574577331543) (276,57.233097076416016) (88,57.206321716308594) (1952,57.10575866699219) (4108,57.00931167602539) (4597,56.80718231201172) (3028,56.80615997314453) (5874,56.792789459228516) (5040,56.79084777832031) (101,56.69878005981445) (617,56.66714859008789) (1548,56.655975341796875) (2667,56.65176010131836) (2923,56.62791442871094) (5063,56.59539794921875) (603,56.55032730102539) (744,56.5299072265625)
149: (89,63.14341735839844)* (190,62.77831268310547) (538,62.766151428222656) (289,62.57189178466797) (65,62.2357063293457) (65,62.2357063293457) (333,62.226829528808594) (229,62.08610534667969) (207,61.98952102661133) (228,61.87913513183594) (298,61.876346588134766) (377,61.80900573730469) (1048,61.705379486083984) (903,61.56812286376953) (67,61.50132369995117) (67,61.50132369995117) (182,61.499908447265625) (288,61.48347091674805) (316,61.456199645996094) (1511,61.45049285888672)
150: (295,62.37035369873047)* (292,61.7049674987793) (67,61.62671661376953) (67,61.62671661376953) (300,61.105838775634766) (55,61.05276870727539) (349,60.92525100708008)* (299,60.83321762084961)* (291,60.70851135253906)* (466,60.3504638671875) (360,60.2463493347168) (679,60.072906494140625) (525,60.04119110107422) (310,59.98672866821289) (913,59.879642486572266) (294,59.75909423828125)* (889,59.74112319946289) (465,59.73384094238281) (461,59.70417022705078) (544,59.501346588134766)
151: (1775,61.16365051269531) (4819,60.824134826660156) (4828,60.19966506958008) (283,59.63462829589844)* (246,59.613487243652344) (542,59.52387237548828)* (1045,59.47667694091797) (3074,59.426212310791016) (708,59.388450622558594) (1241,59.352134704589844) (6123,59.3395881652832) (1776,59.296939849853516) (256,59.295509338378906) (5745,59.28981399536133) (1763,59.22482681274414) (3393,59.08034133911133)* (11158,59.04133987426758) (261,59.01003646850586) (4850,58.982295989990234) (8732,58.96255111694336)
152: (89,59.887847900390625)* (324,59.37324142456055)* (538,59.12619400024414) (691,59.07173156738281) (209,58.894142150878906) (306,58.83985900878906) (464,58.7316780090332) (412,58.727935791015625)* (230,58.70589065551758) (687,58.67890548706055) (344,58.67611312866211)* (377,58.619171142578125) (228,58.611183166503906) (1043,58.59024429321289) (681,58.550148010253906) (190,58.448143005371094) (288,58.447261810302734) (486,58.41699981689453) (1047,58.39030456542969) (475,58.33247375488281)
153: (1118,68.31637573242188) (1109,68.25406646728516) (81,67.74501037597656) (162,67.65486145019531)* (1131,67.37451171875) (72,67.36389923095703) (72,67.36389923095703) (233,67.28196716308594) (188,67.00879669189453)* (173,66.85745239257812) (418,66.84584045410156) (1418,66.82850646972656) (3197,66.50727081298828) (930,66.39583587646484) (1104,66.3309326171875) (156,66.09197998046875) (1113,66.0673828125) (4143,65.94458770751953) (152,65.93035888671875) (7382,65.92721557617188)
154: (377,64.80884552001953) (498,64.20645904541016) (497,63.58747100830078) (1114,63.03120803833008)* (405,62.94309997558594) (89,62.72807693481445) (726,62.68230438232422) (288,62.53373718261719) (1672,62.53369903564453)* (504,62.512535095214844) (7,62.504486083984375) (503,62.47023391723633) (1044,62.416160583496094) (230,62.32429885864258) (1854,62.30876922607422) (1249,62.27760314941406) (1673,62.25017547607422) (488,62.24171829223633) (475,62.16559600830078) (190,62.05802536010742)
155: (3431,64.67804718017578)* (1083,64.14848327636719)* (2938,63.530181884765625) (875,63.272132873535156)* (1203,62.83955383300781) (5785,62.79206085205078) (852,62.786258697509766) (4278,62.507080078125) (631,62.1328239440918) (1814,62.02570343017578) (2475,62.00959014892578) (2488,61.981689453125) (9286,61.88052749633789) (3531,61.801177978515625) (11956,61.62586975097656) (12314,61.611454010009766) (7045,61.59659194946289) (2026,61.475868225097656) (2531,61.43215560913086) (874,61.394775390625)
156: (424,61.44687271118164) (429,61.398311614990234) (229,61.25096893310547) (228,61.17203140258789) (1242,61.128536224365234) (533,61.121910095214844)* (316,60.97662353515625) (203,60.961387634277344) (65,60.960357666015625)* (65,60.960357666015625)* (1090,60.94827651977539) (298,60.79408264160156) (715,60.78224563598633) (903,60.58258056640625) (599,60.514915466308594) (89,60.409278869628906)* (2277,60.35611343383789) (1512,60.29378890991211)* (709,60.25266647338867) (217,60.16217803955078)
157: (1358,62.26123809814453)* (732,61.46473693847656) (724,61.02064514160156) (2346,60.944358825683594) (2834,60.85429382324219)* (1366,60.458770751953125)* (959,60.40024185180664)* (1803,60.37369155883789) (1415,60.37144088745117) (2861,59.89207458496094) (2838,59.869991302490234) (956,59.816436767578125) (2899,59.80646514892578) (951,59.74115753173828) (707,59.66016387939453) (6282,59.56195831298828) (1468,59.551727294921875) (2797,59.43415832519531) (5157,59.416419982910156) (1249,59.41419219970703)
158: (289,61.287750244140625) (288,60.86051559448242) (89,59.824180603027344) (906,59.682437896728516) (349,59.682228088378906) (296,59.614967346191406) (306,59.46316146850586) (701,59.30242919921875) (55,59.24918746948242) (292,59.180572509765625) (2094,59.17161560058594) (67,59.05571746826172) (67,59.05571746826172) (461,59.00209045410156) (786,58.98664855957031) (295,58.924224853515625) (310,58.85306930541992) (1059,58.77341079711914) (3324,58.7027587890625) (157,58.67390060424805)
159: (289,64.28591918945312) (157,63.63804244995117) (89,63.357749938964844) (306,63.3528938293457) (71,63.160797119140625) (71,63.160797119140625) (295,63.12577819824219) (310,63.07564926147461)* (55,63.07463836669922) (349,62.74644088745117) (906,62.605281829833984)* (722,62.368865966796875) (294,62.361942291259766)* (525,62.30291748046875) (161,62.279815673828125) (257,62.06919860839844)* (378,62.01179122924805) (8002,61.892337799072266) (972,61.862327575683594) (190,61.83562469482422)
161: (2014,60.802215576171875) (930,60.32050323486328) (1914,60.31329345703125) (5087,60.2072639465332) (396,60.14733123779297) (2038,60.07210922241211) (45,59.94586944580078) (25,59.92350387573242) (1263,59.92273712158203) (9,59.837432861328125) (504,59.81122589111328) (1277,59.76206970214844) (34,59.52692794799805) (6875,59.518863677978516) (1300,59.40019989013672) (2,59.39496612548828) (923,59.32655715942383) (1714,59.293880462646484) (835,59.25543212890625) (377,59.221412658691406)
162: (288,65.0033187866211) (377,64.65211486816406) (461,64.44599151611328) (498,64.30728912353516) (378,63.98349380493164)* (161,63.98318862915039) (701,63.87059783935547) (306,63.828369140625) (523,63.73435592651367) (680,63.70429992675781) (292,63.63611602783203) (300,63.425575256347656) (466,63.34070587158203) (349,63.25822067260742) (518,63.04808044433594) (681,62.9227180480957) (157,62.8631591796875) (538,62.85753631591797) (704,62.821136474609375) (972,62.75474166870117)
163: (2442,60.76237487792969)* (5267,60.641746520996094) (4324,59.61870574951172) (2467,59.34668731689453)* (2443,59.277957916259766) (1489,59.24103546142578) (364,59.07480239868164) (4542,58.99941635131836) (7392,58.90443801879883) (3585,58.73216247558594)* (2445,58.666015625) (2466,58.66386413574219) (7397,58.51025390625) (7401,58.46082305908203) (5649,58.437835693359375) (1462,58.418094635009766) (7400,58.314937591552734) (13542,58.292274475097656) (7402,58.2849235534668) (7399,58.260982513427734)
164: (418,66.13628387451172) (227,66.10065460205078) (424,65.1211166381836) (190,65.11248016357422)* (226,65.09579467773438)* (533,65.0852279663086) (162,64.9769287109375) (196,64.72644805908203) (163,64.70636749267578) (439,64.68050384521484) (854,64.56520080566406) (199,64.54645538330078) (632,64.54452514648438) (1109,64.50686645507812) (228,64.39759063720703) (65,64.32347106933594) (65,64.32347106933594) (436,64.29694366455078) (207,64.23109436035156) (225,64.16161346435547)
166: (154,62.87979507446289) (511,62.3819465637207) (735,62.1274299621582) (220,62.07881164550781) (65,61.99110794067383) (65,61.99110794067383) (715,61.81584548950195) (203,61.617618560791016) (562,61.53696060180664) (424,61.44990539550781) (163,61.4487190246582) (206,61.38166427612305) (599,61.35249328613281) (159,61.348941802978516)* (157,61.30065155029297) (709,61.26716232299805) (190,61.222068786621094) (207,61.210662841796875) (234,61.116661071777344) (959,61.08853530883789)
168: (418,61.91565704345703) (444,61.24604797363281) (621,60.700416564941406) (603,60.690757751464844) (1155,60.65409469604492) (632,60.243228912353516) (4053,60.18876647949219) (454,60.11106491088867) (2281,59.8885498046875) (1745,59.82108688354492) (8705,59.798614501953125) (440,59.68488311767578)* (1969,59.679874420166016) (2139,59.653892517089844) (7665,59.652259826660156) (2673,59.621212005615234) (619,59.621036529541016) (1747,59.598777770996094) (81,59.559791564941406) (757,59.554378509521484)*
170: (785,63.14649200439453) (707,63.00948715209961)* (2970,62.48290252685547) (370,62.45659255981445) (198,62.43632888793945) (846,62.12843322753906) (1104,62.10118103027344) (917,62.0772819519043)* (1547,61.925384521484375) (949,61.70138931274414) (25,61.54672622680664) (188,61.50703430175781) (12,61.50459671020508) (1274,61.381187438964844) (1214,61.3233757019043) (806,61.241615295410156) (1216,61.2318229675293) (7,61.038169860839844) (953,61.015193939208984) (2835,61.0026741027832)
