userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,12.378839492797852) (187,12.286238670349121) (51,11.998109817504883)* (3992,11.952180862426758) (511,11.848634719848633) (238,11.838972091674805) (159,11.793747901916504) (1824,11.486345291137695) (1073,11.407682418823242) (1394,11.10818099975586) (1098,11.062036514282227) (70,11.033012390136719)* (1892,10.767091751098633) (1836,10.699735641479492) (183,10.617656707763672) (1713,10.327179908752441) (157,10.278861999511719) (1072,10.229265213012695) (57,10.15085220336914)* (59,10.120065689086914)*
101: (209,12.28995418548584)* (486,11.741469383239746) (230,11.469344139099121) (1185,11.297447204589844) (816,11.162243843078613)* (1043,10.825919151306152) (499,10.796753883361816) (488,10.78895378112793) (1188,10.75611686706543)* (536,10.345598220825195) (1198,10.329302787780762) (693,10.25859260559082) (1866,10.154491424560547) (2959,10.131872177124023) (1868,10.107549667358398) (1678,10.094666481018066) (1673,10.08975601196289) (412,10.02198600769043)* (198,10.018138885498047) (1182,9.996865272521973)
102: (1242,14.341485977172852) (718,13.749933242797852) (212,13.570083618164062)* (567,13.1942138671875) (735,12.413164138793945) (615,12.136662483215332) (733,12.097760200500488)* (1416,12.097175598144531) (554,12.072005271911621) (1414,12.057823181152344) (730,12.023530960083008) (562,11.918903350830078) (1415,11.907564163208008) (1239,11.879308700561523) (599,11.863601684570312) (96,11.846413612365723) (217,11.6760835647583) (630,11.556325912475586) (609,11.516873359680176) (1244,11.506534576416016)
103: (511,15.027729034423828) (187,13.811866760253906) (173,13.597289085388184) (533,12.915485382080078) (229,12.843046188354492) (1098,12.746519088745117) (183,12.732793807983398) (81,12.523839950561523) (51,12.307148933410645) (70,12.244734764099121) (599,12.225187301635742)* (157,12.224730491638184) (1001,12.07982349395752)* (1109,11.967216491699219)* (88,11.713128089904785) (163,11.637805938720703) (172,11.618642807006836) (220,11.596766471862793) (233,11.485004425048828) (986,11.389265060424805)
104: (1672,11.385967254638672) (1246,11.088744163513184) (220,10.617523193359375) (481,10.57776165008545) (209,10.344101905822754) (1045,10.231155395507812)* (982,10.148014068603516) (706,10.142205238342285) (951,10.119036674499512) (377,9.973466873168945) (2346,9.784008979797363) (486,9.701582908630371) (1186,9.697000503540039) (412,9.681486129760742) (198,9.665020942687988) (2080,9.584213256835938) (333,9.583267211914062) (533,9.566391944885254) (707,9.49642562866211) (540,9.449007987976074)
105: (1222,18.406261444091797)* (2668,18.166940689086914)* (2677,17.362741470336914)* (2667,17.29997444152832)* (4865,17.29923439025879) (756,17.23846435546875)* (2671,16.675128936767578)* (1752,16.16916275024414) (11206,16.095699310302734) (11208,15.898233413696289) (1835,15.61148452758789) (2605,15.355775833129883) (2681,15.24256420135498)* (1965,14.980632781982422) (16751,14.94237995147705) (11128,14.795771598815918) (749,14.559260368347168) (7493,14.516538619995117) (11202,14.439905166625977) (1801,14.430144309997559)
106: (1546,9.280096054077148) (9766,8.983847618103027) (7887,8.84394359588623) (1099,8.804315567016602) (3164,8.767045021057129) (5966,8.703222274780273) (1835,8.683281898498535) (2674,8.603264808654785) (1095,8.544084548950195) (2605,8.414624214172363) (2174,8.40303897857666) (88,8.371654510498047) (8277,8.368305206298828) (5192,8.366662979125977) (4387,8.339282989501953) (8066,8.261353492736816) (4723,8.256778717041016) (4181,8.192276954650879) (16741,8.186158180236816) (1745,8.173266410827637)
107: (15,13.001424789428711) (707,12.94898796081543)* (1104,12.608637809753418) (25,12.593774795532227) (949,12.33409309387207) (812,11.971267700195312) (843,11.624581336975098)* (3236,11.614686965942383) (1358,11.567472457885742) (176,11.554961204528809) (2835,11.391061782836914) (5485,11.34615421295166) (936,11.299884796142578) (1913,11.271343231201172) (710,11.247943878173828) (503,11.239860534667969) (2342,11.222214698791504) (1249,11.199588775634766) (920,11.111016273498535) (2763,11.085139274597168)
108: (2151,13.184602737426758) (949,13.075566291809082) (370,12.852991104125977) (821,12.72021770477295) (4669,12.643654823303223) (812,12.21064567565918) (6289,12.0775728225708) (820,11.970212936401367) (843,11.959090232849121) (25,11.957573890686035) (3722,11.752882957458496) (503,11.634636878967285) (12,11.620866775512695)* (953,11.529105186462402) (1992,11.506826400756836) (923,11.495220184326172) (1547,11.425634384155273) (947,11.369025230407715) (3806,11.363569259643555) (1521,11.306532859802246)*
109: (2346,11.323756217956543)* (1810,11.265275955200195)* (706,11.012791633605957) (952,10.697491645812988)* (2347,10.344926834106445) (1513,9.460161209106445) (2797,9.190378189086914)* (4460,9.018803596496582) (1369,9.011818885803223) (4180,8.982442855834961) (707,8.726082801818848) (220,8.713641166687012) (1366,8.584978103637695) (227,8.518570899963379)* (163,8.426565170288086) (4165,8.37844467163086) (230,8.377439498901367) (1244,8.359282493591309) (1415,8.293088912963867) (187,8.219918251037598)
110: (1918,12.951019287109375)* (375,12.161320686340332) (2102,11.899860382080078)* (674,11.860661506652832) (374,11.68170166015625) (972,11.636713027954102) (3324,11.575784683227539) (388,11.203815460205078)* (5574,11.12056827545166) (2098,11.106062889099121)* (1034,11.101210594177246) (386,11.013347625732422) (7994,11.012179374694824) (5563,10.971122741699219) (399,10.96156120300293) (4515,10.94513988494873) (1673,10.933385848999023) (10582,10.871380805969238) (8392,10.867591857910156) (2543,10.828752517700195)
111: (170,11.432271957397461) (154,11.392666816711426) (605,11.001456260681152) (441,10.799793243408203)* (159,10.741424560546875) (2542,10.419144630432129) (757,10.365927696228027) (429,10.28935718536377) (418,10.263681411743164) (225,10.241706848144531) (56,10.151001930236816) (56,10.151001930236816) (1376,10.053080558776855) (2582,9.980494499206543) (206,9.849630355834961) (1090,9.73810863494873) (208,9.654540061950684) (190,9.559245109558105) (3767,9.535806655883789) (238,9.53513240814209)*
113: (707,12.807364463806152)* (198,12.630321502685547)* (1672,12.300426483154297) (706,11.817339897155762) (2346,11.473786354064941) (1044,11.406463623046875) (843,11.27499771118164) (2797,11.187121391296387) (951,11.133340835571289) (1406,11.065118789672852) (176,10.928190231323242)* (918,10.871417045593262) (724,10.635787010192871) (924,10.611328125) (920,10.61109733581543)* (1351,10.547968864440918) (378,10.478131294250488) (517,10.458808898925781) (930,10.320526123046875) (488,10.111485481262207)
114: (1249,13.191816329956055)* (951,12.560318946838379)* (1412,12.008719444274902)* (1415,11.365367889404297) (1244,11.351034164428711) (234,10.72117805480957) (220,10.60483169555664) (1369,10.302165985107422)* (1416,10.160303115844727) (732,10.146108627319336) (724,10.145914077758789) (511,10.121179580688477) (712,10.120718002319336) (707,10.086506843566895) (2786,10.074150085449219) (1513,10.000532150268555) (562,9.969924926757812)* (1414,9.859532356262207) (2834,9.842193603515625) (718,9.766419410705566)
115: (580,11.962020874023438) (582,11.936440467834473) (8126,11.714762687683105) (565,11.390193939208984) (7056,11.20142936706543) (3024,11.081624984741211) (5660,11.058746337890625) (8119,11.050751686096191) (12115,10.80028247833252) (1422,10.753131866455078) (12123,10.67210865020752) (2864,10.634991645812988)* (8116,10.595230102539062) (8115,10.563249588012695) (8113,10.558241844177246) (8124,10.557489395141602) (8114,10.553821563720703) (8112,10.54456901550293) (8123,10.402175903320312) (8118,10.386162757873535)
116: (1613,11.657999992370605)* (1979,11.595333099365234) (278,11.356841087341309) (2247,11.303446769714355) (6618,11.213111877441406) (3357,10.876489639282227) (3227,10.813719749450684) (3317,10.43596076965332) (331,10.357067108154297) (267,10.334489822387695)* (617,10.286519050598145) (547,10.05840015411377) (250,9.909748077392578) (271,9.780721664428711) (1402,9.779064178466797) (6619,9.7676420211792) (1636,9.748233795166016) (1641,9.747957229614258) (605,9.722352027893066) (330,9.495074272155762)
117: (187,13.424848556518555)* (1464,12.035970687866211) (77,11.753043174743652) (77,11.753043174743652) (1079,11.546969413757324) (2552,11.199012756347656) (1810,11.135575294494629) (993,11.05093765258789) (1076,11.0314359664917) (1000,10.974932670593262) (985,10.940443992614746) (1013,10.913403511047363) (2556,10.812368392944336) (959,10.76738166809082) (1891,10.760945320129395) (511,10.562126159667969) (100,10.52486515045166)* (986,10.447307586669922) (996,10.432548522949219) (85,10.399677276611328)
118: (497,12.793642044067383) (488,12.405962944030762)* (371,12.321842193603516) (1854,12.186874389648438) (806,12.068066596984863) (1044,12.034428596496582) (3563,11.990399360656738) (1104,11.811792373657227) (198,11.683501243591309) (518,11.656572341918945) (500,11.648587226867676) (3240,11.560922622680664) (2014,11.414656639099121) (25,11.35729694366455) (726,11.29389476776123) (930,11.166505813598633) (1672,10.902241706848145)* (514,10.795154571533203) (489,10.749003410339355) (966,10.745115280151367)
119: (812,15.888978958129883)* (949,15.527710914611816) (25,15.220074653625488) (15,14.738890647888184) (707,14.571102142333984) (1131,14.289316177368164) (1992,13.945206642150879) (918,13.722538948059082)* (198,13.6807279586792) (846,13.666887283325195) (837,13.453149795532227) (2006,13.397315979003906) (947,13.37091064453125) (6289,13.179787635803223) (824,13.168535232543945)* (2744,13.13272476196289) (3717,13.069000244140625) (710,13.042712211608887) (1274,12.98286247253418) (517,12.982213020324707)*
120: (679,12.294276237487793) (89,12.280845642089844) (466,12.187047958374023) (680,12.010705947875977) (293,11.982391357421875)* (324,11.955758094787598) (302,11.853073120117188) (538,11.729571342468262) (306,11.633861541748047) (464,11.397189140319824) (691,11.280271530151367) (1934,11.273921012878418)* (318,11.21044921875) (1246,11.11520767211914) (325,11.025437355041504) (1047,11.005081176757812) (544,11.004310607910156) (191,10.947447776794434)* (257,10.910037994384766)* (349,10.77883529663086)
121: (333,10.013277053833008)* (538,9.677026748657227) (4474,9.341885566711426) (498,9.250590324401855) (1452,9.213427543640137) (646,9.160731315612793)* (802,9.144762992858887)* (1042,9.123692512512207)* (679,9.086342811584473) (464,9.04037857055664) (344,8.968162536621094) (329,8.961915016174316) (349,8.923150062561035) (466,8.849735260009766) (5749,8.765789985656738) (378,8.742647171020508)* (2545,8.71622085571289) (355,8.679289817810059) (1470,8.668277740478516)* (544,8.664963722229004)
122: (582,12.13797664642334) (570,12.104534149169922) (12674,11.969979286193848) (879,11.70550537109375) (9872,11.512460708618164) (5660,11.402076721191406) (2898,11.363133430480957) (8118,11.357198715209961) (8108,11.337011337280273) (2902,11.334893226623535) (8126,11.273771286010742) (3778,11.161789894104004) (580,11.038742065429688) (551,10.911486625671387) (565,10.88621997833252) (597,10.852354049682617) (2475,10.82911205291748) (596,10.827628135681152) (574,10.826355934143066) (579,10.825045585632324)
123: (5966,11.295631408691406) (412,10.991015434265137) (154,10.780293464660645) (65,10.129470825195312) (65,10.129470825195312) (220,9.95223331451416) (3621,9.950610160827637) (964,9.759261131286621) (56,9.755387306213379)* (56,9.755387306213379)* (1116,9.726794242858887) (2580,9.725306510925293) (228,9.692102432250977) (512,9.654547691345215) (217,9.62044906616211) (3670,9.607455253601074) (207,9.517175674438477) (3462,9.42546272277832) (190,9.313623428344727) (229,9.235294342041016)
124: (198,12.703356742858887)* (234,12.079849243164062) (159,11.993778228759766) (1714,11.731683731079102) (517,11.41221809387207) (220,11.347228050231934) (1075,11.331347465515137) (405,11.30516242980957) (511,10.980188369750977) (157,10.968652725219727)* (378,10.896161079406738) (1249,10.881685256958008) (475,10.693709373474121) (1379,10.691461563110352) (229,10.679141998291016)* (88,10.654947280883789) (959,10.633830070495605) (868,10.505936622619629) (1786,10.478856086730957) (233,10.306670188903809)
125: (227,12.35457992553711)* (1244,11.818774223327637) (1130,11.627861976623535) (190,11.467126846313477) (163,11.461751937866211) (712,10.942235946655273) (2478,10.89035415649414) (157,10.737804412841797) (718,10.683662414550781) (230,10.58926773071289) (868,10.19945240020752) (65,10.178503036499023)* (65,10.178503036499023)* (1249,10.144231796264648)* (1414,10.021770477294922)* (192,9.982000350952148) (166,9.975580215454102)* (945,9.788273811340332) (511,9.765979766845703) (220,9.725706100463867)
126: (679,11.428080558776855) (291,11.354711532592773) (680,11.16726303100586)* (344,11.12338638305664) (293,10.652444839477539) (1934,10.5069580078125) (461,10.325952529907227) (302,10.269661903381348) (701,10.18092155456543) (324,10.147736549377441) (538,10.079734802246094) (1047,9.907614707946777) (704,9.795819282531738) (362,9.759605407714844) (1470,9.755980491638184) (523,9.678234100341797) (378,9.587267875671387) (257,9.522185325622559) (65,9.482840538024902) (65,9.482840538024902)
127: (707,11.353843688964844) (706,11.05096435546875) (198,10.779084205627441) (1810,10.725563049316406)* (230,10.694047927856445) (724,10.56972885131836) (176,10.346369743347168) (377,10.133156776428223) (1513,9.939186096191406) (220,9.859912872314453) (959,9.772421836853027) (209,9.763655662536621) (982,9.735828399658203) (1044,9.649589538574219) (488,9.522120475769043) (2347,9.368607521057129) (4460,9.345661163330078) (7,9.331236839294434)* (1351,9.283291816711426) (190,9.247958183288574)
128: (204,12.578110694885254) (3110,11.774383544921875)* (9470,11.232943534851074) (316,11.187027931213379) (3119,11.158649444580078)* (961,11.067085266113281) (858,10.989741325378418) (2277,10.621796607971191) (1375,10.546401023864746) (1772,10.491579055786133) (4618,10.483809471130371) (715,10.442464828491211) (511,10.403985977172852) (7137,10.37370777130127) (3460,10.26738166809082) (154,10.128966331481934) (214,10.113822937011719) (697,10.096601486206055) (604,10.094533920288086) (3619,9.96188735961914)
129: (291,10.350177764892578) (1243,10.082099914550781) (316,9.961038589477539) (311,9.915608406066895) (1934,9.745611190795898) (289,9.67199993133545)* (292,9.663823127746582)* (679,9.632970809936523) (701,9.544758796691895) (257,9.458892822265625)* (3081,9.425641059875488) (298,9.387203216552734) (97,9.358229637145996) (288,9.333741188049316)* (906,9.332709312438965)* (333,9.302340507507324)* (300,9.245352745056152)* (680,9.214292526245117) (310,9.149359703063965) (305,8.947826385498047)
130: (291,11.127706527709961) (295,10.809450149536133)* (302,10.703468322753906) (523,10.505001068115234)* (679,10.457231521606445) (1243,10.344407081604004) (316,10.343642234802246) (310,10.343332290649414) (906,10.34282112121582)* (323,10.19738483428955) (320,10.138917922973633) (1934,10.130474090576172) (97,9.991730690002441) (296,9.983155250549316) (318,9.98120403289795) (306,9.749262809753418) (301,9.735454559326172) (466,9.659832000732422) (294,9.597548484802246)* (326,9.489823341369629)*
131: (6581,10.503414154052734) (11753,10.354730606079102) (52,10.23220157623291) (52,10.23220157623291) (4344,9.695182800292969) (10394,9.56186294555664) (5353,9.525465965270996) (4586,9.512399673461914) (617,9.430392265319824) (603,9.372038841247559) (10722,9.27353572845459) (12114,9.262986183166504) (16108,9.211963653564453) (2716,9.178118705749512) (9833,9.17482852935791) (9836,9.160419464111328) (16106,9.099093437194824) (16097,9.096256256103516) (16105,9.091840744018555) (16104,9.08246898651123)
132: (288,9.667298316955566)* (300,9.580666542053223)* (289,9.486894607543945)* (1032,9.311030387878418) (292,9.250617980957031) (679,9.173035621643066) (2020,8.936538696289062) (291,8.880622863769531) (320,8.879772186279297)* (543,8.802153587341309)* (523,8.775687217712402) (349,8.723166465759277)* (458,8.675681114196777) (538,8.670380592346191) (1042,8.66016960144043) (328,8.634264945983887) (329,8.51482105255127) (257,8.416648864746094)* (908,8.362202644348145) (1452,8.360455513000488)
133: (1032,8.332772254943848) (306,8.088919639587402)* (802,7.861328125)* (543,7.814531326293945)* (466,7.777462482452393)* (544,7.726042747497559)* (2020,7.7095770835876465) (679,7.691338539123535)* (1452,7.649785995483398) (320,7.64176082611084) (299,7.51575231552124) (318,7.391887187957764) (908,7.3805155754089355) (344,7.335605144500732) (458,7.32490348815918) (686,7.210941314697266) (646,7.100702285766602)* (790,7.06727933883667) (314,7.044623374938965) (55,6.874104022979736)
134: (701,9.192054748535156)* (295,9.184134483337402) (802,9.071496963500977) (320,8.822260856628418) (646,8.775416374206543) (306,8.733187675476074) (461,8.404802322387695) (314,8.394704818725586) (2548,8.392776489257812)* (257,8.31324577331543)* (318,8.274311065673828) (4814,8.257577896118164) (523,8.255086898803711) (300,8.212271690368652) (466,8.1566162109375)* (352,8.127127647399902) (302,8.110270500183105) (89,7.880615711212158)* (908,7.874904155731201) (333,7.8571882247924805)
135: (172,10.675381660461426) (3367,10.600225448608398) (1104,10.314362525939941) (378,10.303489685058594) (5079,10.180293083190918) (522,9.881732940673828) (3184,9.754578590393066)* (450,9.679661750793457) (7,9.636924743652344) (1114,9.59508228302002) (674,9.487908363342285) (190,9.48288345336914) (504,9.411188125610352) (1298,9.325644493103027) (1062,9.32537841796875) (3501,9.308572769165039) (1713,9.303679466247559) (2094,9.243757247924805) (3557,9.23646068572998) (701,9.135822296142578)
136: (295,10.65207576751709)* (311,10.639365196228027) (913,10.306059837341309)* (294,10.240635871887207)* (288,10.138383865356445)* (302,10.102330207824707)* (290,10.037721633911133)* (523,9.841731071472168)* (265,9.671941757202148) (465,9.550092697143555)* (55,9.541105270385742)* (325,9.490994453430176)* (323,9.43982219696045) (461,9.434057235717773) (915,9.3995943069458) (525,9.339212417602539) (543,9.320533752441406) (300,9.310721397399902) (908,9.251840591430664) (161,9.136757850646973)
137: (903,11.515605926513672) (1243,11.185186386108398)* (65,10.986533164978027)* (65,10.986533164978027)* (316,10.370224952697754)* (157,10.247668266296387) (89,10.197221755981445) (97,10.188285827636719) (689,9.876313209533691) (190,9.827605247497559) (228,9.822565078735352) (2083,9.74727725982666) (229,9.742066383361816) (546,9.725714683532715) (430,9.697776794433594) (703,9.661643028259277) (526,9.626551628112793) (2277,9.624187469482422) (985,9.59833812713623) (511,9.590614318847656)
139: (1104,13.700398445129395) (198,13.17961311340332) (517,13.130647659301758) (497,13.019786834716797) (488,12.703246116638184) (504,11.891024589538574) (3240,11.888367652893066)* (371,11.830080032348633)* (1854,11.7966890335083) (7,11.677079200744629)* (978,11.535087585449219)* (1672,11.462892532348633)* (1179,11.396639823913574) (378,11.347736358642578)* (3563,11.232034683227539) (1145,11.10867691040039) (2956,11.052786827087402) (2014,10.990067481994629) (503,10.962616920471191) (7639,10.818553924560547)
140: (615,12.519927978515625) (225,12.029019355773926)* (222,11.6582670211792) (858,11.593835830688477) (214,11.580248832702637) (11900,11.529775619506836) (236,11.398382186889648) (1375,11.212441444396973) (215,11.165550231933594) (206,11.080958366394043) (204,11.078978538513184) (604,11.055824279785156) (226,10.948453903198242) (6296,10.932713508605957) (1424,10.909370422363281) (436,10.897753715515137) (632,10.77159309387207) (1167,10.610716819763184) (1094,10.501043319702148) (454,10.498373985290527)
141: (187,12.972043991088867) (72,11.832742691040039)* (72,11.832742691040039)* (1810,11.423089027404785) (157,11.328704833984375) (77,11.106893539428711) (77,11.106893539428711) (190,10.864704132080078)* (1001,10.636846542358398) (227,10.581561088562012)* (176,10.51037883758545) (599,10.24853515625)* (868,10.234580993652344) (4126,10.134659767150879) (951,10.118182182312012) (6064,10.039844512939453) (65,9.916780471801758) (65,9.916780471801758) (183,9.865800857543945) (533,9.851251602172852)
142: (59,14.188238143920898)* (159,13.604732513427734)* (441,12.488995552062988)* (84,12.429332733154297) (3281,11.879498481750488)* (3884,11.813593864440918) (1062,11.588050842285156) (1073,11.4727144241333) (1083,11.346339225769043)* (874,11.192739486694336) (3451,10.947771072387695) (1878,10.910923957824707) (154,10.887837409973145) (3768,10.865346908569336) (1888,10.73684310913086) (4308,10.569628715515137) (4129,10.542279243469238) (857,10.431585311889648) (1886,10.379173278808594) (852,10.371757507324219)
143: (192,12.722707748413086)* (601,11.996576309204102) (77,11.764842987060547) (77,11.764842987060547) (1414,11.659372329711914)* (1464,11.615291595458984) (180,11.571115493774414) (2183,11.297566413879395) (2222,11.247321128845215) (712,11.243841171264648) (959,11.146759033203125)* (575,10.98166275024414) (730,10.919075012207031) (2031,10.915031433105469) (1130,10.80907154083252) (511,10.767017364501953)* (69,10.74400520324707) (69,10.74400520324707) (96,10.698047637939453) (1122,10.611452102661133)
144: (314,11.33546257019043)* (349,11.137786865234375)* (306,11.078826904296875)* (320,10.819995880126953) (701,10.625118255615234)* (288,10.54978084564209)* (301,10.243094444274902)* (329,10.118094444274902) (310,10.068702697753906) (257,9.9427490234375)* (484,9.874812126159668) (543,9.52917766571045) (331,9.52200984954834) (352,9.219141960144043) (468,9.067198753356934) (485,9.056370735168457) (330,8.933424949645996) (1613,8.883378982543945) (915,8.879162788391113) (531,8.858672142028809)
145: (342,11.497495651245117)* (1459,10.573053359985352) (679,10.420698165893555) (680,10.31008529663086) (1243,10.083565711975098) (300,9.910887718200684)* (289,9.903667449951172) (362,9.851354598999023) (302,9.743705749511719)* (461,9.62722396850586) (1556,9.609563827514648) (298,9.591702461242676) (292,9.58700942993164)* (288,9.536433219909668)* (523,9.454888343811035) (307,9.386241912841797) (326,9.327634811401367) (1470,9.277859687805176) (301,9.249222755432129)* (498,9.248547554016113)
146: (292,10.893827438354492)* (328,10.80569076538086) (299,10.42795181274414) (300,10.278291702270508)* (461,10.159119606018066)* (352,10.129788398742676) (475,10.117929458618164) (317,10.112127304077148) (1037,10.034589767456055) (525,9.964446067810059) (544,9.938704490661621) (4814,9.902417182922363) (523,9.859721183776855) (310,9.8566255569458) (329,9.762847900390625) (55,9.749826431274414) (161,9.742871284484863) (291,9.663309097290039)* (531,9.596729278564453) (1032,9.543149948120117)
147: (300,10.469172477722168) (344,10.322731018066406) (292,10.279264450073242)* (461,10.233665466308594) (342,10.223130226135254) (288,10.222217559814453)* (680,10.22074031829834) (318,10.150603294372559)* (325,10.112808227539062)* (466,10.078088760375977) (701,10.058768272399902)* (523,10.019759178161621)* (89,9.956422805786133) (311,9.911540985107422) (326,9.617600440979004)* (908,9.525368690490723) (1934,9.484865188598633) (306,9.391718864440918)* (456,9.33212661743164) (544,9.322769165039062)
148: (407,12.610565185546875) (605,12.291607856750488) (1099,11.80245590209961) (3227,11.339982986450195) (617,10.428707122802734) (1640,10.219082832336426) (1979,10.17585563659668) (2473,10.131546974182129) (234,10.067234992980957) (198,9.995623588562012) (4585,9.933459281921387) (162,9.838445663452148) (88,9.787871360778809) (1418,9.73589038848877) (56,9.679365158081055) (56,9.679365158081055) (964,9.649270057678223) (10859,9.62200927734375) (154,9.551688194274902) (2252,9.437420845031738)
149: (190,14.332338333129883) (65,13.6107177734375) (65,13.6107177734375) (229,12.9823579788208) (1246,12.83561897277832) (377,12.665962219238281) (209,12.638374328613281) (540,12.208748817443848) (333,12.208426475524902) (538,12.156694412231445) (182,12.137327194213867) (228,12.038982391357422) (533,11.930694580078125) (220,11.867079734802246) (89,11.652129173278809)* (227,11.611295700073242) (316,11.401689529418945) (511,11.372955322265625) (683,11.362448692321777) (403,11.281386375427246)
150: (295,10.395899772644043)* (300,10.092914581298828) (292,9.965292930603027) (461,9.855319023132324) (679,9.802767753601074) (349,9.705342292785645)* (291,9.614645004272461)* (67,9.593076705932617) (67,9.593076705932617) (538,9.58494758605957) (360,9.22620677947998) (544,9.120023727416992) (466,9.050210952758789) (55,8.88656997680664) (299,8.712241172790527)* (802,8.674403190612793) (523,8.665425300598145) (318,8.585552215576172) (498,8.581738471984863) (265,8.556586265563965)*
151: (6121,12.242351531982422) (3741,11.996381759643555) (1761,11.940498352050781) (1241,11.787388801574707) (1755,11.605709075927734) (4818,11.478859901428223) (708,11.406146049499512) (1775,11.386080741882324) (3747,11.381490707397461) (1763,11.320616722106934) (439,11.23807430267334) (4828,11.211906433105469) (5441,11.022299766540527) (4708,10.986490249633789) (4474,10.960258483886719) (366,10.92268180847168) (4087,10.922273635864258) (246,10.829019546508789) (4471,10.752026557922363) (10418,10.635299682617188)
152: (1047,10.523819923400879) (679,10.44836139678955) (464,10.285235404968262) (230,9.95687198638916) (344,9.891587257385254)* (324,9.656844139099121)* (470,9.654668807983398) (461,9.437064170837402)* (209,9.364452362060547) (1043,9.214987754821777) (538,9.208632469177246) (321,9.179716110229492) (89,8.991470336914062)* (1673,8.934746742248535) (544,8.86755657196045) (2020,8.8363618850708) (1045,8.68441390991211) (1032,8.676981925964355) (681,8.617650032043457) (1659,8.562925338745117)
153: (1131,13.391650199890137) (233,12.749916076660156) (2151,12.721490859985352) (162,12.678123474121094)* (198,12.559673309326172) (517,12.28795337677002) (418,12.248235702514648) (1104,12.190378189086914) (812,11.994261741638184) (188,11.912302017211914)* (707,11.773885726928711) (238,11.645081520080566) (920,11.31719970703125) (152,11.266602516174316) (1099,11.263792991638184) (1752,11.190631866455078) (2778,10.995595932006836) (964,10.990544319152832) (181,10.905720710754395) (503,10.872218132019043)
154: (377,13.082918167114258) (1672,13.075862884521484)* (488,12.892862319946289) (1044,12.717445373535156) (504,12.355286598205566) (497,12.142857551574707) (230,11.941547393798828) (726,11.85759449005127) (371,11.818662643432617) (1854,11.807025909423828) (1249,11.179340362548828) (978,10.951278686523438) (503,10.871429443359375) (190,10.724037170410156) (498,10.71716594696045) (7,10.716212272644043) (1179,10.617059707641602) (220,10.566739082336426) (1406,10.429925918579102) (499,10.419010162353516)
155: (2475,16.456066131591797) (631,16.217193603515625) (867,15.801520347595215) (875,15.558502197265625)* (2491,15.210221290588379) (2471,15.108169555664062) (863,14.691156387329102) (8555,14.626248359680176) (197,14.495888710021973) (1221,14.444170951843262) (2375,14.376631736755371) (2026,14.350443840026855) (857,14.305875778198242) (3431,14.268736839294434)* (868,14.214333534240723) (4520,14.201642990112305) (2486,14.10567855834961) (1639,14.036266326904297) (12674,14.018658638000488) (2493,14.008295059204102)
156: (228,13.6345796585083) (533,13.261272430419922)* (65,12.628915786743164)* (65,12.628915786743164)* (229,12.604761123657227) (182,12.490019798278809) (217,12.246195793151855) (1090,12.15410327911377) (1375,12.111688613891602) (225,11.991012573242188) (366,11.828109741210938) (429,11.636175155639648) (715,11.577839851379395) (199,11.452383041381836) (1239,11.358052253723145) (683,11.209781646728516) (424,11.149843215942383) (716,11.132701873779297) (316,11.04260540008545) (982,11.00222396850586)
157: (1249,13.234352111816406) (2346,12.480757713317871) (951,12.430135726928711) (724,12.063512802124023) (959,11.94963550567627)* (732,11.903966903686523) (1803,11.89230728149414) (707,11.322978973388672) (1358,11.302410125732422)* (2797,11.126522064208984) (1366,10.291546821594238)* (4460,10.138978958129883) (1415,10.057652473449707) (2784,9.99901008605957)* (4180,9.987349510192871) (2013,9.981359481811523) (2834,9.767613410949707)* (234,9.637057304382324) (735,9.608882904052734) (3774,9.590587615966797)
158: (323,11.276299476623535) (296,11.05920124053955) (1459,11.024419784545898) (674,11.017613410949707) (906,10.885163307189941) (2392,10.602055549621582) (293,10.479891777038574) (289,10.441177368164062) (3081,10.415472030639648)* (326,10.332324981689453) (257,10.326698303222656) (292,10.315582275390625) (2977,10.210399627685547) (265,10.203089714050293) (288,10.197914123535156) (375,10.17988395690918) (794,10.170918464660645) (349,10.143511772155762) (523,10.115232467651367) (2094,10.100837707519531)
159: (157,13.237543106079102) (71,12.880053520202637) (71,12.880053520202637) (89,12.837194442749023) (349,12.143963813781738) (295,12.12828254699707) (55,12.103316307067871) (289,12.037236213684082) (328,11.998327255249023) (310,11.927851676940918)* (329,11.66838550567627) (378,11.631837844848633) (306,11.537273406982422) (972,11.48996639251709) (285,11.419929504394531) (291,11.379003524780273) (906,11.327836990356445)* (333,11.251124382019043) (538,11.172797203063965) (257,11.016119956970215)*
161: (504,12.341886520385742) (1914,11.764607429504395) (2014,11.175591468811035) (518,11.039790153503418) (3244,10.972105979919434)* (1300,10.760002136230469) (930,10.759368896484375) (5079,10.662677764892578) (45,10.646089553833008) (3184,10.604814529418945) (198,10.565431594848633) (516,10.506494522094727) (3239,10.4932279586792) (7,10.366220474243164) (517,10.318918228149414) (13,10.273061752319336) (9,10.24245834350586) (4171,10.217445373535156) (3196,10.104761123657227) (377,10.079678535461426)
