userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,10.038695335388184) (174,9.181574821472168) (1013,9.02889633178711) (511,8.85941219329834) (998,8.854972839355469) (59,8.849895477294922)* (180,8.843531608581543) (175,8.82432746887207) (722,8.8208646774292) (601,8.747257232666016) (997,8.693185806274414) (187,8.661480903625488) (697,8.50511646270752) (877,8.375199317932129) (1122,8.354081153869629) (4649,8.337584495544434) (1394,8.27284049987793) (715,8.221888542175293) (1713,8.186243057250977) (1073,8.039937019348145)
154: (1406,12.792128562927246) (377,11.128803253173828) (1179,11.055413246154785) (726,10.875284194946289) (230,10.872902870178223) (488,10.651180267333984) (497,10.166515350341797) (489,9.897639274597168) (2352,9.849109649658203) (499,9.434843063354492) (481,9.281495094299316) (808,9.263532638549805) (498,9.25813102722168) (490,9.143206596374512) (1186,9.1008882522583) (1044,8.992525100708008) (512,8.888654708862305) (1672,8.748472213745117)* (7,8.634245872497559) (519,8.60706901550293)
155: (1411,11.628654479980469) (7797,10.515313148498535) (7427,10.480076789855957) (1888,9.92696762084961) (1804,9.631538391113281) (959,9.501697540283203) (5375,9.414371490478516) (3431,9.391927719116211)* (985,9.353019714355469) (8283,9.2023344039917) (6458,9.191408157348633) (2282,9.143145561218262) (8668,9.142141342163086) (10761,9.071637153625488) (559,9.040157318115234) (1166,8.977883338928223) (10750,8.936677932739258) (10751,8.752528190612793) (9271,8.73688793182373) (1213,8.714225769042969)
156: (228,10.208267211914062) (429,9.230162620544434) (2277,9.149931907653809) (614,9.003044128417969) (424,8.921107292175293) (3112,8.889330863952637) (199,8.84412956237793) (703,8.738349914550781) (533,8.683976173400879)* (229,8.635712623596191) (215,8.462328910827637) (868,8.433927536010742) (202,8.40143871307373) (163,8.266042709350586)* (599,7.948427200317383) (715,7.802094459533691) (709,7.802001476287842) (716,7.712655067443848) (863,7.696260452270508) (554,7.671286582946777)
157: (707,10.760126113891602) (959,10.591480255126953)* (5016,10.052966117858887) (957,9.881935119628906) (1803,9.35562515258789) (724,9.093801498413086) (1535,9.074965476989746) (1366,9.0206298828125)* (956,8.971884727478027) (732,8.970256805419922) (1358,8.921404838562012)* (726,8.870701789855957) (7792,8.758650779724121) (5157,8.537213325500488) (954,8.474738121032715) (198,8.41940689086914) (1406,8.362217903137207) (1523,8.318548202514648) (841,8.274033546447754) (3774,8.199111938476562)
158: (289,13.276376724243164) (288,9.744452476501465) (306,8.860786437988281) (680,8.642861366271973) (681,8.607067108154297)* (523,8.551371574401855) (3319,8.270991325378418) (2020,8.164041519165039) (7390,8.110957145690918) (461,8.079466819763184) (349,8.061898231506348) (525,8.047825813293457) (530,8.043606758117676) (1032,7.905701160430908) (3491,7.877068996429443)* (296,7.866239547729492) (2018,7.811805248260498) (701,7.742076873779297) (307,7.733209609985352) (532,7.672048091888428)
159: (289,12.936376571655273) (157,9.961174011230469) (306,9.588933944702148) (294,9.475436210632324)* (913,8.81529712677002) (71,8.789679527282715) (71,8.789679527282715) (1243,8.660296440124512) (190,8.62313461303711) (697,8.610220909118652) (97,8.479646682739258) (180,8.368207931518555) (722,8.223424911499023) (349,8.126023292541504) (310,8.084487915039062)* (389,8.062973976135254) (55,8.05758285522461) (525,8.054464340209961) (1556,7.973771572113037) (523,7.965779781341553)
161: (1179,10.41041088104248) (198,9.764043807983398) (930,9.474613189697266) (1295,8.733847618103027) (512,8.721294403076172) (707,8.702974319458008) (25,8.344414710998535) (726,8.181020736694336) (36,7.868771076202393) (1714,7.85482120513916) (370,7.824033737182617) (72,7.790686130523682) (72,7.790686130523682) (181,7.668384075164795) (172,7.619485855102539) (504,7.61493444442749) (949,7.560110092163086) (488,7.549478530883789) (3197,7.511640548706055) (6257,7.499654769897461)
162: (288,11.332784652709961) (294,10.840132713317871) (306,10.668813705444336) (157,10.58523941040039) (701,9.597729682922363) (1032,9.204870223999023) (349,9.149956703186035) (2020,9.095702171325684) (461,9.07768726348877) (55,8.878173828125) (161,8.802803993225098) (310,8.729416847229004) (292,8.626862525939941) (913,8.55895709991455) (320,8.46953010559082) (257,8.4075927734375) (1243,8.376335144042969) (906,8.306644439697266) (291,8.292372703552246) (523,8.249344825744629)
163: (2467,12.262041091918945)* (5267,10.968546867370605) (1694,10.503787994384766) (2442,10.072197914123535)* (2438,10.026883125305176) (583,9.84911823272705) (2447,9.845500946044922)* (245,9.356070518493652) (3761,9.30489730834961) (4533,9.238141059875488) (6389,9.156112670898438) (2445,8.990106582641602) (3178,8.901191711425781) (4546,8.854283332824707) (330,8.790328979492188) (721,8.749910354614258) (4535,8.74575138092041) (718,8.711913108825684) (12058,8.647613525390625) (8315,8.630647659301758)
164: (205,11.014629364013672) (227,10.458191871643066) (718,9.813282012939453) (163,8.853686332702637) (512,8.80138111114502) (190,8.171402931213379)* (88,8.112872123718262) (235,8.09420108795166) (199,8.088541030883789) (202,8.082064628601074) (1121,8.081506729125977) (226,8.074092864990234)* (1643,8.024636268615723)* (228,7.922453880310059) (910,7.83167028427124) (229,7.798924446105957) (2626,7.732607841491699) (975,7.685696601867676) (1119,7.681544303894043) (7147,7.654560565948486)
166: (868,10.319108009338379) (3112,9.652361869812012) (163,9.641353607177734) (614,9.45748233795166) (159,9.448417663574219)* (857,9.147110939025879) (228,8.941154479980469) (863,8.937088966369629) (959,8.88688850402832) (1416,8.864173889160156) (703,8.725848197937012) (3460,8.701871871948242) (215,8.358721733093262) (157,8.346638679504395) (190,8.302839279174805) (630,8.24173641204834) (1639,8.226088523864746) (554,8.172014236450195) (511,8.155027389526367) (735,8.104808807373047)
168: (199,10.359821319580078) (3673,9.819058418273926) (418,9.80854320526123) (121,9.03001594543457) (2139,8.970316886901855) (2921,8.774972915649414) (703,8.645651817321777)* (196,8.608132362365723) (211,8.572223663330078) (1950,8.545190811157227) (620,8.35851764678955) (1633,8.313036918640137) (1941,8.307027816772461) (1944,8.269357681274414) (3707,8.24357795715332) (608,8.235906600952148) (3411,8.235821723937988) (2281,8.188652038574219) (56,8.174686431884766) (56,8.174686431884766)
170: (198,12.146073341369629) (188,10.33444595336914) (707,10.297078132629395)* (1179,9.518545150756836) (957,9.283689498901367) (917,9.083030700683594)* (1113,9.006044387817383) (1118,9.003231048583984) (930,8.922927856445312) (846,8.842418670654297) (1119,8.824810981750488)* (4971,8.648128509521484) (4965,8.516175270080566) (489,8.450020790100098) (812,8.425496101379395) (370,8.357864379882812) (25,8.314776420593262) (710,8.200456619262695) (2379,8.107169151306152) (226,8.088358879089355)
171: (703,10.146936416625977)* (196,9.99691390991211) (533,9.338554382324219) (1400,8.816839218139648)* (199,8.73877239227295) (227,8.704689979553223) (430,8.539520263671875) (537,8.502931594848633) (3255,8.276439666748047) (215,8.248891830444336) (689,8.23853588104248) (1106,8.184568405151367) (697,8.104385375976562) (716,7.975954532623291) (425,7.8826751708984375) (1376,7.822024822235107) (546,7.703909873962402) (424,7.646596908569336) (1243,7.573898792266846) (1246,7.500985145568848)
172: (88,10.057111740112305) (227,9.837076187133789) (229,9.825604438781738) (159,9.817787170410156) (72,9.472620010375977) (72,9.472620010375977) (533,9.322759628295898) (172,8.975180625915527) (429,8.931001663208008) (56,8.655403137207031) (56,8.655403137207031) (707,8.523054122924805) (1106,8.372973442077637) (1406,8.367152214050293)* (198,8.3475341796875) (614,8.32449722290039) (215,8.290857315063477) (1151,8.06228256225586) (1376,8.031478881835938) (420,8.013479232788086)
173: (227,11.08354663848877)* (2277,10.220514297485352) (228,9.70705509185791) (1515,8.922964096069336) (88,8.818282127380371) (3747,8.782999992370605)* (703,8.705147743225098) (614,8.632926940917969) (3744,8.534977912902832)* (1406,8.389232635498047) (1681,8.378509521484375) (4802,8.313338279724121) (198,8.297986030578613) (3745,8.28527545928955)* (1545,8.256735801696777) (533,8.12992000579834) (1424,8.05620288848877) (707,8.055292129516602)* (230,8.003788948059082) (1241,7.983138084411621)
174: (202,9.545682907104492) (1740,9.474164962768555) (228,8.971307754516602) (10677,8.756006240844727) (289,8.676267623901367) (3460,8.637063026428223) (1511,8.628205299377441) (2449,8.617881774902344) (355,8.601563453674316) (5446,8.51850414276123) (190,8.514812469482422) (366,8.48560905456543) (718,8.421844482421875) (1243,8.365562438964844) (1246,8.235736846923828) (2786,8.227846145629883) (3081,8.211835861206055) (356,8.2107515335083) (227,8.186385154724121) (966,8.174147605895996)
175: (5267,10.682350158691406) (1694,10.426745414733887) (2456,10.171452522277832) (2438,9.849908828735352) (2447,9.30649471282959) (583,8.861286163330078) (6389,8.59793472290039) (2445,8.499146461486816) (523,8.482694625854492) (329,8.480484962463379) (892,8.427698135375977) (2437,8.348980903625488)* (3602,8.248604774475098) (1441,8.232240676879883) (525,8.212782859802246) (3178,8.211071968078613) (718,8.167174339294434) (2466,8.151237487792969) (3609,8.097665786743164) (330,8.06008243560791)
176: (703,10.07493782043457) (199,9.929097175598145) (88,9.066915512084961) (620,9.035554885864258) (196,8.95544147491455) (159,8.930049896240234) (420,8.85014820098877) (229,8.809855461120605) (1424,8.776639938354492) (226,8.643604278564453) (190,8.57289981842041) (418,8.558600425720215) (2277,8.491312026977539) (172,8.383293151855469) (4153,8.337640762329102) (533,8.27169418334961) (858,8.247053146362305) (3744,8.245206832885742) (215,8.214292526245117) (961,8.205812454223633)
177: (1412,9.835525512695312)* (163,9.745184898376465)* (918,9.616572380065918) (707,9.584163665771484) (957,8.717873573303223)* (710,8.704358100891113) (956,8.615205764770508) (1535,8.472110748291016) (868,8.462069511413574) (599,8.274853706359863)* (949,8.27083969116211) (614,8.231138229370117) (607,8.156484603881836)* (186,8.119803428649902) (152,7.9363694190979)* (841,7.821009159088135) (2746,7.820107936859131) (1119,7.818508148193359) (3940,7.805052757263184) (3272,7.766157150268555)
178: (1411,10.692048072814941) (1254,10.67010498046875) (2375,10.321279525756836) (28,9.783114433288574) (949,9.720465660095215)* (1274,9.66755485534668) (1261,9.548633575439453) (843,9.522294044494629) (954,9.496774673461914) (1535,9.235855102539062) (710,9.133883476257324) (3509,9.004965782165527) (918,8.980175971984863) (1206,8.827592849731445) (1177,8.701350212097168) (1143,8.508540153503418) (1113,8.468063354492188) (7797,8.411966323852539) (12,8.38595962524414) (7044,8.362846374511719)
179: (306,10.703224182128906) (190,10.047295570373535) (230,9.811833381652832)* (198,9.687628746032715) (1032,9.231734275817871) (1246,9.030654907226562) (405,8.845098495483398) (538,8.805441856384277) (228,8.741074562072754) (403,8.674274444580078) (488,8.659613609313965) (2020,8.469661712646484) (701,8.447515487670898) (1179,8.284432411193848) (689,8.27131462097168) (333,8.261407852172852)* (209,8.201457023620605) (903,8.152251243591309) (1186,8.123835563659668) (707,8.088526725769043)
180: (512,11.537664413452148) (198,10.387449264526367) (188,10.148603439331055) (503,9.942176818847656) (843,9.726764678955078) (1281,9.72554874420166) (1131,9.706310272216797) (1118,9.454347610473633) (923,9.398276329040527) (1113,9.223285675048828) (3718,9.177593231201172) (370,9.159982681274414) (1119,9.035715103149414) (4965,8.92995834350586) (1206,8.527265548706055) (4271,8.341228485107422) (846,8.334640502929688) (1561,8.32408332824707) (930,8.299979209899902) (4971,8.288496971130371)
181: (198,9.20170783996582) (3056,8.949321746826172) (1406,8.896367073059082)* (396,8.80105209350586) (2734,8.633696556091309) (707,8.494478225708008) (726,8.193774223327637) (11170,8.121413230895996) (1789,7.794037342071533) (399,7.7599263191223145) (377,7.585501670837402) (3054,7.5737199783325195) (3053,7.487457275390625) (1179,7.455822944641113) (405,7.438910484313965) (489,7.433200359344482) (1713,7.373160362243652) (4904,7.341010093688965) (5087,7.325759410858154) (15165,7.324871063232422)
182: (722,10.97400951385498) (3466,9.789826393127441) (10837,9.583402633666992) (529,9.481392860412598) (289,9.314981460571289) (389,8.953782081604004) (511,8.840085983276367) (64,8.64045238494873) (64,8.64045238494873) (16065,8.62546443939209) (1009,8.617372512817383) (1375,8.481789588928223) (16064,8.452919960021973) (16066,8.45236873626709) (697,8.371939659118652) (1740,8.364425659179688) (991,8.36205768585205) (1505,8.333427429199219) (7157,8.291729927062988) (6429,8.289793014526367)
183: (59,9.744791984558105)* (227,9.631628036499023) (1001,9.445640563964844) (601,9.239113807678223) (959,9.140660285949707) (51,9.136123657226562) (1013,9.053574562072754) (997,8.967507362365723) (868,8.744770050048828) (157,8.62772274017334)* (985,8.615971565246582) (187,8.605382919311523) (998,8.38801383972168) (95,8.387358665466309) (961,8.319906234741211) (863,8.236111640930176) (96,8.146369934082031) (599,8.060089111328125) (98,8.058126449584961) (715,8.041596412658691)
184: (228,9.220657348632812) (703,8.977449417114258) (172,8.84228229522705) (229,8.76628303527832) (289,8.65899658203125) (697,8.643465042114258) (88,8.350593566894531) (58,8.040936470031738) (58,8.040936470031738) (526,7.923882484436035) (1400,7.912118911743164)* (56,7.854879856109619) (56,7.854879856109619) (3186,7.77044677734375) (1062,7.75201416015625) (539,7.678292274475098) (903,7.6780500411987305) (532,7.677703857421875) (980,7.670234680175781) (690,7.640212059020996)
185: (1013,10.004778861999512)* (99,8.493456840515137) (2029,8.16878604888916) (1076,8.073018074035645) (3768,7.975836753845215) (999,7.86762809753418) (187,7.702948570251465)* (3265,7.693457126617432) (1017,7.593390464782715) (6064,7.5817413330078125) (994,7.559703826904297) (1000,7.404526710510254) (180,7.343382358551025) (995,7.327775955200195) (1079,7.288028717041016) (77,7.192814826965332) (77,7.192814826965332) (91,7.191472053527832) (1892,7.172771453857422) (1027,7.108913898468018)
186: (403,10.920835494995117) (488,10.673428535461426) (1186,10.56401252746582)* (1246,10.351078987121582) (1406,10.335577011108398) (306,10.314676284790039)* (461,10.03260326385498) (405,9.895782470703125) (1673,9.48822021484375) (544,9.453208923339844) (1179,9.438318252563477) (538,9.407705307006836) (536,9.365743637084961) (475,9.360426902770996) (501,9.25517749786377) (537,9.213409423828125) (209,9.155647277832031) (1032,8.941441535949707) (497,8.91287899017334) (1183,8.786144256591797)
187: (1013,10.629376411437988)* (997,9.86571979522705)* (99,9.821355819702148) (1001,9.741523742675781) (1889,9.134847640991211) (77,8.959895133972168) (77,8.959895133972168) (157,8.700762748718262) (96,8.614957809448242) (95,8.586101531982422) (999,8.563801765441895) (1017,8.55262565612793) (72,8.529276847839355)* (72,8.529276847839355)* (2029,8.490105628967285) (1892,8.426837921142578) (193,8.377900123596191)* (180,8.371071815490723) (1076,8.363697052001953) (900,8.30221176147461)
189: (1406,13.980490684509277) (497,12.23009204864502) (726,11.656736373901367) (490,11.286928176879883) (499,10.714132308959961)* (614,10.648870468139648)* (1104,10.573286056518555) (1179,10.555513381958008) (488,10.538154602050781) (1116,10.391458511352539)* (537,9.85818099975586) (703,9.418048858642578) (2352,9.142680168151855) (159,9.106181144714355) (1672,9.055022239685059) (510,9.001030921936035) (815,8.995455741882324) (930,8.988100051879883) (519,8.940510749816895) (779,8.875520706176758)
190: (913,10.079642295837402) (69,9.92899227142334) (69,9.92899227142334) (3500,9.539348602294922) (722,9.320714950561523) (987,8.901066780090332) (180,8.887445449829102) (3498,8.810073852539062) (2044,8.655899047851562) (8802,8.276634216308594) (601,8.271698951721191) (1122,8.25191879272461) (8991,8.229393005371094) (157,8.210371017456055) (73,8.098795890808105) (73,8.098795890808105) (5256,8.085020065307617) (721,8.06878662109375) (285,8.051878929138184) (1123,7.976455211639404)
191: (1713,10.291827201843262)* (64,8.89651870727539) (64,8.89651870727539) (187,8.610405921936035)* (159,8.60821533203125) (190,8.138648986816406)* (174,8.063942909240723) (172,7.92902135848999) (726,7.89429235458374) (1001,7.816747665405273) (868,7.778999328613281)* (1707,7.6969404220581055) (1061,7.618182182312012) (1072,7.608377456665039)* (157,7.5277862548828125)* (880,7.511970520019531) (3046,7.483338356018066) (511,7.465443134307861) (3048,7.389377593994141) (99,7.373095512390137)
192: (10036,13.022024154663086) (4003,13.014153480529785)* (4004,12.711463928222656)* (9049,12.071948051452637) (10035,12.015806198120117) (9043,11.883679389953613) (9516,11.697347640991211) (9515,11.622688293457031) (3028,11.566354751586914) (10030,11.541741371154785) (10031,11.500621795654297) (10037,11.438732147216797) (10034,11.432583808898926) (10029,11.423504829406738) (5138,11.404035568237305) (4935,11.38861083984375) (4943,11.282323837280273) (10032,11.25888729095459) (2192,11.098759651184082) (18540,10.982234001159668)
193: (228,8.9091796875) (726,8.747053146362305) (229,8.745316505432129) (722,8.670769691467285) (511,8.55923080444336)* (88,8.526921272277832) (961,8.247184753417969) (174,8.229009628295898) (172,8.130436897277832) (159,8.125160217285156) (703,8.121728897094727) (1713,7.757389068603516) (171,7.736701011657715) (70,7.726758003234863) (529,7.721362590789795) (715,7.704585075378418) (716,7.68515682220459) (187,7.665091514587402) (3502,7.610993385314941) (1009,7.610138416290283)
194: (199,10.619673728942871) (603,9.956438064575195) (703,9.897144317626953) (215,9.53433609008789) (604,9.316255569458008) (227,9.171104431152344) (429,9.047540664672852) (1400,8.738672256469727) (196,8.673174858093262) (81,8.49133586883545)* (1418,8.446343421936035) (3411,8.343122482299805) (620,8.158587455749512) (1424,8.04804801940918)* (56,8.038970947265625) (56,8.038970947265625) (608,8.013500213623047) (229,8.006964683532715) (159,7.9987640380859375) (632,7.982233047485352)
195: (863,10.380674362182617)* (857,10.114363670349121) (429,10.102090835571289) (3112,10.092105865478516) (614,9.935837745666504) (159,9.754281044006348) (630,9.162337303161621) (1639,9.146800994873047) (599,9.125925064086914) (959,9.103759765625) (199,8.693668365478516) (215,8.626992225646973) (1411,8.554929733276367) (1426,8.518596649169922)* (1412,8.516219139099121)* (88,8.482529640197754) (562,8.421046257019043)* (703,8.329306602478027) (1414,8.287576675415039) (620,8.196208000183105)
196: (703,10.235633850097656) (159,10.100780487060547) (614,10.031455039978027) (228,9.954658508300781) (429,9.844356536865234) (88,9.532991409301758) (533,9.516578674316406) (190,9.492307662963867)* (707,9.171536445617676) (1406,9.111281394958496) (215,8.886774063110352) (1515,8.877025604248047) (163,8.593055725097656) (511,8.520647048950195) (716,8.484240531921387)* (203,8.34553050994873) (959,8.30462646484375) (1106,8.255502700805664) (2539,8.244749069213867) (863,8.242321014404297)
198: (198,14.393208503723145) (489,11.212106704711914) (707,10.176673889160156) (815,10.063812255859375) (497,9.958465576171875) (1406,9.796395301818848) (810,9.722627639770508) (923,9.584522247314453) (3718,9.261001586914062) (1116,9.12173843383789) (805,9.070548057556152) (490,8.970166206359863) (2847,8.970046043395996) (4099,8.854759216308594)* (3616,8.822761535644531) (1196,8.778444290161133) (1118,8.74724292755127)* (818,8.690032005310059) (537,8.668129920959473) (839,8.640230178833008)
200: (868,11.572528839111328) (918,10.75481128692627) (1415,10.740815162658691)* (1369,10.387911796569824) (163,10.354269981384277)* (1416,10.02244758605957) (614,9.765684127807617) (1639,9.621732711791992) (96,9.45120620727539) (601,9.38032054901123) (707,9.362427711486816) (3460,9.313088417053223) (2029,9.204638481140137) (1426,9.070977210998535) (157,9.049741744995117) (159,8.982226371765137) (1103,8.93737506866455) (1406,8.885518074035645) (4130,8.767899513244629)* (9926,8.752667427062988)
201: (289,10.558052062988281) (72,8.69877815246582)* (72,8.69877815246582)* (172,8.586259841918945) (930,8.428359985351562) (288,8.197698593139648) (689,8.100486755371094) (1295,7.994897365570068) (906,7.8631978034973145) (1114,7.731435775756836) (532,7.591033935546875) (306,7.471836090087891) (3901,7.359747886657715)* (701,7.293351173400879) (3186,7.162321090698242) (955,7.129326820373535) (71,7.1049299240112305)* (71,7.1049299240112305)* (3501,7.099859714508057) (3502,7.070749282836914)
202: (917,10.75145149230957)* (198,10.524093627929688) (707,10.328408241271973)* (928,10.272294998168945)* (1179,10.166569709777832) (930,10.004020690917969) (918,9.87987232208252)* (25,9.736906051635742) (957,9.692580223083496) (1338,9.234718322753906) (5016,9.222922325134277) (726,9.195799827575684) (1535,9.130570411682129) (841,9.077757835388184) (949,9.077561378479004) (1412,8.947385787963867) (188,8.898490905761719) (1369,8.848428726196289) (1274,8.698451042175293) (1261,8.691146850585938)
203: (198,13.395216941833496) (489,11.590849876403809) (497,10.985062599182129) (512,10.691676139831543) (779,10.518548965454102) (808,10.40787124633789) (810,10.043010711669922)* (490,10.01146125793457) (1541,9.913436889648438)* (499,9.743389129638672) (1406,9.515692710876465) (707,9.430453300476074) (537,9.139433860778809) (1195,9.137096405029297) (3718,9.012683868408203) (1196,8.904401779174805) (1179,8.903692245483398) (1184,8.800484657287598) (493,8.740080833435059) (2847,8.571967124938965)
204: (10449,12.201252937316895) (3043,11.374268531799316) (3616,11.143180847167969) (11553,10.850799560546875) (6294,10.358925819396973) (8277,10.344599723815918) (9794,9.967445373535156) (10569,9.966837882995605) (11988,9.903934478759766) (8623,9.810526847839355) (923,9.788383483886719) (8947,9.71621036529541) (10572,9.706071853637695) (10573,9.641878128051758) (1281,9.631174087524414) (170,9.437068939208984) (5107,9.390239715576172) (11549,9.344451904296875) (13970,9.338282585144043) (11556,9.3131685256958)
205: (198,10.2689847946167) (687,8.642783164978027) (499,8.582225799560547) (489,8.495391845703125) (497,8.436454772949219) (512,8.31910228729248) (1179,8.184864044189453) (1184,8.126559257507324) (779,8.107217788696289)* (1116,8.05030345916748) (1406,7.908185958862305) (230,7.842724800109863) (501,7.82902717590332) (808,7.806906700134277) (493,7.7825751304626465) (490,7.745758056640625) (1541,7.682477951049805) (377,7.572617530822754) (533,7.453125476837158) (1195,7.446660041809082)
206: (88,9.191631317138672) (190,9.130131721496582) (228,9.097829818725586) (159,9.071022987365723) (703,8.961649894714355)* (1400,8.71143913269043) (1520,8.497084617614746) (4802,8.469576835632324) (1515,8.461747169494629) (429,8.243634223937988) (614,8.162748336791992) (2539,8.133846282958984) (3676,7.93432092666626) (72,7.876579284667969) (72,7.876579284667969) (599,7.872623443603516) (215,7.6801371574401855) (2122,7.674603462219238) (707,7.658316612243652) (2821,7.576544761657715)
207: (289,13.008821487426758) (680,10.079627990722656) (523,9.854177474975586) (1243,9.731669425964355) (288,9.69837474822998) (681,9.602079391479492) (691,9.252155303955078) (307,9.198712348937988) (524,9.158879280090332)* (306,9.152174949645996) (532,9.084503173828125) (690,8.877446174621582) (461,8.82101821899414) (525,8.765105247497559) (1246,8.750293731689453) (689,8.743486404418945) (701,8.650083541870117) (693,8.287198066711426) (544,8.179224014282227)* (228,8.092397689819336)
208: (710,13.414319038391113) (6289,11.724614143371582) (928,11.503637313842773) (1214,11.473154067993164) (1535,11.238150596618652) (954,11.189098358154297) (923,11.149537086486816) (1254,11.115922927856445)* (25,10.992940902709961) (1261,10.943389892578125) (2975,10.717277526855469) (10956,10.66675090789795) (1274,10.600521087646484)* (5016,10.427644729614258) (1528,10.22397232055664) (4273,10.222309112548828)* (1257,10.198578834533691) (3901,10.11374568939209) (821,10.05754566192627) (7918,10.024163246154785)
209: (701,10.533990859985352) (1032,10.467226028442383) (157,10.272314071655273) (2020,9.883118629455566) (544,9.667330741882324) (455,9.412768363952637) (291,9.355844497680664)* (344,9.21694564819336) (161,9.199990272521973) (320,9.152087211608887)* (292,9.136045455932617)* (333,9.120793342590332)* (466,9.078755378723145) (293,9.036877632141113) (464,8.964240074157715) (89,8.926360130310059) (681,8.889119148254395) (679,8.862927436828613) (680,8.777896881103516) (528,8.733993530273438)
210: (726,8.634459495544434) (64,8.401050567626953) (64,8.401050567626953) (3501,8.126543998718262) (1104,7.9390034675598145) (377,7.745724678039551) (75,7.70004940032959) (75,7.70004940032959) (5000,7.6280741691589355) (1785,7.580130577087402) (511,7.545570373535156) (172,7.463218688964844) (229,7.374966621398926) (51,7.280030250549316) (1375,7.240905284881592) (155,7.1514081954956055) (174,7.1299614906311035) (228,7.104517459869385) (877,7.09310245513916) (968,7.058767795562744)
211: (190,10.268291473388672)* (1376,9.562505722045898) (64,9.473333358764648) (64,9.473333358764648) (1379,9.152414321899414) (228,9.02758502960205) (88,9.007794380187988) (172,8.881078720092773) (159,8.7772855758667) (56,8.534812927246094) (56,8.534812927246094) (539,8.507345199584961) (868,8.460665702819824) (75,8.398612022399902) (75,8.398612022399902) (703,8.299373626708984) (1785,8.271566390991211) (166,8.1693115234375) (1787,8.169242858886719) (156,8.141840934753418)
212: (1355,12.047884941101074) (710,11.607229232788086) (5016,11.49899959564209) (944,11.362290382385254)* (6747,10.854191780090332) (12663,10.57763957977295) (934,10.489666938781738) (12657,10.33179759979248) (12928,10.318378448486328) (17177,10.295709609985352) (1535,10.283620834350586) (17176,10.192849159240723) (12664,10.148916244506836) (933,10.118453025817871) (12931,10.109199523925781) (17179,10.077193260192871) (2004,10.04131031036377) (6,9.908136367797852) (926,9.878604888916016) (1364,9.736726760864258)
213: (1406,11.617506980895996) (726,10.12801742553711) (230,9.731945991516113) (1118,9.527448654174805) (497,9.521133422851562) (917,9.461748123168945) (957,9.40235424041748) (614,9.379778861999512) (808,9.257244110107422) (1116,9.206377029418945)* (503,9.063800811767578) (226,9.034850120544434) (1119,8.911131858825684) (227,8.906754493713379) (1131,8.784900665283203) (815,8.734100341796875) (3462,8.640290260314941) (490,8.635222434997559) (377,8.56084156036377)* (810,8.541925430297852)
214: (289,14.220734596252441)* (294,9.707777976989746) (913,9.244436264038086) (258,8.880904197692871) (2523,8.807312965393066) (349,8.705181121826172)* (251,8.527349472045898) (180,8.464254379272461) (1464,8.4012451171875) (320,8.345870018005371) (1243,8.28034496307373) (55,8.261029243469238)* (3063,8.232613563537598) (461,8.166902542114258)* (2020,8.151843070983887)* (97,8.130900382995605) (265,8.092342376708984) (1032,8.077522277832031) (257,8.02326488494873) (310,8.017486572265625)
215: (227,13.061147689819336) (1406,11.309745788574219) (959,10.862737655639648) (1639,10.755892753601074) (918,10.672666549682617) (163,10.579712867736816) (1412,10.35045337677002) (198,9.941423416137695) (1415,9.720575332641602) (857,9.657947540283203) (159,9.54981803894043) (424,8.994709968566895) (975,8.82357406616211) (396,8.80663776397705) (1803,8.649497985839844) (1416,8.641544342041016) (706,8.574029922485352) (1515,8.522968292236328) (3112,8.522943496704102) (511,8.458669662475586)
216: (72,10.501482009887695)* (72,10.501482009887695)* (172,9.972221374511719) (190,9.946305274963379) (64,9.6500244140625) (64,9.6500244140625) (689,9.222614288330078) (228,9.205729484558105) (36,8.955389976501465) (703,8.672746658325195) (229,8.586896896362305) (1713,8.51540756225586)* (690,8.382816314697266) (1707,8.381548881530762) (88,8.30618953704834) (450,8.239020347595215) (3186,8.193613052368164) (3501,8.013708114624023) (697,8.007974624633789) (539,7.99766731262207)
217: (1411,12.502918243408203) (7797,9.83093547821045) (4786,9.64710521697998) (7427,9.395487785339355) (5375,9.15062141418457) (6458,8.885344505310059) (977,8.804059982299805) (1229,8.765118598937988) (9997,8.72134017944336) (1254,8.679312705993652) (1528,8.61502742767334) (863,8.439644813537598) (28,8.380120277404785) (2282,8.333468437194824) (3443,8.313672065734863) (1175,8.280922889709473) (1166,8.203283309936523) (205,8.189929962158203) (1242,8.178948402404785) (2281,8.166402816772461)
218: (614,11.032332420349121) (159,10.5734281539917) (489,10.051517486572266) (1406,9.991509437561035) (975,9.718167304992676) (959,9.512797355651855) (726,9.296713829040527) (918,9.239994049072266) (429,8.983331680297852) (475,8.881511688232422) (190,8.730622291564941) (3462,8.676063537597656) (957,8.553889274597168) (1803,8.411934852600098) (857,8.292354583740234) (703,8.175456047058105) (952,8.167969703674316) (1980,8.160043716430664) (5058,8.072421073913574) (396,8.061907768249512)
219: (537,11.597270965576172) (499,11.43716049194336)* (198,11.392330169677734) (488,11.25273609161377) (498,11.011927604675293)* (497,10.81069278717041) (481,10.621813774108887) (1406,10.545492172241211) (490,10.280243873596191) (230,10.132261276245117) (687,10.124499320983887) (403,9.733692169189453) (1186,9.639887809753418) (536,9.499492645263672) (489,9.491104125976562) (2352,9.382169723510742) (493,9.04813003540039) (209,9.01492691040039) (808,8.7869234085083) (1380,8.778899192810059)
